year,state,county,race_category1,mean_tcost,mean_trans,mean_tcost_quality,mean_trans_quality
2016,06,093,1,5.93,7.25,1,1
2016,06,093,2,7.48,3.8,1,1
2016,06,095,1,69.2,29.2,1,1
2016,06,095,2,72.63,31.11,1,1
2016,06,095,3,76.71,36.95,1,1
2016,06,095,NA,NaN,NaN,1,1
2016,06,097,1,67.96,43.15,1,1
2016,06,097,2,73.1,54.57,1,1
2016,06,097,3,72.52,44.29,1,1
2016,06,099,1,40.49,42.84,1,1
2016,06,099,2,40.25,50.31,1,1
2016,06,099,3,33.8,41.63,1,1
2016,06,101,1,35.26,32.73,1,1
2016,06,101,2,33.1,25.4,1,1
2016,06,101,3,27.86,33.65,1,1
2016,06,103,1,8.94,13.08,1,1
2016,06,103,2,10,14.52,1,1
2016,06,105,1,2.41,2.39,1,1
2016,06,107,1,21.82,37.64,1,1
2016,06,107,2,19.67,30.56,1,1
2016,06,107,3,15.39,33.96,1,1
2016,06,107,NA,NaN,NaN,1,1
2016,06,109,1,26.2,9.41,1,1
2016,06,109,NA,NaN,NaN,1,1
2016,06,111,1,81.97,71.87,1,1
2016,06,111,2,82.62,72.59,1,1
2016,06,111,3,83.39,73.37,1,1
2016,06,111,NA,NaN,NaN,1,1
2016,06,113,1,63.1,66.79,1,1
2016,06,113,2,66.74,66.42,1,1
2016,06,113,3,61.24,57.54,1,1
2016,06,115,1,31.63,35.74,1,1
2016,06,115,2,32.73,35.33,1,1
2016,08,001,1,73.54,67.81,1,1
2016,08,001,2,76.11,73.52,1,1
2016,08,001,3,82.05,79.13,1,1
2016,08,003,1,0,13,1,1
2016,08,003,2,1.65,2.24,1,1
2016,08,003,3,2,11,1,1
2016,08,005,1,80.27,78.18,1,1
2016,08,005,2,82.65,79.69,1,1
2016,08,005,3,85.02,82.21,1,1
2016,08,007,1,11.96,20.41,1,1
2016,08,009,1,2.72,0,1,1
2016,08,011,1,1,0,1,1
2016,08,013,1,81.36,69.96,1,1
2016,08,013,2,78.91,57.12,1,1
2016,08,014,1,76.39,67.95,1,1
2016,08,014,2,68.3,72.65,1,1
2016,08,015,1,25.94,15.51,1,1
2016,08,017,1,25,34,1,1
2016,08,019,1,60.66,39.97,1,1
2016,08,021,2,1,0,1,1
2016,08,021,3,1,9,1,1
2016,08,023,2,0,0,1,1
2016,08,023,3,0,0,1,1
2016,08,025,2,0,0,1,1
2016,08,027,1,4,0,1,1
2016,08,029,1,7.48,10.79,1,1
2016,08,031,1,90.01,89.99,1,1
2016,08,031,2,88.22,89.36,1,1
2016,08,031,3,82.82,85.09,1,1
2016,08,033,1,1,0,1,1
2016,08,035,1,64.37,59.39,1,1
2016,08,035,2,84,75,1,1
2016,08,037,1,80,76.69,1,1
2016,08,037,2,73.69,59.14,1,1
2016,08,037,3,80.29,74.41,1,1
2016,08,039,1,45.61,33.39,1,1
2016,08,041,1,63.55,52.79,1,1
2016,08,041,2,73.3,59.57,1,1
2016,08,041,3,78.22,62.59,1,1
2016,08,041,NA,NaN,NaN,1,1
2016,08,043,1,12.99,3.4,2,2
2016,08,043,NA,NaN,NaN,2,2
2016,08,045,1,52.01,47.86,1,1
2016,08,045,2,50.19,59.15,1,1
2016,08,047,1,58,55,1,1
2016,08,049,1,61.67,47.78,1,1
2016,08,051,1,34.45,24.55,1,1
2016,08,053,1,30,13,1,1
2016,08,055,1,1,0,1,1
2016,08,055,2,1,0,1,1
2016,08,057,1,12,15,1,1
2016,08,059,1,76.58,71.76,1,1
2016,08,059,2,86.55,82.86,1,1
2016,08,059,3,85,83,1,1
2016,08,059,NA,NaN,NaN,1,1
2016,08,061,1,3,14,1,1
2016,08,063,1,9.15,12.7,1,1
2016,08,065,1,14,30,1,1
2016,08,065,2,17,0,1,1
2016,08,067,1,52.63,63.32,1,1
2016,08,067,2,44,69,1,1
2016,08,069,1,63.06,50.94,1,1
2016,08,069,2,76,79,1,1
2016,08,069,3,57,33,1,1
2016,08,071,2,11.12,8.45,1,1
2016,08,071,3,11,10,1,1
2016,08,073,1,6,0,1,1
2016,08,075,1,12.57,2.34,1,1
2016,08,077,1,36.92,60,1,1
2016,08,077,2,48,53,1,1
2016,08,079,1,19,0,1,1
2016,08,081,1,36.8,44.92,1,1
2016,08,083,0,8,52,1,1
2016,08,083,1,10.91,11.37,1,1
2016,08,085,1,13.77,21.68,1,1
2016,08,085,2,19.74,19.9,1,1
2016,08,087,1,26.36,28.95,1,1
2016,08,087,2,25.25,44.01,1,1
2016,08,089,1,1.64,0,1,1
2016,08,089,2,4.87,0,1,1
2016,08,089,3,3,0,1,1
2016,08,091,1,44,59,1,1
2016,08,093,1,51.94,32.91,1,1
2016,08,095,1,12,11.6,1,1
2016,08,097,1,61.97,79.71,1,1
2016,08,099,1,10.1,10.12,1,1
2016,08,099,3,12,0,1,1
2016,08,101,0,11,0,1,1
2016,08,101,1,15.43,27.24,1,1
2016,08,101,2,25.65,35.01,1,1
2016,08,101,3,29.54,47.47,1,1
2016,08,101,NA,NaN,NaN,1,1
2016,08,103,1,32.45,42.11,1,1
2016,08,105,1,3,20,1,1
2016,08,105,2,8,19,1,1
2016,08,105,3,10,14,1,1
2016,08,107,1,59.39,55.5,1,1
2016,08,109,1,1,0,1,1
2016,08,109,3,0,0,1,1
2016,08,111,2,8,30,1,1
2016,08,113,1,43.35,69.62,1,1
2016,08,115,1,13,21,1,1
2016,08,117,1,70.34,62.45,1,1
2016,08,119,1,39.66,26.33,1,1
2016,08,121,1,9.45,9.01,1,1
2016,08,123,1,54.5,43.1,1,1
2016,08,123,2,61.24,52.16,1,1
2016,08,123,3,69.94,65,1,1
2016,08,123,NA,NaN,NaN,1,1
2016,08,125,1,7.24,0,1,1
2016,09,001,1,85.85,22.19,1,1
2016,09,001,2,93.62,34.8,1,1
2016,09,001,3,94.61,36.56,1,1
2016,09,001,NA,NaN,NaN,1,1
2016,09,003,1,76.5,52.67,1,1
2016,09,003,2,84.62,62.44,1,1
2016,09,003,3,90.04,80.08,1,1
2016,09,003,NA,NaN,NaN,1,1
2016,09,005,1,72.89,32.11,1,1
2016,09,005,2,73,37,1,1
2016,09,007,1,70.26,33.48,1,1
2016,09,007,2,89.62,62.05,1,1
2016,09,009,1,64.78,31.82,1,1
2016,09,009,2,78.61,52,1,1
2016,09,009,3,83.59,64.53,1,1
2016,09,011,1,63.66,27.74,1,1
2016,09,011,2,81.3,44.86,1,1
2016,09,011,3,83.63,46.63,1,1
2016,09,011,NA,NaN,NaN,1,1
2016,09,013,1,71.53,38.24,1,1
2016,09,013,NA,NaN,NaN,1,1
2016,09,015,1,58.6,27.2,1,1
2016,09,015,2,76.19,48.26,1,1
2016,09,015,3,72,29,1,1
2016,10,001,1,33.61,29.57,1,1
2016,10,001,2,41.76,32,1,1
2016,10,001,3,53.93,44.7,1,1
2016,10,003,1,67.21,58.35,1,1
2016,10,003,2,73.14,65.7,1,1
2016,10,003,3,86.01,84.46,1,1
2016,10,005,1,32.07,30.5,1,1
2016,10,005,2,33.19,24.73,1,1
2016,10,005,3,29,8,1,1
2016,11,001,1,97.59,92.36,1,1
2016,11,001,2,97.93,94.67,1,1
2016,11,001,3,97.22,92.02,1,1
2016,11,001,NA,NaN,NaN,1,1
2016,12,001,1,23.79,49.53,1,1
2016,12,001,2,45.61,79.29,1,1
2016,12,001,3,29.94,75.27,1,1
2016,12,003,1,28.23,36.98,1,1
2016,12,003,2,36,57,1,1
2016,12,005,1,31.78,27.5,1,1
2016,12,005,2,41.03,31.4,1,1
2016,12,005,3,45,24,1,1
2016,12,007,1,11.38,17.29,1,1
