year,state,county,mean_tcost,mean_transit,mean_tcost_quality,mean_transit_quality
2016,04,023,8.201913133402275,2.420630816959669,1,1
2016,04,025,20.382379654859218,26.621349012859124,1,1
2016,04,027,23.070962972918487,35.41630266783146,1,1
2016,05,001,3.8064859117490695,8.73365231259968,1,1
2016,05,003,2.562529719448407,11.534950071326676,1,1
2016,05,005,5.70939226519337,13.080939226519337,1,1
2016,05,007,28.08653304808017,44.318320009008,1,1
2016,05,009,4.798123584600453,1.1035263668715627,1,1
2016,05,011,1.26410998552822,2.3769898697539795,1,1
2016,05,013,0,9.194244604316546,1,1
2016,05,015,4.320866978325542,6.91457713557161,1,1
2016,05,017,0,0,1,1
2016,05,019,3.0245398773006134,4.428680981595092,1,1
2016,05,021,0.806054386865059,1.0364289379168805,1,1
2016,05,023,7.573147799924784,12.690485144791275,1,1
2016,05,025,2,10.155844155844155,1,1
