year,state,county,subgroup_type,subgroup,rate_injury_death,rate_injury_death_lb,rate_injury_death_ub,rate_injury_death_quality
2021,01,015,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,015,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,015,race-ethncity,"White, Hon-Hispanic",105.4,94.3,116.5,1
2021,01,017,all,All,97.6,80.9,114.3,1
2021,01,017,race-ethncity,"Black, Non-Hispanic",65.4,45.6,91,1
2021,01,017,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,017,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,017,race-ethncity,"White, Hon-Hispanic",126,101.7,154.4,1
2021,01,019,all,All,109.2,89,129.3,1
2021,01,019,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,019,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,019,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,019,race-ethncity,"White, Hon-Hispanic",116.2,94.5,137.9,1
2021,01,021,all,All,95.4,81,109.7,1
2021,01,021,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,021,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,021,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,021,race-ethncity,"White, Hon-Hispanic",105.2,88.4,122,1
2021,01,023,all,All,111.2,84,144.3,1
2021,01,023,race-ethncity,"Black, Non-Hispanic",129.7,85.5,188.7,1
2021,01,023,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,023,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,023,race-ethncity,"White, Hon-Hispanic",102.1,68.4,146.6,1
2021,01,025,all,All,101.5,82.1,124.1,1
2021,01,025,race-ethncity,"Black, Non-Hispanic",102.7,74.3,138.3,1
2021,01,025,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,025,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,025,race-ethncity,"White, Hon-Hispanic",106.9,79.8,140.1,1
2021,01,027,all,All,122.6,94.9,156,1
2021,01,027,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,027,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,027,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,027,race-ethncity,"White, Hon-Hispanic",129.3,97.7,167.9,1
2021,01,029,all,All,118.4,92.5,149.3,1
2021,01,029,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,029,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,029,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,029,race-ethncity,"White, Hon-Hispanic",118.8,91.9,151.2,1
2021,01,031,all,All,78.9,66.9,90.9,1
2021,01,031,race-ethncity,"Black, Non-Hispanic",94.7,65.6,132.4,1
2021,01,031,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,031,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,031,race-ethncity,"White, Hon-Hispanic",87.2,72.1,102.4,1
2021,01,033,all,All,82.1,70.2,94,1
2021,01,033,race-ethncity,"Black, Non-Hispanic",72.9,47.6,106.8,1
2021,01,033,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,033,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,033,race-ethncity,"White, Hon-Hispanic",90,75.9,104.2,1
2021,01,035,all,All,122,92.7,157.8,1
2021,01,035,race-ethncity,"Black, Non-Hispanic",115.9,75,171,2
2021,01,035,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,035,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,035,race-ethncity,"White, Hon-Hispanic",134.2,91.8,189.4,1
2021,01,037,all,All,96.5,69.3,130.9,1
2021,01,037,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,037,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,037,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,037,race-ethncity,"White, Hon-Hispanic",86.2,55.2,128.3,2
2021,01,039,all,All,100.3,84.2,116.5,1
2021,01,039,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,039,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,039,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,039,race-ethncity,"White, Hon-Hispanic",103.9,85.9,121.9,1
2021,01,041,all,All,97.5,73,127.5,1
2021,01,041,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,041,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,041,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,041,race-ethncity,"White, Hon-Hispanic",104.7,74.8,142.5,1
2021,01,043,all,All,99.1,88.5,109.6,1
2021,01,043,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,043,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,043,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,043,race-ethncity,"White, Hon-Hispanic",103.6,92.3,114.8,1
2021,01,045,all,All,82,69.3,94.6,1
2021,01,045,race-ethncity,"Black, Non-Hispanic",91.6,64.5,126.2,1
2021,01,045,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,045,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,045,race-ethncity,"White, Hon-Hispanic",84.8,69.2,100.5,1
2021,01,047,all,All,125.3,107.4,143.3,1
2021,01,047,race-ethncity,"Black, Non-Hispanic",135.3,113,157.5,1
2021,01,047,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,047,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,047,race-ethncity,"White, Hon-Hispanic",109.8,79.8,147.5,1
2021,01,049,all,All,97.4,86,108.9,1
2021,01,049,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,049,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,049,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,049,race-ethncity,"White, Hon-Hispanic",114,100.1,127.9,1
2021,01,051,all,All,73.2,64.1,82.4,1
2021,01,051,race-ethncity,"Black, Non-Hispanic",70.9,52.6,93.4,1
2021,01,051,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,051,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,051,race-ethncity,"White, Hon-Hispanic",77.8,66.7,88.9,1
2021,01,053,all,All,120.9,103.1,138.8,1
2021,01,053,race-ethncity,"Black, Non-Hispanic",74.4,51.6,104,1
2021,01,053,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,053,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,053,race-ethncity,"White, Hon-Hispanic",144.2,119.1,169.3,1
2021,01,055,all,All,95.1,85.6,104.5,1
2021,01,055,race-ethncity,"Black, Non-Hispanic",90.9,69,117.5,1
2021,01,055,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,055,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,055,race-ethncity,"White, Hon-Hispanic",100.3,89.3,111.3,1
2021,01,057,all,All,106,82.4,134.1,1
2021,01,057,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,057,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,057,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,057,race-ethncity,"White, Hon-Hispanic",105.9,80.4,136.9,1
2021,01,059,all,All,99,81.7,116.4,1
2021,01,059,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,059,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,059,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,059,race-ethncity,"White, Hon-Hispanic",116.2,94.6,137.8,1
2021,01,061,all,All,98.4,79.5,117.3,1
2021,01,061,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,061,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,061,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,061,race-ethncity,"White, Hon-Hispanic",100,80.2,123.1,1
2021,01,063,all,All,103.2,71.1,145,1
2021,01,063,race-ethncity,"Black, Non-Hispanic",86.6,54.3,131.1,2
2021,01,063,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,063,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,063,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,01,065,all,All,100.3,76.4,129.4,1
2021,01,065,race-ethncity,"Black, Non-Hispanic",106.3,74.4,147.1,1
2021,01,065,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,065,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,065,race-ethncity,"White, Hon-Hispanic",98.5,62.5,147.9,2
2021,01,067,all,All,95.5,73.9,121.5,1
2021,01,067,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,067,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,067,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,067,race-ethncity,"White, Hon-Hispanic",97.6,71.7,129.8,1
2021,01,069,all,All,75.4,67.1,83.6,1
2021,01,069,race-ethncity,"Black, Non-Hispanic",61.4,48,77.5,1
2021,01,069,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,069,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,069,race-ethncity,"White, Hon-Hispanic",84.1,73.3,94.8,1
2021,01,071,all,All,89.1,76.2,101.9,1
2021,01,071,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,071,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,071,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,071,race-ethncity,"White, Hon-Hispanic",94.7,80.6,108.7,1
2021,01,073,all,All,117.8,113.7,122,1
2021,01,073,race-ethncity,"Black, Non-Hispanic",133.5,126.8,140.2,1
2021,01,073,race-ethncity,Hispanic,75.6,60.1,93.8,1
2021,01,073,race-ethncity,Other Races and Ethnicities,28.8,18.7,42.6,2
2021,01,073,race-ethncity,"White, Hon-Hispanic",113.2,107.4,119,1
2021,01,075,all,All,96.2,72,125.8,1
2021,01,075,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,075,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,075,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,075,race-ethncity,"White, Hon-Hispanic",103.5,76.6,136.8,1
2021,01,077,all,All,81.9,72.7,91.1,1
2021,01,077,race-ethncity,"Black, Non-Hispanic",76.5,50.8,110.5,1
2021,01,077,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,077,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,077,race-ethncity,"White, Hon-Hispanic",85.9,75.6,96.1,1
2021,01,079,all,All,99.4,82.4,116.4,1
2021,01,079,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,079,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,079,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,079,race-ethncity,"White, Hon-Hispanic",110.2,89.7,130.7,1
2021,01,081,all,All,64.7,58.6,70.8,1
2021,01,081,race-ethncity,"Black, Non-Hispanic",83.9,69.4,98.4,1
2021,01,081,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,081,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,081,race-ethncity,"White, Hon-Hispanic",62.8,55.5,70.1,1
2021,01,083,all,All,64.5,56.6,72.3,1
2021,01,083,race-ethncity,"Black, Non-Hispanic",47.2,30.9,69.2,1
2021,01,083,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,083,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,083,race-ethncity,"White, Hon-Hispanic",69.5,60.2,78.9,1
2021,01,085,all,All,129.8,96.6,170.6,1
2021,01,085,race-ethncity,"Black, Non-Hispanic",148.6,107.1,200.8,1
2021,01,085,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,085,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,085,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,01,087,all,All,105.1,82.9,131.3,1
2021,01,087,race-ethncity,"Black, Non-Hispanic",108.1,83.1,138.3,1
2021,01,087,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,087,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,087,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,01,089,all,All,76.1,71.7,80.5,1
2021,01,089,race-ethncity,"Black, Non-Hispanic",76.7,67.8,85.6,1
2021,01,089,race-ethncity,Hispanic,49.1,34.9,67.1,1
2021,01,089,race-ethncity,Other Races and Ethnicities,25.5,16.2,38.3,2
2021,01,089,race-ethncity,"White, Hon-Hispanic",82.7,77,88.4,1
2021,01,091,all,All,103.1,81.5,128.7,1
2021,01,091,race-ethncity,"Black, Non-Hispanic",110.9,80.2,149.4,1
2021,01,091,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,091,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,091,race-ethncity,"White, Hon-Hispanic",95.1,65.1,134.3,1
2021,01,093,all,All,81.1,65.7,99,1
2021,01,093,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,093,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,093,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,093,race-ethncity,"White, Hon-Hispanic",83.9,67.6,103,1
2021,01,095,all,All,89.9,80.5,99.4,1
2021,01,095,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,095,race-ethncity,Hispanic,34.6,21.1,53.4,2
2021,01,095,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,095,race-ethncity,"White, Hon-Hispanic",100.9,89.7,112.1,1
2021,01,097,all,All,92,87.4,96.7,1
2021,01,097,race-ethncity,"Black, Non-Hispanic",92.7,85,100.4,1
2021,01,097,race-ethncity,Hispanic,43.8,27.4,66.3,2
2021,01,097,race-ethncity,Other Races and Ethnicities,41.1,27.9,58.4,1
2021,01,097,race-ethncity,"White, Hon-Hispanic",98.1,91.7,104.5,1
2021,01,099,all,All,101.3,80.7,125.6,1
2021,01,099,race-ethncity,"Black, Non-Hispanic",128.2,92.8,172.7,1
2021,01,099,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,099,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,099,race-ethncity,"White, Hon-Hispanic",79.2,55.2,110.2,1
2021,01,101,all,All,82.1,76.1,88,1
2021,01,101,race-ethncity,"Black, Non-Hispanic",91.3,83.2,99.4,1
2021,01,101,race-ethncity,Hispanic,62.8,38.9,96.1,2
2021,01,101,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,101,race-ethncity,"White, Hon-Hispanic",76.5,66.4,86.5,1
2021,01,103,all,All,94.3,85.7,103,1
2021,01,103,race-ethncity,"Black, Non-Hispanic",110.5,85.8,140.1,1
2021,01,103,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,103,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,103,race-ethncity,"White, Hon-Hispanic",101.6,91.2,111.9,1
2021,01,105,all,All,105.4,74.2,145.3,1
2021,01,105,race-ethncity,"Black, Non-Hispanic",101.5,65,151,2
2021,01,105,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,105,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,105,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,01,107,all,All,105.8,84.3,131.1,1
2021,01,107,race-ethncity,"Black, Non-Hispanic",109.2,75.6,152.6,1
2021,01,107,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,107,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,107,race-ethncity,"White, Hon-Hispanic",109.6,80.2,146.2,1
2021,01,109,all,All,75.5,60.7,90.3,1
2021,01,109,race-ethncity,"Black, Non-Hispanic",72.2,50.6,100,1
2021,01,109,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,109,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,109,race-ethncity,"White, Hon-Hispanic",78.7,59.7,101.7,1
2021,01,111,all,All,98.5,79.1,121.2,1
2021,01,111,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,111,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,111,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,111,race-ethncity,"White, Hon-Hispanic",102.5,79.9,129.5,1
2021,01,113,all,All,127.6,113.1,142.1,1
2021,01,113,race-ethncity,"Black, Non-Hispanic",89,71.8,109,1
2021,01,113,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,113,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,113,race-ethncity,"White, Hon-Hispanic",184.2,158.3,210,1
2021,01,115,all,All,100.6,90.3,111,1
2021,01,115,race-ethncity,"Black, Non-Hispanic",56.9,34.8,87.9,2
2021,01,115,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,115,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,115,race-ethncity,"White, Hon-Hispanic",109.2,97.5,120.9,1
2021,01,117,all,All,63.3,58,68.5,1
2021,01,117,race-ethncity,"Black, Non-Hispanic",49.2,37.4,63.6,1
2021,01,117,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,117,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,117,race-ethncity,"White, Hon-Hispanic",70.7,64.4,77,1
2021,01,119,all,All,127.3,97.8,162.8,1
2021,01,119,race-ethncity,"Black, Non-Hispanic",142.6,105.8,188,1
2021,01,119,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,119,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,119,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,01,121,all,All,101.5,90.4,112.5,1
2021,01,121,race-ethncity,"Black, Non-Hispanic",96.9,78.1,115.7,1
2021,01,121,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,121,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,121,race-ethncity,"White, Hon-Hispanic",110.6,96,125.2,1
2021,01,123,all,All,97.5,82.3,112.7,1
2021,01,123,race-ethncity,"Black, Non-Hispanic",78.7,54.5,110,1
2021,01,123,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,123,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,123,race-ethncity,"White, Hon-Hispanic",108.7,89.3,128.1,1
2021,01,125,all,All,70.4,64.8,76.1,1
2021,01,125,race-ethncity,"Black, Non-Hispanic",69.1,59.3,78.9,1
2021,01,125,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,125,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,125,race-ethncity,"White, Hon-Hispanic",75.2,67.7,82.7,1
2021,01,127,all,All,120.7,107.2,134.2,1
2021,01,127,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,127,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,127,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,127,race-ethncity,"White, Hon-Hispanic",127.7,112.9,142.4,1
2021,01,129,all,All,94,71.7,121,1
2021,01,129,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,129,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,129,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,129,race-ethncity,"White, Hon-Hispanic",98.6,70.7,133.7,1
2021,01,131,all,All,139.2,105.7,180,1
2021,01,131,race-ethncity,"Black, Non-Hispanic",157.4,115.2,209.9,1
2021,01,131,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,131,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,131,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,01,133,all,All,100.6,81.4,123,1
2021,01,133,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,01,133,race-ethncity,Hispanic,NA,NA,NA,NA
2021,01,133,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,01,133,race-ethncity,"White, Hon-Hispanic",106.6,86.1,130.4,1
2021,02,013,all,All,NA,NA,NA,NA
2021,02,013,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,013,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,013,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,02,013,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,02,016,all,All,NA,NA,NA,NA
2021,02,016,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,016,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,016,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,02,016,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,02,020,all,All,93.6,88,99.2,1
2021,02,020,race-ethncity,"Black, Non-Hispanic",81.8,60.7,107.8,1
2021,02,020,race-ethncity,Hispanic,56.7,43.5,72.7,1
2021,02,020,race-ethncity,Other Races and Ethnicities,116.9,105.2,128.5,1
2021,02,020,race-ethncity,"White, Hon-Hispanic",87.5,80.3,94.7,1
2021,02,050,all,All,220.1,186.2,254,1
2021,02,050,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,050,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,050,race-ethncity,Other Races and Ethnicities,228.3,191.4,265.3,1
2021,02,050,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,02,060,all,All,NA,NA,NA,NA
2021,02,060,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,060,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,060,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,02,060,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,02,063,all,All,147.5,111.1,192,3
2021,02,063,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,063,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,063,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,02,063,race-ethncity,"White, Hon-Hispanic",157.3,112.3,214.1,3
2021,02,066,all,All,147.5,111.1,192,3
2021,02,066,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,066,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,066,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,02,066,race-ethncity,"White, Hon-Hispanic",157.3,112.3,214.1,3
2021,02,068,all,All,NA,NA,NA,NA
2021,02,068,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,068,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,068,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,02,068,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,02,070,all,All,210,150.7,284.9,1
2021,02,070,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,070,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,070,race-ethncity,Other Races and Ethnicities,233.2,164.2,321.4,1
2021,02,070,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,02,090,all,All,93,83.4,102.6,1
2021,02,090,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,090,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,090,race-ethncity,Other Races and Ethnicities,152,122.9,181.1,1
2021,02,090,race-ethncity,"White, Hon-Hispanic",86.3,75.2,97.5,1
2021,02,100,all,All,NA,NA,NA,NA
2021,02,100,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,100,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,100,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,02,100,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,02,105,all,All,NA,NA,NA,NA
2021,02,105,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,105,race-ethncity,Hispanic,NA,NA,NA,NA
2021,02,105,race-ethncity,Other Races and Ethnicities,NA,NA,NA,NA
2021,02,105,race-ethncity,"White, Hon-Hispanic",NA,NA,NA,NA
2021,02,110,all,All,82.9,67.1,98.6,1
2021,02,110,race-ethncity,"Black, Non-Hispanic",NA,NA,NA,NA
2021,02,110,race-ethncity,Hispanic,NA,NA,NA,NA
