year,state,place,score_transit_trips,score_transit_trips_quality,share_transportation_cost,share_transportation_cost_quality
2015,29,54074,0,1,0.2722279634722562,1
2015,29,65000,12,1,0.2083316180115617,1
2015,29,70000,4,1,0.2794097926686962,1
2015,30,06550,2,1,0.2578020406000022,1
2015,31,28000,4,1,0.253333182671837,1
2015,31,37000,5,1,0.23101751022265987,1
2015,32,31900,7,1,0.28426182777958736,1
2015,32,40000,13,1,0.2643965646430235,1
2015,32,51800,9,1,0.28185654990374326,1
2015,32,60600,7,1,0.2562318654407533,1
2015,32,68400,5,1,0.2695776392538721,1
2015,33,45140,2,1,0.18321741056595411,1
2015,33,50260,2,1,0.19276553337762498,1
2015,34,13690,19,1,0.18415379322208847,1
2015,34,21000,25,1,0.154101387163036,1
2015,34,36000,15,1,0.11002594439621227,1
2015,34,51000,2,1,0.12969355273806316,1
2015,34,57000,21,1,0.1618893045518972,1
2015,34,74000,0,1,0.15089390892113205,1
2015,35,02000,9,1,0.2503419368962758,1
2015,35,39380,4,1,0.33203311402931024,1
2015,35,63460,1,1,0.29404176617690925,1
2015,35,70500,4,1,0.24200069891712278,1
2015,36,01000,13,1,0.17119305910681926,1
2015,36,11000,17,1,0.21398610570878077,1
2015,36,50617,14,1,0.18293574737437673,1
2015,36,51000,100,1,0.10229003690815763,1
2015,36,63000,12,1,0.21867691662353148,1
2015,36,73000,1,1,0.21114776912773128,1
2015,36,84000,19,1,0.17302164182169114,1
2015,37,02140,3,1,0.2723955203354694,1
2015,37,10740,3,1,0.23836452177363182,1
2015,37,12000,6,1,0.2512001303467403,1
2015,37,14100,1,1,0.2821130360611101,1
2015,37,19000,6,1,0.24100036450713752,1
2015,37,22920,6,1,0.29046334757183484,1
2015,37,25580,1,1,0.2674262376232092,1
2015,37,28000,6,1,0.275176343888563,1
2015,37,28080,1,1,0.3006973230875239,1
2015,37,31400,3,1,0.2920483655946569,1
2015,37,55000,6,1,0.21431786204647488,1
2015,37,74440,3,1,0.2483182407574611,1
2015,37,75000,4,1,0.27343343793889346,1
2015,38,25700,6,1,0.23236254462495237,1
2015,39,01000,5,1,0.24771385538203472,1
2015,39,15000,7,1,0.21363654088037715,1
2015,39,16000,17,1,0.2156109655811732,1
2015,39,18000,7,1,0.22371268095719388,1
2015,39,21000,9,1,0.24093210560483772,1
2015,39,61000,7,1,0.25522295091785696,1
2015,39,77000,3,1,0.26922327662670925,1
2015,40,09050,0,1,0.309296784098733,1
2015,40,23200,2,1,0.29002372647679436,1
2015,40,41850,1,1,0.29330747266210627,1
2015,40,52500,2,1,0.2830206165936078,1
2015,40,55000,3,1,0.2752201434843209,1
2015,40,75000,3,1,0.26578830950750915,1
2015,41,05350,10,1,0.2238839662279794,1
2015,41,05800,2,1,0.2839748140317372,1
2015,41,23850,8,1,0.27804821907334565,1
2015,41,31250,17,1,0.22990606265173494,1
2015,41,34100,8,1,0.2393255969642039,1
2015,41,47000,2,1,0.2903476632495222,1
2015,41,59000,25,1,0.20769518427629696,1
2015,41,64900,8,1,0.26374361556384857,1
2015,42,02000,5,1,0.1971411599262923,1
2015,42,06088,4,1,0.21376029371397204,1
2015,42,24000,7,1,0.24846733607254867,1
2015,42,60000,43,1,0.15972582393941992,1
2015,42,61000,14,1,0.19878385723344502,1
2015,42,63624,8,1,0.20498637421070118,1
2015,42,69000,4,1,0.24944655565535834,1
2015,44,19180,6,1,0.23063526218220345,1
2015,44,54640,11,1,0.2023228135387255,1
2015,44,59000,13,1,0.18790488118280446,1
2015,44,74300,6,1,0.2416749304978361,1
2015,45,13330,3,1,0.2505630198314205,1
