year,state,place,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2015,04,46000,0.05389503205559828,1,0.2573325263458678,1
2015,04,46000,0.09205607953097118,1,0.23341983176140713,1
2015,04,46000,0.03819315505335333,1,0.2699635646199335,1
2015,04,46000,0.0830864294632734,1,0.2301230419259629,1
2015,04,54050,0.023074080110712436,1,0.2841964031744055,1
2015,04,54050,0.030296692745305456,1,0.2889615753914309,1
2015,04,54050,0.017920136063712053,1,0.2879282198517252,1
2015,04,54050,0.036666379655030217,1,0.27368381737899367,1
2015,04,55000,0.05213585484472178,1,0.25025817351720026,1
2015,04,55000,0.058614083345293624,1,0.24389638838881167,1
2015,04,55000,0.04037418733068287,1,0.26334422943462515,1
2015,04,55000,0.07067425745060132,1,0.22744030731376633,1
2015,04,65000,0.036150287856208746,1,0.2612349224847288,1
2015,04,65000,NA,NA,NA,NA
2015,04,65000,0.034869011905795694,1,0.2623579253951539,1
2015,04,65000,0.07,1,0.23156658660261542,1
2015,04,71510,0.016128454008391493,1,0.28958365267261127,1
2015,04,71510,0.02,1,0.26,1
2015,04,71510,0.016792618863264008,1,0.2904113583096853,1
2015,04,71510,0,1,0.3032969034608379,1
2015,04,73000,0.08100712985904762,1,0.23300391828407432,1
2015,04,73000,0.08355455808485626,1,0.21516084215026182,1
2015,04,73000,0.05622846869469976,1,0.25236482169138147,1
2015,04,73000,0.12436385544589394,1,0.2066076486357785,1
2015,04,77000,0.055218124872659514,1,0.2590964111893583,1
2015,04,77000,0.04893813079076059,1,0.2637890980426517,1
2015,04,77000,0.05215325908391327,1,0.26473835132477125,1
2015,04,77000,0.06834866075980613,1,0.2438742513042672,1
2015,04,85540,0.013367954578782147,1,0.3353018480583248,1
2015,04,85540,0.016684206544172513,1,0.3290495229886674,1
2015,04,85540,0.010021822141024723,2,0.3400218221410247,2
2015,04,85540,0.009402188853925814,1,0.3429404455870397,1
2015,05,23290,0.023990070826708672,1,0.26576751045817365,1
2015,05,23290,NA,NA,NA,NA
2015,05,23290,0.023990070826708672,1,0.26576751045817365,1
2015,05,23290,NA,NA,NA,NA
2015,05,24550,0.007861103571867086,1,0.3291715668157181,1
2015,05,24550,0.01047589131459086,1,0.332275797078687,1
2015,05,24550,0.004209523435435784,1,0.33192952937749476,1
2015,05,24550,0.01834286648145122,1,0.3159699297270796,1
2015,05,35710,0.006325224145813196,1,0.3283957781069767,1
2015,05,35710,NA,NA,NA,NA
2015,05,35710,0.004801524104543269,1,0.3327977057351894,1
2015,05,35710,0.03,1,0.26,1
2015,05,41000,0.01604636930760051,1,0.2546449863590697,1
2015,05,41000,0.01655502852952236,1,0.2539698013312908,1
2015,05,41000,0.014941439099622,1,0.2586785976103322,1
2015,05,41000,0.01823856941455642,1,0.2428372634052997,1
2015,05,66080,0.010045530736343879,1,0.2713004375643746,1
2015,05,66080,0.01641262586176815,1,0.25,1
