year,state,place,index_transit_trips,index_transit_trips_quality
2019,48,24000,99.49,1
2019,48,26232,95.03,1
2019,48,27000,98.97,1
2019,48,27684,94.74,1
2019,48,29000,98.86,1
2019,48,30464,98,1
2019,48,35000,99.66,1
2019,48,37000,98.91,1
2019,48,39148,98.63,1
2019,48,41464,99.71,1
2019,48,41980,56.23,1
2019,48,42508,98.51,1
2019,48,43888,94.57,1
2019,48,45000,98.8,1
2019,48,45384,97.14,1
2019,48,45744,97.08,1
2019,48,47892,98.57,1
2019,48,48072,97.37,1
2019,48,48768,92.28,1
2019,48,50820,10.38,1
2019,48,53388,95.63,1
2019,48,56000,97.48,1
2019,48,56348,75.73,1
2019,48,57200,84.19,1
2019,48,58016,98.4,1
2019,48,61796,98.74,1
2019,48,63500,76.82,1
2019,48,64472,99.83,1
2019,48,65000,99.03,1
2019,48,70808,10.38,1
2019,48,72176,97.83,1
2019,48,74144,94.51,1
2019,48,76000,99.89,1
2019,48,79000,97.94,1
2019,49,43660,92.97,1
2019,49,44320,84.71,1
2019,49,55980,98.78,1
2019,49,57300,95.72,1
2019,49,62470,96.94,1
2019,49,65330,91.44,1
2019,49,67000,99.39,1
2019,49,67440,97.55,1
2019,49,70850,95.41,1
2019,49,82950,97.25,1
2019,49,83470,97.86,1
2019,51,01000,98.48,1
2019,51,16000,96.79,1
2019,51,35000,97.8,1
2019,51,47672,97.12,1
2019,51,56000,98.31,1
2019,51,57000,99.49,1
2019,51,64000,99.66,1
2019,51,67000,98.82,1
2019,51,68000,96.95,1
2019,51,76432,25.55,1
2019,51,82000,98.65,1
2019,53,03180,95.07,1
2019,53,05210,98.25,1
2019,53,05280,98.89,1
2019,53,22640,96.18,1
2019,53,23515,97.77,1
2019,53,35275,98.73,1
2019,53,35415,97.3,1
2019,53,35940,97.14,1
2019,53,53545,98.57,1
2019,53,57745,97.93,1
2019,53,63000,99.84,1
2019,53,67000,99.52,1
2019,53,67167,99.05,1
2019,53,70000,99.36,1
2019,53,74060,99.21,1
2019,53,80010,95.23,1
2019,55,02375,98.19,1
2019,55,31000,99.1,1
2019,55,39225,99.35,1
2019,55,48000,99.48,1
2019,55,53000,99.74,1
2019,55,66000,98.45,1
2019,01,03076,96.72,1
2019,01,07000,99.14,1
2019,01,35896,98.1,1
2019,01,37000,98.79,1
2019,01,50000,99.31,1
2019,01,51000,98.96,1
2019,01,77256,98.62,1
2019,02,03000,99.43,1
2019,04,04720,95.11,1
2019,04,07940,89.56,1
2019,04,12000,98.67,1
2019,04,23620,97.33,1
2019,04,27400,96.67,1
2019,04,27820,97.56,1
2019,04,28380,98.89,1
2019,04,46000,98.44,1
2019,04,54050,96.89,1
2019,04,55000,99.11,1
2019,04,65000,97.78,1
2019,04,71510,94.89,1
2019,04,73000,98.22,1
2019,04,77000,99.56,1
2019,04,85540,93.78,1
2019,05,23290,99.63,1
2019,05,24550,99.08,1
2019,05,35710,98.89,1
2019,05,41000,99.45,1
2019,05,66080,99.26,1
2019,06,00562,96.31,1
2019,06,00884,80.09,1
2019,06,02000,98.22,1
2019,06,02252,91.89,1
2019,06,02364,85.3,1
2019,06,03526,96.51,1
2019,06,04982,75.35,1
2019,06,06000,97.89,1
2019,06,08786,96.37,1
2019,06,08954,80.75,1
2019,06,11194,95.65,1
2019,06,11530,75.61,1
2019,06,13014,87.54,1
2019,06,13210,89.72,1
2019,06,13214,86.49,1
2019,06,13392,97.3,1
2019,06,13588,75.61,1
2019,06,14218,58.24,1
2019,06,15044,82.4,1
2019,06,16000,94.46,1
2019,06,16350,95.39,1
2019,06,16532,97.56,1
2019,06,17918,97.1,1
2019,06,19766,98.62,1
2019,06,21712,96.97,1
2019,06,22020,71.46,1
2019,06,22230,82.73,1
2019,06,22804,97.36,1
2019,06,23182,98.75,1
2019,06,24638,67.11,1
2019,06,24680,95.19,1
2019,06,26000,96.7,1
2019,06,27000,82.1,1
2019,06,28000,97.5,1
2019,06,29000,97.69,1
2019,06,30000,86.98,1
2019,06,32548,83.19,1
2019,06,33000,97.17,1
2019,06,33182,93.74,1
2019,06,33434,87.61,1
2019,06,36000,97.82,1
2019,06,36448,92.68,1
2019,06,36546,85.5,1
2019,06,36770,97.76,1
2019,06,37692,NA,NA
2019,06,39496,95.85,1
2019,06,39892,75.74,1
2019,06,40130,98.88,1
2019,06,41992,92.22,1
2019,06,43000,98.95,1
2019,06,44000,99.01,1
2019,06,45484,85.43,1
2019,06,46842,92.29,1
2019,06,46898,14.44,1
2019,06,47766,92.02,1
2019,06,48256,96.84,1
2019,06,48354,4.15,1
2019,06,49270,95.58,1
2019,06,49670,95.45,1
2019,06,50076,91.56,1
2019,06,50258,89.65,1
2019,06,51182,97.03,1
2019,06,52526,78.74,1
2019,06,53000,98.15,1
2019,06,53322,97.63,1
2019,06,53896,94.07,1
2019,06,53980,97.23,1
2019,06,54652,91.1,1
2019,06,55156,99.14,1
2019,06,56000,88.27,1
2019,06,56700,89.12,1
2019,06,57456,91.3,1
