year,state,place,index_transportation_cost,index_transportation_cost_quality
2019,13,68516,21.93,1
2019,13,69000,25.93,1
2019,13,72122,NA,NA
2019,13,80508,27.81,1
2019,15,71550,15.57,1
2019,16,08830,27.09,1
2019,16,52120,30.01,1
2019,16,56260,29.2,1
2019,17,02154,22.68,1
2019,17,03012,25.11,1
2019,17,06613,23.39,1
2019,17,12385,24.11,1
2019,17,14000,15.92,1
2019,17,14351,21.37,1
2019,17,23074,25.06,1
2019,17,24582,17.41,1
2019,17,38570,24.9,1
2019,17,51622,24.34,1
2019,17,59000,25.64,1
2019,17,65000,25.54,1
2019,17,68003,23.79,1
2019,17,72000,23.88,1
2019,17,79293,23.52,1
2019,18,05860,26.32,1
2019,18,10342,27.77,1
2019,18,22000,26.56,1
2019,18,23278,29.76,1
2019,18,25000,27.97,1
2019,18,31000,22.69,1
2019,18,36003,25.34,1
2019,18,71000,27.87,1
2019,19,12000,25.71,1
2019,19,19000,25.41,1
2019,19,21000,22.37,1
2019,19,73335,27.39,1
2019,20,36000,24.91,1
2019,20,38900,25.28,1
2019,20,52575,27.22,1
2019,20,53775,24.47,1
2019,20,71000,25.24,1
2019,20,79000,27.02,1
2019,21,46027,25.75,1
2019,21,48006,27.11,1
2019,22,05000,25.95,1
2019,22,40735,28.49,1
2019,22,41155,28.88,1
2019,22,55000,24.4,1
2019,22,70000,31.06,1
2019,24,04000,15.4,1
2019,24,30325,16.47,1
2019,25,07000,16.7,1
2019,25,09000,18.9,1
2019,25,11000,13.35,1
2019,25,23000,19.33,1
2019,25,34550,16.6,1
2019,25,37000,17.66,1
2019,25,37490,17.37,1
2019,25,45000,20.92,1
2019,25,45560,18.19,1
2019,25,55745,17.38,1
2019,25,62535,15.19,1
2019,25,67000,22.57,1
2019,25,82000,19.01,1
2019,26,03000,18.57,1
2019,26,21000,25.88,1
2019,26,22000,21.97,1
2019,26,27440,25.08,1
2019,26,29000,27.41,1
2019,26,34000,24.76,1
2019,26,46000,23.98,1
2019,26,49000,28.57,1
2019,26,69035,28.52,1
2019,26,74900,23.51,1
2019,26,76460,27.43,1
2019,26,80700,28.22,1
2019,26,84000,26.86,1
2019,26,86000,25.58,1
2019,26,88940,26.97,1
2019,27,06616,20.16,1
2019,27,07966,21.14,1
2019,27,17000,24.86,1
2019,27,43000,15.65,1
2019,27,51730,21.22,1
2019,27,54880,22.56,1
2019,27,58000,17.48,1
2019,27,71428,22.25,1
2019,28,36000,28.26,1
2019,29,15670,26.29,1
2019,29,35000,24.84,1
2019,29,38000,23.44,1
2019,29,41348,26.85,1
2019,29,54074,28.45,1
2019,29,65000,20.44,1
2019,29,70000,27.42,1
2019,30,06550,25.79,1
2019,31,28000,25.67,1
2019,31,37000,22.9,1
2019,32,31900,29.37,1
2019,32,40000,27.62,1
2019,32,51800,30.53,1
2019,32,60600,24.92,1
2019,32,68400,26.99,1
2019,33,45140,18.18,1
2019,33,50260,19.47,1
2019,34,13690,20.61,1
2019,34,21000,17.79,1
2019,34,36000,14.88,1
2019,34,51000,17.07,1
2019,34,57000,18.16,1
2019,34,74000,17.75,1
2019,35,02000,26.33,1
2019,35,39380,34.08,1
2019,35,63460,31.03,1
2019,35,70500,25.23,1
2019,36,01000,17.5,1
2019,36,11000,20.35,1
2019,36,50617,18.62,1
2019,36,51000,11.06,1
2019,36,63000,21.68,1
2019,36,73000,21.75,1
2019,36,84000,17.82,1
2019,37,02140,26.44,1
2019,37,10740,23.01,1
2019,37,12000,24.86,1
2019,37,14100,28.99,1
2019,37,19000,24.53,1
2019,37,22920,29.78,1
2019,37,25580,26.3,1
2019,37,28000,28.34,1
2019,37,28080,29.05,1
2019,37,31400,30.03,1
2019,37,55000,21.03,1
2019,37,74440,24.42,1
2019,37,75000,28.87,1
2019,38,25700,22.23,1
2019,39,01000,24.45,1
2019,39,15000,21.04,1
2019,39,16000,22.18,1
2019,39,18000,22.61,1
2019,39,21000,23.87,1
2019,39,61000,27.31,1
2019,39,77000,26.41,1
2019,40,09050,31.58,1
2019,40,23200,29.37,1
2019,40,41850,29.18,1
2019,40,52500,28.18,1
2019,40,55000,28.43,1
2019,40,75000,26.4,1
2019,41,05350,21.26,1
2019,41,05800,25.76,1
2019,41,23850,26.59,1
2019,41,31250,21.82,1
2019,41,34100,23.01,1
2019,41,47000,27.02,1
2019,41,59000,19.69,1
2019,41,64900,26.3,1
2019,42,02000,19.46,1
2019,42,06088,21.74,1
2019,42,24000,25.41,1
2019,42,60000,17.21,1
2019,42,61000,20.02,1
2019,42,63624,19.51,1
2019,42,69000,24.85,1
2019,44,19180,23.21,1
2019,44,54640,20.65,1
2019,44,59000,18.62,1
2019,44,74300,24.05,1
2019,45,13330,24.96,1
2019,45,16000,24.77,1
2019,45,48535,26.76,1
2019,45,50875,24.94,1
2019,46,59020,23.94,1
2019,47,14000,27.12,1
2019,47,15160,31.78,1
2019,47,27740,25.82,1
2019,47,40000,26.15,1
2019,47,48000,27.52,1
2019,47,51560,25.59,1
2019,47,52006,23.92,1
2019,48,01000,29.02,1
2019,48,01924,25.82,1
2019,48,03000,28.16,1
2019,48,04000,23.79,1
2019,48,05000,19.4,1
2019,48,06128,24.78,1
2019,48,07000,27.59,1
2019,48,10768,40.35,1
2019,48,10912,29.79,1
2019,48,13024,24.02,1
2019,48,13552,22.95,1
2019,48,15976,28.3,1
2019,48,16432,25.6,2
2019,48,17000,27.48,1
2019,48,19000,20.77,1
2019,48,19972,23.94,1
2019,48,22660,39.83,1
2019,48,24000,32.45,1
2019,48,26232,27.28,1
2019,48,27000,24.18,1
2019,48,27684,25.05,1
2019,48,29000,24.6,1
2019,48,30464,25.15,1
2019,48,35000,22.42,1
2019,48,37000,22.11,1
2019,48,39148,27.04,1
2019,48,41464,35.2,1
2019,48,41980,27.12,1
2019,48,42508,22.8,1
2019,48,43888,30.04,1
2019,48,45000,28.59,1
2019,48,45384,38.71,1
2019,48,45744,24.66,1
2019,48,47892,24.61,1
2019,48,48072,22.93,1
2019,48,48768,40.22,1
2019,48,50820,29.14,1
2019,48,53388,27.27,1
2019,48,56000,24.58,1
2019,48,56348,27.56,1
2019,48,57200,38.79,1
