year,state,county,lbw,lbw_lb,lbw_ub,lbw_quality,subgroup_type,subgroup
2018,01,059,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,059,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,059,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,059,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,061,.10073359,.09678819,.10467898,3,all,All
2018,01,061,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,061,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,061,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,061,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,063,.10073359,.09678819,.10467898,3,all,All
2018,01,063,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,063,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,063,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,063,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,065,.10073359,.09678819,.10467898,3,all,All
2018,01,065,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,065,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,065,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,065,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,067,.10073359,.09678819,.10467898,3,all,All
2018,01,067,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,067,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,067,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,067,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,069,.10672515,.090363055,.12308724,1,all,All
2018,01,069,.16049382,.12785916,.19312848,1,race-ethnicity,"Black, non-Hispanic"
2018,01,069,,,,3,race-ethnicity,Hispanic
2018,01,069,,,,3,race-ethnicity,Other Races and Ethnicities
2018,01,069,.073697589,.055443015,.091952167,1,race-ethnicity,"White, Non-Hispanic"
2018,01,071,.10073359,.09678819,.10467898,3,all,All
2018,01,071,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,071,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,071,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,071,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,073,.11694936,.11008961,.12380911,1,all,All
2018,01,073,.16461127,.15271048,.17651205,1,race-ethnicity,"Black, non-Hispanic"
2018,01,073,.089939028,.068045616,.11183244,1,race-ethnicity,Hispanic
2018,01,073,.077669904,.047826633,.10751317,2,race-ethnicity,Other Races and Ethnicities
2018,01,073,.077129081,.068571553,.085686609,1,race-ethnicity,"White, Non-Hispanic"
2018,01,075,.10073359,.09678819,.10467898,3,all,All
2018,01,075,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,075,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,075,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,075,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,077,.10073359,.09678819,.10467898,3,all,All
2018,01,077,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,077,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,077,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,077,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,079,.10073359,.09678819,.10467898,3,all,All
2018,01,079,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,079,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,079,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,079,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,081,.098342538,.084623985,.11206109,1,all,All
2018,01,081,.14056225,.11003533,.17108917,1,race-ethnicity,"Black, non-Hispanic"
2018,01,081,.11206897,.05466269,.16947524,2,race-ethnicity,Hispanic
2018,01,081,.10752688,.044566017,.17048775,2,race-ethnicity,Other Races and Ethnicities
2018,01,081,.077202544,.061436184,.092968903,1,race-ethnicity,"White, Non-Hispanic"
2018,01,083,.10073359,.09678819,.10467898,3,all,All
2018,01,083,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,083,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,083,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,083,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,085,.10073359,.09678819,.10467898,3,all,All
2018,01,085,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,085,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,085,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,085,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,087,.10073359,.09678819,.10467898,3,all,All
2018,01,087,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,087,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
2018,01,087,.10458715,.078894518,.13027979,3,race-ethnicity,Other Races and Ethnicities
2018,01,087,.086104907,.081647351,.090562463,3,race-ethnicity,"White, Non-Hispanic"
2018,01,089,.10607839,.096832179,.11532459,1,all,All
2018,01,089,.17698413,.15591037,.19805789,1,race-ethnicity,"Black, non-Hispanic"
2018,01,089,.097058825,.065591209,.12852645,1,race-ethnicity,Hispanic
2018,01,089,.083333336,.046474271,.1201924,2,race-ethnicity,Other Races and Ethnicities
2018,01,089,.072831422,.062528886,.083133958,1,race-ethnicity,"White, Non-Hispanic"
2018,01,091,.10073359,.09678819,.10467898,3,all,All
2018,01,091,.15997504,.14961191,.17033817,3,race-ethnicity,"Black, non-Hispanic"
2018,01,091,.064606741,.05318632,.076027162,3,race-ethnicity,Hispanic
