year,state,county,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality
2018,12,023,0.5122549,0.5465725,0.4779373,1
2018,12,027,0.4334863,0.480056,0.3869165,1
2018,12,029,0.4725738,0.5362704,0.4088773,1
2018,12,031,0.4484536,0.4561357,0.4407715,1
2018,12,033,0.3936273,0.4069759,0.3802788,1
2018,12,035,0.2869198,0.3072856,0.2665541,1
2018,12,037,0.4293785,0.5025083,0.3562488,1
2018,12,039,0.5482014,0.5852284,0.5111744,1
2018,12,041,0.3875433,0.4438108,0.3312758,1
2018,12,043,0.5612245,0.6599796,0.4624693,1
2018,12,045,0.387931,0.4507698,0.3250923,1
2018,12,047,0.4885845,0.5549412,0.4222278,1
2018,12,049,0.3881402,0.4377966,0.3384838,1
2018,12,051,0.5079086,0.5490233,0.4667938,1
2018,12,053,0.3289516,0.3454431,0.3124601,1
2018,12,055,0.3198001,0.3426537,0.2969466,1
2018,12,057,0.3653235,0.3715095,0.3591375,1
2018,12,059,0.3474903,0.405595,0.2893857,1
2018,12,061,0.2874728,0.3043548,0.2705909,1
2018,12,063,0.439726,0.4757576,0.4036944,1
2018,12,065,0.3687943,0.4252075,0.3123811,1
2018,12,067,0.4805195,0.5928478,0.3681911,1
2018,12,069,0.3224685,0.3342538,0.3106833,1
2018,12,071,0.326024,0.3343819,0.3176661,1
2018,12,073,0.3650866,0.3793337,0.3508395,1
2018,12,075,0.4113475,0.4476975,0.3749976,1
2018,12,077,0.4671533,0.5510061,0.3833005,1
2018,12,079,0.4849785,0.5492896,0.4206674,1
2018,12,081,0.3014683,0.3127103,0.2902262,1
2018,12,083,0.3765582,0.3886424,0.3644741,1
2018,12,085,0.2606132,0.2776747,0.2435517,1
2018,12,086,0.3184577,0.3225307,0.3143846,1
2018,12,087,0.3110486,0.3351265,0.2869706,1
2018,12,089,0.3333333,0.3576901,0.3089766,1
2018,12,091,0.3246163,0.3400912,0.3091413,1
2018,12,093,0.4190938,0.4580272,0.3801605,1
2018,12,095,0.3807432,0.387051,0.3744355,1
2018,12,097,0.4108046,0.4231248,0.3984845,1
2018,12,099,0.3177503,0.3235263,0.3119742,1
2018,12,101,0.3456216,0.3556741,0.3355691,1
2018,12,103,0.3200186,0.3269854,0.3130517,1
2018,12,105,0.3986196,0.4077056,0.3895335,1
2018,12,107,0.5126866,0.5394595,0.4859136,1
2018,12,109,0.2333418,0.2465893,0.2200944,1
2018,12,111,0.3759428,0.3891461,0.3627394,1
2018,12,113,0.2950877,0.3118353,0.2783401,1
2018,12,115,0.2439223,0.2537323,0.2341124,1
2018,12,117,0.3099774,0.3204402,0.2995145,1
2018,12,119,0.1698027,0.1855711,0.1540342,1
2018,12,121,0.4497717,0.4827341,0.4168093,1
2018,12,123,0.5538462,0.607974,0.4997184,1
2018,12,125,0.4723926,0.5492713,0.395514,1
2018,12,127,0.3707472,0.380494,0.3610004,1
2018,12,129,0.3871635,0.4306498,0.3436773,1
2018,12,131,0.3242259,0.3519257,0.296526,1
2018,12,133,0.4147059,0.467152,0.3622597,1
2018,13,001,0.4236111,0.4807796,0.3664426,1
2018,13,003,0.4636364,0.5572548,0.370018,1
2018,13,005,0.3459119,0.420082,0.2717419,1
2018,13,007,NA,NA,NA,NA
2018,13,009,0.4689781,0.5107992,0.4271571,1
