year,state,county,subgroup_type,subgroup,share_debt_coll,share_debt_coll_quality
2022,02,122,race-ethnicity,Majority Non-White,NA,NA
2022,02,122,race-ethnicity,Majority White,0.1499704,1
2022,02,130,race-ethnicity,All,0.1724138,1
2022,02,130,race-ethnicity,Majority Non-White,NA,NA
2022,02,130,race-ethnicity,Majority White,0.1779449,1
2022,02,150,race-ethnicity,All,0.1220238,1
2022,02,150,race-ethnicity,Majority Non-White,NA,NA
2022,02,150,race-ethnicity,Majority White,NA,NA
2022,02,158,race-ethnicity,All,0.2295082,1
2022,02,158,race-ethnicity,Majority Non-White,0.2295082,1
2022,02,158,race-ethnicity,Majority White,NA,NA
2022,02,164,race-ethnicity,All,NA,NA
2022,02,164,race-ethnicity,Majority Non-White,NA,NA
2022,02,164,race-ethnicity,Majority White,NA,NA
2022,02,170,race-ethnicity,All,0.1599453,1
2022,02,170,race-ethnicity,Majority Non-White,NA,NA
2022,02,170,race-ethnicity,Majority White,0.1512077,1
2022,02,180,race-ethnicity,All,0.1551724,1
2022,02,180,race-ethnicity,Majority Non-White,0.1551724,1
2022,02,180,race-ethnicity,Majority White,NA,NA
2022,02,185,race-ethnicity,All,0.1858974,1
2022,02,185,race-ethnicity,Majority Non-White,0.1870968,1
2022,02,185,race-ethnicity,Majority White,NA,NA
2022,02,188,race-ethnicity,All,0.1968504,1
2022,02,188,race-ethnicity,Majority Non-White,0.1968504,1
2022,02,188,race-ethnicity,Majority White,NA,NA
2022,02,195,race-ethnicity,All,NA,NA
2022,02,195,race-ethnicity,Majority Non-White,NA,NA
2022,02,195,race-ethnicity,Majority White,NA,NA
2022,02,198,race-ethnicity,All,0.1851852,1
2022,02,198,race-ethnicity,Majority Non-White,NA,NA
2022,02,198,race-ethnicity,Majority White,0.245283,1
2022,02,220,race-ethnicity,All,0.1744681,1
2022,02,220,race-ethnicity,Majority Non-White,NA,NA
2022,02,220,race-ethnicity,Majority White,0.1744681,1
2022,02,240,race-ethnicity,All,0.1222707,1
2022,02,240,race-ethnicity,Majority Non-White,NA,NA
2022,02,240,race-ethnicity,Majority White,0.0860927,1
2022,02,261,race-ethnicity,All,0.1312741,1
2022,02,261,race-ethnicity,Majority Non-White,NA,NA
2022,02,261,race-ethnicity,Majority White,0.125523,1
2022,02,282,race-ethnicity,All,NA,NA
2022,02,282,race-ethnicity,Majority Non-White,NA,NA
2022,02,282,race-ethnicity,Majority White,NA,NA
2022,02,290,race-ethnicity,All,0.1818182,1
2022,02,290,race-ethnicity,Majority Non-White,0.1891892,1
2022,02,290,race-ethnicity,Majority White,NA,NA
2022,04,001,race-ethnicity,All,0.4554566,1
2022,04,001,race-ethnicity,Majority Non-White,0.5210406,1
2022,04,001,race-ethnicity,Majority White,0.2773973,1
2022,04,003,race-ethnicity,All,0.2394846,1
2022,04,003,race-ethnicity,Majority Non-White,0.3127889,1
2022,04,003,race-ethnicity,Majority White,0.2099792,1
2022,04,005,race-ethnicity,All,0.279448,1
2022,04,005,race-ethnicity,Majority Non-White,0.4602649,1
2022,04,005,race-ethnicity,Majority White,0.2208613,1
2022,04,007,race-ethnicity,All,0.298005,1
2022,04,007,race-ethnicity,Majority Non-White,0.5540541,1
2022,04,007,race-ethnicity,Majority White,0.231365,1
2022,04,009,race-ethnicity,All,0.3545082,1
2022,04,009,race-ethnicity,Majority Non-White,0.5986394,1
2022,04,009,race-ethnicity,Majority White,0.2898089,1
2022,04,011,race-ethnicity,All,0.3957447,1
2022,04,011,race-ethnicity,Majority Non-White,0.4857143,1
2022,04,011,race-ethnicity,Majority White,0.3552631,1
2022,04,012,race-ethnicity,All,0.3032929,1
2022,04,012,race-ethnicity,Majority Non-White,0.3113773,1
2022,04,012,race-ethnicity,Majority White,0.2842105,1
2022,04,013,race-ethnicity,All,0.264425,1
2022,04,013,race-ethnicity,Majority Non-White,0.403574,1
2022,04,013,race-ethnicity,Majority White,0.190064,1
2022,04,015,race-ethnicity,All,0.2922608,1
2022,04,015,race-ethnicity,Majority Non-White,NA,NA
2022,04,015,race-ethnicity,Majority White,0.2913927,1
2022,04,017,race-ethnicity,All,0.38125,1
2022,04,017,race-ethnicity,Majority Non-White,0.5302013,1
2022,04,017,race-ethnicity,Majority White,0.2658853,1
2022,04,019,race-ethnicity,All,0.2507988,1
2022,04,019,race-ethnicity,Majority Non-White,0.3530987,1
2022,04,019,race-ethnicity,Majority White,0.1796429,1
2022,04,021,race-ethnicity,All,0.2788344,1
2022,04,021,race-ethnicity,Majority Non-White,0.3837934,1
2022,04,021,race-ethnicity,Majority White,0.2312859,1
2022,04,023,race-ethnicity,All,0.271028,1
2022,04,023,race-ethnicity,Majority Non-White,0.2955975,1
2022,04,023,race-ethnicity,Majority White,0.1442786,1
2022,04,025,race-ethnicity,All,0.2209972,1
2022,04,025,race-ethnicity,Majority Non-White,NA,NA
2022,04,025,race-ethnicity,Majority White,0.2195366,1
2022,04,027,race-ethnicity,All,0.2665177,1
2022,04,027,race-ethnicity,Majority Non-White,0.2982697,1
2022,04,027,race-ethnicity,Majority White,0.156658,1
2022,05,001,race-ethnicity,All,0.3670669,1
2022,05,001,race-ethnicity,Majority Non-White,NA,NA
2022,05,001,race-ethnicity,Majority White,0.3708839,1
2022,05,003,race-ethnicity,All,0.4324735,1
2022,05,003,race-ethnicity,Majority Non-White,NA,NA
2022,05,003,race-ethnicity,Majority White,0.4299674,1
2022,05,005,race-ethnicity,All,0.2743823,1
2022,05,005,race-ethnicity,Majority Non-White,NA,NA
2022,05,005,race-ethnicity,Majority White,0.2756325,1
2022,05,007,race-ethnicity,All,0.2541836,1
2022,05,007,race-ethnicity,Majority Non-White,NA,NA
2022,05,007,race-ethnicity,Majority White,0.2575949,1
2022,05,009,race-ethnicity,All,0.3077532,1
2022,05,009,race-ethnicity,Majority Non-White,NA,NA
2022,05,009,race-ethnicity,Majority White,0.3075658,1
2022,05,011,race-ethnicity,All,0.4197531,1
2022,05,011,race-ethnicity,Majority Non-White,NA,NA
2022,05,011,race-ethnicity,Majority White,NA,NA
2022,05,013,race-ethnicity,All,0.359375,1
2022,05,013,race-ethnicity,Majority Non-White,NA,NA
2022,05,013,race-ethnicity,Majority White,0.3516484,1
2022,05,015,race-ethnicity,All,0.3248053,1
2022,05,015,race-ethnicity,Majority Non-White,NA,NA
2022,05,015,race-ethnicity,Majority White,0.3248053,1
2022,05,017,race-ethnicity,All,0.5460123,1
2022,05,017,race-ethnicity,Majority Non-White,0.6097561,1
2022,05,017,race-ethnicity,Majority White,NA,NA
2022,05,019,race-ethnicity,All,0.3539683,1
2022,05,019,race-ethnicity,Majority Non-White,NA,NA
2022,05,019,race-ethnicity,Majority White,0.3415638,1
2022,05,021,race-ethnicity,All,0.4080338,1
2022,05,021,race-ethnicity,Majority Non-White,NA,NA
2022,05,021,race-ethnicity,Majority White,0.4080338,1
2022,05,023,race-ethnicity,All,0.2793959,1
2022,05,023,race-ethnicity,Majority Non-White,NA,NA
2022,05,023,race-ethnicity,Majority White,0.2793959,1
2022,05,025,race-ethnicity,All,0.2876712,1
2022,05,025,race-ethnicity,Majority Non-White,NA,NA
2022,05,025,race-ethnicity,Majority White,0.2903226,1
2022,05,027,race-ethnicity,All,0.4324324,1
2022,05,027,race-ethnicity,Majority Non-White,NA,NA
2022,05,027,race-ethnicity,Majority White,0.4368932,1
2022,05,029,race-ethnicity,All,0.3435115,1
2022,05,029,race-ethnicity,Majority Non-White,NA,NA
2022,05,029,race-ethnicity,Majority White,0.3451464,1
2022,05,031,race-ethnicity,All,0.4088714,1
2022,05,031,race-ethnicity,Majority Non-White,NA,NA
2022,05,031,race-ethnicity,Majority White,0.4232169,1
2022,05,033,race-ethnicity,All,0.3395736,1
2022,05,033,race-ethnicity,Majority Non-White,NA,NA
2022,05,033,race-ethnicity,Majority White,0.339267,1
2022,05,035,race-ethnicity,All,0.4937376,1
2022,05,035,race-ethnicity,Majority Non-White,0.5879575,1
2022,05,035,race-ethnicity,Majority White,NA,NA
2022,05,037,race-ethnicity,All,0.4233577,1
2022,05,037,race-ethnicity,Majority Non-White,NA,NA
2022,05,037,race-ethnicity,Majority White,0.4097087,1
2022,05,039,race-ethnicity,All,0.48,1
2022,05,039,race-ethnicity,Majority Non-White,NA,NA
2022,05,039,race-ethnicity,Majority White,NA,NA
2022,05,041,race-ethnicity,All,0.4985337,1
2022,05,041,race-ethnicity,Majority Non-White,0.5168539,1
2022,05,041,race-ethnicity,Majority White,NA,NA
2022,05,043,race-ethnicity,All,0.4080561,1
2022,05,043,race-ethnicity,Majority Non-White,NA,NA
2022,05,043,race-ethnicity,Majority White,0.4221219,1
2022,05,045,race-ethnicity,All,0.2866018,1
2022,05,045,race-ethnicity,Majority Non-White,NA,NA
2022,05,045,race-ethnicity,Majority White,0.2860262,1
2022,05,047,race-ethnicity,All,0.3223819,1
2022,05,047,race-ethnicity,Majority Non-White,NA,NA
2022,05,047,race-ethnicity,Majority White,0.3229814,1
2022,05,049,race-ethnicity,All,0.3030303,1
2022,05,049,race-ethnicity,Majority Non-White,NA,NA
2022,05,049,race-ethnicity,Majority White,0.3027778,1
2022,05,051,race-ethnicity,All,0.3323272,1
2022,05,051,race-ethnicity,Majority Non-White,NA,NA
2022,05,051,race-ethnicity,Majority White,0.3330224,1
2022,05,053,race-ethnicity,All,0.3016158,1
2022,05,053,race-ethnicity,Majority Non-White,NA,NA
2022,05,053,race-ethnicity,Majority White,0.2987249,1
2022,05,055,race-ethnicity,All,0.4024478,1
2022,05,055,race-ethnicity,Majority Non-White,NA,NA
2022,05,055,race-ethnicity,Majority White,0.4040996,1
2022,05,057,race-ethnicity,All,0.4375,1
2022,05,057,race-ethnicity,Majority Non-White,NA,NA
2022,05,057,race-ethnicity,Majority White,0.3513514,1
2022,05,059,race-ethnicity,All,0.3589462,1
2022,05,059,race-ethnicity,Majority Non-White,NA,NA
2022,05,059,race-ethnicity,Majority White,0.3593407,1
2022,05,061,race-ethnicity,All,0.3418014,1
2022,05,061,race-ethnicity,Majority Non-White,NA,NA
2022,05,061,race-ethnicity,Majority White,0.3092783,1
2022,05,063,race-ethnicity,All,0.3962873,1
2022,05,063,race-ethnicity,Majority Non-White,NA,NA
2022,05,063,race-ethnicity,Majority White,0.3944125,1
2022,05,065,race-ethnicity,All,0.3381924,1
2022,05,065,race-ethnicity,Majority Non-White,NA,NA
2022,05,065,race-ethnicity,Majority White,0.3343284,1
2022,05,067,race-ethnicity,All,0.4596273,1
2022,05,067,race-ethnicity,Majority Non-White,NA,NA
2022,05,067,race-ethnicity,Majority White,0.46202530000000003,1
2022,05,069,race-ethnicity,All,0.4757136,1
2022,05,069,race-ethnicity,Majority Non-White,0.5301961,1
2022,05,069,race-ethnicity,Majority White,0.2916667,1
2022,05,071,race-ethnicity,All,0.3906706,1
2022,05,071,race-ethnicity,Majority Non-White,NA,NA
2022,05,071,race-ethnicity,Majority White,0.3906706,1
2022,05,073,race-ethnicity,All,0.4252336,1
2022,05,073,race-ethnicity,Majority Non-White,NA,NA
2022,05,073,race-ethnicity,Majority White,NA,NA
2022,05,075,race-ethnicity,All,0.40681,1
2022,05,075,race-ethnicity,Majority Non-White,NA,NA
2022,05,075,race-ethnicity,Majority White,0.4082734,1
2022,05,077,race-ethnicity,All,0.5258216,1
2022,05,077,race-ethnicity,Majority Non-White,0.5574713,1
2022,05,077,race-ethnicity,Majority White,NA,NA
2022,05,079,race-ethnicity,All,0.375,1
2022,05,079,race-ethnicity,Majority Non-White,NA,NA
2022,05,079,race-ethnicity,Majority White,0.3623188,1
2022,05,081,race-ethnicity,All,0.4530831,1
