year,state,place,share_debt_coll,share_debt_coll_quality
2021,08,27425,NA,3
2021,08,62000,NA,3
2021,09,08000,NA,3
2021,09,37000,NA,3
2021,09,52000,NA,3
2021,09,80000,NA,3
2021,11,50000,0.25726989,1
2021,12,10275,NA,3
2021,12,24000,NA,3
2021,12,25175,NA,3
2021,12,30000,0.40012759,1
2021,12,35000,0.40162221,1
2021,12,45000,0.25302371,1
2021,12,58715,NA,3
2021,12,63000,0.38179451,1
2021,12,71000,0.41205999,1
2021,13,03440,NA,3
2021,13,04000,0.35684371,1
2021,13,04204,NA,3
2021,17,14000,0.33989641,1
2021,17,65000,NA,3
2021,18,25000,0.30224621,1
2021,18,36003,0.41409549,1
2021,18,71000,NA,3
2021,19,21000,NA,3
2021,20,36000,NA,3
2021,20,38900,NA,3
2021,20,71000,NA,3
2021,21,46027,0.31876609,1
2021,22,50115,NA,3
2021,22,55000,0.4204137,1
2021,22,70000,0.47972891,1
2021,24,04000,0.45181021,1
2021,25,07000,0.21120331,1
2021,25,09000,NA,3
2021,25,11000,NA,3
2021,25,23000,NA,3
2021,25,37000,NA,3
2021,25,37490,NA,3
2021,25,45000,NA,3
2021,25,55745,NA,3
2021,25,67000,NA,3
2021,25,82000,NA,3
2021,26,03000,NA,3
2021,26,22000,0.59189439,1
2021,26,29000,NA,3
2021,26,34000,NA,3
2021,26,46000,NA,3
2021,26,76460,NA,3
2021,26,84000,NA,3
2021,27,17000,NA,3
2021,27,43000,0.17025089,1
2021,27,54880,NA,3
2021,27,58000,0.19109461,1
2021,28,36000,NA,3
2021,29,38000,0.39984971,1
2021,29,65000,0.4473536,1
2021,30,06550,NA,3
2021,31,28000,0.1876063,1
2021,31,37000,0.2179805,1
2021,32,31900,NA,3
2021,32,40000,0.3564533,1
2021,32,51800,NA,3
2021,32,60600,NA,3
2021,33,45140,NA,3
2021,34,21000,NA,3
2021,34,36000,0.26744431,1
2021,34,51000,0.49631321,1
2021,34,57000,NA,3
2021,34,74000,NA,3
2021,35,02000,0.3288492,1
2021,36,01000,NA,3
2021,36,11000,0.39016849,1
2021,36,51000,0.220489,1
2021,36,63000,0.29795381,1
2021,36,73000,NA,3
2021,36,84000,NA,3
2021,37,12000,0.3408224,1
2021,37,19000,0.26555881,1
2021,37,22920,0.42408651,1
2021,37,28000,0.3854636,1
2021,37,74440,NA,3
2021,37,75000,0.39150259,1
2021,38,25700,NA,3
2021,39,01000,0.46853659,1
2021,39,15000,0.37610981,1
2021,39,16000,0.54826719,1
2021,39,18000,0.38045719,1
2021,39,21000,NA,3
2021,39,77000,0.4860388,1
2021,40,41850,NA,3
2021,41,59000,0.16410179,1
2021,42,02000,NA,3
2021,42,24000,NA,3
2021,42,60000,0.37874249,1
2021,42,61000,0.25711831,1
2021,44,59000,NA,3
2021,46,59020,NA,3
2021,47,14000,0.33079931,1
2021,47,40000,NA,3
2021,47,48000,0.4701741,1
2021,47,52006,0.27905369,1
2021,48,01000,NA,3
2021,48,03000,0.41725779,1
2021,48,05000,0.30488729,1
2021,48,07000,NA,3
2021,48,10768,NA,3
2021,48,17000,0.50704968,1
2021,48,19000,0.48766711,1
2021,48,24000,0.38645101,1
2021,48,35000,0.40627971,1
2021,48,41464,0.54344469,1
2021,48,42508,NA,3
2021,48,45000,0.43752709,1
2021,48,45384,NA,3
2021,48,58016,0.210813,1
2021,48,64472,NA,3
2021,48,65000,0.43277591,1
2021,48,74144,NA,3
2021,48,76000,NA,3
2021,48,79000,NA,3
2021,49,62470,NA,3
2021,51,01000,NA,3
2021,51,03000,0.1128356,1
2021,51,16000,0.30819169,1
2021,51,35000,NA,3
2021,51,56000,NA,3
2021,51,57000,NA,3
2021,51,64000,NA,3
2021,51,67000,NA,3
2021,51,68000,NA,3
2021,51,82000,0.30013061,1
2021,53,05210,NA,3
2021,53,63000,0.129003,1
2021,53,67000,0.20478129,1
2021,53,80010,NA,3
2021,55,31000,NA,3
2021,55,53000,0.59022927,1
2023,01,51000,0.36286482,1
2023,01,77256,0.31480262,1
2023,02,03000,0.2133922,1
2023,04,12000,0.17067675,1
2023,04,27400,0.16851228,1
2023,04,27820,0.2210926,1
2023,04,46000,0.21166307,1
2023,04,55000,0.25561467,1
2023,04,73000,0.24788414,1
2023,04,77000,0.24805145,1
2023,05,41000,0.33327848,1
2023,06,00884,0.13216025,1
2023,06,02000,0.1556944,1
2023,06,02252,0.2677626,1
2023,06,03526,0.28527454,1
2023,06,06000,0.077708185,1
2023,06,08954,0.11080711,1
2023,06,13392,0.18980169,1
2023,06,19766,0.22508824,1
2023,06,20802,0.22545317,1
2023,06,22020,0.13172042,1
2023,06,22230,0.18008123,1
2023,06,22804,0.16804309,1
2023,06,24680,0.27670801,1
2023,06,27000,0.25257686,1
2023,06,28000,0.17767265,1
2023,06,29000,0.19211769,1
2023,06,30000,NA,3
2023,06,33000,0.13301887,1
2023,06,36000,0.15101744,1
2023,06,36546,0.2739726,1
2023,06,36770,0.10525447,1
2023,06,40130,0.32081878,1
2023,06,43000,0.23801157,1
2023,06,44000,0.20924971,1
2023,06,48354,0.24173361,1
2023,06,49270,0.26869521,1
2023,06,52526,0.20433605,1
2023,06,53000,0.18005054,1
2023,06,53896,0.2583853,1
2023,06,53980,0.20243444,1
2023,06,54652,0.18993175,1
2023,06,55156,0.21880154,1
2023,06,56000,0.22612821,1
2023,06,58072,0.21365908,1
2023,06,59451,0.19634297,1
2023,06,62000,0.25839865,1
2023,06,62938,0.11550786,1
2023,06,64000,0.22057296,1
2023,06,64224,0.2345351,1
2023,06,66000,0.17167035,1
2023,06,67000,0.097973697,1
2023,06,68000,0.11987861,1
2023,06,69000,0.21509643,1
2023,06,69084,0.0768262,1
2023,06,70000,0.087543555,1
2023,06,70098,0.15244582,1
2023,06,72016,0.13370354,1
2023,06,75000,0.25395569,1
2023,06,77000,0.095347844,1
2023,06,78582,0.1022878,1
2023,06,80000,0.10419517,1
2023,06,81666,0.22788727,1
2023,06,82954,0.24710175,1
2023,08,04000,0.1747738,1
2023,08,07850,0.071975067,1
2023,08,16000,0.18789513,1
2023,08,20000,0.18565284,1
2023,08,32155,0.19365944,1
2023,09,08000,0.36570662,1
2023,09,37000,0.45953158,1
2023,09,52000,0.32834646,1
2023,09,80000,0.39827484,1
2023,11,50000,0.2216409,1
2023,12,10275,0.2089088,1
2023,12,25175,0.24081038,1
2023,12,30000,0.31733999,1
2023,12,35000,0.33154291,1
2023,12,45000,0.21102025,1
2023,12,58715,0.27725059,1
2023,12,63000,0.2860319,1
2023,12,71000,0.29662466,1
2023,13,03440,0.28042924,1
2023,13,04000,0.32986918,1
2023,13,04204,0.45593807,1
2023,17,14000,0.25871101,1
2023,17,65000,0.24858229,1
2023,18,25000,0.22646694,1
2023,18,31000,0.37714663,1
2023,18,36003,0.32003519,1
2023,18,71000,0.24421562,1
2023,19,12000,0.2008922,1
2023,19,21000,0.19766223,1
2023,20,36000,0.28216031,1
2023,20,38900,0.21409406,1
2023,20,71000,0.22009748,1
2023,21,46027,0.25159302,1
2023,22,05000,0.36273447,1
2023,22,50115,0.23507555,1
2023,22,55000,0.37848932,1
2023,22,70000,0.38177299,1
2023,24,04000,0.36861938,1
2023,25,07000,0.19152306,1
2023,25,09000,0.30033222,1
2023,25,11000,0.080500893,1
2023,25,23000,0.24606442,1
2023,25,37000,0.26217678,1
2023,25,37490,0.26260984,1
2023,25,55745,0.11145016,1
2023,25,67000,0.25764319,1
2023,25,82000,0.24747026,1
2023,26,03000,0.15998468,1
2023,26,22000,0.50269783,1
2023,26,29000,0.36616614,1
2023,26,34000,0.19116217,1
2023,26,46000,0.20746659,1
2023,26,76460,0.15631743,1
2023,26,84000,0.29495269,1
2023,27,17000,0.13954228,1
2023,27,43000,0.17268515,1
2023,27,54880,0.2367475,1
2023,27,58000,0.18910675,1
2023,28,36000,0.32266727,1
2023,29,15670,0.29630867,1
2023,29,65000,0.39443743,1
2023,30,06550,0.21338965,1
2023,31,28000,0.16201118,1
2023,31,37000,0.19328921,1
2023,32,31900,0.27333641,1
2023,32,40000,0.30802,1
2023,32,51800,0.31407288,1
2023,32,60600,0.23521127,1
2023,33,45140,0.2454827,1
2023,33,50260,0.16736953,1
2023,34,21000,0.30737901,1
2023,34,36000,0.19388841,1
2023,34,51000,0.3792049,1
2023,34,57000,0.34129244,1
2023,34,74000,0.40383592,1
2023,35,02000,0.24591734,1
2023,36,01000,0.29789403,1
2023,36,11000,0.36454257,1
2023,36,51000,0.19550134,1
2023,36,63000,NA,3
2023,36,73000,0.24078543,1
2023,36,84000,0.22415884,1
2023,37,12000,0.28265187,1
2023,37,19000,0.19638154,1
2023,37,28000,0.30152434,1
2023,37,75000,0.29033539,1
2023,39,01000,0.2435115,1
2023,39,15000,0.27991056,1
2023,39,16000,0.45100343,1
2023,39,21000,0.37037334,1
2023,39,77000,0.32187599,1
2023,40,41850,0.37462151,1
2023,41,59000,0.14685774,1
2023,42,02000,0.32322654,1
2023,42,60000,0.33562723,1
2023,42,61000,0.23227659,1
2023,44,59000,0.27112886,1
2023,46,59020,0.14694954,1
2023,47,14000,0.2441439,1
2023,47,48000,0.37357944,1
2023,47,52006,0.26623321,1
2023,48,01000,0.36296082,1
2023,48,03000,0.341519,1
2023,48,05000,0.23259349000000001,1
2023,48,07000,0.41604453,1
2023,48,10768,0.40040523,1
2023,48,17000,0.43287316,1
2023,48,19000,0.35426015,1
2023,48,24000,0.34676975,1
2023,48,35000,0.3290801,1
2023,48,41464,0.46926758,1
2023,48,42508,0.36006263,1
2023,48,45000,0.34963921,1
2023,48,45384,0.45546898,1
2023,48,58016,0.17732424,1
2023,48,64472,0.34055066,1
2023,48,65000,0.36052439,1
2023,48,74144,0.31521598,1
2023,48,76000,0.36436996,1
2023,48,79000,0.38859013,1
2023,49,62470,0.12873726,1
2023,49,67000,0.17681551,1
2023,51,01000,0.17418472,1
2023,51,03000,0.10266498,1
2023,51,16000,0.29626167,1
2023,51,35000,0.3633202,1
2023,51,56000,0.37099344,1
2023,51,57000,0.37899074,1
2023,51,64000,0.5,1
2023,51,67000,0.23239283,1
2023,51,68000,0.26747721,1
2023,51,82000,0.23964985,1
2023,53,05210,0.057076938,1
2023,53,05280,0.12012814,1
2023,53,22640,0.15088859,1
2023,53,63000,0.11126065,1
2023,53,67000,0.164315,1
2023,53,70000,0.21771196,1
2023,53,80010,0.21112159,1
2023,55,31000,0.16989352,1
2023,55,53000,0.35398695,1
