year,state,place,subgroup_type,subgroup,share_debt_coll,share_debt_coll_quality
2019,06,56000,race-ethnicity,Neighborhoods of color,0.28436959,1
2019,06,56000,race-ethnicity,White neighborhoods,0.26107979,1
2019,06,58072,all,All,0.23603664,1
2019,06,58072,race-ethnicity,Neighborhoods of color,0.23603664,1
2019,06,58072,race-ethnicity,White neighborhoods,NA,3
2019,06,59451,all,All,0.27335906,1
2019,06,59451,race-ethnicity,Neighborhoods of color,0.25928572,1
2019,06,59451,race-ethnicity,White neighborhoods,0.30967742,1
2019,06,62000,all,All,0.31499311,1
2019,06,62000,race-ethnicity,Neighborhoods of color,0.31505504,1
2019,06,62000,race-ethnicity,White neighborhoods,NA,3
2019,06,62938,all,All,0.16737188,1
2019,06,62938,race-ethnicity,Neighborhoods of color,NA,3
2019,06,62938,race-ethnicity,White neighborhoods,0.16734822,1
2019,06,64000,all,All,0.2961379,1
2019,06,64000,race-ethnicity,Neighborhoods of color,0.32134584,1
2019,06,64000,race-ethnicity,White neighborhoods,0.24867223,1
2019,06,64224,all,All,0.34205744,1
2019,06,64224,race-ethnicity,Neighborhoods of color,0.34294054,1
2019,06,64224,race-ethnicity,White neighborhoods,NA,3
2019,06,66000,all,All,0.2275192,1
2019,06,66000,race-ethnicity,Neighborhoods of color,0.26880211,1
2019,06,66000,race-ethnicity,White neighborhoods,0.19289622,1
2019,06,67000,all,All,0.12633535,1
2019,06,67000,race-ethnicity,Neighborhoods of color,0.13433655,1
2019,06,67000,race-ethnicity,White neighborhoods,0.082179934,1
2019,06,68000,all,All,0.15652879,1
2019,06,68000,race-ethnicity,Neighborhoods of color,0.15771231,1
2019,06,68000,race-ethnicity,White neighborhoods,0.089201875,1
2019,06,69000,all,All,0.26405153,1
2019,06,69000,race-ethnicity,Neighborhoods of color,0.26405153,1
2019,06,69000,race-ethnicity,White neighborhoods,NA,3
2019,06,69084,all,All,0.069788799,1
2019,06,69084,race-ethnicity,Neighborhoods of color,0.069788799,1
2019,06,69084,race-ethnicity,White neighborhoods,NA,3
2019,06,70000,all,All,0.1515625,1
2019,06,70000,race-ethnicity,Neighborhoods of color,0.2,1
2019,06,70000,race-ethnicity,White neighborhoods,0.13033707,1
2019,06,70098,all,All,0.20101523,1
2019,06,70098,race-ethnicity,Neighborhoods of color,0.26199263,1
2019,06,70098,race-ethnicity,White neighborhoods,0.17219038,1
2019,06,72016,all,All,0.2086629,1
2019,06,72016,race-ethnicity,Neighborhoods of color,0.34177214,1
2019,06,72016,race-ethnicity,White neighborhoods,0.18539824,1
2019,06,75000,all,All,0.33111259,1
2019,06,75000,race-ethnicity,Neighborhoods of color,0.36050257,1
2019,06,75000,race-ethnicity,White neighborhoods,0.19043948,1
2019,06,77000,all,All,0.069074489,1
2019,06,77000,race-ethnicity,Neighborhoods of color,0.066901408,1
2019,06,77000,race-ethnicity,White neighborhoods,0.088105723,1
2019,06,78582,all,All,0.16791604,1
2019,06,78582,race-ethnicity,Neighborhoods of color,NA,3
2019,06,78582,race-ethnicity,White neighborhoods,0.16816817,1
2019,06,80000,all,All,0.14938956,1
2019,06,80000,race-ethnicity,Neighborhoods of color,0.15769805,1
2019,06,80000,race-ethnicity,White neighborhoods,0.081466392,1
2019,06,81666,all,All,0.33647376,1
2019,06,81666,race-ethnicity,Neighborhoods of color,0.3584328,1
2019,06,81666,race-ethnicity,White neighborhoods,0.17633928,1
2019,06,82954,all,All,0.36510578,1
2019,06,82954,race-ethnicity,Neighborhoods of color,0.37043393,1
2019,06,82954,race-ethnicity,White neighborhoods,0.1953125,1
2019,08,07850,all,All,0.14565217,1
2019,08,07850,race-ethnicity,Neighborhoods of color,NA,3
2019,08,07850,race-ethnicity,White neighborhoods,0.14565217,1
2019,08,16000,all,All,0.28528801,1
2019,08,16000,race-ethnicity,Neighborhoods of color,0.44582042,1
2019,08,16000,race-ethnicity,White neighborhoods,0.26405242,1
2019,08,20000,all,All,0.29301736,1
2019,08,20000,race-ethnicity,Neighborhoods of color,0.39064384,1
2019,08,20000,race-ethnicity,White neighborhoods,0.23405185,1
2019,08,27425,all,All,0.21550876,1
2019,08,27425,race-ethnicity,Neighborhoods of color,NA,3
2019,08,27425,race-ethnicity,White neighborhoods,0.21550876,1
2019,08,62000,all,All,0.3919414,1
2019,08,62000,race-ethnicity,Neighborhoods of color,0.51203704,1
2019,08,62000,race-ethnicity,White neighborhoods,0.29774871,1
2019,09,08000,all,All,0.44746378,1
2019,09,08000,race-ethnicity,Neighborhoods of color,0.44746378,1
2019,09,08000,race-ethnicity,White neighborhoods,NA,3
2019,09,37000,all,All,0.57724023,1
2019,09,37000,race-ethnicity,Neighborhoods of color,0.57724023,1
2019,09,37000,race-ethnicity,White neighborhoods,NA,3
2019,09,52000,all,All,0.40825927,1
2019,09,52000,race-ethnicity,Neighborhoods of color,0.40825927,1
2019,09,52000,race-ethnicity,White neighborhoods,NA,3
2019,09,80000,all,All,0.51189131,1
2019,09,80000,race-ethnicity,Neighborhoods of color,0.51189131,1
2019,09,80000,race-ethnicity,White neighborhoods,NA,3
2019,11,50000,all,All,0.3018522,1
2019,11,50000,race-ethnicity,Neighborhoods of color,0.40886131,1
2019,11,50000,race-ethnicity,White neighborhoods,0.11541363,1
2019,12,10275,all,All,0.33048731,1
2019,12,10275,race-ethnicity,Neighborhoods of color,0.6102941,1
2019,12,10275,race-ethnicity,White neighborhoods,0.31464261,1
2019,12,24000,all,All,0.4157097,1
2019,12,24000,race-ethnicity,Neighborhoods of color,0.47368422,1
2019,12,24000,race-ethnicity,White neighborhoods,0.23626786,1
2019,12,25175,all,All,0.32115483,1
2019,12,25175,race-ethnicity,Neighborhoods of color,0.60085839,1
2019,12,25175,race-ethnicity,White neighborhoods,0.30345014,1
2019,12,30000,all,All,0.40357095,1
2019,12,30000,race-ethnicity,Neighborhoods of color,0.40357095,1
2019,12,30000,race-ethnicity,White neighborhoods,NA,3
2019,12,35000,all,All,0.44314519,1
2019,12,35000,race-ethnicity,Neighborhoods of color,0.56573051,1
2019,12,35000,race-ethnicity,White neighborhoods,0.35323766,1
2019,12,45000,all,All,0.28606817,1
2019,12,45000,race-ethnicity,Neighborhoods of color,0.28614458,1
2019,12,45000,race-ethnicity,White neighborhoods,NA,3
2019,12,58715,all,All,0.38728324,1
2019,12,58715,race-ethnicity,Neighborhoods of color,0.48119402,1
2019,12,58715,race-ethnicity,White neighborhoods,0.34021544,1
2019,12,63000,all,All,0.37904763,1
2019,12,63000,race-ethnicity,Neighborhoods of color,0.55159038,1
2019,12,63000,race-ethnicity,White neighborhoods,0.34992144,1
2019,12,71000,all,All,0.40310243,1
2019,12,71000,race-ethnicity,Neighborhoods of color,0.45478824,1
2019,12,71000,race-ethnicity,White neighborhoods,0.25399008,1
2019,13,03440,all,All,0.36137441,1
2019,13,03440,race-ethnicity,Neighborhoods of color,0.4855876,1
2019,13,03440,race-ethnicity,White neighborhoods,0.31608731,1
2019,13,04000,all,All,0.38138548,1
2019,13,04000,race-ethnicity,Neighborhoods of color,0.49335888,1
2019,13,04000,race-ethnicity,White neighborhoods,0.19811743,1
2019,13,04204,all,All,0.56979775,1
2019,13,04204,race-ethnicity,Neighborhoods of color,0.57147598,1
2019,13,04204,race-ethnicity,White neighborhoods,0.47058824,1
2019,17,14000,all,All,0.346228,1
2019,17,14000,race-ethnicity,Neighborhoods of color,0.42000413,1
2019,17,14000,race-ethnicity,White neighborhoods,0.19050297,1
2019,17,65000,all,All,0.32812801,1
2019,17,65000,race-ethnicity,Neighborhoods of color,0.57734472,1
2019,17,65000,race-ethnicity,White neighborhoods,0.28126431,1
2019,18,25000,all,All,0.31054899,1
2019,18,25000,race-ethnicity,Neighborhoods of color,0.57757497,1
2019,18,25000,race-ethnicity,White neighborhoods,0.26794258,1
2019,18,36003,all,All,0.42046711,1
2019,18,36003,race-ethnicity,Neighborhoods of color,0.50311476,1
2019,18,36003,race-ethnicity,White neighborhoods,0.36608779,1
2019,18,71000,all,All,0.32672113,1
2019,18,71000,race-ethnicity,Neighborhoods of color,0.47346073,1
2019,18,71000,race-ethnicity,White neighborhoods,0.30859989,1
2019,19,21000,all,All,0.22722977,1
2019,19,21000,race-ethnicity,Neighborhoods of color,0.48825064,1
2019,19,21000,race-ethnicity,White neighborhoods,0.21742967,1
2019,20,36000,all,All,0.35772461,1
2019,20,36000,race-ethnicity,Neighborhoods of color,0.56262428,1
2019,20,36000,race-ethnicity,White neighborhoods,0.26237395,1
2019,20,38900,all,All,0.30405679,1
2019,20,38900,race-ethnicity,Neighborhoods of color,0.43861067,1
2019,20,38900,race-ethnicity,White neighborhoods,0.25893825,1
2019,20,71000,all,All,0.30017251,1
2019,20,71000,race-ethnicity,Neighborhoods of color,0.63917524,1
2019,20,71000,race-ethnicity,White neighborhoods,0.28014615,1
2019,21,46027,all,All,0.34331056,1
2019,21,46027,race-ethnicity,Neighborhoods of color,0.41700405,1
2019,21,46027,race-ethnicity,White neighborhoods,0.33519179,1
2019,22,50115,all,All,0.31946924,1
2019,22,50115,race-ethnicity,Neighborhoods of color,0.4074074,1
2019,22,50115,race-ethnicity,White neighborhoods,0.28828207,1
2019,22,55000,all,All,0.47632661,1
2019,22,55000,race-ethnicity,Neighborhoods of color,0.53213251,1
2019,22,55000,race-ethnicity,White neighborhoods,0.24818182,1
2019,22,70000,all,All,0.49850652,1
2019,22,70000,race-ethnicity,Neighborhoods of color,0.61607951,1
2019,22,70000,race-ethnicity,White neighborhoods,0.43573669,1
2019,24,04000,all,All,0.48883218,1
2019,24,04000,race-ethnicity,Neighborhoods of color,0.5406267,1
2019,24,04000,race-ethnicity,White neighborhoods,0.31826484,1
2019,25,07000,all,All,0.24606687,1
2019,25,07000,race-ethnicity,Neighborhoods of color,0.33003765,1
2019,25,07000,race-ethnicity,White neighborhoods,0.15432099,1
2019,25,09000,all,All,0.33135802,1
2019,25,09000,race-ethnicity,Neighborhoods of color,0.38430035,1
2019,25,09000,race-ethnicity,White neighborhoods,0.19285715,1
2019,25,11000,all,All,0.10791729,1
2019,25,11000,race-ethnicity,Neighborhoods of color,0.1262136,1
2019,25,11000,race-ethnicity,White neighborhoods,0.10691489,1
2019,25,23000,all,All,0.34691432,1
2019,25,23000,race-ethnicity,Neighborhoods of color,NA,3
2019,25,23000,race-ethnicity,White neighborhoods,0.34691432,1
2019,25,37000,all,All,0.31512606,1
2019,25,37000,race-ethnicity,Neighborhoods of color,0.3197158,1
2019,25,37000,race-ethnicity,White neighborhoods,0.30555555,1
2019,25,37490,all,All,0.31535271,1
2019,25,37490,race-ethnicity,Neighborhoods of color,0.38447654,1
2019,25,37490,race-ethnicity,White neighborhoods,0.18307427,1
2019,25,45000,all,All,0.39001188,1
2019,25,45000,race-ethnicity,Neighborhoods of color,0.50462961,1
2019,25,45000,race-ethnicity,White neighborhoods,0.37312415,1
2019,25,55745,all,All,0.16142656,1
2019,25,55745,race-ethnicity,Neighborhoods of color,NA,3
2019,25,55745,race-ethnicity,White neighborhoods,0.16142656,1
2019,25,67000,all,All,0.34129462,1
2019,25,67000,race-ethnicity,Neighborhoods of color,0.50266242,1
2019,25,67000,race-ethnicity,White neighborhoods,0.31090161,1
2019,25,82000,all,All,0.33938748,1
2019,25,82000,race-ethnicity,Neighborhoods of color,0.40582052,1
2019,25,82000,race-ethnicity,White neighborhoods,0.28707829,1
2019,26,03000,all,All,0.21965174,1
2019,26,03000,race-ethnicity,Neighborhoods of color,0.42635658,1
2019,26,03000,race-ethnicity,White neighborhoods,0.18014815,1
2019,26,22000,all,All,0.62880963,1
2019,26,22000,race-ethnicity,Neighborhoods of color,0.66656637,1
2019,26,22000,race-ethnicity,White neighborhoods,0.17312349,1
2019,26,29000,all,All,0.62545645,1
2019,26,29000,race-ethnicity,Neighborhoods of color,0.68476188,1
2019,26,29000,race-ethnicity,White neighborhoods,0.55363321,1
2019,26,34000,all,All,0.28568062,1
2019,26,34000,race-ethnicity,Neighborhoods of color,0.42490673,1
2019,26,34000,race-ethnicity,White neighborhoods,0.2386059,1
2019,26,46000,all,All,0.28844011,1
2019,26,46000,race-ethnicity,Neighborhoods of color,0.45749614,1
2019,26,46000,race-ethnicity,White neighborhoods,0.27169752,1
2019,26,76460,all,All,0.20430622,1
2019,26,76460,race-ethnicity,Neighborhoods of color,NA,3
2019,26,76460,race-ethnicity,White neighborhoods,0.20430622,1
2019,26,84000,all,All,0.41290322,1
2019,26,84000,race-ethnicity,Neighborhoods of color,0.49590164,1
2019,26,84000,race-ethnicity,White neighborhoods,0.39085466,1
2019,27,17000,all,All,0.16975221,1
2019,27,17000,race-ethnicity,Neighborhoods of color,NA,3
2019,27,17000,race-ethnicity,White neighborhoods,0.17023708,1
2019,27,43000,all,All,0.21733356,1
2019,27,43000,race-ethnicity,Neighborhoods of color,0.35550457,1
2019,27,43000,race-ethnicity,White neighborhoods,0.16101892,1
2019,27,54880,all,All,0.27879554,1
2019,27,54880,race-ethnicity,Neighborhoods of color,0.56871462,1
2019,27,54880,race-ethnicity,White neighborhoods,0.17667995,1
2019,27,58000,all,All,0.2518045,1
2019,27,58000,race-ethnicity,Neighborhoods of color,0.30734631,1
2019,27,58000,race-ethnicity,White neighborhoods,0.18386061,1
2019,28,36000,all,All,0.40283263,1
2019,28,36000,race-ethnicity,Neighborhoods of color,0.48463753,1
2019,28,36000,race-ethnicity,White neighborhoods,0.29556185,1
2019,29,65000,all,All,0.49125028,1
2019,29,65000,race-ethnicity,Neighborhoods of color,0.66866952,1
2019,29,65000,race-ethnicity,White neighborhoods,0.31993368,1
2019,30,06550,all,All,0.27234253,1
2019,30,06550,race-ethnicity,Neighborhoods of color,0.5099715,1
2019,30,06550,race-ethnicity,White neighborhoods,0.24959083,1
2019,31,28000,all,All,0.19727047,1
2019,31,28000,race-ethnicity,Neighborhoods of color,NA,3
2019,31,28000,race-ethnicity,White neighborhoods,0.19727047,1
2019,31,37000,all,All,0.23523292,1
2019,31,37000,race-ethnicity,Neighborhoods of color,0.41474396,1
2019,31,37000,race-ethnicity,White neighborhoods,0.18882747,1
2019,32,31900,all,All,0.3410739,1
2019,32,31900,race-ethnicity,Neighborhoods of color,0.37962383,1
2019,32,31900,race-ethnicity,White neighborhoods,0.29381245,1
2019,32,40000,all,All,0.42540905,1
2019,32,40000,race-ethnicity,Neighborhoods of color,0.48595282,1
2019,32,40000,race-ethnicity,White neighborhoods,0.27656034,1
2019,32,51800,all,All,0.42155862,1
2019,32,51800,race-ethnicity,Neighborhoods of color,0.4564158,1
2019,32,51800,race-ethnicity,White neighborhoods,0.27567977,1
2019,32,60600,all,All,0.32303223,1
2019,32,60600,race-ethnicity,Neighborhoods of color,0.49371216,1
2019,32,60600,race-ethnicity,White neighborhoods,0.25548387,1
2019,33,45140,all,All,0.31220779,1
2019,33,45140,race-ethnicity,Neighborhoods of color,NA,3
2019,33,45140,race-ethnicity,White neighborhoods,0.31220779,1
2019,34,21000,all,All,0.46958524,1
2019,34,21000,race-ethnicity,Neighborhoods of color,0.46958524,1
2019,34,21000,race-ethnicity,White neighborhoods,NA,3
2019,34,36000,all,All,0.30708551,1
2019,34,36000,race-ethnicity,Neighborhoods of color,0.30708551,1
2019,34,36000,race-ethnicity,White neighborhoods,NA,3
2019,34,51000,all,All,0.53644109,1
2019,34,51000,race-ethnicity,Neighborhoods of color,0.53644109,1
2019,34,51000,race-ethnicity,White neighborhoods,NA,3
2019,34,57000,all,All,0.46619067,1
2019,34,57000,race-ethnicity,Neighborhoods of color,0.46619067,1
2019,34,57000,race-ethnicity,White neighborhoods,NA,3
2019,34,74000,all,All,0.6087172,1
2019,34,74000,race-ethnicity,Neighborhoods of color,0.63587826,1
2019,34,74000,race-ethnicity,White neighborhoods,0.26027396,1
2019,35,02000,all,All,0.36314833,1
2019,35,02000,race-ethnicity,Neighborhoods of color,0.38909209,1
2019,35,02000,race-ethnicity,White neighborhoods,0.25610298,1
2019,36,01000,all,All,0.4417235,1
2019,36,01000,race-ethnicity,Neighborhoods of color,0.52738732,1
2019,36,01000,race-ethnicity,White neighborhoods,0.28976783,1
2019,36,11000,all,All,0.49296117,1
2019,36,11000,race-ethnicity,Neighborhoods of color,0.5487476,1
2019,36,11000,race-ethnicity,White neighborhoods,0.39803278,1
2019,36,51000,all,All,0.24183181,1
2019,36,51000,race-ethnicity,Neighborhoods of color,0.28720891,1
2019,36,51000,race-ethnicity,White neighborhoods,0.14147246,1
2019,36,63000,all,All,NA,3
2019,36,63000,race-ethnicity,Neighborhoods of color,NA,3
2019,36,63000,race-ethnicity,White neighborhoods,NA,3
2019,36,73000,all,All,0.33870968,1
2019,36,73000,race-ethnicity,Neighborhoods of color,0.53384614,1
2019,36,73000,race-ethnicity,White neighborhoods,0.26436108,1
2019,36,84000,all,All,0.31190476,1
2019,36,84000,race-ethnicity,Neighborhoods of color,0.3562575,1
2019,36,84000,race-ethnicity,White neighborhoods,0.18277067,1
2019,37,12000,all,All,0.36479637,1
2019,37,12000,race-ethnicity,Neighborhoods of color,0.46939382,1
2019,37,12000,race-ethnicity,White neighborhoods,0.2153672,1
2019,37,19000,all,All,0.28577954,1
2019,37,19000,race-ethnicity,Neighborhoods of color,0.35770157,1
2019,37,19000,race-ethnicity,White neighborhoods,0.21208385,1
2019,37,22920,all,All,0.40589231,1
2019,37,22920,race-ethnicity,Neighborhoods of color,0.41599584,1
2019,37,22920,race-ethnicity,White neighborhoods,0.36101499,1
2019,37,28000,all,All,0.39411011,1
2019,37,28000,race-ethnicity,Neighborhoods of color,0.53481483,1
2019,37,28000,race-ethnicity,White neighborhoods,0.28703496,1
2019,37,74440,all,All,0.37693709,1
2019,37,74440,race-ethnicity,Neighborhoods of color,NA,3
2019,37,74440,race-ethnicity,White neighborhoods,0.37531486,1
2019,37,75000,all,All,0.37758505,1
2019,37,75000,race-ethnicity,Neighborhoods of color,0.5090909,1
2019,37,75000,race-ethnicity,White neighborhoods,0.30136988,1
2019,38,25700,all,All,0.17658423,1
2019,38,25700,race-ethnicity,Neighborhoods of color,NA,3
2019,38,25700,race-ethnicity,White neighborhoods,0.17658423,1
2019,39,01000,all,All,0.3217324,1
2019,39,01000,race-ethnicity,Neighborhoods of color,0.57673669,1
2019,39,01000,race-ethnicity,White neighborhoods,0.281326,1
2019,39,15000,all,All,0.35884494,1
2019,39,15000,race-ethnicity,Neighborhoods of color,0.51449275,1
2019,39,15000,race-ethnicity,White neighborhoods,0.30233735,1
2019,39,16000,all,All,0.55854875,1
2019,39,16000,race-ethnicity,Neighborhoods of color,0.60143948,1
2019,39,16000,race-ethnicity,White neighborhoods,0.46204454,1
2019,39,21000,all,All,0.43337584,1
2019,39,21000,race-ethnicity,Neighborhoods of color,0.61618799,1
2019,39,21000,race-ethnicity,White neighborhoods,0.37431464,1
2019,39,77000,all,All,0.3455891,1
2019,39,77000,race-ethnicity,Neighborhoods of color,0.59675968,1
2019,39,77000,race-ethnicity,White neighborhoods,0.30788976,1
2019,40,41850,all,All,0.47317073,1
2019,40,41850,race-ethnicity,Neighborhoods of color,0.47768763,1
2019,40,41850,race-ethnicity,White neighborhoods,0.46325168,1
2019,41,59000,all,All,0.19918387,1
2019,41,59000,race-ethnicity,Neighborhoods of color,0.27458492,1
2019,41,59000,race-ethnicity,White neighborhoods,0.19611369,1
2019,42,02000,all,All,0.41167435,1
2019,42,02000,race-ethnicity,Neighborhoods of color,0.49518716,1
2019,42,02000,race-ethnicity,White neighborhoods,0.19891009,1
2019,42,24000,all,All,0.42917421,1
2019,42,24000,race-ethnicity,Neighborhoods of color,0.69333333,1
2019,42,24000,race-ethnicity,White neighborhoods,0.38772663,1
2019,42,60000,all,All,0.43638316,1
2019,42,60000,race-ethnicity,Neighborhoods of color,0.53301948,1
2019,42,60000,race-ethnicity,White neighborhoods,0.25131479,1
2019,42,61000,all,All,0.30924371,1
2019,42,61000,race-ethnicity,Neighborhoods of color,0.51888669,1
2019,42,61000,race-ethnicity,White neighborhoods,0.28044784,1
2019,44,59000,all,All,0.37331149,1
2019,44,59000,race-ethnicity,Neighborhoods of color,0.43411264,1
2019,44,59000,race-ethnicity,White neighborhoods,0.16934046,1
2019,46,59020,all,All,0.15965347,1
2019,46,59020,race-ethnicity,Neighborhoods of color,NA,3
2019,46,59020,race-ethnicity,White neighborhoods,0.159513,1
2019,47,14000,all,All,0.36012581,1
2019,47,14000,race-ethnicity,Neighborhoods of color,0.56452954,1
2019,47,14000,race-ethnicity,White neighborhoods,0.30583814,1
2019,47,40000,all,All,0.3465381,1
