state,puma12,place,place_name,afact,afact2,afact_product,afact_sum
40,1301,9050,Broken Arrow city,0.0446,0.3422,0.015262,0.275488
12,7101,10275,Cape Coral city,0.0471,0.0621,0.002925,0.742955
12,7102,10275,Cape Coral city,0.7929,0.9333,0.740014,0.742955
12,7103,10275,Cape Coral city,0.0006,0.0013,7.80E-07,0.742955
12,7104,10275,Cape Coral city,0.0044,0.0033,0.000015,0.742955
18,1801,10342,Carmel city,0.0002,0.0023,4.60E-07,0.759749
18,1802,10342,Carmel city,0.7615,0.9977,0.759749,0.759749
37,1206,10740,Cary town,0.0452,0.1071,0.004841,0.444278
37,1207,10740,Cary town,0.6582,0.6278,0.413218,0.444278
37,1208,10740,Cary town,0.1123,0.2329,0.026155,0.444278
37,1500,10740,Cary town,0.002,0.0322,0.000064,0.444278
48,6701,10768,Brownsville city,0.1736,0.711,0.12343,0.407777
48,6703,10768,Brownsville city,0.9839,0.289,0.284347,0.407777
48,3602,10912,Bryan city,0.0924,1,0.0924,0.0924
25,505,11000,Cambridge city,0.0011,0.0033,3.60E-06,0.991522
25,506,11000,Cambridge city,0.9956,0.9959,0.991518,0.991522
25,507,11000,Cambridge city,0.0007,0.0008,5.60E-07,0.991522
25,3301,11000,Cambridge city,0.0001,0.0001,1.00E-08,0.991522
36,1204,11000,Buffalo city,0.0002,0.0002,4.00E-08,0.999733
36,1205,11000,Buffalo city,0.9999,0.6655,0.665433,0.999733
36,1206,11000,Buffalo city,1,0.3343,0.3343,0.999733
6,7301,11194,Carlsbad city,0.0013,0.008,1.00E-05,0.798437
6,7304,11194,Carlsbad city,0.8802,0.9035,0.795261,0.798437
6,7305,11194,Carlsbad city,0.0011,0.0013,1.40E-06,0.798437
6,7309,11194,Carlsbad city,0.0363,0.0872,0.003165,0.798437
6,3757,11530,Carson city,0.0317,0.0328,0.00104,0.824352
6,3762,11530,Carson city,0.8598,0.9575,0.823259,0.824352
6,3763,11530,Carson city,0.0018,0.0013,2.30E-06,0.824352
6,3767,11530,Carson city,0.0061,0.0084,0.000051,0.824352
4,100,12000,Chandler city,0.0076,0.008,0.000061,0.749915
4,105,12000,Chandler city,0.0182,0.0102,0.000186,0.749915
4,106,12000,Chandler city,0.9546,0.3384,0.323037,0.749915
4,107,12000,Chandler city,0.7673,0.4762,0.365388,0.749915
4,108,12000,Chandler city,0.383,0.1599,0.061242,0.749915
4,120,12000,Chandler city,0.0001,0.0001,1.00E-08,0.749915
4,134,12000,Chandler city,0.0001,0.0072,7.20E-07,0.749915
19,1000,12000,Cedar Rapids city,0.1006,1,0.1006,0.1006
37,3101,12000,Charlotte city,0.9998,0.0898,0.089782,0.793405
37,3102,12000,Charlotte city,0.9606,0.1758,0.168873,0.793405
37,3103,12000,Charlotte city,0.9979,0.1172,0.116954,0.793405
37,3104,12000,Charlotte city,0.9844,0.1762,0.173451,0.793405
37,3105,12000,Charlotte city,0.9617,0.1487,0.143005,0.793405
37,3106,12000,Charlotte city,0.1677,0.0664,0.011135,0.793405
37,3107,12000,Charlotte city,0.3451,0.0999,0.034475,0.793405
37,3108,12000,Charlotte city,0.4423,0.126,0.05573,0.793405
17,2100,12385,Champaign city,0.0231,1,0.0231,0.0231
8,808,12815,Centennial city,0.3183,0.3208,0.102111,0.394749
8,811,12815,Centennial city,0.4359,0.6713,0.29262,0.394749
8,821,12815,Centennial city,0.0022,0.008,0.000018,0.394749
12,10302,12875,Clearwater city,0.2099,0.274,0.057513,0.602315
12,10303,12875,Clearwater city,0.753,0.7235,0.544796,0.602315
12,10304,12875,Clearwater city,0.0023,0.0025,5.80E-06,0.602315
6,701,13014,Chico city,0.0662,1,0.0662,0.0662
48,1901,13024,Carrollton city,0.0053,0.0047,0.000025,0.381109
48,1902,13024,Carrollton city,0.0001,0.0001,1.00E-08,0.381109
48,2001,13024,Carrollton city,0.5525,0.4319,0.238625,0.381109
48,2002,13024,Carrollton city,0.0476,0.0491,0.002337,0.381109
48,2310,13024,Carrollton city,0.3028,0.2,0.06056,0.381109
48,2322,13024,Carrollton city,0.2533,0.3141,0.079562,0.381109
6,7113,13210,Chino city,0.017,0.0257,0.000437,0.355569
6,7114,13210,Chino city,0.3645,0.9743,0.355132,0.355569
6,3714,13214,Chino Hills city,0.0126,0.0117,0.000147,0.444552
6,5906,13214,Chino Hills city,0.0382,0.0496,0.001895,0.444552
6,6514,13214,Chino Hills city,0.0386,0.0553,0.002135,0.444552
6,7114,13214,Chino Hills city,0.4985,0.8834,0.440375,0.444552
45,1202,13330,Charleston city,0.1791,0.9785,0.175249,0.17546
45,1204,13330,Charleston city,0.0098,0.0215,0.000211,0.17546
6,7318,13392,Chula Vista city,0.0139,0.0053,0.000074,0.642496
6,7319,13392,Chula Vista city,0.0121,0.0559,0.000676,0.642496
6,7320,13392,Chula Vista city,0.7477,0.6135,0.458714,0.642496
6,7321,13392,Chula Vista city,0.6368,0.2846,0.181233,0.642496
6,7322,13392,Chula Vista city,0.0442,0.0407,0.001799,0.642496
48,5203,13552,Cedar Park city,0.1337,0.2336,0.031232,0.091789
48,5204,13552,Cedar Park city,0.0901,0.6197,0.055835,0.091789
48,5305,13552,Cedar Park city,0.0355,0.1327,0.004711,0.091789
48,5309,13552,Cedar Park city,0.0008,0.0141,0.000011,0.091789
6,6701,13588,Citrus Heights city,0.7631,0.9946,0.758979,0.758995
6,6704,13588,Citrus Heights city,0.0029,0.0054,0.000016,0.758995
34,501,13690,Clifton city,0.717,0.7065,0.506561,0.539408
34,502,13690,Clifton city,0.1131,0.2904,0.032844,0.539408
34,1403,13690,Clifton city,0.001,0.0031,3.10E-06,0.539408
17,3207,14000,Chicago city,0.0596,0.0116,0.000691,0.934787
17,3411,14000,Chicago city,0.0043,0.0007,3.00E-06,0.934787
17,3419,14000,Chicago city,0.0019,0.0003,5.70E-07,0.934787
17,3420,14000,Chicago city,0.1632,0.0233,0.003803,0.934787
17,3421,14000,Chicago city,0.0008,0.0001,8.00E-08,0.934787
17,3422,14000,Chicago city,0.3342,0.0497,0.01661,0.934787
17,3501,14000,Chicago city,0.9871,0.0259,0.025566,0.934787
17,3502,14000,Chicago city,1,0.0271,0.0271,0.934787
17,3503,14000,Chicago city,0.9919,0.0354,0.035113,0.934787
17,3504,14000,Chicago city,1,0.0476,0.0476,0.934787
17,3520,14000,Chicago city,1,0.0439,0.0439,0.934787
17,3521,14000,Chicago city,1,0.0528,0.0528,0.934787
17,3522,14000,Chicago city,1,0.0295,0.0295,0.934787
17,3523,14000,Chicago city,1,0.0636,0.0636,0.934787
17,3524,14000,Chicago city,1,0.0567,0.0567,0.934787
17,3525,14000,Chicago city,1,0.026,0.026,0.934787
17,3526,14000,Chicago city,1,0.0607,0.0607,0.934787
17,3527,14000,Chicago city,1,0.0579,0.0579,0.934787
17,3528,14000,Chicago city,1,0.0583,0.0583,0.934787
17,3529,14000,Chicago city,1,0.0605,0.0605,0.934787
17,3530,14000,Chicago city,1,0.0736,0.0736,0.934787
17,3531,14000,Chicago city,1,0.0587,0.0587,0.934787
17,3532,14000,Chicago city,1,0.1361,0.1361,0.934787
47,2001,14000,Chattanooga city,0.8338,0.3454,0.287995,0.690429
47,2002,14000,Chattanooga city,0.7205,0.5548,0.399733,0.690429
47,2003,14000,Chattanooga city,0.0318,0.0844,0.002684,0.690429
47,2100,14000,Chattanooga city,0.0011,0.0153,0.000017,0.690429
37,3200,14100,Concord city,0.4363,0.9049,0.394808,0.39573
37,3300,14100,Concord city,0.0097,0.0951,0.000922,0.39573
6,1903,14218,Clovis city,0.031,0.0276,0.000856,0.432419
6,1906,14218,Clovis city,0.456,0.9464,0.431558,0.432419
6,1907,14218,Clovis city,0.0002,0.026,5.20E-06,0.432419
17,3408,14351,Cicero town,0.4054,1,0.4054,0.4054
12,1101,14400,Coral Springs city,0.0386,0.9896,0.038199,0.038317
12,1102,14400,Coral Springs city,0.0113,0.0104,0.000118,0.038317
39,5501,15000,Cincinnati city,0.0041,0.0074,0.00003,0.855965
39,5502,15000,Cincinnati city,0.012,0.0075,0.00009,0.855965
39,5503,15000,Cincinnati city,0.9478,0.3342,0.316755,0.855965
39,5504,15000,Cincinnati city,0.9151,0.3491,0.319461,0.855965
39,5505,15000,Cincinnati city,0.7392,0.2971,0.219616,0.855965
39,5506,15000,Cincinnati city,0.0023,0.0015,3.40E-06,0.855965
39,5507,15000,Cincinnati city,0.0032,0.0031,9.90E-06,0.855965
6,3752,15044,Compton city,0.0034,0.0042,0.000014,0.488955
6,3756,15044,Compton city,0.0004,0.0004,1.60E-07,0.488955
6,3757,15044,Compton city,0.5031,0.9713,0.488661,0.488955
6,3762,15044,Compton city,0.0116,0.0241,0.00028,0.488955
47,300,15160,Clarksville city,0.0995,1,0.0995,0.0995
29,600,15670,Columbia city,0.0971,1,0.0971,0.0971
48,3602,15976,College Station city,0.0873,1,0.0873,0.0873
6,1303,16000,Concord city,0.0546,0.1619,0.00884,0.194707
6,1306,16000,Concord city,0.1899,0.3611,0.068573,0.194707
6,1307,16000,Concord city,0.2459,0.477,0.117294,0.194707
8,4101,16000,Colorado Springs city,0.02,0.2428,0.004856,0.501937
8,4102,16000,Colorado Springs city,0.7669,0.2158,0.165497,0.501937
8,4103,16000,Colorado Springs city,0.9995,0.1532,0.153123,0.501937
8,4104,16000,Colorado Springs city,0.6933,0.0909,0.063021,0.501937
8,4105,16000,Colorado Springs city,0.6192,0.1552,0.0961,0.501937
8,4106,16000,Colorado Springs city,0.1361,0.1421,0.01934,0.501937
39,904,16000,Cleveland city,0.0024,0.001,2.40E-06,0.963207
39,905,16000,Cleveland city,0.972,0.2643,0.2569,0.963207
39,906,16000,Cleveland city,0.9829,0.3413,0.335464,0.963207
39,907,16000,Cleveland city,0.0057,0.0038,0.000022,0.963207
39,908,16000,Cleveland city,0.9631,0.385,0.370793,0.963207
39,909,16000,Cleveland city,0.0079,0.0029,0.000023,0.963207
39,910,16000,Cleveland city,0.0015,0.0018,2.70E-06,0.963207
45,602,16000,Columbia city,0.004,0.0044,0.000018,0.691331
45,603,16000,Columbia city,0.0019,0.0128,0.000024,0.691331
45,604,16000,Columbia city,0.7109,0.9724,0.691279,0.691331
45,605,16000,Columbia city,0.001,0.0104,1.00E-05,0.691331
51,51155,16000,Chesapeake city,0.0023,0.0003,6.90E-07,0.999407
51,55001,16000,Chesapeake city,0.9975,0.1575,0.157106,0.999407
51,55002,16000,Chesapeake city,1,0.8423,0.8423,0.999407
6,6509,16350,Corona city,0.0063,0.0266,0.000168,0.3769
6,6512,16350,Corona city,0.179,0.4047,0.072441,0.3769
6,6513,16350,Corona city,0.5787,0.5241,0.303297,0.3769
6,6514,16350,Corona city,0.0248,0.0396,0.000982,0.3769
6,7114,16350,Corona city,0.0025,0.0049,0.000012,0.3769
48,4501,16432,Conroe city,0.0685,0.4676,0.032031,0.083235
48,4502,16432,Conroe city,0.0988,0.4832,0.04774,0.083235
48,4503,16432,Conroe city,0.0704,0.0492,0.003464,0.083235
12,1108,16475,Davie town,0.0187,0.0153,0.000286,0.68929
12,1109,16475,Davie town,0.0386,0.0309,0.001193,0.68929
12,1110,16475,Davie town,0.7921,0.8672,0.686909,0.68929
12,1111,16475,Davie town,0.0104,0.0867,0.000902,0.68929
6,5903,16532,Costa Mesa city,0.0011,0.005,5.50E-06,0.529473
6,5904,16532,Costa Mesa city,0.0188,0.0583,0.001096,0.529473
6,5914,16532,Costa Mesa city,0.0001,0.0002,2.00E-08,0.529473
6,5916,16532,Costa Mesa city,0.002,0.0016,3.20E-06,0.529473
6,5918,16532,Costa Mesa city,0.5651,0.935,0.528368,0.529473
12,1103,16725,Deerfield Beach city,0.7051,1,0.7051,0.7051
27,300,17000,Duluth city,0,0.0049,0,0.537665
27,400,17000,Duluth city,0,0.0062,0,0.537665
27,500,17000,Duluth city,0.5437,0.9889,0.537665,0.537665
48,6500,17000,Corpus Christi city,0,0,0,0.398308
48,6601,17000,Corpus Christi city,0.1392,0.6769,0.094224,0.398308
48,6602,17000,Corpus Christi city,0.9723,0.1633,0.158777,0.398308
48,6603,17000,Corpus Christi city,1,0.1453,0.1453,0.398308
48,6900,17000,Corpus Christi city,0.0005,0.0146,7.30E-06,0.398308
12,12701,17200,Deltona city,0.0003,0.0028,8.40E-07,0.089151
12,12704,17200,Deltona city,0.0894,0.9972,0.08915,0.089151
6,7507,17918,Daly City city,0.0012,0.0014,1.70E-06,0.217529
6,8101,17918,Daly City city,0.2446,0.8692,0.212606,0.217529
6,8102,17918,Daly City city,0.038,0.1295,0.004921,0.217529
12,8608,17935,Doral city,0.1627,1,0.1627,0.1627
39,3900,18000,Columbus city,0.0034,0.0077,0.000026,0.548901
39,4000,18000,Columbus city,0.0076,0.0152,0.000116,0.548901
39,4101,18000,Columbus city,0.2466,0.0704,0.017361,0.548901
39,4102,18000,Columbus city,0.3914,0.0496,0.019413,0.548901
39,4103,18000,Columbus city,0.2635,0.0539,0.014203,0.548901
39,4104,18000,Columbus city,0.4638,0.0632,0.029312,0.548901
39,4105,18000,Columbus city,0.9842,0.0796,0.078342,0.548901
39,4106,18000,Columbus city,0.8906,0.1461,0.130117,0.548901
39,4107,18000,Columbus city,0.7239,0.0768,0.055596,0.548901
39,4108,18000,Columbus city,0.6256,0.1067,0.066752,0.548901
39,4109,18000,Columbus city,0.2471,0.1225,0.03027,0.548901
39,4110,18000,Columbus city,0.7611,0.12,0.091332,0.548901
39,4111,18000,Columbus city,0.1821,0.0882,0.016061,0.548901
9,100,18430,Danbury city,0.2235,1,0.2235,0.2235
13,1700,19000,Columbus city,0.4594,1,0.4594,0.4594
19,900,19000,Davenport city,0.1393,1,0.1393,0.1393
37,1206,19000,Durham city,0.0024,0.0029,7.00E-06,0.487341
37,1301,19000,Durham city,0.6639,0.5722,0.379884,0.487341
37,1302,19000,Durham city,0.2533,0.4242,0.10745,0.487341
37,1400,19000,Durham city,0.0002,0.0006,1.20E-07,0.487341
48,900,19000,Dallas city,0.0009,0.0025,2.30E-06,0.672815
