state,place,state_name,place_name,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
08,43000,Colorado,Lakewood city,94.871%,90.567%,99.176%,1
08,45970,Colorado,Longmont city,94.844%,89.568%,100.000%,1
08,46465,Colorado,Loveland city,95.513%,90.265%,100.000%,1
08,62000,Colorado,Pueblo city,84.400%,79.414%,89.386%,1
08,77290,Colorado,Thornton city,94.925%,90.044%,99.805%,1
08,83835,Colorado,Westminster city,95.758%,91.187%,100.000%,1
09,08000,Connecticut,Bridgeport city,85.376%,79.753%,90.998%,1
09,18430,Connecticut,Danbury city,92.523%,85.198%,99.848%,1
09,37000,Connecticut,Hartford city,86.692%,80.524%,92.861%,1
09,52000,Connecticut,New Haven city,90.672%,84.985%,96.358%,1
09,55990,Connecticut,Norwalk city,89.328%,82.225%,96.430%,1
09,73000,Connecticut,Stamford city,92.785%,87.669%,97.900%,1
09,80000,Connecticut,Waterbury city,85.076%,78.413%,91.740%,1
11,50000,District of Columbia,Washington city,91.620%,90.116%,93.124%,1
12,07300,Florida,Boca Raton city,92.773%,85.997%,99.550%,1
12,07875,Florida,Boynton Beach city,87.130%,78.691%,95.568%,1
12,10275,Florida,Cape Coral city,92.889%,87.329%,98.448%,1
12,12875,Florida,Clearwater city,83.388%,77.312%,89.465%,1
12,14400,Florida,Coral Springs city,95.940%,89.876%,100.000%,1
12,16475,Florida,Davie town,96.200%,89.296%,100.000%,1
12,16725,Florida,Deerfield Beach city,89.109%,82.014%,96.204%,1
12,17200,Florida,Deltona city,95.801%,88.950%,100.000%,1
12,17935,Florida,Doral city,NA,NA,NA,NA
12,24000,Florida,Fort Lauderdale city,89.853%,83.783%,95.922%,1
12,24125,Florida,Fort Myers city,88.821%,81.910%,95.732%,1
12,25175,Florida,Gainesville city,87.674%,82.297%,93.050%,1
12,30000,Florida,Hialeah city,82.951%,79.291%,86.610%,1
12,32000,Florida,Hollywood city,89.698%,84.085%,95.311%,1
12,32275,Florida,Homestead city,87.804%,78.377%,97.231%,1
12,35000,Florida,Jacksonville city,90.506%,88.828%,92.183%,1
12,36950,Florida,Kissimmee city,91.229%,80.517%,100.000%,2
12,38250,Florida,Lakeland city,88.483%,81.695%,95.272%,1
12,39425,Florida,Largo city,83.950%,76.783%,91.117%,1
12,43975,Florida,Melbourne city,90.876%,84.162%,97.591%,1
12,45000,Florida,Miami city,77.804%,75.226%,80.382%,1
12,45025,Florida,Miami Beach city,87.398%,79.389%,95.407%,1
12,45060,Florida,Miami Gardens city,89.409%,81.911%,96.907%,1
12,45975,Florida,Miramar city,94.135%,86.306%,100.000%,1
12,49675,Florida,North Port city,95.160%,87.423%,100.000%,1
12,53000,Florida,Orlando city,92.635%,88.824%,96.446%,1
12,54000,Florida,Palm Bay city,95.334%,89.505%,100.000%,1
12,54200,Florida,Palm Coast city,93.281%,87.787%,98.775%,1
12,55775,Florida,Pembroke Pines city,91.197%,85.695%,96.700%,1
12,57425,Florida,Plantation city,95.091%,88.042%,100.000%,1
12,58050,Florida,Pompano Beach city,88.658%,81.897%,95.420%,1
12,58715,Florida,Port St. Lucie city,93.063%,88.230%,97.896%,1
