year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2019,05,24550,all,All,208,208,208,0.013890744,1,1
2019,05,24550,race-ethnicity,"Black, Non-Hispanic",30,29,31,0.0178041543,2,2
2019,05,24550,race-ethnicity,Hispanic,46,46,46,0.0092350934,1,1
2019,05,24550,race-ethnicity,Other Races and Ethnicities,3,2,4,0.0013181019,3,3
2019,05,24550,race-ethnicity,"White, Non-Hispanic",111,110,112,0.0184018568,1,1
2019,05,35710,all,All,294,294,294,0.0193230365,1,1
2019,05,35710,race-ethnicity,"Black, Non-Hispanic",130,129,131,0.0259792166,1,1
2019,05,35710,race-ethnicity,Hispanic,30,28,32,0.0197498354,3,3
2019,05,35710,race-ethnicity,Other Races and Ethnicities,13,11,15,0.0167310167,3,3
2019,05,35710,race-ethnicity,"White, Non-Hispanic",101,100,102,0.0127605812,1,1
2019,05,41000,all,All,423,420,426,0.0093716767,1,1
2019,05,41000,race-ethnicity,"Black, Non-Hispanic",273,269,277,0.011642784,1,1
2019,05,41000,race-ethnicity,Hispanic,48,44,52,0.0074661689,3,3
2019,05,41000,race-ethnicity,Other Races and Ethnicities,24,16,32,0.0099214551,3,3
2019,05,41000,race-ethnicity,"White, Non-Hispanic",69,65,73,0.0053738318,3,3
2019,05,66080,all,All,502,502,502,0.0213890072,1,1
2019,05,66080,race-ethnicity,"Black, Non-Hispanic",17,17,17,0.0308529946,1,1
2019,05,66080,race-ethnicity,Hispanic,153,153,153,0.0134873061,1,1
2019,05,66080,race-ethnicity,Other Races and Ethnicities,215,215,215,0.0552557183,1,1
2019,05,66080,race-ethnicity,"White, Non-Hispanic",115,115,115,0.0149661635,1,1
2019,06,00562,all,All,95,94,96,0.0085477776,1,1
2019,06,00562,race-ethnicity,"Black, Non-Hispanic",35,33,37,0.0444726811,3,3
2019,06,00562,race-ethnicity,Hispanic,26,24,28,0.0141689373,3,3
2019,06,00562,race-ethnicity,Other Races and Ethnicities,25,24,26,0.0047312642,2,2
2019,06,00562,race-ethnicity,"White, Non-Hispanic",,,,,,
2019,06,00884,all,All,296,296,296,0.0181840521,1,1
