year,state,county,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2022,36,029,tenure,All,1.0403205728580067,1.4835486497788146,1.5885658617115215,1,1,1,0.42172402755219385,0.694566102515571,0.9376703651092256,1,1,1
2021,36,029,tenure,All,1.263746545684009,1.631582501181643,1.604460966542751,1,1,1,0.457677829275192,0.7369250275716676,0.9517307970839569,1,1,1
2019,36,029,tenure,All,1.3221463961858464,1.6433811777957046,1.6255733107417254,1,1,1,0.5061582686734598,0.759661486476202,0.9669987243531691,1,1,1
2018,36,029,tenure,All,1.2495089829017605,1.6290379727335746,1.5912701123069268,1,1,1,0.4733163837042571,0.7650465993992144,0.9659322645798979,1,1,1
2017,36,029,tenure,All,1.154156568787691,1.5168497274428443,1.6458060569637913,1,1,1,0.47502677112100544,0.7373850785127329,0.9518630207550814,1,1,1
2016,36,029,tenure,All,1.2372746828016978,1.6279835527132231,1.6466987319632707,1,1,1,0.5134528890064762,0.7716242936684564,0.9636812524662195,1,1,1
2015,36,029,tenure,All,1.2210051546391754,1.5572411611168235,1.5885453973914343,1,1,1,0.5051546391752577,0.7604682432966859,0.9633914446053398,1,1,1
2014,36,029,tenure,All,1.098451675992829,1.459937457121432,1.5822282594766384,1,1,1,0.46488835769000925,0.6936755109529812,0.9695773637132532,1,1,1
2024,36,031,tenure,All,2.1449197131015314,2.1291987504725527,1.777839689469763,3,3,3,0.9489055170873353,1.102934797747667,1.108948904045498,3,3,3
2023,36,031,tenure,All,1.5093600659159567,1.8639236618836466,1.7019546841273825,3,3,3,0.532381213952211,0.8350670296531414,0.9812755489635716,3,3,3
2022,36,031,tenure,All,1.4334406491000766,1.7790882407274384,1.6167358816575208,3,3,3,0.6501581445877213,0.8396888277674005,1.008644295573272,3,3,3
2021,36,031,tenure,All,1.522512215324332,1.6977599052802614,1.7197476398260376,3,3,3,0.49180228122014147,0.7240367050013696,0.9911489445578262,3,3,3
2019,36,031,tenure,All,1.7405679396634177,2.0492247767576863,1.8299865625880885,3,3,3,0.7560828404326989,0.9923212527831058,1.1503124631026655,3,3,3
2018,36,031,tenure,All,1.7376126650302501,2.0828094004938724,1.7343105808284132,3,3,3,0.710265354182483,0.8915791237959513,1.0714524071010025,3,3,3
2017,36,031,tenure,All,1.7960082832275803,1.9475854427650572,1.7734620402262833,3,3,3,0.6114488469066471,0.8935897624194828,1.0386885254134317,3,3,3
2016,36,031,tenure,All,1.7747523833063343,1.994148557510328,2.1971065510556405,3,3,3,0.6536727796165498,0.8758850075488597,1.2998343708055888,3,3,3
2015,36,031,tenure,All,1.548831034068117,1.9093408008032142,1.9142323510866899,3,3,3,0.7061538593114141,0.9513208684978351,1.2163144234750214,3,3,3
2014,36,031,tenure,All,1.7429140014322686,1.9811871325478685,1.9746130721740247,3,3,3,0.842717758090525,1.0641089320811614,1.2346533987532073,3,3,3
2024,36,033,tenure,All,2.0509111128082274,2.052239734406569,1.7339805468841905,3,3,3,0.8548969167940245,1.0192611085924188,1.0595466169477135,3,3,3
2023,36,033,tenure,All,1.4959002621782296,1.8361501883943356,1.6828325789140501,3,3,3,0.518921410214481,0.8072935561638223,0.9621534437502324,3,3,3
2022,36,033,tenure,All,1.3926949743963615,1.7429368179826892,1.5869489941131205,3,3,3,0.6094124698840048,0.8035374050226445,0.9788574080288676,3,3,3
2021,36,033,tenure,All,1.516722615939327,1.7142601892377356,1.7286918742290696,3,3,3,0.48601268183513613,0.7138016419156528,0.9714580949845658,3,3,3
2019,36,033,tenure,All,1.6987010728910534,1.9799427843201507,1.829151743667765,3,3,3,0.7142159736603348,0.9017339206489376,1.077682543582507,3,3,3
2018,36,033,tenure,All,1.6836984880394807,1.9189020078964316,1.7688305207140345,3,3,3,0.6563511771917139,0.799262499035367,1.0208313210341606,3,3,3
2017,36,033,tenure,All,1.7721640354154335,1.8448209399347923,1.8573069986446835,3,3,3,0.5876045990944979,0.8036292443568397,1.0116001797595056,3,3,3
2016,36,033,tenure,All,1.7454943863906802,1.9760889648214774,2.098107738491524,3,3,3,0.6244147827008942,0.7917486442296163,1.1615356328248359,3,3,3
2015,36,033,tenure,All,1.4981481138348987,1.8447134937786076,1.8549513333911727,3,3,3,0.6554709390781948,0.8737131045220866,1.144828014657288,3,3,3
2014,36,033,tenure,All,1.657308856084995,1.8137950101532052,1.8376994707450758,3,3,3,0.7571126127432499,0.915979140648089,1.1027987678173474,3,3,3
2024,36,035,tenure,All,1.8506764431057734,1.9438084563879372,1.6811906125260359,2,2,2,0.6093426299835477,0.8620908961398801,0.9566555464270009,2,2,2
2023,36,035,tenure,All,1.2701440437456566,1.7574051289062067,1.6913034314995072,2,2,2,0.5167510926672775,0.7291830433940546,0.928242962556688,2,2,2
2022,36,035,tenure,All,1.2145954149392328,1.4369111686663063,1.604104021943242,2,2,2,0.49460894216276946,0.7165568007917875,0.9712068782820625,2,2,2
2021,36,035,tenure,All,1.625954719160787,2.024575307766301,1.8010681227490877,2,2,2,0.6183340587035474,0.910231545068213,1.0326885185024637,2,2,2
2019,36,035,tenure,All,1.5269026799799872,1.8340562764125055,1.7815791217772206,2,2,2,0.598207911061754,0.794314063737963,1.049688600205464,2,2,2
2018,36,035,tenure,All,1.3728000094607613,1.6941176117275116,1.706030604746861,2,2,2,0.4765982409720152,0.7521615889245209,1.0489543631987137,2,2,2
2017,36,035,tenure,All,1.6540087520950784,1.7649554997091617,1.6810207976622364,2,2,2,0.6767724584112051,0.8301405747797707,1.0297199336375222,2,2,2
2016,36,035,tenure,All,1.4850746393949144,1.602186689972008,1.6350987752640882,2,2,2,0.598545110529619,0.7659268128868464,1.05130756647288,2,2,2
2015,36,035,tenure,All,1.2099598706104637,1.4270816310725518,1.685976340560916,2,2,2,0.56899499545176635,0.7071976387120801,0.9661555332407056,2,2,2
2014,36,035,tenure,All,1.0677696404011103,1.2901432726611486,1.6887868521739775,2,2,2,0.5889450213895757,0.7012682380255165,1.0549591009778043,2,2,2
2024,36,037,tenure,All,1.756190336944426,1.983330463881692,1.6546219136482112,2,2,2,0.6493578271471853,0.8753389881225025,1.003116729298369,2,2,2
