year,state,county,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,06,025,16310.861699999998,1,47615.559,1,91178.73,1
2018,06,027,24922.1862,3,56936.0514,3,118025.80049999998,3
2018,06,029,21072.4176,1,50654.85,1,110427.573,1
2018,06,031,28366.716,1,64432.9692,1,111440.67000000001,1
2018,06,033,21275.037,2,50654.85,2,100296.603,2
2018,06,035,23402.5407,3,53521.91451,3,103335.894,3
2018,06,037,26340.522,1,68080.1184,1,139807.386,1
2018,06,039,27252.3093,1,58759.626,1,116658.11955,1
2018,06,041,45893.2941,1,130182.9645,1,268470.705,1
2018,06,043,24922.1862,3,56936.0514,3,118025.8005,3
2018,06,045,21275.037,2,50654.85,2,100296.603,2
2018,06,047,21275.037000000004,1,55720.335,1,104348.991,1
2018,06,049,23402.5407,3,53633.35518,3,103335.894,3
2018,06,051,24922.1862,3,56936.0514,3,118025.80049999998,3
2018,06,053,34141.3689,1,73956.081,1,143150.6061,1
2018,06,055,36481.62297,1,87187.12782,1,170301.6057,1
2018,06,057,24841.13844,1,66864.402,1,135147.1398,1
2018,06,059,36775.4211,1,89760.3942,1,174455.3034,1
2018,06,061,35154.4659,1,91178.73,1,172226.49,1
2018,06,063,23402.5407,3,53583.9702470895,3,103335.894,3
2018,06,065,26340.522,1,66155.2341,1,131499.9906,1
2018,06,067,27758.8578,1,69295.8348,1,133728.804,1
2018,06,069,35458.395,2,75374.4168,2,138895.5987,2
2018,06,071,26847.0705,1,64838.208,1,126333.1959,1
2018,06,073,32419.104,1,78717.6369,1,154801.2216,1
2018,06,075,33432.201,1,113466.864,1,254338.00185,1
2018,06,077,26036.5929,1,63825.111,1,125117.4795,1
2018,06,079,30473.957760000005,1,72942.984,1,150951.453,1
2018,06,081,51769.2567,1,125218.7892,1,254287.347,1
2018,06,083,33128.2719,1,79528.1145,1,164526.9528,1
2018,06,085,48740.09667,1,126637.125,1,251248.056,1
2018,06,087,32824.3428,1,87126.342,1,184484.9637,1
2018,06,089,20261.94,1,54808.5477,1,115493.058,1
2018,06,091,NA,3,NA,3,NA,3
2018,06,093,23402.5407,3,53521.91451,3,103335.894,3
2018,06,095,40523.88,1,82060.857,1,151964.55,1
2018,06,097,33432.201,1,80946.4503,1,151964.55,1
2018,06,099,25023.4959,1,60481.8909,1,118228.41989999998,1
2018,06,101,25530.0444,2,55720.335,2,111440.67,2
2018,06,103,19248.843,2,47615.55900000001,2,91178.73,2
2018,06,105,19248.843,3,47615.559,3,91178.73,3
2018,06,107,20261.94,1,48628.656,1,103335.894,1
2018,06,109,24922.1862,3,56936.0514,3,118025.8005,3
2018,06,111,36471.492,1,84087.051,1,162804.6879,1
2018,06,113,24213.0183,1,69397.1445,1,142441.4382,1
2018,06,115,25530.0444,2,55720.335,2,111440.66999999998,2
2018,08,001,35458.395,1,72841.6743,1,123597.834,1
2018,08,003,18235.746,3,40523.88,3,78616.3272,3
2018,08,005,34850.5368,1,76995.372,1,142745.3673,1
2018,08,007,31102.0779,3,60785.82,3,121571.64,3
2018,08,009,NA,3,NA,3,NA,3
2018,08,011,22720.410332736006,3,51532.921431840005,3,91597.64966188806,3
2018,08,013,33938.7495,2,86113.245,2,171517.3221,2
2018,08,014,45589.365,3,96244.215,3,179318.169,3
2018,08,015,19248.843,3,52945.54336476009,3,98270.40900000001,3
2018,08,017,NA,3,NA,3,NA,3
2018,08,019,40523.88,3,102306.82552579498,3,202619.4,3
2018,08,021,18235.746,3,40523.88,3,78616.3272,3
2018,08,023,NA,3,NA,3,NA,3
2018,08,025,22699.435172448,3,51662.75994335999,3,91632.467779584,3
2018,08,027,NA,3,NA,3,NA,3
2018,08,029,24314.328,3,51667.947,3,99374.68473,3
2018,08,031,27657.5481,1,67877.499,1,141630.9606,1
2018,08,033,NA,3,NA,3,NA,3
2018,08,035,57270.37341,1,119545.446,1,200795.82539999997,1
2018,08,037,38497.686,2,81047.76,2,155713.0089,2
2018,08,039,49641.753,3,101917.5582,3,179622.0981,3
2018,08,041,31203.387599999995,1,66864.402,1,123597.834,1
2018,08,043,19248.843,2,52921.71532331975,2,98270.40900000001,2
2018,08,045,33533.5107,2,75171.7974,2,126637.125,2
2018,08,047,NA,3,NA,3,NA,3
2018,08,049,38497.686,3,81047.76,3,155713.0089,3
2018,08,051,31102.0779,3,60785.81999999999,3,121571.64,3
2018,08,053,NA,3,NA,3,NA,3
2018,08,055,NA,3,NA,3,NA,3
2018,08,057,NA,3,NA,3,NA,3
2018,08,059,35559.7047,1,83073.954,1,150799.48845,1
2018,08,061,NA,3,NA,3,NA,3
2018,08,063,22693.3728,3,51573.769502879964,3,91566.559741152,3
2018,08,065,19248.843,3,52973.34274644,3,98270.409,3
2018,08,067,31102.0779,2,60785.82,2,121571.64000000001,2
2018,08,069,30595.5294,1,70916.79,1,129777.7257,1
2018,08,071,18235.746,3,40523.88,3,78616.3272,3
2018,08,073,22757.23843488,3,51640.39076160001,3,91559.73551976,3
2018,08,075,22693.3728,3,51465.327600000004,3,91577.37151233603,3
2018,08,077,19856.7012,1,49641.753,1,96244.215,1
2018,08,079,NA,3,NA,3,NA,3
2018,08,081,33533.5107,3,75171.7974,3,126637.125,3
2018,08,083,31102.0779,3,60785.82,3,121571.64,3
2018,08,085,24314.328,2,51667.947,2,99374.68473,2
2018,08,087,22693.3728,3,51465.32759999999,3,91578.27924724799,3
2018,08,089,18235.746,3,40523.88,3,78616.3272,3
2018,08,091,NA,3,NA,3,NA,3
2018,08,093,19248.843,3,52971.35707632016,3,98270.409,3
2018,08,095,22776.430544447998,3,51632.36703335998,3,91604.06864448,3
2018,08,097,38497.686,3,81047.76,3,155713.0089,3
2018,08,099,18235.746,3,40523.88,3,78616.3272,3
2018,08,101,17425.2684,1,47716.8687,1,86721.1032,1
2018,08,103,NA,3,NA,3,NA,3
2018,08,105,18235.746,3,40523.88,3,78616.3272,3
2018,08,107,33533.5107,3,75171.7974,3,126637.125,3
2018,08,109,18235.746,3,40523.88,3,78616.3272,3
2018,08,111,NA,3,NA,3,NA,3
2018,08,113,24314.328,3,51667.947,3,99374.68473,3
2018,08,115,NA,3,NA,3,NA,3
2018,08,117,38497.686,3,81047.76,3,155713.0089,3
2018,08,119,35458.395,3,61798.917,3,110630.1924,3
2018,08,121,22693.3728,3,51694.125426479994,3,91563.933793728,3
2018,08,123,30392.91,1,73753.4616,1,132715.707,1
2018,08,125,22693.3728,3,51512.74053959998,3,91561.11333168001,3
2018,09,001,34141.3689,1,91178.73,1,207228.99134999997,1
2018,09,003,27353.619,1,73145.6034,1,146899.065,1
2018,09,005,30291.6003,1,75982.275,1,140820.483,1
2018,09,007,35458.395,1,88747.2972,1,157030.035,1
2018,09,009,27252.3093,1,67370.9505,1,141833.58,1
2018,09,011,29683.742100000003,1,67269.6408,1,135754.998,1
2018,09,013,36268.8726,1,91280.0397,1,157718.94096,1
2018,09,015,29379.813,1,65851.305,1,126333.19589999999,1
2018,10,001,25327.424999999996,1,55821.6447,1,104348.991,1
2018,10,003,28366.716,1,68890.596,1,133931.4234,1
2018,10,005,26340.522,1,60785.82,1,111440.66999999998,1
2018,11,001,27049.6899,1,85100.148,1,187422.945,1
2018,12,001,18235.746,1,50654.85,1,111440.67,1
2018,12,003,29379.813000000002,3,60785.82,3,130689.513,3
2018,12,005,23706.4698,2,50654.85,2,99283.506,2
2018,12,007,19755.3915,3,44576.268,3,84087.051,3
2018,12,009,25327.425,1,57746.529,1,112555.0767,1
2018,12,011,25124.8056,1,57543.9096,1,118927.45683,1
2018,12,013,18235.746,3,45589.365,3,89152.536,3
2018,12,015,23199.9213,1,52681.044,1,93610.1628,1
2018,12,017,18337.0557,1,40422.5703,1,72942.984,1
2018,12,019,27860.167500000003,1,61798.917,1,113365.5543,1
2018,12,021,30595.5294,1,72031.1967,1,150951.453,1
2018,12,023,19755.3915,2,44576.268,2,84087.051,2
2018,12,027,17729.1975,3,35053.1562,3,71322.0288,3
2018,12,029,19755.3915,3,44576.268,3,84087.051,3
2018,12,031,24314.328,1,56429.5029,1,106780.42379999999,1
2018,12,033,25124.8056,1,50867.60037,1,98878.2672,1
2018,12,035,24314.328,1,57543.9096,1,113466.864,1
2018,12,037,18235.746,3,45589.365,3,89152.536,3
2018,12,039,18235.746,3,45589.365,3,89152.536,3
2018,12,041,19755.3915,3,44576.268,3,84087.051,3
2018,12,043,19248.843,3,42904.65795,3,95231.118,3
2018,12,045,18235.746,3,45589.36499999999,3,89152.536,3
2018,12,047,14993.8356,3,35458.395,3,81068.02194,3
2018,12,049,17729.1975,3,35053.1562,3,71322.0288,3
2018,12,051,19248.843,2,42904.65795,2,95231.118,2
2018,12,053,20667.1788,1,46399.8426,1,87835.5099,1
2018,12,055,18235.746,2,35357.0853,2,73348.2228,2
2018,12,057,24314.328,1,58557.0066,1,119545.446,1
2018,12,059,23706.4698,3,50654.85,3,99283.506,3
2018,12,061,21882.8952,1,56125.5738,1,111440.67,1
2018,12,063,18235.746,3,45589.365,3,89152.536,3
2018,12,065,18235.746,3,45589.365000000005,3,89152.536,3
2018,12,067,14993.8356,3,35458.395,3,81068.02194,3
2018,12,069,25327.425,1,54200.6895,1,100499.2224,1
2018,12,071,24314.328,1,56226.8835,1,111592.63455,1
2018,12,073,19147.5333,1,50654.85,1,111440.67,1
2018,12,075,19755.3915,3,44576.268,3,84087.051,3
2018,12,077,18235.746,3,45589.365,3,89152.536,3
2018,12,079,14993.8356,3,35458.395,3,81068.02194,3
2018,12,081,27961.4772,1,60279.2715,1,117924.4908,1
2018,12,083,20464.5594,1,44981.5068,1,90530.34792,1
2018,12,085,24314.328,1,60228.61665,1,133627.4943,1
2018,12,086,20261.94,1,51667.947,1,109515.7857,1
2018,12,087,30723.32550796839,2,68586.6669,2,126637.125,2
2018,12,089,29379.813,2,60785.82,2,130689.513,2
2018,12,091,26340.522,1,61798.917,1,121571.64,1
2018,12,093,19248.843,2,42904.65795,2,95231.118,2
2018,12,095,25327.425,1,58253.0775,1,114581.2707,1
2018,12,097,26239.2123,1,53592.8313,1,100701.8418,1
2018,12,099,25327.424999999996,1,62031.92931,1,134741.901,1
2018,12,101,24314.328,1,52984.9731,1,104855.5395,1
2018,12,103,23301.231,1,52478.4246,1,109414.476,1
2018,12,105,23909.0892,1,52681.044,1,95231.118,1
2018,12,107,20261.94,2,46197.2232,2,84087.051,2
2018,12,109,32419.104,1,76792.7526,1,156016.938,1
2018,12,111,25732.6638,1,54707.238,1,103335.894,1
2018,12,113,35964.9435,1,70410.2415,1,126333.1959,1
2018,12,115,26340.522,1,60887.1297,1,120558.543,1
2018,12,117,30798.148800000003,1,69903.693,1,132107.8488,1
2018,12,119,25226.1153,2,53187.5925,2,94724.5695,2
2018,12,121,14993.8356,2,35458.395,2,81068.02194,2
2018,12,123,14993.8356,3,35458.395,3,81068.02194,3
