year,state,county,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,01,093,race-ethnicity,"White, Non-Hispanic",17558.6961,3,42178.9642660764,3,86191.1207502052,3
2018,01,093,all,All,16209.552,3,43563.171,3,88139.439,3
2018,01,095,race-ethnicity,"Black, Non-Hispanic",18541.003758516003,1,54825.885844,1,78724.097217,1
2018,01,095,race-ethnicity,Hispanic,13918.28185,1,29521.320812,1,59854.560656,1
2018,01,095,race-ethnicity,Other Races and Ethnicities,27961.4772,1,62150.709507,1,119079.42138,1
2018,01,095,race-ethnicity,"White, Non-Hispanic",21413.904875,1,51820.9439,1,115599.12648,1
2018,01,095,all,All,20869.7982,1,55720.335,1,112048.5282,1
2018,01,097,race-ethnicity,"Black, Non-Hispanic",12652.282516,1,29521.320812,1,65310.645125,1
2018,01,097,race-ethnicity,Hispanic,18852.607716,1,40064.721644,1,97635.255168,1
2018,01,097,race-ethnicity,Other Races and Ethnicities,18023.432736,1,49641.753,1,82239.33256,1
2018,01,097,race-ethnicity,"White, Non-Hispanic",24988.182400000005,1,58628.73822,1,108763.48884,1
2018,01,097,all,All,17020.0296,1,45589.365,1,91178.73,1
2018,01,099,race-ethnicity,"Black, Non-Hispanic",9528.607825,3,23554.79115,3,53398.91302134402,3
2018,01,099,race-ethnicity,Hispanic,0,3,15417.809825,3,85063.241058,3
2018,01,099,race-ethnicity,Other Races and Ethnicities,16773.046680207586,3,35458.395,3,88564.970024,3
2018,01,099,race-ethnicity,"White, Non-Hispanic",17319.967565130013,3,44540.853072,3,90156.81717758547,3
2018,01,099,all,All,13778.1192,3,37484.589,3,81047.76,3
2018,01,101,race-ethnicity,"Black, Non-Hispanic",12875.112317816323,1,35233.478896,1,73332.57536,1
2018,01,101,race-ethnicity,Hispanic,23347.473952,1,46820.073078,1,97635.255168,1
2018,01,101,race-ethnicity,Other Races and Ethnicities,30835.61965,1,67329.008376,1,132042.8908392961,1
2018,01,101,race-ethnicity,"White, Non-Hispanic",27837.572125,1,67023.9592,1,131371.55845,1
2018,01,101,all,All,18944.9139,1,50654.85,1,102353.18991,1
2018,01,103,race-ethnicity,"Black, Non-Hispanic",13575.4998,1,31837.191408,1,69593.4261,1
