year,state,place,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,04,55000,race-ethnicity,Hispanic,20342.957525,2,42826.801325,2,81934.622292,2
2018,04,55000,race-ethnicity,Other Races and Ethnicities,26358.50208,2,64240.7062,2,121250.117156,2
2018,04,55000,race-ethnicity,"White, Non-Hispanic",28164.0966,2,64842.69236206161,2,131793.517988,2
2018,04,55000,all,All,25631.3541,2,57746.529,2,116506.155,2
2018,04,65000,race-ethnicity,"Black, Non-Hispanic",23098.6116,3,76410.460896,3,125624.02799999999,3
2018,04,65000,race-ethnicity,Hispanic,24732.63155,3,57988.704576,3,122044.06896,3
2018,04,65000,race-ethnicity,Other Races and Ethnicities,26358.50208,3,75268.842,3,197553.915,3
2018,04,65000,race-ethnicity,"White, Non-Hispanic",37473.073,3,85974.322347,3,179555.204364,3
2018,04,65000,all,All,36826.07595,3,86923.7226,3,182357.45999999996,3
2018,04,71510,race-ethnicity,"Black, Non-Hispanic",36931.62264,1,65369.286676,1,109651.771688,1
2018,04,71510,race-ethnicity,Hispanic,33739.08418,1,64738.1271954372,1,115081.397712,1
2018,04,71510,race-ethnicity,Other Races and Ethnicities,32111.317884,1,65085.14686000001,1,114460.52766600001,1
2018,04,71510,race-ethnicity,"White, Non-Hispanic",35218.701681,1,66381.592475,1,113466.864,1
2018,04,71510,all,All,36187.82484,1,68890.596,1,113466.864,1
2018,04,73000,race-ethnicity,"Black, Non-Hispanic",18023.432736,3,35847.965864,3,85100.148,3
2018,04,73000,race-ethnicity,Hispanic,21752.697768000002,3,50654.85,3,85271.64729600001,3
2018,04,73000,race-ethnicity,Other Races and Ethnicities,11777.395575,3,43649.719748,3,99688.7448,3
2018,04,73000,race-ethnicity,"White, Non-Hispanic",24860.081565,3,62150.709507,3,123264.950289,3
2018,04,73000,all,All,25327.425,3,59671.4133,3,119140.2072,3
2018,04,77000,race-ethnicity,"Black, Non-Hispanic",15388.426416,2,36082.550768,2,70852.580572,2
2018,04,77000,race-ethnicity,Hispanic,16060.17655,2,37956.847548,2,72942.984,2
2018,04,77000,race-ethnicity,Other Races and Ethnicities,13170.261000000002,2,37473.073,2,84390.9801,2
2018,04,77000,race-ethnicity,"White, Non-Hispanic",19888.065252,2,47752.389336,2,96999.489172,2
2018,04,77000,all,All,20261.94,2,45184.1262,2,89760.3942,2
2018,04,85540,race-ethnicity,"Black, Non-Hispanic",25377.810332999994,3,42398.2207,3,81047.76,3
2018,04,85540,race-ethnicity,Hispanic,18308.9643,3,40398.011739,3,75667.523008,3
2018,04,85540,race-ethnicity,Other Races and Ethnicities,17906.833430567498,3,56959.8777,3,96125.648718,3
2018,04,85540,race-ethnicity,"White, Non-Hispanic",22288.134,3,48628.656,3,96107.74292216645,3
2018,04,85540,all,All,21680.2758,3,43157.9322,3,83073.954,3
2018,05,23290,race-ethnicity,"Black, Non-Hispanic",12430.546377,3,26766.624775,3,46197.2232,3
2018,05,23290,race-ethnicity,Hispanic,23347.473952,3,40579.022,3,69617.88592,3
2018,05,23290,race-ethnicity,Other Races and Ethnicities,24090.264825,3,42450.589808,3,90737.547472,3
2018,05,23290,race-ethnicity,"White, Non-Hispanic",21413.904875,3,53864.015652,3,110279.34115,3
2018,05,23290,all,All,20869.7982,3,47615.559,3,102322.79700000002,3
2018,05,24550,race-ethnicity,"Black, Non-Hispanic",10612.397136,3,28654.173152,3,53771.948796,3
2018,05,24550,race-ethnicity,Hispanic,20342.957525,3,37484.589,3,67478.16836,3
2018,05,24550,race-ethnicity,Other Races and Ethnicities,18212.1555,3,43510.928384,3,79229.9354,3
2018,05,24550,race-ethnicity,"White, Non-Hispanic",20163.454432,3,47234.717852,3,93099.116024,3
2018,05,24550,all,All,20059.3206,3,46886.12916,3,95261.80268193592,3
2018,05,35710,race-ethnicity,"Black, Non-Hispanic",12954.46135661664,3,27834.6185,3,61114.24078199999,3
2018,05,35710,race-ethnicity,Hispanic,19485.796275,3,30867.555414,3,58040.9093,3
2018,05,35710,race-ethnicity,Other Races and Ethnicities,13432.592126392956,3,24314.328,3,45265.875585,3
2018,05,35710,race-ethnicity,"White, Non-Hispanic",19970.98275,3,45758.601432,3,90737.547472,3
2018,05,35710,all,All,17526.5781,3,42554.12638799999,3,85100.148,3
2018,05,41000,race-ethnicity,"Black, Non-Hispanic",13271.5707,1,35458.395,1,68080.1184,1
2018,05,41000,race-ethnicity,Hispanic,20243.450508,1,43228.547964,1,69830.153888,1
2018,05,41000,race-ethnicity,Other Races and Ethnicities,31203.3876,1,66858.402336,1,130689.513,1
2018,05,41000,race-ethnicity,"White, Non-Hispanic",27413.446716,1,67452.539825,1,146452.882752,1
2018,05,41000,all,All,18438.3654,1,50148.3015,1,116506.155,1
2018,05,66080,race-ethnicity,"Black, Non-Hispanic",12430.546377,3,26932.007826,3,50342.044365,3
2018,05,66080,race-ethnicity,Hispanic,23347.473952,3,41707.65192,3,69617.88592,3
2018,05,66080,race-ethnicity,Other Races and Ethnicities,24314.328,3,45265.875585,3,98802.728992,3
2018,05,66080,race-ethnicity,"White, Non-Hispanic",22483.8438,3,54825.885844,3,112493.011664,3
