year,state,county,pctl_20,pctl_50,pctl_80
2018,06,015,23402.54,53521.91,103335.9
2018,06,017,34536.48,86113.24,169187.2
2018,06,019,22288.13,51971.88,108401.4
2018,06,021,19248.84,47615.56,91178.73
2018,06,023,20261.94,50654.85,98067.79
2018,06,025,16310.86,47615.56,91178.73
2018,06,027,24922.19,56936.05,118025.8
2018,06,029,21072.42,50654.85,110427.6
2018,06,031,28366.72,64432.97,111440.7
2018,06,033,21275.04,50654.85,100296.6
2018,06,035,23402.54,53521.91,103335.9
2018,06,037,26340.52,68080.12,139807.4
2018,06,039,27252.31,58759.63,116658.1
2018,06,041,45893.29,130183.0,268470.7
2018,06,043,24922.19,56936.05,118025.8
2018,06,045,21275.04,50654.85,100296.6
2018,06,047,21275.04,55720.33,104349.0
2018,06,049,23402.54,53521.91,103335.9
2018,06,051,24922.19,56936.05,118025.8
2018,06,053,34141.37,73956.08,143150.6
2018,06,055,36481.62,87187.13,170301.6
2018,06,057,24841.14,66864.40,135147.1
2018,06,059,36775.42,89760.39,174455.3
2018,06,061,35154.47,91178.73,172226.5
2018,06,063,23402.54,53521.91,103335.9
2018,06,065,26340.52,66155.23,131500.0
2018,06,067,27758.86,69295.83,133728.8
2018,06,069,35458.39,75374.42,138895.6
2018,06,071,26847.07,64838.21,126333.2
2018,06,073,32419.10,78717.64,154801.2
2018,06,075,33432.20,113466.9,254338.0
2018,06,077,26036.59,63825.11,125117.5
2018,06,079,30473.96,72942.98,150951.5
2018,06,081,51769.26,125218.8,254287.3
2018,06,083,33128.27,79528.11,164527.0
2018,06,085,48740.10,126637.1,251248.1
2018,06,087,32824.34,87126.34,184485.0
2018,06,089,20261.94,54808.55,115493.1
2018,06,091,24841.14,66864.40,135147.1
2018,06,093,23402.54,53521.91,103335.9
2018,06,095,40523.88,82060.86,151964.5
2018,06,097,33432.20,80946.45,151964.5
2018,06,099,25023.50,60481.89,118228.4
2018,06,101,25530.04,55720.33,111440.7
2018,06,103,19248.84,47615.56,91178.73
2018,06,105,19248.84,47615.56,91178.73
2018,06,107,20261.94,48628.66,103335.9
2018,06,109,24922.19,56936.05,118025.8
2018,06,111,36471.49,84087.05,162804.7
2018,06,113,24213.02,69397.14,142441.4
2018,06,115,25530.04,55720.33,111440.7
2018,08,001,35458.39,72841.67,123597.8
2018,08,003,18235.75,40523.88,78616.33
2018,08,005,34850.54,76995.37,142745.4
2018,08,007,31102.08,60785.82,121571.6
2018,08,009,18235.75,40523.88,78616.33
2018,08,011,22693.37,51465.33,91583.97
2018,08,013,33938.75,86113.24,171517.3
2018,08,014,45589.36,96244.21,179318.2
2018,08,015,19248.84,52701.31,98270.41
2018,08,017,22693.37,51465.33,91583.97
