year,state,place,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2021,04,77000,Hispanic,20870.933218911356,1,47768.536647,1,99903.016,1
2021,04,77000,Other Races and Ethnicities,19904.645667,1,51496.399999999994,1,143274.87419019532,1
2021,04,77000,"White, Non-Hispanic",24222.031026,1,59949.075315,1,132905.239857,1
2021,04,85540,"Black, Non-Hispanic",40990.917717,2,135205.88796,2,10111888.988811,2
2021,04,85540,Hispanic,22143.452,2,52656.807915,2,101698.368165,2
2021,04,85540,Other Races and Ethnicities,29282.011062,2,62089.57257,2,135098.81259,2
2021,04,85540,"White, Non-Hispanic",24047.883489,2,61795.68,2,137468.110983,2
2021,05,23290,"Black, Non-Hispanic",19675.356837,2,54586.184,2,10101448.989855,2
2021,05,23290,Hispanic,30606.673467,2,52776.03567,2,91820.020401,2
2021,05,23290,Other Races and Ethnicities,27764.936382,2,66585.727965,2,132551.7336,2
2021,05,23290,"White, Non-Hispanic",26675.1352,2,66275.349438,2,156859.682436,2
2021,05,24550,"Black, Non-Hispanic",13117.579956,2,41197.12,2,93134.358855,2
2021,05,24550,Hispanic,25688.087532,2,49734.319776,2,90639.948393,2
2021,05,24550,Other Races and Ethnicities,24718.272,2,50282.030304,2,102821.742276,2
2021,05,24550,"White, Non-Hispanic",24141.126186,2,54586.184,2,109525.355544,2
2021,05,35710,"Black, Non-Hispanic",14023.843035,2,36397.54464,2,81922.488024,2
2021,05,35710,Hispanic,22266.626235,2,39899.495562,2,113704.05119999999,2
2021,05,35710,Other Races and Ethnicities,17513.885216084997,2,41197.12,2,139223.855577,2
2021,05,35710,"White, Non-Hispanic",23168.593023,2,55310.030715,2,117411.79199999999,2
2021,05,41000,"Black, Non-Hispanic",16178.145993,1,39569.542626,1,83939.132,1
2021,05,41000,Hispanic,23688.343999999997,1,47390.624049,1,111632.23155,1
2021,05,41000,Other Races and Ethnicities,28858.068045,1,75149.737275,1,120240.430542,1
2021,05,41000,"White, Non-Hispanic",31594.084749,1,78984.708798,1,185198.974155,1
2021,05,66080,"Black, Non-Hispanic",19675.356837,3,64231.07997,3,10101448.989855,3
2021,05,66080,Hispanic,30606.673467,3,54277.2056,3,92694.323112,3
2021,05,66080,Other Races and Ethnicities,29543.090498788806,3,70035.104,3,137160.243978,3
2021,05,66080,"White, Non-Hispanic",27381.338886,3,67772.136912,3,156909.52255942664,3
2021,06,00562,"Black, Non-Hispanic",24126.9015950244,2,82429.85228999998,2,165929.448135,2
2021,06,00562,Hispanic,43723.240326,2,88292.97872400002,2,168308.377284032,2
2021,06,00562,Other Races and Ethnicities,38258.595108,2,99079.0736,2,203861.456922,2
2021,06,00562,"White, Non-Hispanic",42861.9474,2,117756.64323,2,239061.0024,2
2021,06,00884,"Black, Non-Hispanic",67058.009724,2,102153.301821,2,193762.983465,2
2021,06,00884,Hispanic,38893.362507,2,80779.289295,2,135543.260727,2
2021,06,00884,Other Races and Ethnicities,26836.790428480817,2,73865.84298,2,156468.352293,2
2021,06,00884,"White, Non-Hispanic",49298.313117,2,112052.801832,2,222990.754476,2
2021,06,02000,"Black, Non-Hispanic",32115.539985,1,85303.324518,1,202222.265976,1
2021,06,02000,Hispanic,36397.54464,1,78468.0636,1,157653.48681,1
2021,06,02000,Other Races and Ethnicities,37440.283914,1,101704.378431,1,190536.68,1
2021,06,02000,"White, Non-Hispanic",39788.371578,1,106029.718923,1,230694.89481,1
2021,06,02252,"Black, Non-Hispanic",25258.490031,1,77089.124082,1,154903.031721,1
2021,06,02252,Hispanic,35595.539322,1,79510.924725,1,146595.9093,1
2021,06,02252,Other Races and Ethnicities,40368.687258,1,101998.71764168625,1,200800.890885,1
2021,06,02252,"White, Non-Hispanic",36076.31853,1,86672.693307,1,167552.986821,1
2021,06,02364,"Black, Non-Hispanic",13565.36883,2,44593.4349,2,117756.64323,2
2021,06,02364,Hispanic,25275.469029,2,56551.756014,2,111975.583395,2
2021,06,02364,Other Races and Ethnicities,22799.278383,2,63704.90700000001,2,119586.244707,2
2021,06,02364,"White, Non-Hispanic",28434.776889,2,68582.90552,2,128461.149795,2
2021,06,03526,"Black, Non-Hispanic",14418.992,2,47994.6448,2,136802.054934,2
2021,06,03526,Hispanic,25748.2,2,56646.04,2,112647.99645811616,2
2021,06,03526,Other Races and Ethnicities,36546.392838,2,84355.53216,2,194570.344335,2
2021,06,03526,"White, Non-Hispanic",33416.762883,2,81763.006482,2,154489.2,2
2021,06,04982,"Black, Non-Hispanic",17405.7832,2,62134.731495,2,115351.936,2
2021,06,04982,Hispanic,32411.641017,2,65943.275745,2,116159.90205,2
2021,06,04982,Other Races and Ethnicities,27854.748374999996,2,71748.58351338052,2,154232.613414,2
2021,06,04982,"White, Non-Hispanic",25481.9628,2,70653.58188,2,159638.84,2
2021,06,06000,"Black, Non-Hispanic",18105.339045,1,75081.7512,1,10061488.993851,1
2021,06,06000,Hispanic,47170.7024,1,224524.304,1,10130968.986903,1
2021,06,06000,Other Races and Ethnicities,34432.127739,1,138922.32586057804,1,10101448.989855,1
2021,06,06000,"White, Non-Hispanic",52975.180521,1,144504.36630305834,1,382173.208575,1
2021,06,08786,"Black, Non-Hispanic",38538.041895,3,78768.75124210332,3,139480.377093,3
2021,06,08786,Hispanic,38258.595108,3,77638.7043478209,3,149229.001233,3
2021,06,08786,Other Races and Ethnicities,41197.12,3,105312.609681,3,193935.4424,3
2021,06,08786,"White, Non-Hispanic",38265.227813535144,3,101439.376416,3,201256.239075,3
2021,06,08954,"Black, Non-Hispanic",46902.38894369341,1,92693.52,1,229768.37340600003,1
2021,06,08954,Hispanic,31952.273793,1,75532.459932,1,136906.69443,1
2021,06,08954,Other Races and Ethnicities,46874.469612,1,104498.293638,1,180237.4,1
2021,06,08954,"White, Non-Hispanic",24699.302514,1,81981.835434,1,179267.51415,1
2021,06,11194,"Black, Non-Hispanic",12637.23144,1,146723.25077180832,1,213854.24992,1
2021,06,11194,Hispanic,32411.641017,1,76008.6864,1,157969.417596,1
2021,06,11194,Other Races and Ethnicities,62922.246714,1,142377.91746,1,231735.80778,1
2021,06,11194,"White, Non-Hispanic",50063.201352,1,120703.608552,1,231688.948677,1
2021,06,11530,"Black, Non-Hispanic",41197.12,1,93880.809138,1,210318.00643406436,1
2021,06,11530,Hispanic,34256.03724,1,79304.456,1,147965.278089,1
2021,06,11530,Other Races and Ethnicities,58564.022124,1,111276.548286,1,194450.4064,1
2021,06,11530,"White, Non-Hispanic",39351.726771,1,92693.52,1,239387.729421,1
2021,06,13014,"Black, Non-Hispanic",20768.4885,1,51746.585886,1,125174.075121,1
2021,06,13014,Hispanic,28420.410141,1,64552.306079999995,1,166526.649276,1
2021,06,13014,Other Races and Ethnicities,26778.128,1,76214.672,1,191193.174585,1
2021,06,13014,"White, Non-Hispanic",25781.21319689425,1,72094.96,1,163963.670868,1
2021,06,13210,"Black, Non-Hispanic",40018.570326,2,191690.501331,2,10111888.988811,2
2021,06,13210,Hispanic,51175.86441815137,2,105980.37282,2,222737.241024,2
2021,06,13210,Other Races and Ethnicities,46032.30765,2,111000.369978,2,209502.2436983281,2
2021,06,13210,"White, Non-Hispanic",54654.556956,2,122574.02473500001,2,297649.192,2
2021,06,13214,"Black, Non-Hispanic",40018.570326,2,218630.140806,2,10111888.988811,2
2021,06,13214,Hispanic,52656.807915,2,110578.793547,2,248328.640839,2
2021,06,13214,Other Races and Ethnicities,46032.30765,2,111000.369978,2,212060.45094299997,2
2021,06,13214,"White, Non-Hispanic",55249.720558708716,2,123591.36,2,307948.472,2
2021,06,13392,"Black, Non-Hispanic",34331.816178,1,99133.72817641929,1,216386.5779290073,1
2021,06,13392,Hispanic,32647.522752000004,1,79819.42,1,149762.146845,1
2021,06,13392,Other Races and Ethnicities,46237.74708,1,116456.614752,1,204467.49003,1
2021,06,13392,"White, Non-Hispanic",49707.785196,1,120501.576,1,241482.803043,1
2021,06,13588,"Black, Non-Hispanic",24728.3496,1,55616.112,1,120240.430542,1
2021,06,13588,Hispanic,34041.8865,1,65083.754214,1,108999.13961699998,1
2021,06,13588,Other Races and Ethnicities,32857.807893,1,68513.084625,1,144034.4056236577,1
2021,06,13588,"White, Non-Hispanic",34791.41409,1,74835.350322,1,136636.39239,1
2021,06,14218,"Black, Non-Hispanic",43140.356307,1,114454.479495,1,215666.9232,1
2021,06,14218,Hispanic,37798.3576,1,79087.48986935017,1,151655.91341227086,1
2021,06,14218,Other Races and Ethnicities,50157.4936,1,109309.113912,1,207469.095339,1
2021,06,14218,"White, Non-Hispanic",39116.835276,1,91646.081448,1,170532.6789,1
2021,06,15044,"Black, Non-Hispanic",19568.632,2,60590.51739,2,120295.5904,2
2021,06,15044,Hispanic,28368.91218,2,65585.873586,2,113998.414293,2
2021,06,15044,Other Races and Ethnicities,22352.332845,2,77244.6,2,161219.142,2
2021,06,15044,"White, Non-Hispanic",40311.96016692062,2,96116.548017,2,10111888.988811,2
2021,06,16000,"Black, Non-Hispanic",36882.107586,3,95099.41539,3,200036.00265,3
2021,06,16000,Hispanic,42125.446332,3,93478.60826568006,3,173239.740969,3
2021,06,16000,Other Races and Ethnicities,52528.234983,3,123109.401585,3,218618.227824,3
2021,06,16000,"White, Non-Hispanic",51496.4,3,118826.386785,3,229549.544454,3
2021,06,16350,"Black, Non-Hispanic",75825.400938,2,153967.963023,2,10101448.989855,2
2021,06,16350,Hispanic,42125.446332,2,86567.047662,2,166394.909322,2
2021,06,16350,Other Races and Ethnicities,57272.191065,2,114733.9792,2,223526.36201700004,2
2021,06,16350,"White, Non-Hispanic",44705.676879,2,110262.37747500002,2,198044.98812,2
2021,06,16532,"Black, Non-Hispanic",63704.907,2,82394.24,2,268548.211143,2
2021,06,16532,Hispanic,39702.63954,2,83822.512155,2,160822.88231464752,2
2021,06,16532,Other Races and Ethnicities,42125.446332,2,107586.50337,2,212349.69,2
2021,06,16532,"White, Non-Hispanic",44336.961834,2,107795.780967,2,215254.952,2
2021,06,17918,"Black, Non-Hispanic",25692.02793,2,94782.254247,2,202849.569345,2
2021,06,17918,Hispanic,37468.29834,2,96451.251576,2,174172.231335,2
2021,06,17918,Other Races and Ethnicities,58004.834607,2,126375.332847,2,219055.895448,2
2021,06,17918,"White, Non-Hispanic",52304.762214,2,114052.74069507916,2,247697.684,2
2021,06,19766,"Black, Non-Hispanic",7724.46,1,44961.55395,1,135126.5536,1
2021,06,19766,Hispanic,39702.63954,1,76327.566345,1,139150.32357528483,1
2021,06,19766,Other Races and Ethnicities,47163.877338,1,92763.445293,1,202222.265976,1
2021,06,19766,"White, Non-Hispanic",36072.331782,1,85408.970163,1,179413.4576,1
2021,06,21712,"Black, Non-Hispanic",38349.8090278104,2,58004.834607,2,163253.57403,2
2021,06,21712,Hispanic,39137.264,2,75087.893721,2,140070.208,2
2021,06,21712,Other Races and Ethnicities,30588.8616,2,91368.29882736779,2,182981.275587,2
2021,06,21712,"White, Non-Hispanic",30815.44576,2,82394.23999999999,2,173876.31748928005,2
2021,06,22020,"Black, Non-Hispanic",33678.383571,1,90993.8616,1,171615.592509,1
2021,06,22020,Hispanic,52656.807915,1,101377.142055,1,171615.592509,1
2021,06,22020,Other Races and Ethnicities,42961.84860399837,1,103843.455597,1,180822.079833,1
2021,06,22020,"White, Non-Hispanic",52526.328,1,110309.596821,1,191669.372202,1
2021,06,22230,"Black, Non-Hispanic",45254.029893,1,10111888.988811,1,10296235.925576305,1
2021,06,22230,Hispanic,25928.908338,1,55131.69381,1,103078.567362,1
2021,06,22230,Other Races and Ethnicities,22480.776975,1,63836.25506699999,1,134772.7209751874,1
2021,06,22230,"White, Non-Hispanic",31901.389245,1,86513.952,1,10061488.993851,1
2021,06,22804,"Black, Non-Hispanic",12896.090776260964,1,65585.873586,1,225760.2176,1
2021,06,22804,Hispanic,25748.199999999997,1,57921.985632,1,120295.5904,1
2021,06,22804,Other Races and Ethnicities,37592.372,1,94998.172983,1,192596.536,1
2021,06,22804,"White, Non-Hispanic",34686.72054951168,1,96229.37395233408,1,202483.8448,1
2021,06,23182,"Black, Non-Hispanic",34979.200119,1,74154.816,1,152492.948589,1
2021,06,23182,Hispanic,40579.1632,1,85916.70418199999,1,148660.840683,1
2021,06,23182,Other Races and Ethnicities,52528.234983,1,107051.12651999999,1,189997.357155,1
2021,06,23182,"White, Non-Hispanic",46888.91061,1,103715.633352,1,178898.4936,1
2021,06,24638,"Black, Non-Hispanic",225142.2608,2,10101448.989855,2,10299278.970072,2
2021,06,24638,Hispanic,59306.623095,2,169101.085755,2,10101448.989855,2
2021,06,24638,Other Races and Ethnicities,66533.3488,2,149550.957105,2,251570.55138,2
2021,06,24638,"White, Non-Hispanic",50293.507293,2,113046.337095,2,215891.403228,2
2021,06,24680,"Black, Non-Hispanic",25380.108525,1,78233.670552,1,145940.7976,1
2021,06,24680,Hispanic,34979.200119,1,73986.676752,1,129534.64070700001,1
2021,06,24680,Other Races and Ethnicities,37077.408,1,94886.942193,1,189286.49720939685,1
2021,06,24680,"White, Non-Hispanic",39137.264,1,89410.342569,1,172338.963648,1
2021,06,26000,"Black, Non-Hispanic",34811.5664,1,106816.895292,1,216484.441821,1
2021,06,26000,Hispanic,54654.556956,1,102877.357671,1,180077.43601459902,1
2021,06,26000,Other Races and Ethnicities,86616.427362,1,175242.985035,1,294877.118175,1
2021,06,26000,"White, Non-Hispanic",51393.084771,1,126405.125787,1,239858.93025,1
2021,06,27000,"Black, Non-Hispanic",12294.035862,1,43177.181043,1,114054.032193,1
2021,06,27000,Hispanic,21010.5312,1,54275.09085,1,109081.002186,1
2021,06,27000,Other Races and Ethnicities,28733.946624,1,71985.03383665663,1,152120.36560000002,1
2021,06,27000,"White, Non-Hispanic",29487.208743,1,74881.579017,1,159022.855599,1
2021,06,28000,"Black, Non-Hispanic",39343.2496,2,116685.88953,2,304018.017606,2
2021,06,28000,Hispanic,33557.825028,2,74772.7728,2,152704.239879,2
2021,06,28000,Other Races and Ethnicities,42820.04655,2,119475.013917,2,236954.126394,2
2021,06,28000,"White, Non-Hispanic",48840.4287,2,105393.66403762199,2,215470.83294599998,2
2021,06,29000,"Black, Non-Hispanic",32957.696,1,88292.978724,1,224524.304,1
2021,06,29000,Hispanic,33529.004862,1,77828.137734,1,138836.74263794068,1
2021,06,29000,Other Races and Ethnicities,24622.284375,1,72259.71243,1,155652.256449,1
2021,06,29000,"White, Non-Hispanic",37270.777407,1,94847.564775,1,189563.502345,1
2021,06,30000,"Black, Non-Hispanic",41576.046924,1,91663.592,1,335289.037431,1
2021,06,30000,Hispanic,26778.128,1,68852.06041256401,1,139915.787379,1
2021,06,30000,Other Races and Ethnicities,49188.898641,1,105628.540467,1,197007.8914768691,1
2021,06,30000,"White, Non-Hispanic",20981.721795,1,73719.531081,1,164788.48,1
2021,06,32548,"Black, Non-Hispanic",24718.272,2,56840.820282,2,97843.16,2
2021,06,32548,Hispanic,29698.500032999997,2,61018.81887,2,113046.337095,2
2021,06,32548,Other Races and Ethnicities,42742.012,2,91148.628,2,157038.662889,2
2021,06,32548,"White, Non-Hispanic",41214.926145,2,102477.836,2,195686.32,2
2021,06,33000,"Black, Non-Hispanic",28261.83681,1,82355.307948,1,211650.20399999997,1
2021,06,33000,Hispanic,46346.76,1,94782.254247,1,177725.567451,1
2021,06,33000,Other Races and Ethnicities,60765.362706,1,128657.240418,1,229549.54445399996,1
2021,06,33000,"White, Non-Hispanic",33741.354552,1,110202.296,1,241602.11211250274,1
2021,06,33182,"Black, Non-Hispanic",21861.620163,2,60182.13937374632,2,166415.418486,2
2021,06,33182,Hispanic,27191.08311,2,62928.6008,2,138010.352,2
2021,06,33182,Other Races and Ethnicities,31103.8256,2,80288.34489,2,147017.485731,2
2021,06,33182,"White, Non-Hispanic",24718.272,2,67058.009724,2,152072.378307,2
2021,06,33434,"Black, Non-Hispanic",13565.36883,2,44593.4349,2,117756.64323,2
2021,06,33434,Hispanic,25275.469029,2,55881.337707,2,111495.377238,2
2021,06,33434,Other Races and Ethnicities,22799.278383,2,63704.90699999999,2,119586.244707,2
2021,06,33434,"White, Non-Hispanic",28434.776889,2,68582.90552,2,128461.149795,2
2021,06,36000,"Black, Non-Hispanic",33266.6744,1,94847.564775,1,206406.43026742237,1
2021,06,36000,Hispanic,40018.570326,1,88316.97735,1,163758.552,1
2021,06,36000,Other Races and Ethnicities,32858.586555,1,105052.656,1,214417.394943,1
2021,06,36000,"White, Non-Hispanic",49181.569269,1,109309.113912,1,211135.24,1
2021,06,36448,"Black, Non-Hispanic",42820.04655,2,10061488.993851,2,10130968.986903,2
2021,06,36448,Hispanic,19675.356837,2,48172.804905,2,111975.583395,2
2021,06,36448,Other Races and Ethnicities,42125.446332,2,118390.6822456884,2,10101448.989855,2
2021,06,36448,"White, Non-Hispanic",35806.830612,2,83822.512155,2,181453.777476,2
2021,06,36546,"Black, Non-Hispanic",24047.883489,1,68031.770784,1,137025.159105,1
2021,06,36546,Hispanic,31044.786285,1,64264.09451699999,1,120256.663014,1
2021,06,36546,Other Races and Ethnicities,25469.25858,1,92693.52,1,195566.187279,1
2021,06,36546,"White, Non-Hispanic",27327.278478,1,85163.348769,1,308978.4,1
2021,06,36770,"Black, Non-Hispanic",40234.199121,2,130952.91821999999,2,10061488.993851,2
2021,06,36770,Hispanic,37912.700469,2,101205.509463,2,281953.45791376167,2
2021,06,36770,Other Races and Ethnicities,42227.048,2,126375.332847,2,263283.033426,2
2021,06,36770,"White, Non-Hispanic",43256.976,2,113632.455762,2,242525.592138,2
2021,06,37692,"Black, Non-Hispanic",33529.004862,2,106391.5624,2,208749.494685,2
2021,06,37692,Hispanic,43723.240326,2,92899.5056,2,175467.582414,2
2021,06,37692,Other Races and Ethnicities,61469.168120999995,2,113998.41429299998,2,199971.334635,2
2021,06,37692,"White, Non-Hispanic",53920.531059,2,120703.608552,2,223263.456951,2
2021,06,39496,"Black, Non-Hispanic",33640.235652,3,71682.9888,3,215171.06627261103,3
2021,06,39496,Hispanic,42533.65972135826,3,93311.4768,3,176634.964845,3
2021,06,39496,Other Races and Ethnicities,56900.744397,3,136980.424,3,252751.671843,3
2021,06,39496,"White, Non-Hispanic",56869.553778,3,128984.470749,3,242266.64243083203,3
2021,06,39892,"Black, Non-Hispanic",48412.552520081284,2,96345.60981,2,185825.291031,2
2021,06,39892,Hispanic,42469.938,2,90565.56012,2,169938.12,2
2021,06,39892,Other Races and Ethnicities,47888.4354296545,2,110402.245575,2,193626.464,2
2021,06,39892,"White, Non-Hispanic",43177.878186,2,107051.12652,2,175914.527952,2
2021,06,40130,"Black, Non-Hispanic",15448.92,1,58480.011228,1,137433.916506,1
2021,06,40130,Hispanic,31293.265983000005,1,68301.48931169404,1,136877.4312,1
2021,06,40130,Other Races and Ethnicities,32746.344575999996,1,87543.88,1,235234.03172099998,1
2021,06,40130,"White, Non-Hispanic",28052.405238,1,78274.528,1,165072.845175,1
2021,06,41992,"Black, Non-Hispanic",50466.47200000001,2,109527.947724,2,381073.36,2
2021,06,41992,Hispanic,56869.553778,2,112725.110985,2,251908.518981,2
2021,06,41992,Other Races and Ethnicities,98049.1456,2,188510.064342,2,324112.365414,2
2021,06,41992,"White, Non-Hispanic",70653.58188,2,158703.079983,2,294877.118175,2
2021,06,43000,"Black, Non-Hispanic",16764.502431,1,52304.762214,1,118054.167216,1
2021,06,43000,Hispanic,31412.804,1,63752.5432,1,123591.36,1
2021,06,43000,Other Races and Ethnicities,30897.839999999997,1,84045.984924,1,169546.74736,1
2021,06,43000,"White, Non-Hispanic",39788.371578,1,99398.64054478658,1,204526.12070700002,1
2021,06,44000,"Black, Non-Hispanic",14830.963200000002,1,54204.786345,1,144519.42486,1
2021,06,44000,Hispanic,25748.2,1,60028.861638,1,125651.216,1
2021,06,44000,Other Races and Ethnicities,26822.799414,1,87175.614879,1,211105.152825,1
2021,06,44000,"White, Non-Hispanic",35306.43045,1,100628.62461,1,235015.202769,1
2021,06,45484,"Black, Non-Hispanic",61357.937331,3,146633.528079,3,365624.44,3
2021,06,45484,Hispanic,42084.04938,3,92693.52,3,170968.048,3
2021,06,45484,Other Races and Ethnicities,56132.046561,3,124179.14514,3,208653.53091,3
2021,06,45484,"White, Non-Hispanic",47390.624049,3,97630.51425,3,174457.329594,3
2021,06,46842,"Black, Non-Hispanic",39702.63954,2,106366.047684,2,177346.841187,2
