year,state,county,subgroup_type,subgroup,pctl_20,pctl_50,pctl_80,pctl_quality
2021,01,041,all,All,20220.57,51496.39,104936.58,2
2021,01,041,race-ethnicity,"Black, Non-Hispanic",11882.33,33529.00,65193.74,2
2021,01,041,race-ethnicity,Hispanic,17508.77,50981.43,104936.58,3
2021,01,041,race-ethnicity,Other Races and Ethnicities,30606.67,51496.39,102992.79,2
2021,01,041,race-ethnicity,"White, Non-Hispanic",24835.42,58293.92,112674.12,2
2021,01,043,all,All,22480.77,51397.45,97843.15,1
2021,01,043,race-ethnicity,"Black, Non-Hispanic",9723.59,51746.58,115400.98,3
2021,01,043,race-ethnicity,Hispanic,30622.84,54998.15,93002.49,3
2021,01,043,race-ethnicity,Other Races and Ethnicities,22627.52,53525.56,90118.69,3
2021,01,043,race-ethnicity,"White, Non-Hispanic",22040.45,51397.45,98255.13,1
2021,01,045,all,All,19568.63,49642.52,101447.90,2
2021,01,045,race-ethnicity,"Black, Non-Hispanic",13608.93,32647.52,68865.26,2
2021,01,045,race-ethnicity,Hispanic,23230.30,51076.16,104470.46,2
2021,01,045,race-ethnicity,Other Races and Ethnicities,13690.66,47891.65,87198.90,2
2021,01,045,race-ethnicity,"White, Non-Hispanic",23168.59,56646.03,109309.11,2
2021,01,047,all,All,13225.98,33699.95,80580.64,2
2021,01,047,race-ethnicity,"Black, Non-Hispanic",10281.76,24588.07,54868.32,2
2021,01,047,race-ethnicity,Hispanic,NA,NA,NA,3
2021,01,047,race-ethnicity,Other Races and Ethnicities,16993.81,33529.00,106082.58,3
2021,01,047,race-ethnicity,"White, Non-Hispanic",21534.38,55920.75,107122.85,2
2021,01,049,all,All,19447.18,44705.67,89516.07,2
2021,01,049,race-ethnicity,"Black, Non-Hispanic",16395.96,29487.20,90030.18,3
2021,01,049,race-ethnicity,Hispanic,14007.02,24047.88,53646.61,3
2021,01,049,race-ethnicity,Other Races and Ethnicities,15412.24,41197.11,72422.36,2
2021,01,049,race-ethnicity,"White, Non-Hispanic",20186.58,47102.05,92763.44,2
2021,01,051,all,All,26120.32,63061.39,116009.66,2
2021,01,051,race-ethnicity,"Black, Non-Hispanic",17128.01,42469.93,88573.80,2
2021,01,051,race-ethnicity,Hispanic,29058.53,50719.68,84250.89,3
2021,01,051,race-ethnicity,Other Races and Ethnicities,24704.37,49286.20,98873.08,3
2021,01,051,race-ethnicity,"White, Non-Hispanic",34256.03,73236.78,125322.90,2
2021,01,053,all,All,15242.93,39116.83,86504.18,2
