year,state,county,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality
2016,01,093,0.9479733963240127,1,0.9116983756870154,1,0.9647874541641691,1,0.07460742598684457,1
2016,01,095,0.930992921274047,1,0.7459070246828255,1,0.9639830776734728,1,0.15828818849196638,1
2016,01,011,0.228716927159284,1,NA,NA,0.9553595335998062,3,0.7427873426750474,1
2016,01,015,0.6062705424781655,1,0.9330937597034054,1,0.941128567827706,1,0.21060154602197095,1
2016,01,071,0.9326058008695559,1,0.9556903699242284,1,0.9445177284348515,1,0.102294975874377,1
2016,01,049,0.9564060865088286,1,0.7702011210559437,1,0.953770314664453,1,0.17500247870490504,1
2016,01,105,0.29903791575002997,1,0.9846079415284176,3,0.9871155484781954,3,0.6679590356589022,1
2016,01,109,0.5686323611526768,1,0.9603011138903634,1,0.9366062740343631,1,0.4039282554022487,1
2016,01,111,0.7248217133759093,1,0.9410842857105759,2,0.9676324369560713,2,0.22895742794191504,1
2016,01,113,0.4473963522336366,1,0.9291703531662332,1,0.9357033167092438,1,0.4136326763250267,1
2016,01,083,0.7970864031702142,1,0.8951788085650053,1,0.9397435695712516,1,0.2068483798290433,1
2016,01,065,0.3625502705161646,1,0.9752805454271299,3,0.9845076708005103,3,0.53340357870498,1
2016,01,001,0.7298751856413676,1,0.9480314115112467,2,0.9553973253092176,1,0.22605801191582608,1
2016,01,009,0.9711084199409779,2,0.8519753481269982,1,0.9748823158597265,1,0.11491292317156375,1
2016,01,067,0.6656799404569149,1,0.9364437540565058,2,0.9883345326515136,2,0.2943653225979104,1
2016,01,059,0.9213877723635917,1,0.6836690580573275,1,0.9691993007952807,1,0.17068105503539183,1
2016,01,019,0.9380719597085295,1,0.9792233038482181,2,0.9752864798503222,1,0.08021182278647737,1
2016,01,017,0.5366927738652202,1,0.9918207696406017,2,0.9618451209558243,1,0.3897269510532626,1
2016,01,039,0.7579443114597222,1,0.9751372311946707,1,0.9686197736788721,1,0.1453185622222549,1
2016,01,041,0.7377280021348696,1,0.9558759202762408,2,0.9452519332777882,1,0.2824770307799758,1
2016,01,127,0.865451163199016,1,0.9276272680538704,1,0.9669059307307588,1,0.0969584662584833,1
2016,01,047,0.23471664698898934,1,0.9547002067886312,2,0.966209230479397,2,0.5464635687774114,1
2016,01,023,0.46933089894513363,1,0.9829453791196128,3,0.9878922388056772,2,0.36014029142299897,1
2016,01,085,0.24048000340529993,1,0.9911745053971295,3,0.9934070140428415,3,0.7165299190263111,1
2016,01,029,0.9555835931326659,1,0.9470681692318144,2,0.9668710011877131,2,0.06930296790347591,1
2016,01,035,0.49498902323381316,1,0.9359321848765688,2,0.9730866794090561,3,0.45862889293905407,1
