year,state,county,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,other_nh_exposure,other_nh_exposure_quality,white_nh_exposure,white_nh_exposure_quality
2021,01,057,0.784904615342245,1,0.9905024084453549,3,0.9679047665464566,2,0.14665823987577,1
2021,01,059,0.8866907875224095,1,0.672391838713073,1,0.9522513087752847,2,0.18914057013352029,1
2021,01,061,0.8936775402592866,1,0.9547910005140688,1,0.9277371503249597,2,0.1801558244855735,1
2021,01,063,0.20316991979067345,1,0.9439290745254323,3,0.9841715151979107,3,0.7930876099541567,1
2021,01,065,0.3751164120020079,1,NA,NA,0.9476319945355435,2,0.5690747091969358,1
2021,01,067,0.6663533064835377,1,0.9508446180333432,2,0.9818270038943839,2,0.27257031659584957,1
2021,01,069,0.5446065524008737,1,0.9533525299035961,1,0.9515824143302091,1,0.2751426962055301,1
2021,01,071,0.8633069109709328,1,0.9417481814462398,1,0.9391142514324082,1,0.1055514962770822,1
2021,01,073,0.3205046922197734,1,0.9001439040473873,1,0.9146612666530748,1,0.29467215069539715,1
2021,01,075,0.8573626251519935,1,0.9772688477827272,3,0.9662739955560156,2,0.13725653529366144,1
2021,01,077,0.7224426842403356,1,0.9294324760161364,1,0.9421698066772528,1,0.13412909946395993,1
2021,01,079,0.6390695658141102,1,0.9499597558189032,2,0.849922401421155,1,0.2078146212131197,1
2021,01,081,0.6806658840507589,1,0.9036140699401595,1,0.8895336941331818,1,0.28835835881486066,1
2021,01,083,0.7831603342350852,1,0.8848756212407495,1,0.9297841008071409,1,0.22467421207257496,1
2021,01,085,0.23134331140944614,1,NA,NA,0.9917840352749197,3,0.6835123223163471,1
2021,01,087,0.15540338898600237,1,0.9804393326836705,2,0.9512042189058075,2,0.6864232614443112,1
2021,01,089,0.5522590765661709,1,0.8988091405713784,1,0.9111580622396129,1,0.2730203054083757,1
2021,01,091,0.4102771056619029,1,0.9263030413124255,3,0.9424758345535917,3,0.4829577665477943,1
2021,01,093,0.9084661155110106,1,0.9533107756991217,2,0.9658665614027195,2,0.08842573262369445,1
2021,01,095,0.93121081463336,1,0.7446197851561982,1,0.9511686005131001,1,0.17474067849058925,1
2021,01,097,0.3891212612320769,1,0.9237173900834711,1,0.906741732672546,1,0.29513923653700275,1
2021,01,099,0.456763135402561,1,0.991316831459271,3,0.9293451867569004,2,0.38186418962061364,1
2021,01,101,0.28790867548626936,1,0.8734781014525701,1,0.8839360678162073,1,0.491408872525389,1
2021,01,103,0.7099584307770054,1,0.7995379015353976,1,0.9440762678838024,1,0.1917950429578684,1
2021,01,105,0.2524106828557876,1,0.9779227295534371,3,NA,NA,0.5784816827955134,1
2021,01,107,0.5321761699314969,1,0.8499735815575662,1,0.9718496544683228,2,0.4095783406933262,1
2021,01,109,0.5461871680183611,1,0.9300821416756322,2,0.8732544088210145,1,0.392231062568917,1
2021,01,111,0.7102557179238549,1,0.9513190811254686,2,0.9461751450051422,1,0.2338407546058241,1
2021,01,113,0.45376551614558525,1,0.8335625451262136,1,0.9066619949248561,1,0.4539015417976042,1
2021,01,115,0.8448889314048816,1,0.9351873841041999,2,0.9529104217854881,1,0.14141484818478195,1
2021,01,117,0.8217681975493627,1,0.8888301886290845,1,0.9237952026069357,1,0.21934667995778084,1
2021,01,119,0.27134519117148687,1,0.9549470214624549,3,0.9524379715950962,3,0.7111274920590077,1
2021,01,121,0.56639944773018025,1,0.9454068452239469,1,0.946286740001718,1,0.3174029492681026,1
2021,01,123,0.5937053034112809,1,0.9431515802874095,2,0.9723406816900299,1,0.2606507882781724,1
2021,01,125,0.4437376988267054,1,0.916299648642188,1,0.9398837602560931,1,0.2657151413373877,1
2021,01,127,0.8627431081327996,1,0.9151059800944614,1,0.9491653312008802,1,0.11562121953241428,1
2021,01,129,0.7267283287063627,1,0.9616432645597374,3,0.7971484855479369,1,0.30888429705486986,1
2021,01,131,0.2646177705795918,1,0.9837587424791308,3,0.946126082549016,3,0.652267668580139,1
2021,01,133,0.9591359473545573,2,0.9208133945941394,2,0.9688412669532136,1,0.06398499926786835,1
2021,02,013,0.9823995306541508,3,0.8946905250806688,1,0.25080668817835144,1,0.872103256086829,1
2021,02,016,0.9650422271129808,3,0.8979391658560888,1,0.3600125401886185,1,0.7658059164196888,1
2021,02,020,0.8827106816906489,1,0.8753652879085865,1,0.6488716462066622,1,0.3835313416133329,1
2021,02,050,0.9782694448914317,1,0.9532754384067287,1,0.10312346112863724,1,0.8102936942308215,1
2021,02,060,NA,NA,0.8716136631330977,2,0.5465253239104829,1,0.5877502944640753,1
2021,02,063,0.9795883258159981,3,0.9394435434274001,1,0.7666963351783332,1,0.28269766043906713,1
2021,02,066,NA,NA,0.9514231499051233,2,0.6273244781783681,1,0.4223908918406072,1
2021,02,068,NA,NA,NA,NA,0.8143575674439872,2,0.2034750800182899,1
2021,02,070,0.9861115237222691,3,0.9276018099547512,1,0.17491778536907754,1,0.8139512205813912,1
2021,02,090,0.9121568994924937,1,0.8906720944022716,1,0.785184182536406,1,0.3052938875056189,1
2021,02,100,NA,NA,0.9342230695900858,2,0.8627264061010487,2,0.20305052430886558,1
2021,02,105,0.9806617963042544,3,0.9011602922217448,1,0.5616673828964331,1,0.5565105285775677,1
2021,02,110,0.9852178450177106,2,0.9139200688083772,1,0.6642319791977045,1,0.3455912969620625,1
2021,02,122,0.9897930248958255,2,0.9487156738486,1,0.7936855502477903,1,0.20197036896007164,1
2021,02,130,0.9905218259542141,2,0.941106348782706,1,0.6495229726422793,1,0.35184142901319615,1
2021,02,150,0.9519785529014,2,0.896593564926346,1,0.5070546183942183,1,0.4891670587834843,1
2021,02,158,NA,NA,0.9897055302848935,3,0.04333253531242519,1,0.9672013406751256,1
2021,02,164,NA,NA,NA,NA,0.2667342799188641,2,0.7565922920892495,2
2021,02,170,0.9769855040622867,1,0.9396979080980427,1,0.8362764924182404,1,0.2203784900998716,1
2021,02,180,0.9885049948417164,2,0.9539901539991533,1,0.153056268920386,1,0.7923982110825082,1
2021,02,185,0.9864355906335737,3,0.957180137196171,1,0.20114875032327534,1,0.3982184601668187,1
2021,02,188,0.9832410707422109,2,0.9477312454335859,1,0.12961502304333614,1,0.8669550176360867,1
2021,02,195,0.9899049881235155,3,0.9432897862232779,2,0.6736935866983373,1,0.39311163895486934,1
2021,02,198,NA,NA,0.9622506840071541,2,0.38730253031830164,1,0.44423830656211843,1
2021,02,220,0.9927113702623906,3,0.9269365235695448,1,0.6728528059696878,1,0.37833956074929503,1
2021,02,230,0.9706546275395034,3,0.9623777276147479,2,0.8051166290443943,2,0.2618510158013544,1
2021,02,240,0.9898699135596071,2,0.8940713257188198,1,0.6625511190396806,1,0.26211248283104105,1
