year,state_name,county_name,total_people,total_nonhisp,asian_other,black_nonhispanic,total_hispanic,white_nonhispanic,total_people_quality,total_nonhisp_quality,asian_other_quality,black_nonhispanic_quality,total_hispanic_quality,white_nonhispanic_quality
2020,Minnesota,Pipestone County,9370,8658,0.05474919957310566,0.00192102454642476,0.0759871931696905,0.8673425827107791,1,1,1,1,1,1
2020,Minnesota,Polk County,31303,29184,0.05542599750822605,0.02434271475577421,0.06769319234578156,0.8525380953902182,1,1,1,1,1,1
2020,Minnesota,Pope County,11216,11018,0.028530670470756064,0.005349500713266762,0.017653352353780315,0.9484664764621968,1,1,1,1,1,1
2020,Minnesota,Ramsey County,549377,507445,0.20171940215917303,0.11973198732382316,0.076326457059542,0.6022221534574618,1,1,1,1,1,1
2020,Minnesota,Red Lake County,3921,3778,0.03953073195613364,0.008416220351951033,0.03647028819178781,0.9155827595001275,1,1,1,1,1,1
2020,Minnesota,Redwood County,15435,14844,0.09322967282150955,0.006090055069646907,0.038289601554907675,0.8623906705539358,1,1,1,1,1,1
2020,Minnesota,Renville County,14768,13409,0.03812296858071506,0.0035888407367280608,0.09202329360780065,0.8662648970747562,1,1,1,1,1,1
2020,Minnesota,Rice County,66795,61128,0.04530279212515907,0.06169623474810989,0.08484167976644959,0.8081592933602815,1,1,1,1,1,1
2020,Minnesota,Rock County,9718,9395,0.034472113603622144,0.004116073266104137,0.0332372916237909,0.9281745215064828,1,1,1,1,1,1
2020,Minnesota,Roseau County,15321,15090,0.07088310162522028,0.008746165393903792,0.015077344820834148,0.9052933881600418,1,1,1,1,1,1
2020,Minnesota,St. Louis County,200311,196595,0.05995177498989072,0.01610495679218815,0.01855115295715163,0.9053921152607695,1,1,1,1,1,1
2020,Minnesota,Scott County,149568,141410,0.10569105691056911,0.04804503637141635,0.054543752674368846,0.7917201540436457,1,1,1,1,1,1
2020,Minnesota,Sherburne County,96295,93591,0.05343995015317514,0.02935770289215432,0.02808037800508853,0.8891219689495821,1,1,1,1,1,1
2020,Minnesota,Sibley County,14948,13567,0.02113995183302114,0.009767192935509768,0.09238694139684239,0.8767059138346267,1,1,1,1,1,1
2020,Minnesota,Stearns County,157638,151914,0.04949948616450348,0.07413821540491505,0.036311041753891826,0.8400512566766897,1,1,1,1,1,1
2020,Minnesota,Steele County,37363,34330,0.030859406364585285,0.0325723309156117,0.08117656505098626,0.8553916976688167,1,1,1,1,1,1
2020,Minnesota,Stevens County,9669,8961,0.05191850243044782,0.014996380184093494,0.07322370462302202,0.8598614127624367,1,1,1,1,1,1
2020,Minnesota,Swift County,9810,9272,0.03588175331294597,0.012640163098878695,0.054841997961264016,0.8966360856269113,1,1,1,1,1,1
2020,Minnesota,Todd County,25121,23367,0.03773735122009474,0.005453604553958839,0.0698220612236774,0.886986983002269,1,1,1,1,1,1
2020,Minnesota,Traverse County,3362,3223,0.08625817965496728,0.001784651992861392,0.04134443783462225,0.8706127305175491,1,1,1,1,1,1
2020,Minnesota,Wabasha County,21425,20769,0.022590431738623105,0.004434072345390899,0.03061843640606768,0.9423570595099183,1,1,1,1,1,1
2020,Minnesota,Wadena County,14009,13720,0.047897779998572344,0.009136983367834963,0.020629595260189877,0.9223356413734028,1,1,1,1,1,1
2020,Minnesota,Waseca County,18972,17767,0.039057558507273875,0.010858106683533628,0.0635146531730972,0.8865696816360953,1,1,1,1,1,1
2020,Minnesota,Washington County,264818,252905,0.09948719497919326,0.04792725570014123,0.0449856127604619,0.8075999365602036,1,1,1,1,1,1
