statefip,puma,county,pop20,afact,afact2,products,sum_products,county_pop,puma_flag,small_county
01,02100,051,87977,0.4642,1,0.4642,0.4642,87977,2,0
01,02100,085,10311,0.0544,1,0.0544,0.0544,10311,3,1
01,02100,101,32443,0.1712,0.1417,0.02425904,0.88255904,228954,1,0
01,02200,023,12665,0.0975,1,0.0975,0.0975,12665,3,1
01,02200,025,23087,0.1778,1,0.1778,0.1778,23087,3,0
01,02200,035,11597,0.0893,1,0.0893,0.0893,11597,3,1
01,02200,053,36757,0.283,1,0.283,0.283,36757,3,0
01,02200,099,19772,0.1522,1,0.1522,0.1522,19772,3,0
01,02200,129,15388,0.1185,1,0.1185,0.1185,15388,3,1
01,02200,131,10600,0.0816,1,0.0816,0.0816,10600,3,1
01,02300,013,19051,0.1545,1,0.1545,0.1545,19051,3,0
01,02300,031,53465,0.4337,1,0.4337,0.4337,53465,2,0
01,02300,039,37570,0.3048,1,0.3048,0.3048,37570,3,0
01,02300,041,13194,0.107,1,0.107,0.107,13194,3,1
01,02400,005,25223,0.1712,1,0.1712,0.1712,25223,3,0
01,02400,011,10357,0.0703,1,0.0703,0.0703,10357,3,1
01,02400,087,19532,0.1326,1,0.1326,0.1326,19532,3,0
01,02400,109,33009,0.2241,1,0.2241,0.2241,33009,3,0
01,02400,113,59183,0.4018,1,0.4018,0.4018,59183,2,0
01,02500,045,49326,0.2462,1,0.2462,0.2462,49326,3,0
01,02500,061,26659,0.1331,1,0.1331,0.1331,26659,3,0
01,02500,067,17146,0.0856,1,0.0856,0.0856,17146,3,1
01,02500,069,107202,0.5351,1,0.5351,0.5351,107202,2,0
01,02600,003,231767,1,1,1,1,231767,1,0
01,02701,097,99024,1,0.2387,0.2387,1,414809,1,0
01,02702,097,110631,1,0.2667,0.2667,1,414809,1,0
01,02703,097,205154,1,0.4946,0.4946,1,414809,1,0
02,00101,020,132634,0.9987,0.4554,0.45480798000000006,0.99920804,291247,1,0
02,00101,170,166,0.0012,0.0016,1.92e-6,0.64387008,107081,2,0
02,00102,020,158557,1,0.5444,0.5444,0.99920804,291247,1,0
02,00200,020,56,3e-4,2e-4,6e-8,0.99920804,291247,1,0
02,00200,068,20,1e-4,0.0124,1.24e-6,0.00967384,1618,3,1
02,00200,122,58798,0.3547,1,0.3547,0.3547,58798,2,0
02,00200,170,106915,0.6449,0.9984,0.64386816,0.64387008,107081,2,0
02,00300,063,7101,0.0435,0.9999,0.04349565,0.04349565,7101,3,1
02,00300,066,2617,0.016,1,0.016,0.016,2617,3,1
02,00300,068,1598,0.0098,0.987,0.0096726,0.00967384,1618,3,1
02,00300,090,95592,0.5855,0.9993,0.58509015,0.58509057,95655,2,0
02,00300,100,2080,0.0127,1,0.0127,0.0127,2080,3,1
02,00300,110,32232,0.1974,0.9993,0.19726181999999998,0.19726196,32255,3,0
02,00300,130,13948,0.0854,1,0.0854,0.0854,13948,3,1
02,00300,230,1240,0.0076,1,0.0076,0.0076,1240,3,1
02,00300,240,6807,0.0417,0.9999,0.04169583,0.04169583,6807,3,1
02,00300,290,59,4e-4,0.011,4.4e-6,0.0462896,5343,3,1
02,00400,013,3420,0.0303,1,0.0303,0.0303,3420,3,1
02,00400,016,5232,0.0463,1,0.0463,0.0463,5232,3,1
02,00400,050,18666,0.1652,1,0.1652,0.1652,18666,3,1
02,00400,060,844,0.0075,1,0.0075,0.0075,844,3,1
02,00400,070,4857,0.043,1,0.043,0.043,4857,3,1
02,00400,090,63,6e-4,7e-4,4.1999999999999995e-7,0.58509057,95655,2,0
02,00400,105,2360,0.0209,0.9979,0.020856109999999997,0.020856109999999997,2360,3,1
02,00400,110,23,2e-4,7e-4,1.4e-7,0.19726196,32255,3,0
02,00400,150,13101,0.116,1,0.116,0.116,13101,3,1
02,00400,158,8368,0.0741,1,0.0741,0.0741,8368,3,1
02,00400,164,1476,0.0131,1,0.0131,0.0131,1476,3,1
02,00400,180,10046,0.0889,1,0.0889,0.0889,10046,3,1
02,00400,185,11031,0.0977,1,0.0977,0.0977,11031,3,1
02,00400,188,7793,0.069,1,0.069,0.069,7793,3,1
02,00400,195,3398,0.0301,1,0.0301,0.0301,3398,3,1
02,00400,198,5753,0.0509,1,0.0509,0.0509,5753,3,1
02,00400,220,8458,0.0749,1,0.0749,0.0749,8458,3,1
02,00400,275,2127,0.0188,1,0.0188,0.0188,2127,3,1
02,00400,282,662,0.0059,1,0.0059,0.0059,662,3,1
02,00400,290,5284,0.0468,0.989,0.0462852,0.0462896,5343,3,1
04,00100,013,179340,1,0.0406,0.0406,0.9998911299999997,4420568,1,0
04,00101,013,186095,1,0.0421,0.0421,0.9998911299999997,4420568,1,0
04,00102,013,144066,1,0.0326,0.0326,0.9998911299999997,4420568,1,0
04,00103,013,114776,1,0.026,0.026,0.9998911299999997,4420568,1,0
04,00104,013,106653,1,0.0241,0.0241,0.9998911299999997,4420568,1,0
04,00105,013,153232,1,0.0347,0.0347,0.9998911299999997,4420568,1,0
04,00106,013,121782,1,0.0275,0.0275,0.9998911299999997,4420568,1,0
04,00107,013,128551,1,0.0291,0.0291,0.9998911299999997,4420568,1,0
04,00108,013,107998,1,0.0244,0.0244,0.9998911299999997,4420568,1,0
04,00109,013,117306,1,0.0265,0.0265,0.9998911299999997,4420568,1,0
04,00110,013,128268,1,0.029,0.029,0.9998911299999997,4420568,1,0
04,00111,013,111517,0.9998,0.0252,0.025194960000000002,0.9998911299999997,4420568,1,0
04,00111,021,23,2e-4,1e-4,2e-8,0.9803119199999999,425264,1,0
04,00112,013,130991,1,0.0296,0.0296,0.9998911299999997,4420568,1,0
04,00113,013,105180,1,0.0238,0.0238,0.9998911299999997,4420568,1,0
04,00114,013,111355,1,0.0252,0.0252,0.9998911299999997,4420568,1,0
04,00115,013,109655,1,0.0248,0.0248,0.9998911299999997,4420568,1,0
04,00116,013,110648,1,0.025,0.025,0.9998911299999997,4420568,1,0
04,00117,013,104518,1,0.0236,0.0236,0.9998911299999997,4420568,1,0
04,00118,013,118564,1,0.0268,0.0268,0.9998911299999997,4420568,1,0
04,00119,013,117315,1,0.0265,0.0265,0.9998911299999997,4420568,1,0
04,00120,013,108724,1,0.0246,0.0246,0.9998911299999997,4420568,1,0
04,00121,013,151343,1,0.0342,0.0342,0.9998911299999997,4420568,1,0
04,00122,013,112213,1,0.0254,0.0254,0.9998911299999997,4420568,1,0
04,00123,013,121166,1,0.0274,0.0274,0.9998911299999997,4420568,1,0
04,00124,013,114799,1,0.026,0.026,0.9998911299999997,4420568,1,0
04,00125,013,113774,1,0.0257,0.0257,0.9998911299999997,4420568,1,0
04,00126,013,131160,1,0.0297,0.0297,0.9998911299999997,4420568,1,0
04,00127,013,120988,1,0.0274,0.0274,0.9998911299999997,4420568,1,0
04,00128,013,108237,1,0.0245,0.0245,0.9998911299999997,4420568,1,0
04,00129,013,142252,1,0.0322,0.0322,0.9998911299999997,4420568,1,0
04,00130,013,125567,1,0.0284,0.0284,0.9998911299999997,4420568,1,0
04,00131,013,123745,1,0.028,0.028,0.9998911299999997,4420568,1,0
04,00132,013,147696,1,0.0334,0.0334,0.9998911299999997,4420568,1,0
04,00133,013,121860,1,0.0276,0.0276,0.9998911299999997,4420568,1,0
04,00134,013,169224,0.9999,0.0383,0.038296170000000004,0.9998911299999997,4420568,1,0
04,00134,021,14,1e-4,0,0,0.9803119199999999,425264,1,0
04,00134,025,9,1e-4,0,0,0.99700093,236209,1,0
04,00201,019,104553,1,0.1002,0.1002,1.0000875500000002,1043428,1,0
04,00202,019,129900,0.9999,0.1245,0.12448755,1.0000875500000002,1043428,1,0
04,00202,021,17,1e-4,0,0,0.9803119199999999,425264,1,0
04,00203,019,120071,1,0.1151,0.1151,1.0000875500000002,1043428,1,0
04,00204,019,109221,1,0.1047,0.1047,1.0000875500000002,1043428,1,0
04,00205,019,150888,1,0.1446,0.1446,1.0000875500000002,1043428,1,0
04,00206,019,103724,1,0.0994,0.0994,1.0000875500000002,1043428,1,0
04,00207,019,102692,1,0.0984,0.0984,1.0000875500000002,1043428,1,0
04,00208,019,102958,1,0.0987,0.0987,1.0000875500000002,1043428,1,0
04,00209,019,119421,1,0.1145,0.1145,1.0000875500000002,1043428,1,0
04,00300,001,66021,0.3822,1,0.3822,0.3822,66021,2,0
04,00300,017,106717,0.6178,1,0.6178,0.6178,106717,2,0
04,00400,005,144459,0.9995,0.9956,0.9951022,0.99511408,145101,1,0
04,00400,025,65,4e-4,3e-4,1.2e-7,0.99700093,236209,1,0
04,00500,005,642,0.0027,0.0044,1.1880000000000001e-5,0.99511408,145101,1,0
04,00500,025,236135,0.9973,0.9997,0.99700081,0.99700093,236209,1,0
04,00600,012,16557,0.072,1,0.072,0.072,16557,3,1
04,00600,015,213267,0.928,1,0.928,0.928,213267,1,0
04,00700,027,203881,1,1,1,1,203881,1,0
04,00800,003,9,1e-4,1e-4,1e-8,0.7245275500000001,125443,2,0
04,00800,007,53272,0.4824,1,0.4824,0.4824,53272,2,0
04,00800,009,38533,0.3489,1,0.3489,0.3489,38533,3,0
04,00800,011,9563,0.0866,1,0.0866,0.0866,9563,3,1
04,00800,021,9061,0.082,0.0213,0.0017466,0.9803119199999999,425264,1,0
04,00803,013,10,1e-4,0,0,0.9998911299999997,4420568,1,0
04,00803,021,147554,0.9999,0.347,0.3469653,0.9803119199999999,425264,1,0
04,00805,021,124418,1,0.2926,0.2926,0.9803119199999999,425264,1,0
04,00807,021,144177,1,0.339,0.339,0.9803119199999999,425264,1,0
04,00900,003,125434,0.7246,0.9999,0.7245275400000001,0.7245275500000001,125443,2,0
04,00900,023,47669,0.2754,1,0.2754,0.2754,47669,3,0
05,00100,007,282972,1,0.9952,0.9952,0.9952244100000001,284333,1,0
05,00200,007,1321,0.0053,0.0046,2.438e-5,0.9952244100000001,284333,1,0
05,00200,033,74,3e-4,0.0012,3.5999999999999994e-7,0.31928474999999995,60131,3,0
05,00200,087,61,2e-4,0.0037,7.400000000000001e-7,0.10536696000000001,16514,3,1
05,00200,143,245845,0.9941,0.9999,0.99400059,0.99400061,245871,1,0
05,00300,005,41499,0.2668,0.9969,0.26597292,0.26597602,41627,3,0
05,00300,007,40,3e-4,1e-4,3e-8,0.9952244100000001,284333,1,0
05,00300,009,37373,0.2403,1,0.2403,0.2403,37373,3,0
05,00300,015,28260,0.1817,1,0.1817,0.1817,28260,3,0
05,00300,087,16453,0.1058,0.9959,0.10536622000000001,0.10536696000000001,16514,3,1
05,00300,089,16826,0.1082,1,0.1082,0.1082,16826,3,1
05,00300,101,7225,0.0465,1,0.0465,0.0465,7225,3,1
05,00300,129,7721,0.0496,0.9863,0.048920479999999995,0.04892944,7821,3,1
05,00300,137,63,4e-4,0.0051,2.0400000000000004e-6,0.09153283999999999,12359,3,1
05,00300,141,30,2e-4,0.0019,3.8e-7,0.11767637,15796,3,1
05,00300,143,26,2e-4,1e-4,2e-8,0.99400061,245871,1,0
05,00400,005,128,0.001,0.0031,3.1e-6,0.26597602,41627,3,0
05,00400,023,24526,0.1834,0.9925,0.1820245,0.18203725,24711,3,0
05,00400,045,30,2e-4,2e-4,4e-8,0.62647472,123498,2,0
05,00400,049,12075,0.0903,1,0.0903,0.0903,12075,3,1
05,00400,063,37907,0.2835,0.9992,0.28327319999999995,0.28327343999999993,37938,3,0
05,00400,065,13577,0.1015,1,0.1015,0.1015,13577,3,1
05,00400,075,45,3e-4,0.0028,8.399999999999999e-7,0.0820704,16216,3,1
05,00400,121,18,1e-4,0.001,1.0000000000000001e-7,0.0943057,18571,3,1
05,00400,129,100,7e-4,0.0128,8.96e-6,0.04892944,7821,3,1
05,00400,135,17255,0.129,0.9991,0.1288839,0.12888399,17271,3,1
05,00400,137,12296,0.092,0.9949,0.0915308,0.09153283999999999,12359,3,1
05,00400,141,15766,0.1179,0.9981,0.11767599000000001,0.11767637,15796,3,1
05,00500,021,14552,0.074,1,0.074,0.074,14552,3,1
05,00500,031,101510,0.5165,0.9126,0.47135789999999994,0.4799755399999999,111231,2,0
05,00500,055,45736,0.2327,1,0.2327,0.2327,45736,3,0
05,00500,075,16171,0.0823,0.9972,0.08206956,0.0820704,16216,3,1
05,00500,121,18553,0.0944,0.999,0.0943056,0.0943057,18571,3,1
05,00500,135,16,1e-4,9e-4,9e-8,0.12888399,17271,3,1
05,00600,031,9721,0.0986,0.0874,0.00861764,0.4799755399999999,111231,2,0
05,00600,035,48147,0.4885,0.9997,0.48835345,0.48835351000000005,48163,2,0
05,00600,077,9,1e-4,0.001,1.0000000000000001e-7,0.0905095,8600,3,1
05,00600,093,40685,0.4128,1,0.4128,0.4128,40685,2,0
05,00700,001,10,1e-4,6e-4,6e-8,0.09292789,17144,3,1
05,00700,035,16,2e-4,3e-4,6e-8,0.48835351000000005,48163,2,0
05,00700,037,16829,0.1774,0.9998,0.17736452,0.17736452,16829,3,1
05,00700,077,8591,0.0906,0.999,0.0905094,0.0905095,8600,3,1
05,00700,095,6723,0.0709,0.9888,0.07010592,0.07011376,6799,3,1
05,00700,107,16568,0.1747,1,0.1747,0.1747,16568,3,1
05,00700,111,22965,0.2421,1,0.2421,0.2421,22965,3,0
05,00700,117,14,1e-4,0.0017,1.7e-7,0.07607063,8282,3,1
05,00700,123,23090,0.2434,1,0.2434,0.2434,23090,3,0
05,00700,147,39,4e-4,0.0062,2.48e-6,0.0570466,6269,3,1
05,00800,023,185,0.0017,0.0075,1.2749999999999998e-5,0.18203725,24711,3,0
05,00800,063,31,3e-4,8e-4,2.4e-7,0.28327343999999993,37938,3,0
05,00800,067,16754,0.1545,0.9999,0.15448455,0.15448455,16754,3,1
05,00800,085,248,0.0023,0.0034,7.82e-6,0.36824119,74015,2,0
05,00800,095,76,7e-4,0.0112,7.84e-6,0.07011376,6799,3,1
05,00800,117,8268,0.0762,0.9983,0.07607046,0.07607063,8282,3,1
05,00800,145,76674,0.7069,0.9981,0.70555689,0.70555841,76822,2,0
05,00800,147,6230,0.0574,0.9938,0.057044120000000004,0.0570466,6269,3,1
05,00900,053,16,1e-4,9e-4,9e-8,0.18414404999999998,17958,3,1
05,00900,085,488,0.0023,0.0066,1.518e-5,0.36824119,74015,2,0
05,00900,119,209864,0.9954,0.5258,0.52338132,0.9957312399999999,399125,1,0
05,00900,125,460,0.0022,0.0037,8.140000000000002e-6,0.97795851,123416,1,0
05,01000,119,188868,0.9982,0.4732,0.47234824,0.9957312399999999,399125,1,0
05,01000,125,335,0.0018,0.0027,4.86e-6,0.97795851,123416,1,0
05,01100,045,123468,0.6266,0.9998,0.6264746800000001,0.62647472,123498,2,0
05,01100,085,73279,0.3719,0.9901,0.36821819,0.36824119,74015,2,0
05,01100,119,133,7e-4,3e-4,2.0999999999999997e-7,0.9957312399999999,399125,1,0
05,01100,145,148,8e-4,0.0019,1.52e-6,0.70555841,76822,2,0
05,01200,051,279,0.0023,0.0028,6.44e-6,0.6087970400000001,100180,2,0
05,01200,053,58,5e-4,0.0032,1.6000000000000001e-6,0.18414404999999998,17958,3,1
05,01200,059,206,0.0017,0.0062,1.0539999999999999e-5,0.19894805999999998,33040,3,0
05,01200,119,260,0.0021,7e-4,1.47e-6,0.9957312399999999,399125,1,0
05,01200,125,121487,0.9934,0.9844,0.97790296,0.97795851,123416,1,0
05,01300,029,20715,0.1478,1,0.1478,0.1478,20715,3,0
05,01300,047,31,2e-4,0.0018,3.6e-7,0.17666697999999997,17097,3,1
05,01300,071,25749,0.1838,1,0.1838,0.1838,25749,3,0
05,01300,105,10019,0.0715,1,0.0715,0.0715,10019,3,1
05,01300,115,63381,0.4523,1,0.4523,0.4523,63381,2,0
05,01300,149,20215,0.1443,0.9976,0.14395368000000003,0.14395488000000004,20263,3,0
05,01400,033,60057,0.3197,0.9987,0.31928439,0.31928474999999995,60131,3,0
05,01400,047,50,3e-4,0.0029,8.699999999999998e-7,0.17666697999999997,17097,3,1
05,01400,083,134,7e-4,0.0063,4.41e-6,0.21762471000000003,21131,3,0
05,01400,127,10,1e-4,0.001,1.0000000000000001e-7,0.1023771,9834,3,1
05,01400,131,127624,0.6793,0.9986,0.67834898,0.6783515,127799,2,0
05,01500,047,17016,0.1775,0.9953,0.17666574999999998,0.17666697999999997,17097,3,1
05,01500,057,12,1e-4,6e-4,6e-8,0.2014791,20065,3,0
05,01500,061,12754,0.133,0.9976,0.13268080000000002,0.13268152000000002,12785,3,1
05,01500,081,11,1e-4,9e-4,9e-8,0.12069136999999999,12026,3,1
05,01500,083,20997,0.219,0.9937,0.21762030000000002,0.21762471000000003,21131,3,0
05,01500,097,31,3e-4,0.0037,1.11e-6,0.05094116,8484,3,1
05,01500,109,58,6e-4,0.0057,3.42e-6,0.09801662,10171,3,1
05,01500,113,19185,0.2001,0.9981,0.19971981,0.19972019,19221,3,0
05,01500,127,9824,0.1025,0.9988,0.102377,0.1023771,9834,3,1
05,01500,131,175,0.0018,0.0014,2.52e-6,0.6783515,127799,2,0
05,01500,133,15765,0.1644,0.9953,0.16362732,0.16363060999999998,15839,3,1
05,01500,149,48,5e-4,0.0024,1.2e-6,0.14395488000000004,20263,3,0
05,01600,019,21412,0.1308,0.9984,0.13059072,0.13059096999999997,21446,3,0
05,01600,051,99901,0.6105,0.9972,0.6087906000000001,0.6087970400000001,100180,2,0
05,01600,053,71,4e-4,0.004,1.6000000000000001e-6,0.18414404999999998,17958,3,1
05,01600,059,32799,0.2004,0.9927,0.19893708,0.19894805999999998,33040,3,0
05,01600,097,8408,0.0514,0.991,0.0509374,0.05094116,8484,3,1
05,01600,109,156,0.001,0.0153,1.53e-5,0.09801662,10171,3,1
05,01600,113,36,2e-4,0.0019,3.8e-7,0.19972019,19221,3,0
05,01600,125,855,0.0052,0.0069,3.5879999999999995e-5,0.97795851,123416,1,0
05,01700,001,10257,0.1073,0.5981,0.06417613,0.09292789,17144,3,1
05,01700,039,15,2e-4,0.0023,4.6e-7,0.06728446,6476,3,1
05,01700,053,17779,0.186,0.99,0.18414,0.18414404999999998,17958,3,1
05,01700,069,67260,0.7036,1,0.7036,0.7036,67260,2,0
05,01700,125,279,0.0029,0.0023,6.67e-6,0.97795851,123416,1,0
05,01800,001,6877,0.0717,0.401,0.0287517,0.09292789,17144,3,1
05,01800,003,19062,0.1987,1,0.1987,0.1987,19062,3,0
05,01800,011,10519,0.1097,0.9975,0.10942575000000002,0.10942650000000001,10545,3,1
05,01800,013,15,2e-4,0.0032,6.4e-7,0.04914288,4739,3,1
05,01800,017,10208,0.1064,1,0.1064,0.1064,10208,3,1
05,01800,025,7550,0.0787,1,0.0787,0.0787,7550,3,1
05,01800,041,11395,0.1188,1,0.1188,0.1188,11395,3,1
05,01800,043,17350,0.1809,1,0.1809,0.1809,17350,3,1
05,01800,079,12941,0.1349,1,0.1349,0.1349,12941,3,1
05,01900,011,26,3e-4,0.0025,7.499999999999999e-7,0.10942650000000001,10545,3,1
05,01900,013,4724,0.0493,0.9968,0.04914224,0.04914288,4739,3,1
05,01900,019,14,1e-4,7e-4,7e-8,0.13059096999999997,21446,3,0
05,01900,027,22764,0.2377,0.9984,0.23731967999999998,0.23732031999999997,22801,3,0
05,01900,039,6461,0.0675,0.9968,0.06728400000000001,0.06728446,6476,3,1
05,01900,053,34,4e-4,0.0019,7.6e-7,0.18414404999999998,17958,3,1
05,01900,059,35,4e-4,0.0011,4.4e-7,0.19894805999999998,33040,3,0
05,01900,103,22650,0.2365,1,0.2365,0.2365,22650,3,0
05,01900,139,39054,0.4078,1,0.4078,0.4078,39054,2,0
05,02000,019,20,2e-4,9e-4,1.8e-7,0.13059096999999997,21446,3,0
05,02000,027,37,4e-4,0.0016,6.4e-7,0.23732031999999997,22801,3,0
05,02000,057,20053,0.2016,0.9994,0.20147904,0.2014791,20065,3,0
05,02000,061,31,3e-4,0.0024,7.199999999999999e-7,0.13268152000000002,12785,3,1
05,02000,073,6308,0.0634,1,0.0634,0.0634,6308,3,1
05,02000,081,12015,0.1208,0.9991,0.12069128,0.12069136999999999,12026,3,1
05,02000,091,42600,0.4284,1,0.4284,0.4284,42600,2,0
05,02000,097,45,5e-4,0.0053,2.65e-6,0.05094116,8484,3,1
05,02000,099,8310,0.0836,1,0.0836,0.0836,8310,3,1
05,02000,109,9957,0.1001,0.979,0.0979979,0.09801662,10171,3,1
05,02000,133,74,7e-4,0.0047,3.2900000000000003e-6,0.16363060999999998,15839,3,1
06,00101,001,144035,0.991,0.0856,0.08482959999999999,0.9979948,1682353,1,0
06,00101,013,1308,0.009,0.0011,9.9e-6,0.99728512,1165927,1,0
06,00102,001,184298,1,0.1095,0.1095,0.9979948,1682353,1,0
06,00103,001,133666,0.9999,0.0795,0.07949205000000001,0.9979948,1682353,1,0
06,00103,013,18,1e-4,0,0,0.99728512,1165927,1,0
06,00104,001,142268,1,0.0846,0.0846,0.9979948,1682353,1,0
06,00105,001,173901,1,0.1034,0.1034,0.9979948,1682353,1,0
06,00106,001,147403,1,0.0876,0.0876,0.9979948,1682353,1,0
06,00107,001,164462,1,0.0978,0.0978,0.9979948,1682353,1,0
06,00108,001,142325,1,0.0846,0.0846,0.9979948,1682353,1,0
06,00109,001,202073,1,0.1201,0.1201,0.9979948,1682353,1,0
06,00110,001,246093,0.9984,0.1463,0.14606592000000002,0.9979948,1682353,1,0
06,00110,013,370,0.0015,3e-4,4.5e-7,0.99728512,1165927,1,0
06,00110,077,19,1e-4,0,0,0.99939485,779233,1,0
06,00300,003,1204,0.0063,1,0.0063,0.0063,1204,3,1
06,00300,005,40474,0.2109,1,0.2109,0.2109,40474,3,0
06,00300,009,45292,0.236,1,0.236,0.236,45292,3,0
06,00300,027,19016,0.0991,1,0.0991,0.0991,19016,3,0
06,00300,029,11,1e-4,0,0,0.99965631,909232,1,0
06,00300,043,17131,0.0893,1,0.0893,0.0893,17131,3,1
06,00300,051,13195,0.0687,1,0.0687,0.0687,13195,3,1
06,00300,109,55620,0.2898,1,0.2898,0.2898,55620,3,0
06,00701,007,124617,1,0.5888,0.5888,1,211632,1,0
06,00702,007,87015,1,0.4112,0.4112,1,211632,1,0
06,01100,011,21839,0.1646,1,0.1646,0.1646,21839,3,0
06,01100,021,28917,0.2179,1,0.2179,0.2179,28917,3,0
06,01100,103,65829,0.4961,1,0.4961,0.4961,65829,2,0
06,01100,105,16112,0.1214,1,0.1214,0.1214,16112,3,1
06,01301,013,126691,1,0.1087,0.1087,0.99728512,1165927,1,0
06,01302,013,128589,1,0.1103,0.1103,0.99728512,1165927,1,0
06,01303,013,136244,1,0.1169,0.1169,0.99728512,1165927,1,0
06,01304,001,1218,0.0094,7e-4,6.5800000000000005e-6,0.9979948,1682353,1,0
06,01304,013,128191,0.9906,0.1099,0.10886694,0.99728512,1165927,1,0
06,01305,001,217,0.0015,1e-4,1.5000000000000002e-7,0.9979948,1682353,1,0
06,01305,013,141077,0.9985,0.121,0.12081850000000001,0.99728512,1165927,1,0
06,01306,013,120201,1,0.1031,0.1031,0.99728512,1165927,1,0
06,01307,013,137384,1,0.1178,0.1178,0.99728512,1165927,1,0
06,01308,013,121392,1,0.1041,0.1041,0.99728512,1165927,1,0
06,01309,001,17,1e-4,0,0,0.9979948,1682353,1,0
06,01309,013,124462,0.9999,0.1067,0.10668933,0.99728512,1165927,1,0
06,01500,015,27743,0.2085,1,0.2085,0.2085,27743,3,0
06,01500,035,32730,0.246,1,0.246,0.246,32730,3,0
06,01500,049,8700,0.0654,1,0.0654,0.0654,8700,3,1
06,01500,063,19790,0.1488,1,0.1488,0.1488,19790,3,0
06,01500,093,44076,0.3313,1,0.3313,0.3313,44076,3,0
06,01700,017,191185,1,1,1,1,191185,1,0
06,01901,019,147233,1,0.146,0.146,1.00008114,1008654,1,0
06,01902,019,190222,0.9999,0.1886,0.18858113999999998,1.00008114,1008654,1,0
