"state","puma2k","placefp14","stab","placefp","placenm","placenm14","PUMA2kName","pop10","afact","AFACT2"
"01","00600","18040","AL"," "," ","Courtland town, AL","0100600",609,0.004,0.5337 
"01","00600","20104","AL"," "," ","Decatur city, AL","0100600",55599,0.3614,0.9612 
"01","00600","24688","AL"," "," ","Eva town, AL","0100600",519,0.0034,0.4971 
"01","00600","25648","AL"," "," ","Falkville town, AL","0100600",1279,0.0083,1 
"01","00600","33448","AL"," "," ","Hartselle city, AL","0100600",14258,0.0927,1 
"01","00600","33544","AL"," "," ","Hatton CDP, AL","0100600",261,0.0017,1 
"01","00600","34816","AL"," "," ","Hillsboro town, AL","0100600",552,0.0036,1 
"01","00600","51600","AL"," "," ","Moulton city, AL","0100600",3471,0.0226,0.0697 
"01","00600","55044","AL"," "," ","North Courtland town, AL","0100600",632,0.0041,0.1707 
"01","00600","62472","AL"," "," ","Priceville town, AL","0100600",2658,0.0173,1 
"01","00600","71496","AL"," "," ","Somerville town, AL","0100600",724,0.0047,1 
"01","00600","76584","AL"," "," ","Town Creek town, AL","0100600",1100,0.0072,0.1397 
"01","00600","76872","AL"," "," ","Trinity town, AL","0100600",2095,0.0136,1 
"01","00600","99999","AL"," "," "," ","0100600",70072,0.4555,0.0009 
"01","00700","01228","AL"," "," ","Aliceville city, AL","0100700",2486,0.0195,0.9562 
"01","00700","04852","AL"," "," ","Bear Creek town, AL","0100700",1070,0.0084,1 
"01","00700","04948","AL"," "," ","Beaverton town, AL","0100700",201,0.0016,1 
"01","00700","05140","AL"," "," ","Belgreen CDP, AL","0100700",129,0.001,0.0061 
"01","00700","05164","AL"," "," ","Belk town, AL","0100700",215,0.0017,0.0942 
"01","00700","05188","AL"," "," ","Bellamy CDP, AL","0100700",543,0.0042,0.195 
"01","00700","05932","AL"," "," ","Berry town, AL","0100700",1148,0.009,1 
"01","00700","09424","AL"," "," ","Brilliant town, AL","0100700",900,0.007,0.2264 
"01","00700","12304","AL"," "," ","Carrollton town, AL","0100700",1019,0.008,1 
"01","00700","18952","AL"," "," ","Cuba town, AL","0100700",346,0.0027,1 
"01","00700","20392","AL"," "," ","Detroit town, AL","0100700",237,0.0019,1 
"01","00700","23872","AL"," "," ","Emelle town, AL","0100700",53,0.0004,0.0046 
"01","00700","24256","AL"," "," ","Epes town, AL","0100700",192,0.0015,1 
"01","00700","24472","AL"," "," ","Ethelsville town, AL","0100700",81,0.0006,1 
"01","00700","25840","AL"," "," ","Fayette city, AL","0100700",4619,0.0361,0.9767 
"01","00700","28768","AL"," "," ","Gainesville town, AL","0100700",208,0.0016,0.6562 
"01","00700","29392","AL"," "," ","Geiger town, AL","0100700",170,0.0013,0.0501 
"01","00700","29944","AL"," "," ","Glen Allen town, AL","0100700",510,0.004,1 
"01","00700","30736","AL"," "," ","Gordo town, AL","0100700",1750,0.0137,1 
"01","00700","32224","AL"," "," ","Guin city, AL","0100700",2376,0.0186,1 
"01","00700","32536","AL"," "," ","Gu-Win town, AL","0100700",176,0.0014,0.0232 
"01","00700","32560","AL"," "," ","Hackleburg town, AL","0100700",1516,0.0119,0.1599 
"01","00700","32704","AL"," "," ","Haleyville city, AL","0100700",48,0.0004,0.0115 
"01","00700","32848","AL"," "," ","Hamilton city, AL","0100700",6885,0.0539,1 
"01","00700","35200","AL"," "," ","Hodges town, AL","0100700",288,0.0023,0.0062 
"01","00700","39520","AL"," "," ","Kennedy town, AL","0100700",447,0.0035,0.0446 
"01","00700","43720","AL"," "," ","Livingston city, AL","0100700",3485,0.0273,0.1486 
"01","00700","45316","AL"," "," ","Macedonia CDP, AL","0100700",292,0.0023,1 
"01","00700","45640","AL"," "," ","McMullen town, AL","0100700",10,0.0001,0.0035 
"01","00700","48052","AL"," "," ","Memphis town, AL","0100700",29,0.0002,1 
"01","00700","48808","AL"," "," ","Millport town, AL","0100700",1049,0.0082,1 
"01","00700","57912","AL"," "," ","Panola CDP, AL","0100700",144,0.0011,1 
"01","00700","59496","AL"," "," ","Phil Campbell town, AL","0100700",1148,0.009,0.1956 
"01","00700","59592","AL"," "," ","Pickensville town, AL","0100700",608,0.0048,0.6489 
"01","00700","63576","AL"," "," ","Red Bay city, AL","0100700",3158,0.0247,0.9535 
"01","00700","64104","AL"," "," ","Reform town, AL","0100700",1702,0.0133,0.8006 
"01","00700","67056","AL"," "," ","Russellville city, AL","0100700",9830,0.0769,0.2883 
"01","00700","72672","AL"," "," ","Spruce Pine CDP, AL","0100700",222,0.0017,1 
"01","00700","73728","AL"," "," ","Sulligent city, AL","0100700",1927,0.0151,1 
"01","00700","77352","AL"," "," ","Twin town, AL","0100700",399,0.0031,1 
"01","00700","78480","AL"," "," ","Vernon city, AL","0100700",2000,0.0157,0.7797 
"01","00700","78984","AL"," "," ","Vina town, AL","0100700",358,0.0028,1 
"01","00700","82992","AL"," "," ","Winfield city, AL","0100700",4717,0.0369,1 
"01","00700","84096","AL"," "," ","York city, AL","0100700",2538,0.0199,1 
"01","00700","99999","AL"," "," "," ","0100700",66565,0.5209,0.0008 
"01","00800","01396","AL"," "," ","Allgood town, AL","0100800",622,0.003,0.1725 
"01","00800","01660","AL"," "," ","Altoona town, AL","0100800",30,0.0001,0.0071 
"01","00800","02320","AL"," "," ","Argo town, AL","0100800",4010,0.0193,0.2085 
"01","00800","02908","AL"," "," ","Ashville city, AL","0100800",2212,0.0106,0.054 
"01","00800","07456","AL"," "," ","Blountsville town, AL","0100800",1684,0.0081,1 
"01","00800","12016","AL"," "," ","Carbon Hill city, AL","0100800",2021,0.0097,0.4406 
"01","00800","15472","AL"," "," ","Cleveland town, AL","0100800",1303,0.0063,0.2646 
"01","00800","17368","AL"," "," ","Cordova city, AL","0100800",2095,0.0101,1 
"01","00800","17968","AL"," "," ","County Line town, AL","0100800",197,0.0009,0.7636 
"01","00800","21136","AL"," "," ","Dora city, AL","0100800",2025,0.0097,1 
"01","00800","23344","AL"," "," ","Eldridge town, AL","0100800",130,0.0006,1 
"01","00800","33640","AL"," "," ","Hayden town, AL","0100800",535,0.0026,0.0721 
"01","00800","34480","AL"," "," ","Highland Lake town, AL","0100800",412,0.002,0.2599 
"01","00800","38416","AL"," "," ","Jasper city, AL","0100800",14357,0.069,1 
"01","00800","39280","AL"," "," ","Kansas town, AL","0100800",226,0.0011,0.0245 
"01","00800","41968","AL"," "," ","Leeds city, AL","0100800",1858,0.0089,0.1509 
"01","00800","43888","AL"," "," ","Locust Fork town, AL","0100800",1186,0.0057,0.0145 
"01","00800","46696","AL"," "," ","Margaret town, AL","0100800",4428,0.0213,1 
"01","00800","51096","AL"," "," ","Moody city, AL","0100800",11726,0.0564,1 
"01","00800","53400","AL"," "," ","Nauvoo town, AL","0100800",220,0.0011,0.1202 
"01","00800","53448","AL"," "," ","Nectar town, AL","0100800",345,0.0017,0.0104 
"01","00800","55992","AL"," "," ","Oakman town, AL","0100800",789,0.0038,0.1053 
"01","00800","56400","AL"," "," ","Odenville town, AL","0100800",3593,0.0173,0.6133 
"01","00800","57000","AL"," "," ","Oneonta city, AL","0100800",6567,0.0316,0.0165 
"01","00800","58272","AL"," "," ","Parrish town, AL","0100800",982,0.0047,1 
"01","00800","58896","AL"," "," ","Pell City city, AL","0100800",12719,0.0612,1 
"01","00800","63216","AL"," "," ","Ragland town, AL","0100800",1639,0.0079,1 
"01","00800","64920","AL"," "," ","Riverside town, AL","0100800",2208,0.0106,0.7513 
"01","00800","66408","AL"," "," ","Rosa town, AL","0100800",316,0.0015,0.2886 
"01","00800","70704","AL"," "," ","Sipsey town, AL","0100800",437,0.0021,0.281 
"01","00800","71201","AL"," "," ","Smoke Rise CDP, AL","0100800",1811,0.0087,1 
"01","00800","71280","AL"," "," ","Snead town, AL","0100800",835,0.004,0.1032 
"01","00800","72600","AL"," "," ","Springville city, AL","0100800",4080,0.0196,0.0605 
"01","00800","72888","AL"," "," ","Steele town, AL","0100800",1043,0.005,1 
"01","00800","73848","AL"," "," ","Sumiton city, AL","0100800",2504,0.012,0.4789 
"01","00800","74160","AL"," "," ","Susan Moore town, AL","0100800",763,0.0037,0.3802 
"01","00800","76944","AL"," "," ","Trussville city, AL","0100800",483,0.0023,0.0242 
"01","00800","99999","AL"," "," "," ","0100800",115547,0.5557,0.0014 
"01","00901","07000","AL"," "," ","Birmingham city, AL","0100901",84078,0.9381,0.087 
"01","00901","28552","AL"," "," ","Fultondale city, AL","0100901",255,0.0028,0.0304 
"01","00901","37864","AL"," "," ","Irondale city, AL","0100901",211,0.0024,0.0171 
"01","00901","51696","AL"," "," ","Mountain Brook city, AL","0100901",4,0,0.0002 
"01","00901","74976","AL"," "," ","Tarrant city, AL","0100901",4989,0.0557,0.7799 
"01","00901","99999","AL"," "," "," ","0100901",88,0.001,0 
"01","00902","05980","AL"," "," ","Bessemer city, AL","0100902",859,0.0085,0.0309 
"01","00902","07000","AL"," "," ","Birmingham city, AL","0100902",80813,0.8015,0.0837 
"01","00902","09400","AL"," "," ","Brighton city, AL","0100902",298,0.003,0.0375 
"01","00902","25120","AL"," "," ","Fairfield city, AL","0100902",11117,0.1103,0.7488 
"01","00902","35800","AL"," "," ","Homewood city, AL","0100902",670,0.0066,0.0148 
"01","00902","43336","AL"," "," ","Lipscomb city, AL","0100902",2146,0.0213,0.6667 
"01","00902","45208","AL"," "," ","McDonald Chapel CDP, AL","0100902",5,0,0.007 
"01","00902","48376","AL"," "," ","Midfield city, AL","0100902",4529,0.0449,0.0725 
"01","00902","99999","AL"," "," "," ","0100902",396,0.0039,0 
"01","00903","07000","AL"," "," ","Birmingham city, AL","0100903",9465,0.0556,0.0098 
"01","00903","35800","AL"," "," ","Homewood city, AL","0100903",24497,0.144,0.5414 
"01","00903","35896","AL"," "," ","Hoover city, AL","0100903",49514,0.291,0.5963 
"01","00903","37864","AL"," "," ","Irondale city, AL","0100903",10764,0.0633,0.8712 
"01","00903","41968","AL"," "," ","Leeds city, AL","0100903",9809,0.0576,0.7966 
"01","00903","51696","AL"," "," ","Mountain Brook city, AL","0100903",20417,0.12,0.9998 
"01","00903","78552","AL"," "," ","Vestavia Hills city, AL","0100903",34034,0.2,0.9996 
"01","00903","99999","AL"," "," "," ","0100903",11657,0.0685,0.0001 
"01","00904","00460","AL"," "," ","Adamsville city, AL","0100904",4520,0.0242,0.6683 
"01","00904","02320","AL"," "," ","Argo town, AL","0100904",61,0.0003,0.0032 
"01","00904","07000","AL"," "," ","Birmingham city, AL","0100904",31543,0.1686,0.0327 
"01","00904","09736","AL"," "," ","Brookside town, AL","0100904",1363,0.0073,1 
"01","00904","12040","AL"," "," ","Cardiff town, AL","0100904",55,0.0003,0.0098 
"01","00904","13264","AL"," "," ","Center Point city, AL","0100904",16934,0.0905,1 
"01","00904","15256","AL"," "," ","Clay city, AL","0100904",9708,0.0519,0.7567 
"01","00904","17968","AL"," "," ","County Line town, AL","0100904",61,0.0003,0.2364 
"01","00904","27088","AL"," "," ","Forestdale CDP, AL","0100904",10162,0.0543,1 
"01","00904","28552","AL"," "," ","Fultondale city, AL","0100904",8125,0.0434,0.9696 
"01","00904","29056","AL"," "," ","Gardendale city, AL","0100904",13904,0.0743,1 
"01","00904","31348","AL"," "," ","Grayson Valley CDP, AL","0100904",5736,0.0307,0.9153 
"01","00904","31384","AL"," "," ","Graysville city, AL","0100904",2165,0.0116,1 
"01","00904","37864","AL"," "," ","Irondale city, AL","0100904",1381,0.0074,0.1118 
"01","00904","39856","AL"," "," ","Kimberly city, AL","0100904",2711,0.0145,1 
"01","00904","47728","AL"," "," ","Maytown town, AL","0100904",9,0,0.0234 
"01","00904","51456","AL"," "," ","Morris town, AL","0100904",1859,0.0099,1 
"01","00904","52344","AL"," "," ","Mount Olive CDP, AL","0100904",4079,0.0218,1 
"01","00904","60648","AL"," "," ","Pinson city, AL","0100904",6989,0.0373,1 
"01","00904","73848","AL"," "," ","Sumiton city, AL","0100904",16,0.0001,0.0031 
"01","00904","74976","AL"," "," ","Tarrant city, AL","0100904",1408,0.0075,0.2201 
"01","00904","76680","AL"," "," ","Trafford town, AL","0100904",646,0.0035,0.0194 
"01","00904","76944","AL"," "," ","Trussville city, AL","0100904",19485,0.1041,0.9758 
"01","00904","79944","AL"," "," ","Warrior city, AL","0100904",3176,0.017,1 
"01","00904","81336","AL"," "," ","West Jefferson town, AL","0100904",12,0.0001,0.0355 
"01","00904","99999","AL"," "," "," ","0100904",41026,0.2192,0.0005 
"01","00905","00460","AL"," "," ","Adamsville city, AL","0100905",2,0,0.0003 
"01","00905","05980","AL"," "," ","Bessemer city, AL","0100905",26604,0.2403,0.9557 
"01","00905","07000","AL"," "," ","Birmingham city, AL","0100905",4710,0.0425,0.0049 
"01","00905","09400","AL"," "," ","Brighton city, AL","0100905",2647,0.0239,0.3328 
"01","00905","16936","AL"," "," ","Concord CDP, AL","0100905",1837,0.0166,0.4771 
"01","00905","23032","AL"," "," ","Edgewater CDP, AL","0100905",883,0.008,0.6594 
"01","00905","34024","AL"," "," ","Helena city, AL","0100905",2223,0.0201,0.1316 
"01","00905","35896","AL"," "," ","Hoover city, AL","0100905",9068,0.0819,0.1092 
"01","00905","36448","AL"," "," ","Hueytown city, AL","0100905",16105,0.1455,0.1693 
"01","00905","43336","AL"," "," ","Lipscomb city, AL","0100905",64,0.0006,0.0199 
"01","00905","45208","AL"," "," ","McDonald Chapel CDP, AL","0100905",712,0.0064,0.993 
"01","00905","47728","AL"," "," ","Maytown town, AL","0100905",376,0.0034,0.9766 
"01","00905","48376","AL"," "," ","Midfield city, AL","0100905",836,0.0076,0.0134 
"01","00905","49072","AL"," "," ","Minor CDP, AL","0100905",1094,0.0099,1 
"01","00905","52776","AL"," "," ","Mulga town, AL","0100905",836,0.0076,0.2912 
"01","00905","55152","AL"," "," ","North Johns town, AL","0100905",145,0.0013,0.0365 
"01","00905","61008","AL"," "," ","Pleasant Grove city, AL","0100905",10110,0.0913,1 
"01","00905","65412","AL"," "," ","Rock Creek CDP, AL","0100905",1456,0.0132,1 
"01","00905","74424","AL"," "," ","Sylvan Springs town, AL","0100905",1542,0.0139,1 
"01","00905","81336","AL"," "," ","West Jefferson town, AL","0100905",326,0.0029,0.9645 
"01","00905","99999","AL"," "," "," ","0100905",29141,0.2632,0.0004 
"01","01000","01660","AL"," "," ","Altoona town, AL","0101000",903,0.0086,0.2139 
"01","01000","03028","AL"," "," ","Attalla city, AL","0101000",6048,0.0579,1 
"01","01000","03820","AL"," "," ","Ballplay CDP, AL","0101000",1580,0.0151,0.0389 
"01","01000","07912","AL"," "," ","Boaz city, AL","0101000",1109,0.0106,0.1161 
"01","01000","09457","AL"," "," ","Bristow Cove CDP, AL","0101000",683,0.0065,1 
"01","01000","12070","AL"," "," ","Carlisle-Rockledge CDP, AL","0101000",2137,0.0205,0.8715 
"01","01000","16080","AL"," "," ","Coats Bend CDP, AL","0101000",1394,0.0133,0.7519 
"01","01000","23224","AL"," "," ","Egypt CDP, AL","0101000",932,0.0089,1 
"01","01000","28696","AL"," "," ","Gadsden city, AL","0101000",36858,0.3529,1 
"01","01000","28816","AL"," "," ","Gallant CDP, AL","0101000",855,0.0082,1 
"01","01000","29992","AL"," "," ","Glencoe city, AL","0101000",5122,0.049,0.9926 
"01","01000","35392","AL"," "," ","Hokes Bluff city, AL","0101000",4286,0.041,1 
"01","01000","38032","AL"," "," ","Ivalee CDP, AL","0101000",879,0.0084,0.1026 
"01","01000","44160","AL"," "," ","Lookout Mountain CDP, AL","0101000",1621,0.0155,0.581 
"01","01000","54582","AL"," "," ","New Union CDP, AL","0101000",955,0.0091,1 
"01","01000","63288","AL"," "," ","Rainbow City city, AL","0101000",9602,0.0919,0.935 
"01","01000","63984","AL"," "," ","Reece City town, AL","0101000",653,0.0063,1 
"01","01000","64656","AL"," "," ","Ridgeville town, AL","0101000",112,0.0011,1 
"01","01000","68280","AL"," "," ","Sardis City town, AL","0101000",1698,0.0163,0.9965 
"01","01000","71832","AL"," "," ","Southside city, AL","0101000",8257,0.0791,0.9816 
"01","01000","76208","AL"," "," ","Tidmore Bend CDP, AL","0101000",1245,0.0119,1 
"01","01000","79728","AL"," "," ","Walnut Grove town, AL","0101000",698,0.0067,1 
"01","01000","82176","AL"," "," ","Whitesboro CDP, AL","0101000",2138,0.0205,1 
"01","01000","99999","AL"," "," "," ","0101000",14665,0.1404,0.0002 
"01","01100","02860","AL"," "," ","Ashland town, AL","0101100",2037,0.0127,0.4904 
"01","01100","08248","AL"," "," ","Bon Air town, AL","0101100",116,0.0007,1 
"01","01100","09880","AL"," "," ","Broomtown CDP, AL","0101100",182,0.0011,0.0989 
"01","01100","12760","AL"," "," ","Cedar Bluff town, AL","0101100",1823,0.0114,0.7807 
"01","01100","13648","AL"," "," ","Centre city, AL","0101100",3489,0.0218,0.4581 
"01","01100","14464","AL"," "," ","Childersburg city, AL","0101100",5175,0.0323,0.9401 
"01","01100","16600","AL"," "," ","Collinsville town, AL","0101100",21,0.0001,0.0022 
"01","01100","20272","AL"," "," ","Delta CDP, AL","0101100",197,0.0012,1 
"01","01100","23176","AL"," "," ","Edwardsville town, AL","0101100",202,0.0013,1 
"01","01100","25864","AL"," "," ","Fayetteville CDP, AL","0101100",1284,0.008,0.7693 
"01","01100","28432","AL"," "," ","Fruithurst town, AL","0101100",284,0.0018,1 
"01","01100","29296","AL"," "," ","Gaylesville town, AL","0101100",144,0.0009,1 
"01","01100","31000","AL"," "," ","Graham CDP, AL","0101100",211,0.0013,0.0011 
"01","01100","33976","AL"," "," ","Heflin city, AL","0101100",3480,0.0217,1 
"01","01100","35512","AL"," "," ","Hollins CDP, AL","0101100",545,0.0034,1 
"01","01100","35536","AL"," "," ","Hollis Crossroads CDP, AL","0101100",608,0.0038,0.5688 
"01","01100","42016","AL"," "," ","Leesburg town, AL","0101100",1027,0.0064,0.0368 
"01","01100","43120","AL"," "," ","Lincoln city, AL","0101100",6266,0.0391,0.9286 
"01","01100","43264","AL"," "," ","Lineville city, AL","0101100",2395,0.015,0.7845 
"01","01100","48616","AL"," "," ","Mignon CDP, AL","0101100",1236,0.0077,1 
"01","01100","48784","AL"," "," ","Millerville CDP, AL","0101100",278,0.0017,1 
"01","01100","51469","AL"," "," ","Morrison Crossroads CDP, AL","0101100",219,0.0014,1 
"01","01100","52848","AL"," "," ","Munford town, AL","0101100",1292,0.0081,1 
"01","01100","55752","AL"," "," ","Oak Grove town, AL","0101100",528,0.0033,0.0373 
"01","01100","57576","AL"," "," ","Oxford city, AL","0101100",4156,0.026,0.193 
"01","01100","63408","AL"," "," ","Ranburne town, AL","0101100",409,0.0026,0.1616 
"01","01100","65040","AL"," "," ","Roanoke city, AL","0101100",6074,0.0379,0.5462 
"01","01100","65592","AL"," "," ","Rock Mills CDP, AL","0101100",600,0.0037,0.0487 
"01","01100","67920","AL"," "," ","Sand Rock town, AL","0101100",537,0.0034,0.2621 
"01","01100","72408","AL"," "," ","Spring Garden CDP, AL","0101100",238,0.0015,0.5075 
"01","01100","74352","AL"," "," ","Sylacauga city, AL","0101100",12797,0.0799,1 
"01","01100","74592","AL"," "," ","Talladega city, AL","0101100",15692,0.098,0.3398 
"01","01100","74616","AL"," "," ","Talladega Springs town, AL","0101100",166,0.001,1 
"01","01100","79344","AL"," "," ","Wadley town, AL","0101100",751,0.0047,1 
"01","01100","79488","AL"," "," ","Waldo town, AL","0101100",283,0.0018,1 
