"state","puma12","placefp14","stab","placefp","placenm","placenm14","PUMAname","pop10","afact","AFACT2"
"01","00200","37000","AL"," "," ","Huntsville city, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",9835,0.0572,0.0089 
"01","00200","42352","AL"," "," ","Lester town, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",111,0.0006,0.0276 
"01","00200","45784","AL"," "," ","Madison city, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",4614,0.0269,0.0701 
"01","00200","48112","AL"," "," ","Meridianville CDP, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",6021,0.035,1 
"01","00200","51216","AL"," "," ","Moores Mill CDP, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",5682,0.0331,1 
"01","00200","51264","AL"," "," ","Mooresville town, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",53,0.0003,1 
"01","00200","54312","AL"," "," ","New Market CDP, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",1597,0.0093,1 
"01","00200","63912","AL"," "," ","Redstone Arsenal CDP, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",1946,0.0113,0.0806 
"01","00200","76824","AL"," "," ","Triana town, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",496,0.0029,1 
"01","00200","99999","AL"," "," "," ","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",108938,0.634,0.0014 
"01","00301","37000","AL"," "," ","Huntsville city, AL","Huntsville (North) & Madison (East) Cities",56960,0.479,0.0517 
"01","00301","45784","AL"," "," ","Madison city, AL","Huntsville (North) & Madison (East) Cities",38324,0.3223,0.5825 
"01","00301","99999","AL"," "," "," ","Huntsville (North) & Madison (East) Cities",23640,0.1988,0.0003 
"01","00302","37000","AL"," "," ","Huntsville city, AL","Huntsville City (Central & South)",101193,0.9968,0.0918 
"01","00302","99999","AL"," "," "," ","Huntsville City (Central & South)",329,0.0032,0 
"01","00400","09328","AL"," "," ","Bridgeport city, AL","DeKalb & Jackson Counties",2418,0.0194,0.1927 
"01","00400","16600","AL"," "," ","Collinsville town, AL","DeKalb & Jackson Counties",1962,0.0158,0.2083 
"01","00400","18856","AL"," "," ","Crossville town, AL","DeKalb & Jackson Counties",1862,0.015,0.2972 
"01","00400","21952","AL"," "," ","Dutton town, AL","DeKalb & Jackson Counties",315,0.0025,1 
"01","00400","27616","AL"," "," ","Fort Payne city, AL","DeKalb & Jackson Counties",14042,0.1129,1 
"01","00400","28672","AL"," "," ","Fyffe town, AL","DeKalb & Jackson Counties",1018,0.0082,1 
"01","00400","29608","AL"," "," ","Geraldine town, AL","DeKalb & Jackson Counties",896,0.0072,1 
"01","00400","32896","AL"," "," ","Hammondville town, AL","DeKalb & Jackson Counties",488,0.0039,0.3523 
"01","00400","34096","AL"," "," ","Henagar city, AL","DeKalb & Jackson Counties",2344,0.0189,0.7406 
"01","00400","35632","AL"," "," ","Hollywood town, AL","DeKalb & Jackson Counties",1000,0.008,0.5754 
"01","00400","37264","AL"," "," ","Hytop town, AL","DeKalb & Jackson Counties",354,0.0028,1 
"01","00400","37312","AL"," "," ","Ider town, AL","DeKalb & Jackson Counties",723,0.0058,1 
"01","00400","40888","AL"," "," ","Lakeview town, AL","DeKalb & Jackson Counties",143,0.0012,0.572 
"01","00400","41368","AL"," "," ","Langston town, AL","DeKalb & Jackson Counties",270,0.0022,1 
"01","00400","48064","AL"," "," ","Mentone town, AL","DeKalb & Jackson Counties",360,0.0029,0.3282 
"01","00400","57696","AL"," "," ","Paint Rock town, AL","DeKalb & Jackson Counties",210,0.0017,0.0373 
"01","00400","60372","AL"," "," ","Pine Ridge town, AL","DeKalb & Jackson Counties",282,0.0023,1 
"01","00400","60720","AL"," "," ","Pisgah town, AL","DeKalb & Jackson Counties",722,0.0058,0.2371 
"01","00400","61038","AL"," "," ","Pleasant Groves town, AL","DeKalb & Jackson Counties",420,0.0034,1 
"01","00400","62075","AL"," "," ","Powell town, AL","DeKalb & Jackson Counties",955,0.0077,1 
"01","00400","63336","AL"," "," ","Rainsville city, AL","DeKalb & Jackson Counties",4948,0.0398,1 
"01","00400","67920","AL"," "," ","Sand Rock town, AL","DeKalb & Jackson Counties",23,0.0002,0.0112 
"01","00400","68736","AL"," "," ","Scottsboro city, AL","DeKalb & Jackson Counties",14770,0.1188,1 
"01","00400","69000","AL"," "," ","Section town, AL","DeKalb & Jackson Counties",770,0.0062,0.0014 
"01","00400","69840","AL"," "," ","Shiloh town, AL","DeKalb & Jackson Counties",274,0.0022,0.0483 
"01","00400","70896","AL"," "," ","Skyline town, AL","DeKalb & Jackson Counties",851,0.0068,1 
"01","00400","73080","AL"," "," ","Stevenson city, AL","DeKalb & Jackson Counties",2046,0.0165,0.021 
"01","00400","74400","AL"," "," ","Sylvania town, AL","DeKalb & Jackson Counties",1837,0.0148,0.1619 
"01","00400","78240","AL"," "," ","Valley Head town, AL","DeKalb & Jackson Counties",558,0.0045,0.2506 
"01","00400","83664","AL"," "," ","Woodville town, AL","DeKalb & Jackson Counties",746,0.006,1 
"01","00400","99999","AL"," "," "," ","DeKalb & Jackson Counties",66729,0.5367,0.0008 
"01","00500","00988","AL"," "," ","Albertville city, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",21160,0.1788,0.9752 
"01","00500","02116","AL"," "," ","Arab city, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",8023,0.0678,0.3143 
"01","00500","07912","AL"," "," ","Boaz city, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",8442,0.0713,0.8839 
"01","00500","21328","AL"," "," ","Douglas town, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",744,0.0063,1 
"01","00500","31096","AL"," "," ","Grant town, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",906,0.0077,0.0845 
"01","00500","32416","AL"," "," ","Guntersville city, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",8197,0.0693,1 
"01","00500","32440","AL"," "," ","Gurley town, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",793,0.0067,0.99 
"01","00500","37000","AL"," "," ","Huntsville city, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",12391,0.1047,0.0112 
"01","00500","39064","AL"," "," ","Joppa CDP, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",110,0.0009,0.0093 
"01","00500","54168","AL"," "," ","New Hope city, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",2810,0.0237,0.6807 
"01","00500","57504","AL"," "," ","Owens Cross Roads town, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",1521,0.0129,1 
"01","00500","68280","AL"," "," ","Sardis City town, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",6,0.0001,0.0035 
"01","00500","77784","AL"," "," ","Union Grove town, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",77,0.0007,0.0253 
"01","00500","99999","AL"," "," "," ","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",53165,0.4492,0.0007 
"01","00600","18040","AL"," "," ","Courtland town, AL","Morgan & Lawrence Counties--Decatur City",609,0.004,0.5337 
"01","00600","20104","AL"," "," ","Decatur city, AL","Morgan & Lawrence Counties--Decatur City",55599,0.3614,0.9612 
"01","00600","24688","AL"," "," ","Eva town, AL","Morgan & Lawrence Counties--Decatur City",519,0.0034,0.4971 
"01","00600","25648","AL"," "," ","Falkville town, AL","Morgan & Lawrence Counties--Decatur City",1279,0.0083,1 
"01","00600","33448","AL"," "," ","Hartselle city, AL","Morgan & Lawrence Counties--Decatur City",14258,0.0927,1 
"01","00600","33544","AL"," "," ","Hatton CDP, AL","Morgan & Lawrence Counties--Decatur City",261,0.0017,1 
"01","00600","34816","AL"," "," ","Hillsboro town, AL","Morgan & Lawrence Counties--Decatur City",552,0.0036,1 
"01","00600","51600","AL"," "," ","Moulton city, AL","Morgan & Lawrence Counties--Decatur City",3471,0.0226,0.0697 
"01","00600","55044","AL"," "," ","North Courtland town, AL","Morgan & Lawrence Counties--Decatur City",632,0.0041,0.1707 
"01","00600","62472","AL"," "," ","Priceville town, AL","Morgan & Lawrence Counties--Decatur City",2658,0.0173,1 
"01","00600","71496","AL"," "," ","Somerville town, AL","Morgan & Lawrence Counties--Decatur City",724,0.0047,1 
"01","00600","76584","AL"," "," ","Town Creek town, AL","Morgan & Lawrence Counties--Decatur City",1100,0.0072,0.1397 
"01","00600","76872","AL"," "," ","Trinity town, AL","Morgan & Lawrence Counties--Decatur City",2095,0.0136,1 
"01","00600","99999","AL"," "," "," ","Morgan & Lawrence Counties--Decatur City",70072,0.4555,0.0009 
"01","00700","00484","AL"," "," ","Addison town, AL","Cullman & Winston Counties",758,0.0072,1 
"01","00700","02116","AL"," "," ","Arab city, AL","Cullman & Winston Counties",27,0.0003,0.0011 
"01","00700","02500","AL"," "," ","Arley town, AL","Cullman & Winston Counties",357,0.0034,0.0471 
"01","00700","03676","AL"," "," ","Baileyton town, AL","Cullman & Winston Counties",610,0.0058,0.3361 
"01","00700","16684","AL"," "," ","Colony town, AL","Cullman & Winston Counties",268,0.0026,1 
"01","00700","18976","AL"," "," ","Cullman city, AL","Cullman & Winston Counties",14709,0.1402,1 
"01","00700","20955","AL"," "," ","Dodge City town, AL","Cullman & Winston Counties",593,0.0057,1 
"01","00700","21280","AL"," "," ","Double Springs town, AL","Cullman & Winston Counties",1083,0.0103,0.4287 
"01","00700","22504","AL"," "," ","East Point CDP, AL","Cullman & Winston Counties",190,0.0018,1 
"01","00700","25384","AL"," "," ","Fairview town, AL","Cullman & Winston Counties",446,0.0043,0.0517 
"01","00700","29032","AL"," "," ","Garden City town, AL","Cullman & Winston Counties",492,0.0047,1 
"01","00700","30496","AL"," "," ","Good Hope town, AL","Cullman & Winston Counties",2264,0.0216,0.5268 
"01","00700","32704","AL"," "," ","Haleyville city, AL","Cullman & Winston Counties",4125,0.0393,0.9885 
"01","00700","32968","AL"," "," ","Hanceville city, AL","Cullman & Winston Counties",2982,0.0284,0.5796 
"01","00700","35560","AL"," "," ","Holly Pond town, AL","Cullman & Winston Counties",798,0.0076,0.1075 
"01","00700","39064","AL"," "," ","Joppa CDP, AL","Cullman & Winston Counties",391,0.0037,0.0332 
"01","00700","44800","AL"," "," ","Lynn town, AL","Cullman & Winston Counties",659,0.0063,0.0223 
"01","00700","53376","AL"," "," ","Natural Bridge town, AL","Cullman & Winston Counties",37,0.0004,0.0153 
"01","00700","53400","AL"," "," ","Nauvoo town, AL","Cullman & Winston Counties",1,0,0.0005 
"01","00700","71900","AL"," "," ","South Vinemont town, AL","Cullman & Winston Counties",749,0.0071,0.0158 
"01","00700","81528","AL"," "," ","West Point town, AL","Cullman & Winston Counties",586,0.0056,1 
"01","00700","99999","AL"," "," "," ","Cullman & Winston Counties",72765,0.6937,0.0009 
"01","00800","01396","AL"," "," ","Allgood town, AL","St. Clair & Blount Counties",622,0.0044,0.1725 
"01","00800","01660","AL"," "," ","Altoona town, AL","St. Clair & Blount Counties",30,0.0002,0.0071 
"01","00800","02320","AL"," "," ","Argo town, AL","St. Clair & Blount Counties",4010,0.0285,0.2085 
"01","00800","02908","AL"," "," ","Ashville city, AL","St. Clair & Blount Counties",2212,0.0157,0.054 
"01","00800","07456","AL"," "," ","Blountsville town, AL","St. Clair & Blount Counties",1684,0.012,1 
"01","00800","15472","AL"," "," ","Cleveland town, AL","St. Clair & Blount Counties",1303,0.0092,0.2646 
"01","00800","17968","AL"," "," ","County Line town, AL","St. Clair & Blount Counties",197,0.0014,0.7636 
"01","00800","33640","AL"," "," ","Hayden town, AL","St. Clair & Blount Counties",535,0.0038,0.0721 
"01","00800","34480","AL"," "," ","Highland Lake town, AL","St. Clair & Blount Counties",412,0.0029,0.2599 
"01","00800","41968","AL"," "," ","Leeds city, AL","St. Clair & Blount Counties",1858,0.0132,0.1509 
"01","00800","43888","AL"," "," ","Locust Fork town, AL","St. Clair & Blount Counties",1186,0.0084,0.0145 
"01","00800","46696","AL"," "," ","Margaret town, AL","St. Clair & Blount Counties",4428,0.0314,1 
"01","00800","51096","AL"," "," ","Moody city, AL","St. Clair & Blount Counties",11726,0.0832,1 
"01","00800","53448","AL"," "," ","Nectar town, AL","St. Clair & Blount Counties",345,0.0024,0.0104 
"01","00800","56400","AL"," "," ","Odenville town, AL","St. Clair & Blount Counties",3593,0.0255,0.6133 
"01","00800","57000","AL"," "," ","Oneonta city, AL","St. Clair & Blount Counties",6567,0.0466,0.0165 
"01","00800","58896","AL"," "," ","Pell City city, AL","St. Clair & Blount Counties",12719,0.0903,1 
"01","00800","63216","AL"," "," ","Ragland town, AL","St. Clair & Blount Counties",1639,0.0116,1 
"01","00800","64920","AL"," "," ","Riverside town, AL","St. Clair & Blount Counties",2208,0.0157,0.7513 
"01","00800","66408","AL"," "," ","Rosa town, AL","St. Clair & Blount Counties",316,0.0022,0.2886 
"01","00800","71201","AL"," "," ","Smoke Rise CDP, AL","St. Clair & Blount Counties",1811,0.0129,1 
"01","00800","71280","AL"," "," ","Snead town, AL","St. Clair & Blount Counties",835,0.0059,0.1032 
"01","00800","72600","AL"," "," ","Springville city, AL","St. Clair & Blount Counties",4080,0.029,0.0605 
"01","00800","72888","AL"," "," ","Steele town, AL","St. Clair & Blount Counties",1043,0.0074,1 
"01","00800","74160","AL"," "," ","Susan Moore town, AL","St. Clair & Blount Counties",763,0.0054,0.3802 
"01","00800","76944","AL"," "," ","Trussville city, AL","St. Clair & Blount Counties",483,0.0034,0.0242 
"01","00800","99999","AL"," "," "," ","St. Clair & Blount Counties",74310,0.5273,0.0009 
"01","00900","01660","AL"," "," ","Altoona town, AL","Etowah County",903,0.0086,0.2139 
"01","00900","03028","AL"," "," ","Attalla city, AL","Etowah County",6048,0.0579,1 
"01","00900","03820","AL"," "," ","Ballplay CDP, AL","Etowah County",1580,0.0151,0.0389 
"01","00900","07912","AL"," "," ","Boaz city, AL","Etowah County",1109,0.0106,0.1161 
"01","00900","09457","AL"," "," ","Bristow Cove CDP, AL","Etowah County",683,0.0065,1 
"01","00900","12070","AL"," "," ","Carlisle-Rockledge CDP, AL","Etowah County",2137,0.0205,0.8715 
"01","00900","16080","AL"," "," ","Coats Bend CDP, AL","Etowah County",1394,0.0133,0.7519 
"01","00900","23224","AL"," "," ","Egypt CDP, AL","Etowah County",932,0.0089,1 
"01","00900","28696","AL"," "," ","Gadsden city, AL","Etowah County",36858,0.3529,1 
"01","00900","28816","AL"," "," ","Gallant CDP, AL","Etowah County",855,0.0082,1 
"01","00900","29992","AL"," "," ","Glencoe city, AL","Etowah County",5122,0.049,0.9926 
"01","00900","35392","AL"," "," ","Hokes Bluff city, AL","Etowah County",4286,0.041,1 
"01","00900","38032","AL"," "," ","Ivalee CDP, AL","Etowah County",879,0.0084,0.1026 
"01","00900","44160","AL"," "," ","Lookout Mountain CDP, AL","Etowah County",1621,0.0155,0.581 
"01","00900","54582","AL"," "," ","New Union CDP, AL","Etowah County",955,0.0091,1 
"01","00900","63288","AL"," "," ","Rainbow City city, AL","Etowah County",9602,0.0919,0.935 
"01","00900","63984","AL"," "," ","Reece City town, AL","Etowah County",653,0.0063,1 
"01","00900","64656","AL"," "," ","Ridgeville town, AL","Etowah County",112,0.0011,1 
"01","00900","68280","AL"," "," ","Sardis City town, AL","Etowah County",1698,0.0163,0.9965 
"01","00900","71832","AL"," "," ","Southside city, AL","Etowah County",8257,0.0791,0.9816 
"01","00900","76208","AL"," "," ","Tidmore Bend CDP, AL","Etowah County",1245,0.0119,1 
"01","00900","79728","AL"," "," ","Walnut Grove town, AL","Etowah County",698,0.0067,1 
"01","00900","82176","AL"," "," ","Whitesboro CDP, AL","Etowah County",2138,0.0205,1 
"01","00900","99999","AL"," "," "," ","Etowah County",14665,0.1404,0.0002 
"01","01000","02860","AL"," "," ","Ashland town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",2037,0.0127,0.4904 
"01","01000","08248","AL"," "," ","Bon Air town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",116,0.0007,1 
"01","01000","09880","AL"," "," ","Broomtown CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",182,0.0011,0.0989 
"01","01000","12760","AL"," "," ","Cedar Bluff town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1823,0.0114,0.7807 
"01","01000","13648","AL"," "," ","Centre city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",3489,0.0218,0.4581 
"01","01000","14464","AL"," "," ","Childersburg city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",5175,0.0323,0.9401 
"01","01000","16600","AL"," "," ","Collinsville town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",21,0.0001,0.0022 
"01","01000","20272","AL"," "," ","Delta CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",197,0.0012,1 
"01","01000","23176","AL"," "," ","Edwardsville town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",202,0.0013,1 
"01","01000","25864","AL"," "," ","Fayetteville CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1284,0.008,0.7693 
"01","01000","28432","AL"," "," ","Fruithurst town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",284,0.0018,1 
"01","01000","29296","AL"," "," ","Gaylesville town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",144,0.0009,1 
"01","01000","31000","AL"," "," ","Graham CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",211,0.0013,0.0011 
"01","01000","33976","AL"," "," ","Heflin city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",3480,0.0217,1 
"01","01000","35512","AL"," "," ","Hollins CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",545,0.0034,1 
"01","01000","35536","AL"," "," ","Hollis Crossroads CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",608,0.0038,0.5688 
"01","01000","42016","AL"," "," ","Leesburg town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1027,0.0064,0.0368 
"01","01000","43120","AL"," "," ","Lincoln city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",6266,0.0391,0.9286 
"01","01000","43264","AL"," "," ","Lineville city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",2395,0.015,0.7845 
"01","01000","48616","AL"," "," ","Mignon CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1236,0.0077,1 
"01","01000","48784","AL"," "," ","Millerville CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",278,0.0017,1 
"01","01000","51469","AL"," "," ","Morrison Crossroads CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",219,0.0014,1 
"01","01000","52848","AL"," "," ","Munford town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1292,0.0081,1 
"01","01000","55752","AL"," "," ","Oak Grove town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",528,0.0033,0.0373 
"01","01000","57576","AL"," "," ","Oxford city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",4152,0.0259,0.1928 
"01","01000","63408","AL"," "," ","Ranburne town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",409,0.0026,0.1616 
"01","01000","65040","AL"," "," ","Roanoke city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",6074,0.0379,0.5462 
"01","01000","65592","AL"," "," ","Rock Mills CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",600,0.0037,0.0487 
"01","01000","67920","AL"," "," ","Sand Rock town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",537,0.0034,0.2621 
"01","01000","72408","AL"," "," ","Spring Garden CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",238,0.0015,0.5075 
"01","01000","74352","AL"," "," ","Sylacauga city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",12797,0.0799,1 
"01","01000","74592","AL"," "," ","Talladega city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",15692,0.098,0.3398 
"01","01000","74616","AL"," "," ","Talladega Springs town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",166,0.001,1 
"01","01000","79344","AL"," "," ","Wadley town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",751,0.0047,1 
"01","01000","79488","AL"," "," ","Waldo town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",283,0.0018,1 
"01","01000","80496","AL"," "," ","Wedowee town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",823,0.0051,1 
"01","01000","83400","AL"," "," ","Woodland town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",184,0.0011,0.0331 
"01","01000","99999","AL"," "," "," ","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",84352,0.5269,0.0011 
"01","01100","01180","AL"," "," ","Alexandria CDP, AL","Calhoun County",3917,0.033,0.4512 
"01","01100","01852","AL"," "," ","Anniston city, AL","Calhoun County",23106,0.1949,0.5474 
"01","01100","14728","AL"," "," ","Choccolocco CDP, AL","Calhoun County",2804,0.0236,1 
"01","01100","29992","AL"," "," ","Glencoe city, AL","Calhoun County",38,0.0003,0.0074 
"01","01100","35152","AL"," "," ","Hobson City town, AL","Calhoun County",771,0.0065,1 
"01","01100","38272","AL"," "," ","Jacksonville city, AL","Calhoun County",12548,0.1058,1 
"01","01100","53232","AL"," "," ","Nances Creek CDP, AL","Calhoun County",407,0.0034,0.4438 
"01","01100","56472","AL"," "," ","Ohatchee town, AL","Calhoun County",1170,0.0099,1 
"01","01100","57576","AL"," "," ","Oxford city, AL","Calhoun County",17214,0.1452,0.7993 
"01","01100","59640","AL"," "," ","Piedmont city, AL","Calhoun County",4878,0.0411,0.1941 
"01","01100","67608","AL"," "," ","Saks CDP, AL","Calhoun County",10744,0.0906,0.7669 
"01","01100","71832","AL"," "," ","Southside city, AL","Calhoun County",155,0.0013,0.0184 
"01","01100","80352","AL"," "," ","Weaver city, AL","Calhoun County",3038,0.0256,1 
"01","01100","81084","AL"," "," ","West End-Cobb Town CDP, AL","Calhoun County",3465,0.0292,1 
"01","01100","82104","AL"," "," ","White Plains CDP, AL","Calhoun County",811,0.0068,1 
"01","01100","99999","AL"," "," "," ","Calhoun County",33506,0.2826,0.0004 
"01","01200","00820","AL"," "," ","Alabaster city, AL","Shelby County",30530,0.1565,0.7015 
"01","01200","07000","AL"," "," ","Birmingham city, AL","Shelby County",1538,0.0079,0.0016 
"01","01200","09064","AL"," "," ","Brantleyville CDP, AL","Shelby County",884,0.0045,0.0405 
