year,state,county,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,01,061,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,061,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,063,all,All,0.4460049937578027,1
2014,01,063,race-ethnicity,Black,0.43754337265787646,1
2014,01,063,race-ethnicity,Hispanic,NA,NA
2014,01,063,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,063,race-ethnicity,"White, Non-Hispanic",0.5217391304347826,2
2014,01,065,all,All,0.2029432708283883,1
2014,01,065,race-ethnicity,Black,0.24067998807038474,1
2014,01,065,race-ethnicity,Hispanic,NA,NA
2014,01,065,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,065,race-ethnicity,"White, Non-Hispanic",0.059113300492610835,1
2014,01,067,all,All,0,1
2014,01,067,race-ethnicity,Black,0,1
2014,01,067,race-ethnicity,Hispanic,0,3
2014,01,067,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,067,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,069,all,All,0.05862253069941271,1
2014,01,069,race-ethnicity,Black,0.09349329874621704,1
2014,01,069,race-ethnicity,Hispanic,0.0395778364116095,1
2014,01,069,race-ethnicity,Other Races and Ethnicities,0.07074569789674952,1
2014,01,069,race-ethnicity,"White, Non-Hispanic",0.0206977349648529,1
2014,01,071,all,All,0,1
2014,01,071,race-ethnicity,Black,0,2
2014,01,071,race-ethnicity,Hispanic,0,2
2014,01,071,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,071,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,073,all,All,0.24131607335490832,1
2014,01,073,race-ethnicity,Black,0.3367969482512812,1
2014,01,073,race-ethnicity,Hispanic,0.07686265709156194,1
2014,01,073,race-ethnicity,Other Races and Ethnicities,0.09668731483975222,1
2014,01,073,race-ethnicity,"White, Non-Hispanic",0.06268608932287498,1
2014,01,075,all,All,0,1
2014,01,075,race-ethnicity,Black,0,2
2014,01,075,race-ethnicity,Hispanic,0,3
2014,01,075,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,075,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,077,all,All,0.2072710103871577,1
2014,01,077,race-ethnicity,Black,0.4217840982546865,1
2014,01,077,race-ethnicity,Hispanic,0.2016949152542373,2
2014,01,077,race-ethnicity,Other Races and Ethnicities,0.35543766578249336,2
2014,01,077,race-ethnicity,"White, Non-Hispanic",0.14584986510077766,1
2014,01,079,all,All,0,1
2014,01,079,race-ethnicity,Black,0,1
2014,01,079,race-ethnicity,Hispanic,0,3
2014,01,079,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,079,race-ethnicity,"White, Non-Hispanic",0,1
