year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,06,22804,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,22804,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,23182,all,All,NA,NA
2014,06,23182,race-ethnicity,Black,NA,NA
2014,06,23182,race-ethnicity,Hispanic,NA,NA
2014,06,23182,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,23182,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,24638,all,All,NA,NA
2014,06,24638,race-ethnicity,Black,NA,NA
2014,06,24638,race-ethnicity,Hispanic,NA,NA
2014,06,24638,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,24638,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,24680,all,All,NA,NA
2014,06,24680,race-ethnicity,Black,NA,NA
2014,06,24680,race-ethnicity,Hispanic,NA,NA
2014,06,24680,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,24680,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,26000,all,All,NA,NA
2014,06,26000,race-ethnicity,Black,NA,NA
2014,06,26000,race-ethnicity,Hispanic,NA,NA
2014,06,26000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,26000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,27000,all,All,NA,NA
2014,06,27000,race-ethnicity,Black,NA,NA
2014,06,27000,race-ethnicity,Hispanic,NA,NA
2014,06,27000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,27000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,28000,all,All,NA,NA
2014,06,28000,race-ethnicity,Black,NA,NA
2014,06,28000,race-ethnicity,Hispanic,NA,NA
2014,06,28000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,28000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,29000,all,All,NA,NA
2014,06,29000,race-ethnicity,Black,NA,NA
2014,06,29000,race-ethnicity,Hispanic,NA,NA
2014,06,29000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,29000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,30000,all,All,NA,NA
2014,06,30000,race-ethnicity,Black,NA,NA
2014,06,30000,race-ethnicity,Hispanic,NA,NA
2014,06,30000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,30000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,32548,all,All,NA,NA
2014,06,32548,race-ethnicity,Black,NA,NA
2014,06,32548,race-ethnicity,Hispanic,NA,NA
2014,06,32548,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,32548,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,33000,all,All,NA,NA
2014,06,33000,race-ethnicity,Black,NA,NA
2014,06,33000,race-ethnicity,Hispanic,NA,NA
2014,06,33000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,33000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,33182,all,All,NA,NA
2014,06,33182,race-ethnicity,Black,NA,NA
2014,06,33182,race-ethnicity,Hispanic,NA,NA
2014,06,33182,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,33182,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,33434,all,All,NA,NA
2014,06,33434,race-ethnicity,Black,NA,NA
2014,06,33434,race-ethnicity,Hispanic,NA,NA
2014,06,33434,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,33434,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,36000,all,All,NA,NA
2014,06,36000,race-ethnicity,Black,NA,NA
2014,06,36000,race-ethnicity,Hispanic,NA,NA
2014,06,36000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,36000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,36448,all,All,NA,NA
2014,06,36448,race-ethnicity,Black,NA,NA
2014,06,36448,race-ethnicity,Hispanic,NA,NA
2014,06,36448,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,36448,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,36546,all,All,NA,NA
2014,06,36546,race-ethnicity,Black,NA,NA
2014,06,36546,race-ethnicity,Hispanic,NA,NA
2014,06,36546,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,36546,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,36770,all,All,NA,NA
2014,06,36770,race-ethnicity,Black,NA,NA
2014,06,36770,race-ethnicity,Hispanic,NA,NA
2014,06,36770,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,36770,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,37692,all,All,NA,NA
2014,06,37692,race-ethnicity,Black,NA,NA
2014,06,37692,race-ethnicity,Hispanic,NA,NA
2014,06,37692,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,37692,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,39496,all,All,NA,NA
2014,06,39496,race-ethnicity,Black,NA,NA
2014,06,39496,race-ethnicity,Hispanic,NA,NA
2014,06,39496,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,39496,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,39892,all,All,NA,NA
2014,06,39892,race-ethnicity,Black,NA,NA
2014,06,39892,race-ethnicity,Hispanic,NA,NA
2014,06,39892,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,39892,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,40130,all,All,NA,NA
2014,06,40130,race-ethnicity,Black,NA,NA
2014,06,40130,race-ethnicity,Hispanic,NA,NA
2014,06,40130,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,40130,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,41992,all,All,NA,NA
2014,06,41992,race-ethnicity,Black,NA,NA
2014,06,41992,race-ethnicity,Hispanic,NA,NA
2014,06,41992,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,41992,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,43000,all,All,NA,NA
2014,06,43000,race-ethnicity,Black,NA,NA
2014,06,43000,race-ethnicity,Hispanic,NA,NA
2014,06,43000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,06,43000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,06,44000,all,All,NA,NA
2014,06,44000,race-ethnicity,Black,NA,NA
