year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2014,40,75000,0.13664835238299172,1
2016,40,75000,0.19730970972087244,1
2018,40,75000,0.09545104277228682,1
2021,40,75000,0.10267688585893517,1
2023,40,75000,0.10108814580603094,1
2014,41,05350,0,1
2016,41,05350,0,1
2018,41,05350,0,1
2021,41,05350,0,1
2023,41,05350,0,1
2014,41,05800,0,1
2016,41,05800,0,1
2018,41,05800,0,1
2021,41,05800,0,1
2023,41,05800,0,1
2014,41,23850,0.3837112377193851,1
2016,41,23850,0.3264584109233623,1
2018,41,23850,0.29443639419348244,1
2021,41,23850,0.24190921609103216,1
2023,41,23850,0.22442726330126964,1
2014,41,31250,0.07763333478320403,1
2016,41,31250,0,1
2018,41,31250,0,1
2021,41,31250,0,1
2023,41,31250,0,1
2014,41,34100,0.19021860850309144,1
2016,41,34100,0.20851932233095644,1
2018,41,34100,0,1
2021,41,34100,0,1
2023,41,34100,0,1
2014,41,47000,0.07513183938773026,1
2016,41,47000,0.06987014923385958,1
2018,41,47000,0.06258557601705782,1
2021,41,47000,0,1
2023,41,47000,0,1
2014,41,59000,0.06747654288004894,1
2016,41,59000,0.08595205558396644,1
2018,41,59000,0.071411246609517115,1
2021,41,59000,0.07135055477979924,1
2023,41,59000,0.017716714258524932,1
2014,41,64900,0.16492648318488268,1
2016,41,64900,0.1451648359895075,1
2018,41,64900,0,1
2021,41,64900,0.0367229056774645,1
2023,41,64900,0.031652972366972655,1
2014,42,02000,0.24846338856226616,1
2016,42,02000,0.36389243719498215,1
2018,42,02000,0.25113851677026894,1
2021,42,02000,0.18313235767703154,1
2023,42,02000,0.19411173788733482,1
2014,42,06088,0.4509275882704967,1
2016,42,06088,0.28385836800543435,1
2018,42,06088,0.2803470793452008,1
2021,42,06088,0.13163633858639623,1
2023,42,06088,0.12738684508143389,1
2014,42,24000,0.42392707937713636,1
2016,42,24000,0.42832825303828037,1
2018,42,24000,0.30987859840025983,1
2021,42,24000,0.26431263460157933,1
2023,42,24000,0.29655362812313074,1
2014,42,60000,0.3520471363519674,1
2016,42,60000,0.32515113825199565,1
2018,42,60000,0.34639630533012317,1
2021,42,60000,0.27498075529476124,1
2023,42,60000,0.2891309614555081,1
2014,42,61000,0.26840471756672873,1
2016,42,61000,0.279622286979092,1
2018,42,61000,0.3058238707210427,1
2021,42,61000,0.2881490004314684,1
2023,42,61000,0.19446323757976924,1
2014,42,63624,0.800735101076398,1
2016,42,63624,0.6596176216183971,1
2018,42,63624,0.5294814814814814,1
2021,42,63624,0.32048900118906065,1
2023,42,63624,0.17561093441764966,1
2014,42,69000,0.20559548254620122,1
2016,42,69000,0.28033037626185375,1
2018,42,69000,0.2054268148498463,1
2021,42,69000,0.06904074882116969,1
2023,42,69000,0.06243556701030928,1
2014,44,19180,0,1
2016,44,19180,0,1
2018,44,19180,0,1
2021,44,19180,0,1
2023,44,19180,0,1
2014,44,54640,0.08101836504674137,1
2016,44,54640,0.09534273764797618,1
2018,44,54640,0.1154744855656893,1
2021,44,54640,0.11366919465511015,1
2023,44,54640,0,1
2014,44,59000,0.3411702171157542,1
2016,44,59000,0.19321736149792193,1
2018,44,59000,0.08643407256193746,1
2021,44,59000,0.14881557135982032,1
2023,44,59000,0.029972907457578784,1
2014,44,74300,0,1
2016,44,74300,0,1
2018,44,74300,0,1
2021,44,74300,0,1
2023,44,74300,0,1
2014,45,13330,0.39067552781680726,1
2016,45,13330,0.4083970483987306,1
2018,45,13330,0.3285389301623129,1
2021,45,13330,0.11735660132246363,1
2023,45,13330,0.09759236505951785,1
2014,45,16000,0.41697732708340085,1
2016,45,16000,0.36606759622670265,1
2018,45,16000,0.4291022587615748,1
2021,45,16000,0.37912979826058646,1
2023,45,16000,0.3907832716737303,1
2014,45,48535,0,1
2016,45,48535,0,1
2018,45,48535,0,2
2021,45,48535,0,2
2023,45,48535,0,2
2014,45,50875,0.26986072066538275,1
2016,45,50875,0.23787146043936747,1
2018,45,50875,0.24163911661646834,1
2021,45,50875,0.05059846989144202,1
2023,45,50875,0.03203214953761676,1
2014,46,59020,0,1
2016,46,59020,0,1
2018,46,59020,0,1
2021,46,59020,0,1
2023,46,59020,0,1
2014,47,14000,0.39654940400917826,1
2016,47,14000,0.38476025174829165,1
2018,47,14000,0.33668789831182266,1
2021,47,14000,0.1914802747066397,1
2023,47,14000,0.17551175026205335,1
2014,47,15160,0.10853102767592714,1
2016,47,15160,0.05582730978595428,1
2018,47,15160,0.03779767983997173,1
2021,47,15160,0.08837458697339413,1
2023,47,15160,0.06937079157786633,1
2014,47,27740,0,1
2016,47,27740,0,1
2018,47,27740,0,1
2021,47,27740,0,2
2023,47,27740,0,2
2014,47,40000,0.39816882184796054,1
2016,47,40000,0.4351604931238708,1
2018,47,40000,0.41169209138153945,1
2021,47,40000,0.29087011632794746,1
2023,47,40000,0.35035225130805997,1
2014,47,48000,0.39795220150928706,1
2016,47,48000,0.4370921841665878,1
2018,47,48000,0.3623558351764795,1
2021,47,48000,0.3418946410369996,1
2023,47,48000,0.29139711801020984,1
2014,47,51560,9.583225266940074e-4,1
2016,47,51560,2.706688367161714e-4,1
2018,47,51560,0,1
2021,47,51560,0,1
2023,47,51560,0,1
2014,47,52006,0.22187110976131943,1
2016,47,52006,0.14960541411238662,1
2018,47,52006,0.1387836674083122,1
2021,47,52006,0.0734901324240132,1
2023,47,52006,0.05796108079758669,1
2014,48,01000,0.09236545646043501,1
2016,48,01000,0.054000616689892235,1
2018,48,01000,0.018042867888719775,1
2021,48,01000,0.06977217133480806,1
2023,48,01000,0.09431223034245322,1
2014,48,01924,0,2
2016,48,01924,0,2
2018,48,01924,0,2
2021,48,01924,0,2
2023,48,01924,0,2
2014,48,03000,0.054610148851662876,1
2016,48,03000,0.11698997464048953,1
2018,48,03000,0.04545359014573466,1
2021,48,03000,0.10721323448939703,1
2023,48,03000,0.0214197217303667,1
2014,48,04000,0.17505312727497088,1
2016,48,04000,0.12255698682922943,1
2018,48,04000,0.09941360082727897,1
2021,48,04000,0.11845927501746317,1
2023,48,04000,0.08587550673609805,1
2014,48,05000,0.23080562769819354,1
2016,48,05000,0.16116482052516928,1
2018,48,05000,0.11106184921919714,1
2021,48,05000,0.12481839293946789,1
2023,48,05000,0.11017576698908625,1
2014,48,06128,0,1
2016,48,06128,0,1
2018,48,06128,0,1
2021,48,06128,0,1
2023,48,06128,0,1
2014,48,07000,0.18646769485719228,1
2016,48,07000,0.2629177999148941,1
2018,48,07000,0.12338746831837293,1
2021,48,07000,0.18811705544752982,1
2023,48,07000,0.12931213541780157,1
2014,48,10768,0.5910021952130023,1
2016,48,10768,0.456191899064707,1
2018,48,10768,0.38215262587584686,1
2021,48,10768,0.3219262876736417,1
2023,48,10768,0.26400777177806506,1
2014,48,10912,0.45342467883365883,1
2016,48,10912,0.3171944619453514,1
2018,48,10912,0.32391744807730954,1
2021,48,10912,0.3973458110098354,1
2023,48,10912,0.3285194052815924,1
2014,48,13024,0.06952502425395513,1
2016,48,13024,0,1
2018,48,13024,0,1
2021,48,13024,0,1
2023,48,13024,0,1
2014,48,13552,0,1
2016,48,13552,0,2
2018,48,13552,0,2
2021,48,13552,0,2
2023,48,13552,0,1
2014,48,15976,0.7503787944667856,1
2016,48,15976,0.7368461381613448,1
2018,48,15976,0.47862743763441185,1
2021,48,15976,0.6090266053286691,1
2023,48,15976,0.6821857075754543,1
2014,48,16432,0.17729849831151734,1
2016,48,16432,0.15630335001828363,1
2018,48,16432,0,1
2021,48,16432,0,1
2023,48,16432,0.06745219668090927,1
2014,48,17000,0.1576898088813507,1
2016,48,17000,0.0650952533025043,1
2018,48,17000,0.0629013435726987,1
2021,48,17000,0.11231951343042172,1
2023,48,17000,0.12375321396811471,1
2014,48,19000,0.2332531159809955,1
2016,48,19000,0.22068123357948713,1
2018,48,19000,0.10375306357098565,1
2021,48,19000,0.11208883794547128,1
2023,48,19000,0.1455017207228803,1
2014,48,19972,0.3188696245860209,1
2016,48,19972,0.28668206349130715,1
2018,48,19972,0.2489891032266297,1
2021,48,19972,0.17743502193714417,1
2023,48,19972,0.11460621483013203,1
2014,48,22660,0.1967580801028799,1
2016,48,22660,0.20315424835648935,1
2018,48,22660,0.17492039405439364,1
2021,48,22660,0.11634030194106451,1
2023,48,22660,0.18472125265558131,1
2014,48,24000,0.2076675265774537,1
2016,48,24000,0.19492354342974455,1
2018,48,24000,0.16469738195270314,1
2021,48,24000,0.15053571931435605,1
2023,48,24000,0.18865318066995554,1
2014,48,26232,0,2
2016,48,26232,0,2
2018,48,26232,0,2
2021,48,26232,0,2
2023,48,26232,0,2
2014,48,27000,0.24193463922869632,1
2016,48,27000,0.15399681393999656,1
2018,48,27000,0.0857872617367518,1
2021,48,27000,0.1307348685398189,1
2023,48,27000,0.04319557502002946,1
2014,48,27684,0,1
2016,48,27684,0,1
2018,48,27684,0,1
2021,48,27684,0,1
2023,48,27684,0,1
2014,48,29000,0.07449029118832008,1
2016,48,29000,0.07320511811085495,1
2018,48,29000,0,1
2021,48,29000,0,1
2023,48,29000,0,1
2014,48,30464,0.062281955128979875,1
2016,48,30464,0,1
2018,48,30464,0,1
2021,48,30464,0,1
2023,48,30464,0.06452420843678237,1
2014,48,35000,0.2540675462190665,1
2016,48,35000,0.21282365805512163,1
2018,48,35000,0.17953581728973197,1
2021,48,35000,0.1662640272459872,1
2023,48,35000,0.17529829271681968,1
2014,48,37000,0.04684921617298901,1
2016,48,37000,0.07228482045401716,1
2018,48,37000,0,1
2021,48,37000,0,1
2023,48,37000,0,1
2014,48,39148,0.0410737433616724,1
2016,48,39148,0.04490946800593553,1
2018,48,39148,0,1
2021,48,39148,0,1
2023,48,39148,0.1054471540623958,1
2014,48,41464,0.5940605227064656,1
2016,48,41464,0.576749794946347,1
2018,48,41464,0.4994201355394819,1
2021,48,41464,0.1919116152311716,1
2023,48,41464,0.2646921333810252,1
2014,48,41980,0,2
2016,48,41980,0,2
2018,48,41980,0,2
2021,48,41980,0,2
2023,48,41980,0,2
2014,48,42508,0,1
2016,48,42508,0,1
2018,48,42508,0,1
2021,48,42508,0.09064009543098916,1
2023,48,42508,0.08045060561016773,1
2014,48,43888,0,1
2016,48,43888,0.09494626566970528,1
2018,48,43888,0.09527064553338745,1
2021,48,43888,0,1
2023,48,43888,0.1826278908453318,1
2014,48,45000,0.32462547461266184,1
2016,48,45000,0.16265058815833863,1
2018,48,45000,0.1590563166506363,1
2021,48,45000,0.10728683231593718,1
2023,48,45000,0.1291771984686141,1
2014,48,45384,0.3074334647777039,1
2016,48,45384,0.1784521283003949,1
2018,48,45384,0.1336506160085048,1
2021,48,45384,0.3260105191227575,1
2023,48,45384,0.19035780405627448,1
2014,48,45744,0,1
2016,48,45744,0,1
2018,48,45744,0,1
2021,48,45744,0,1
2023,48,45744,0,1
2014,48,47892,0.009578674862682638,1
2016,48,47892,0,1
2018,48,47892,0,1
2021,48,47892,0.014326169608746681,1
2023,48,47892,0.013296952100152729,1
2014,48,48072,0,1
2016,48,48072,0,1
2018,48,48072,0,1
2021,48,48072,0,1
2023,48,48072,0,1
2014,48,48768,0.2928332337520237,1
2016,48,48768,0.2844557259528261,1
2018,48,48768,0.2990013380736105,1
2021,48,48768,0.09566714324440773,1
2023,48,48768,0.07371865454887537,1
2014,48,50820,0,1
2016,48,50820,0,1
2018,48,50820,0,1
2021,48,50820,0,1
2023,48,50820,0,1
2014,48,53388,0,1
2016,48,53388,0,1
2018,48,53388,0,1
2021,48,53388,0,1
2023,48,53388,0,1
2014,48,56000,0.22066240626828248,1
2016,48,56000,0.019423876775807054,1
2018,48,56000,0.021675643464806722,1
2021,48,56000,0.05107389878727887,1
2023,48,56000,0.1776614781259114,1
2014,48,56348,0,2
2016,48,56348,0,2
2018,48,56348,0,2
2021,48,56348,0,2
2023,48,56348,0,2
2014,48,57200,0.508867665342602,1
2016,48,57200,0.42269788178099565,1
2018,48,57200,0.109624918046128,1
2021,48,57200,0.4374928575981212,1
2023,48,57200,0.1504734090438664,1
2014,48,58016,0,1
2016,48,58016,0,1
2018,48,58016,0,1
2021,48,58016,0,1
2023,48,58016,0,1
2014,48,61796,0,1
2016,48,61796,0,1
2018,48,61796,0,1
2021,48,61796,0.15555346706765633,1
2023,48,61796,0.14537948938976075,1
2014,48,63500,0,1
2016,48,63500,0,1
2018,48,63500,0,1
2021,48,63500,0,1
2023,48,63500,0,1
2014,48,64472,0.11429058995856466,1
2016,48,64472,0,1
2018,48,64472,0,1
2021,48,64472,0,1
2023,48,64472,0.0810567326963024,1
2014,48,65000,0.16846488955947625,1
2016,48,65000,0.12399389963812264,1
2018,48,65000,0.11217191901864668,1
2021,48,65000,0.08833208259196057,1
2023,48,65000,0.12454648109027301,1
2014,48,70808,0,2
2016,48,70808,0,2
2018,48,70808,0,2
2021,48,70808,0,1
2023,48,70808,0,1
2014,48,72176,0.03854497190364923,1
2016,48,72176,0.31886852018154854,1
2018,48,72176,0.3202067174422326,1
2021,48,72176,0.09836813590690688,1
2023,48,72176,0.10205758494155831,1
2014,48,74144,0.15589565870393657,1
2016,48,74144,0.05336978881661056,1
2018,48,74144,0.19872698404718878,1
2021,48,74144,0,1
2023,48,74144,0,1
2014,48,76000,0.3614341078004469,1
2016,48,76000,0.3612202669350051,1
2018,48,76000,0.5372402395363162,1
2021,48,76000,0.42766887011199534,1
2023,48,76000,0.4589018822499466,1
2014,48,79000,0.16978759212579325,1
2016,48,79000,0.1664476892414045,1
2018,48,79000,0.11055498670842123,1
2021,48,79000,0.15103884531513836,1
2023,48,79000,0.1964541485324459,1
2014,49,43660,0,1
2016,49,43660,0,1
2018,49,43660,0,1
2021,49,43660,0,2
2023,49,43660,0,2
2014,49,44320,0,2
2016,49,44320,0,2
2018,49,44320,0,2
2021,49,44320,0,2
2023,49,44320,0,2
2014,49,55980,0.1694676203925386,1
2016,49,55980,0.24040924734483468,1
2018,49,55980,0.1568812538413195,1
2021,49,55980,0,1
2023,49,55980,0,1
2014,49,57300,0,1
2016,49,57300,0,1
2018,49,57300,0,1
2021,49,57300,0,1
2023,49,57300,0,1
2014,49,62470,0.5074430780833323,1
2016,49,62470,0.5314600204510146,1
2018,49,62470,0.4486590403310796,1
2021,49,62470,0.47213548320111143,1
2023,49,62470,0.47029226046847383,1
2014,49,65330,0,1
2016,49,65330,0,1
2018,49,65330,0,1
2021,49,65330,0,1
2023,49,65330,0,1
2014,49,67000,0.03375528749147357,1
2016,49,67000,0.0851322446388522,1
2018,49,67000,0.027164604913419425,1
2021,49,67000,0.02050121776009019,1
2023,49,67000,0,1
2014,49,67440,0,1
2016,49,67440,0,1
2018,49,67440,0,1
2021,49,67440,0,1
2023,49,67440,0,1
2014,49,70850,0,2
2016,49,70850,0,2
2018,49,70850,0,2
2021,49,70850,0,2
2023,49,70850,0,2
2014,49,82950,0,1
2016,49,82950,0,1
2018,49,82950,0,1
2021,49,82950,0,1
2023,49,82950,0,1
2014,49,83470,0,1
2016,49,83470,0,1
2018,49,83470,0,1
2021,49,83470,0,1
2023,49,83470,0,1
2014,51,01000,0,1
2016,51,01000,0,1
2018,51,01000,0,1
2021,51,01000,0.12944940674576724,1
2023,51,01000,0,1
2014,51,16000,0,1
2016,51,16000,0,1
2018,51,16000,0,1
2021,51,16000,0.07326691573266916,1
2023,51,16000,0.1048778213019959,1
2014,51,35000,0.07685291571586288,1
2016,51,35000,0.12163681900885456,1
2018,51,35000,0.05593153274093189,1
2021,51,35000,0.08876830681698451,1
2023,51,35000,0,1
2014,51,47672,0.3401844373455488,1
2016,51,47672,0.331425472948548,1
2018,51,47672,0.18535107363983666,1
2021,51,47672,0.10080013198053288,1
2023,51,47672,0,1
2014,51,56000,0.14051764968955252,1
2016,51,56000,0.08709903716101124,1
2018,51,56000,0.07859027033627862,1
2021,51,56000,0.14582436504520016,1
2023,51,56000,0.0767631002339659,1
2014,51,57000,0.20086292731496846,1
2016,51,57000,0.21787202798712937,1
2018,51,57000,0.20201461401931634,1
2021,51,57000,0.18916946036552396,1
2023,51,57000,0.13947609058146415,1
2014,51,64000,0.23303328200876466,1
2016,51,64000,0.225128721074747,1
2018,51,64000,0.19137963965111096,1
2021,51,64000,0.17208317768646494,1
2023,51,64000,0.14242716108836986,1
2014,51,67000,0.3720481167936754,1
2016,51,67000,0.2198452058795949,1
2018,51,67000,0.3127220260425925,1
2021,51,67000,0.2372730883349298,1
2023,51,67000,0.2590379079865346,1
2014,51,68000,0.2141820822479047,1
2016,51,68000,0.2886239314719325,1
2018,51,68000,0.3164278215293409,1
2021,51,68000,0.08101967303962317,1
2023,51,68000,0.07669709369426084,1
2014,51,76432,0,1
2016,51,76432,0,1
2018,51,76432,0,1
2021,51,76432,0,1
2023,51,76432,0,1
2014,51,82000,0,1
2016,51,82000,0.029033515198752923,1
2018,51,82000,0.027713901747050917,1
2021,51,82000,0.04713179180838597,1
2023,51,82000,0,1
2014,53,03180,0,1
2016,53,03180,0,1
2018,53,03180,0,1
2021,53,03180,0,1
2023,53,03180,0,1
2014,53,05210,0,1
2016,53,05210,0,1
2018,53,05210,0,1
2021,53,05210,0,1
2023,53,05210,0,1
2014,53,05280,0.32657749314869733,1
2016,53,05280,0.3419954860317611,1
2018,53,05280,0.3166893567743404,1
2021,53,05280,0.3126733988555507,1
2023,53,05280,0.1218044746161508,1
2014,53,22640,0,1
2016,53,22640,0,1
2018,53,22640,0,1
2021,53,22640,0,1
2023,53,22640,0,1
2014,53,23515,0,1
2016,53,23515,0,1
2018,53,23515,0,1
2021,53,23515,0,1
2023,53,23515,0,1
2014,53,35275,0.26481190520013986,1
2016,53,35275,0.27436565331347157,1
2018,53,35275,0.26396029678026794,1
2021,53,35275,0.1301490373335209,1
2023,53,35275,0,1
2014,53,35415,0.16783285426867248,1
2016,53,35415,0,1
2018,53,35415,0,1
2021,53,35415,0,1
2023,53,35415,0,1
2014,53,35940,0,1
2016,53,35940,0,1
2018,53,35940,0,1
2021,53,35940,0,1
2023,53,35940,0,1
2014,53,53545,0.3990498378345897,1
2016,53,53545,0,1
2018,53,53545,0,1
2021,53,53545,0.1314961959444603,1
2023,53,53545,0,1
2014,53,57745,0,1
2016,53,57745,0,1
2018,53,57745,0,1
2021,53,57745,0,1
2023,53,57745,0,1
2014,53,63000,0.10540779796032054,1
2016,53,63000,0.11520056890050996,1
2018,53,63000,0.12206543365994398,1
2021,53,63000,0.07067434294357136,1
2023,53,63000,0.048147297603078724,1
2014,53,67000,0.16581311113625916,1
2016,53,67000,0.14128873302677308,1
2018,53,67000,0.1361703263087478,1
2021,53,67000,0.14552706528718815,1
2023,53,67000,0.09638678146641547,1
2014,53,67167,0,1
2016,53,67167,0,1
2018,53,67167,0,1
2021,53,67167,0,1
2023,53,67167,0,1
2014,53,70000,0.10005707469463512,1
2016,53,70000,0.12454255318666878,1
2018,53,70000,0.073746344739187,1
2021,53,70000,0,1
2023,53,70000,0,1
2014,53,74060,0.04578865657587532,1
2016,53,74060,0,1
2018,53,74060,0,1
2021,53,74060,0,1
2023,53,74060,0,1
2014,53,80010,0.4880189039551592,1
2016,53,80010,0.3112448395963348,1
2018,53,80010,0.22412837445380426,1
2021,53,80010,0,1
2023,53,80010,0,1
2014,55,02375,0,1
2016,55,02375,0,1
2018,55,02375,0,1
2021,55,02375,0,1
2023,55,02375,0,1
2014,55,31000,0,1
2016,55,31000,0.03750554132300449,1
2018,55,31000,0.045429287095495215,1
2021,55,31000,0,1
2023,55,31000,0,1
2014,55,39225,0.07684729191671938,1
2016,55,39225,0.08056942093249818,1
2018,55,39225,0.07873034351266109,1
2021,55,39225,0,1
2023,55,39225,0,1
2014,55,48000,0.37398991021184064,1
2016,55,48000,0.36774191262249933,1
2018,55,48000,0.3276199721108091,1
2021,55,48000,0.4062958218460183,1
2023,55,48000,0.34106604288950376,1
2014,55,53000,0.4405217954664785,1
2016,55,53000,0.45470447735583713,1
2018,55,53000,0.30863058850720043,1
2021,55,53000,0.3054114284076664,1
2023,55,53000,0.27891432602843874,1
2014,55,66000,0.2698679738980806,1
2016,55,66000,0.26343170987898984,1
2018,55,66000,0.27450610836534073,1
2021,55,66000,0.09979074281518238,1
2023,55,66000,0,1
