year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2023,06,24638,0,1
2014,06,24680,0.07031803871408962,1
2016,06,24680,0,1
2018,06,24680,0,1
2021,06,24680,0,1
2023,06,24680,0,1
2014,06,26000,0,1
2016,06,26000,0,1
2018,06,26000,0,1
2021,06,26000,0,1
2023,06,26000,0,1
2014,06,27000,0.5345245968234795,1
2016,06,27000,0.539846035227573,1
2018,06,27000,0.4187249966529828,1
2021,06,27000,0.27438888481459583,1
2023,06,27000,0.17796753644492458,1
2014,06,28000,0,1
2016,06,28000,0,1
2018,06,28000,0,1
2021,06,28000,0,1
2023,06,28000,0,1
2014,06,29000,0,1
2016,06,29000,0,1
2018,06,29000,0,1
2021,06,29000,0,1
2023,06,29000,0,1
2014,06,30000,0,1
2016,06,30000,0,1
2018,06,30000,0,1
2021,06,30000,0,1
2023,06,30000,0,1
2014,06,32548,0.004542918676402705,1
2016,06,32548,0,1
2018,06,32548,0,1
2021,06,32548,0.048517587460379756,1
2023,06,32548,0,1
2014,06,33000,0,1
2016,06,33000,0,1
2018,06,33000,0,1
2021,06,33000,0,1
2023,06,33000,0,1
2014,06,33182,0.2130110190307505,1
2016,06,33182,0.06483047981559208,1
2018,06,33182,0.07497437431656677,1
2021,06,33182,0,1
2023,06,33182,0,1
2014,06,33434,0,1
2016,06,33434,0,1
2018,06,33434,0,1
2021,06,33434,0.05032559736592886,1
2023,06,33434,0.05063360696578432,1
2014,06,36000,0,1
2016,06,36000,0,1
2018,06,36000,0,1
2021,06,36000,0,1
2023,06,36000,0,1
2014,06,36448,0.08220331954517682,1
2016,06,36448,0.07740732695568725,1
2018,06,36448,0,1
2021,06,36448,0,2
2023,06,36448,0,2
2014,06,36546,0.05956092885807907,1
2016,06,36546,0,1
2018,06,36546,0,1
2021,06,36546,0,1
2023,06,36546,0,1
2014,06,36770,0.27558377116732485,1
2016,06,36770,0.22924200875093162,1
2018,06,36770,0.22285239736943166,1
2021,06,36770,0.090672755990165,1
2023,06,36770,0,1
2014,06,37692,0,1
2016,06,37692,0,1
2018,06,37692,0,1
2021,06,37692,0,1
2023,06,37692,0,1
2014,06,39496,0,1
2016,06,39496,0,1
2018,06,39496,0,1
2021,06,39496,0,1
2023,06,39496,0,1
2014,06,39892,0,1
2016,06,39892,0,1
2018,06,39892,0,1
2021,06,39892,0,1
2023,06,39892,0,1
2014,06,40130,0.04922045598003224,1
2016,06,40130,0.11524334472385658,1
2018,06,40130,0.23584759192153065,1
2021,06,40130,0.05988465612076331,1
2023,06,40130,0,1
2014,06,41992,0,1
2016,06,41992,0,1
2018,06,41992,0,1
2021,06,41992,0,1
2023,06,41992,0,1
2014,06,43000,0.18792462760332687,1
