year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,05,41000,race-ethnicity,Black,0.17545760954547787,1
2014,05,41000,race-ethnicity,Hispanic,0.09599525709776287,2
2014,05,41000,race-ethnicity,Other Races and Ethnicities,0.05515628268909037,2
2014,05,41000,race-ethnicity,"White, Non-Hispanic",0.08105101991869547,1
2014,05,66080,all,All,0,1
2014,05,66080,race-ethnicity,Black,0,3
2014,05,66080,race-ethnicity,Hispanic,0,2
2014,05,66080,race-ethnicity,Other Races and Ethnicities,0,2
2014,05,66080,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,00562,all,All,0,1
2014,06,00562,race-ethnicity,Black,0,2
2014,06,00562,race-ethnicity,Hispanic,0,2
2014,06,00562,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,00562,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,00884,all,All,0,1
2014,06,00884,race-ethnicity,Black,0,3
2014,06,00884,race-ethnicity,Hispanic,0,2
2014,06,00884,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,00884,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,02000,all,All,0,1
2014,06,02000,race-ethnicity,Black,0,2
2014,06,02000,race-ethnicity,Hispanic,0,1
2014,06,02000,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,02000,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,02252,all,All,0,1
2014,06,02252,race-ethnicity,Black,0,2
2014,06,02252,race-ethnicity,Hispanic,0,2
2014,06,02252,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,02252,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,02364,all,All,0.21682613359114766,1
2014,06,02364,race-ethnicity,Black,0.2903393511491988,2
2014,06,02364,race-ethnicity,Hispanic,0.31222237677905684,2
2014,06,02364,race-ethnicity,Other Races and Ethnicities,0.21896860014336425,3
2014,06,02364,race-ethnicity,"White, Non-Hispanic",0.12476612499696689,1
2014,06,03526,all,All,0.3158343192922242,1
2014,06,03526,race-ethnicity,Black,0.38882238512025297,1
2014,06,03526,race-ethnicity,Hispanic,0.3786830096834714,1
2014,06,03526,race-ethnicity,Other Races and Ethnicities,0.3281377314326266,1
2014,06,03526,race-ethnicity,"White, Non-Hispanic",0.12504533491623954,1
2014,06,04982,all,All,0,1
2014,06,04982,race-ethnicity,Black,0,2
2014,06,04982,race-ethnicity,Hispanic,0,1
2014,06,04982,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,04982,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,06000,all,All,0.29758965935279796,1
2014,06,06000,race-ethnicity,Black,0.1683150391429571,2
2014,06,06000,race-ethnicity,Hispanic,0.13119023122724044,2
2014,06,06000,race-ethnicity,Other Races and Ethnicities,0.40037110025291217,1
2014,06,06000,race-ethnicity,"White, Non-Hispanic",0.2574322553062991,1
2014,06,08786,all,All,0,1
2014,06,08786,race-ethnicity,Black,0,3
2014,06,08786,race-ethnicity,Hispanic,0,1
2014,06,08786,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,08786,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,08954,all,All,0,1
2014,06,08954,race-ethnicity,Black,0,3
2014,06,08954,race-ethnicity,Hispanic,0,2
2014,06,08954,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,08954,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,11194,all,All,0,1
2014,06,11194,race-ethnicity,Black,0,3
2014,06,11194,race-ethnicity,Hispanic,0,2
2014,06,11194,race-ethnicity,Other Races and Ethnicities,0,3
2014,06,11194,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,11530,all,All,0,1
2014,06,11530,race-ethnicity,Black,0,2
2014,06,11530,race-ethnicity,Hispanic,0,2
2014,06,11530,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,11530,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,13014,all,All,0.38745073106406763,1
2014,06,13014,race-ethnicity,Black,0.4518710947620819,2
2014,06,13014,race-ethnicity,Hispanic,0.4059893080208853,1
2014,06,13014,race-ethnicity,Other Races and Ethnicities,0.47676107174781845,1
2014,06,13014,race-ethnicity,"White, Non-Hispanic",0.35135297886847155,1
2014,06,13210,all,All,0,1
2014,06,13210,race-ethnicity,Black,0,3
2014,06,13210,race-ethnicity,Hispanic,0,2
2014,06,13210,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,13210,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,13214,all,All,0,2
2014,06,13214,race-ethnicity,Black,0,3
2014,06,13214,race-ethnicity,Hispanic,0,3
2014,06,13214,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,13214,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,13392,all,All,0,1
2014,06,13392,race-ethnicity,Black,0,2
2014,06,13392,race-ethnicity,Hispanic,0,1
2014,06,13392,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,13392,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,13588,all,All,0,1
2014,06,13588,race-ethnicity,Black,0,3
2014,06,13588,race-ethnicity,Hispanic,0,2
2014,06,13588,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,13588,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,14218,all,All,0,1
2014,06,14218,race-ethnicity,Black,0,3
2014,06,14218,race-ethnicity,Hispanic,0,2
2014,06,14218,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,14218,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,15044,all,All,0.16416531088373224,1
2014,06,15044,race-ethnicity,Black,0.12820146699326568,1
2014,06,15044,race-ethnicity,Hispanic,0.18546627512890476,1
2014,06,15044,race-ethnicity,Other Races and Ethnicities,0.1945979921891449,1
2014,06,15044,race-ethnicity,"White, Non-Hispanic",0.11398338692135622,2
2014,06,16000,all,All,0,1
2014,06,16000,race-ethnicity,Black,0,3
2014,06,16000,race-ethnicity,Hispanic,0,1
2014,06,16000,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,16000,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,16350,all,All,0,1
2014,06,16350,race-ethnicity,Black,0,2
2014,06,16350,race-ethnicity,Hispanic,0,1
2014,06,16350,race-ethnicity,Other Races and Ethnicities,0,2
2014,06,16350,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,16532,all,All,0,1
2014,06,16532,race-ethnicity,Black,0,3
2014,06,16532,race-ethnicity,Hispanic,0,1
2014,06,16532,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,16532,race-ethnicity,"White, Non-Hispanic",0,1
2014,06,17918,all,All,0,1
2014,06,17918,race-ethnicity,Black,0,3
2014,06,17918,race-ethnicity,Hispanic,0,2
2014,06,17918,race-ethnicity,Other Races and Ethnicities,0,1
2014,06,17918,race-ethnicity,"White, Non-Hispanic",0,2
2014,06,19766,all,All,0,1
2014,06,19766,race-ethnicity,Black,0,3
2014,06,19766,race-ethnicity,Hispanic,0,1
