year,state,place,juv_arrest_rate_quality,subgroup,juv_arrest_rate,subgroup_type
2021,04,54050,1,asian_other,158.17223198594024,race-ethnicity
2021,04,54050,1,hispanic,2290.871225269004,race-ethnicity
2021,04,55000,NA,all,NA,race-ethnicity
2021,04,55000,NA,white,NA,race-ethnicity
2021,04,55000,NA,black,NA,race-ethnicity
2021,04,55000,NA,asian_other,NA,race-ethnicity
2021,04,55000,NA,hispanic,NA,race-ethnicity
2021,04,65000,1,all,1891.9659994516041,race-ethnicity
2021,04,65000,1,white,2002.7816411682893,race-ethnicity
2021,04,65000,1,black,3969.9570815450643,race-ethnicity
2021,04,65000,1,asian_other,684.2285323297981,race-ethnicity
2021,04,65000,1,hispanic,1430.8426073131957,race-ethnicity
2021,04,71510,1,all,2215.315060751625,race-ethnicity
2021,04,71510,1,white,2231.3296903460837,race-ethnicity
2021,04,71510,1,black,4620.4620462046205,race-ethnicity
2021,04,71510,1,asian_other,499.33422103861517,race-ethnicity
2021,04,71510,1,hispanic,0,race-ethnicity
2021,04,73000,NA,all,NA,race-ethnicity
2021,04,73000,NA,white,NA,race-ethnicity
2021,04,73000,NA,black,NA,race-ethnicity
2021,04,73000,NA,asian_other,NA,race-ethnicity
2021,04,73000,NA,hispanic,NA,race-ethnicity
2021,04,77000,3,all,10.112654976437515,race-ethnicity
2021,04,77000,3,white,0,race-ethnicity
2021,04,77000,3,black,0,race-ethnicity
2021,04,77000,3,asian_other,15.581987222770477,race-ethnicity
2021,04,77000,3,hispanic,6.484243288808196,race-ethnicity
2021,04,85540,2,all,1927.2148938160726,race-ethnicity
2021,04,85540,2,white,2617.801047120419,race-ethnicity
2021,04,85540,2,black,8947.368421052632,race-ethnicity
2021,04,85540,2,asian_other,183.53434714210803,race-ethnicity
2021,04,85540,2,hispanic,1765.6703241266239,race-ethnicity
2021,05,23290,1,all,1116.1767017764503,race-ethnicity
2021,05,23290,1,white,944.0641963653528,race-ethnicity
2021,05,23290,1,black,4720.27972027972,race-ethnicity
2021,05,23290,1,asian_other,128.8659793814433,race-ethnicity
2021,05,23290,1,hispanic,851.5815085158151,race-ethnicity
2021,05,24550,1,all,4469.6889266376475,race-ethnicity
2021,05,24550,1,white,6829.2682926829275,race-ethnicity
2021,05,24550,1,black,12008.978675645341,race-ethnicity
2021,05,24550,1,asian_other,149.32802389248383,race-ethnicity
2021,05,24550,1,hispanic,280.8988764044944,race-ethnicity
