year,state,place,juv_arrest_rate,juv_arrest_rate_violent,juv_arrest_rate_property,juv_arrest_rate_quality
2021,17,65000,1853.819813437242,425.07970244420824,501.83020427441255,2
2021,17,68003,1800.738007380074,354.2435424354244,398.5239852398524,1
2021,17,72000,2695.010228586676,1316.3746331050431,773.8148181090456,2
2021,17,79293,NA,NA,NA,NA
2021,18,05860,2468.8215831000252,890.8119114278442,992.6189870195979,1
2021,18,10342,689.6011284382101,133.21839981192696,101.8728939738265,1
2021,18,22000,4287.586594270736,1441.6775884665794,851.9003931847969,1
2021,18,23278,545.561781185491,125.3317605426128,95.84193453258627,1
2021,18,25000,1098.5141891416097,411.9428209281037,154.91866769945779,1
2021,18,31000,740.1315789473683,236.4309210526316,133.63486842105263,3
2021,18,36003,1198.4202641971945,451.5027393959711,336.27002168470233,2
2021,18,71000,7.891414141414142,7.891414141414142,0,1
2021,19,12000,3141.4746876579766,1350.4730266483714,946.0532967429768,1
2021,19,19000,3333.667033737111,1101.2113324657123,1351.4866352988286,1
2021,19,21000,1602.20748586942,783.301437536161,587.4760781521206,1
2021,19,73335,5520.063885006987,1796.7658215212616,1547.2150129766421,1
2021,20,36000,383.53362311429305,209.6650473024802,30.682689849143443,3
2021,20,38900,15.62744178777934,0,0,3
2021,20,52575,2652.3138386416604,732.4381311730108,588.1700144268117,1
2021,20,53775,2052.3675854769685,731.6736459435829,823.7080668169896,1
2021,20,71000,838.6778490379871,271.33695115934876,386.4495971057392,2
2021,20,79000,467.6851810609772,160.3492049351922,149.2138434813594,1
2021,21,46027,858.1644815256258,296.2710710028946,388.2172654520688,2
2021,21,48006,7.771698582442179,1.5543397164884358,6.217358865953743,3
2021,22,05000,1464.868414406223,434.4092539273627,575.8448249734809,2
2021,22,40735,462.6247869491113,146.09203798392988,202.90560831101374,3
2021,22,41155,782.1092508859831,171.0863986313088,219.96822681168274,1
2021,22,55000,0,0,0,3
2021,22,70000,9.424626549172988,4.712313274586494,4.712313274586494,3
2021,24,04000,NA,NA,NA,NA
2021,24,30325,NA,NA,NA,NA
2021,25,07000,343.9676670392983,135.4372688967237,107.48989594978073,2
2021,25,09000,1183.475995534053,632.6758466691477,290.28656494231484,1
2021,25,11000,329.5496155254486,109.84987184181618,109.84987184181618,1
2021,25,23000,1713.641488162345,1014.6561443066516,259.3010146561443,1
2021,25,34550,1084.9233071455292,523.7560793116348,336.70033670033666,1
2021,25,37000,1267.0378191591476,892.6857362257632,249.568055288923,1
2021,25,37490,610.8515989938915,323.39202299676606,152.71289974847286,1
2021,25,45000,602.2368798394035,191.1863110601281,124.27110218908325,1
2021,25,45560,282.6337276248299,104.67915837956663,52.339579189783315,1
2021,25,55745,154.69233413544174,51.564111378480575,51.564111378480575,3
2021,25,62535,140.35087719298244,35.08771929824561,105.26315789473684,1
2021,25,67000,757.2306991573673,261.8993395581872,170.80391710316556,1
2021,25,82000,485.7219108620229,282.8929810515079,69.38884440886042,2
2021,26,03000,268.897520167314,179.26501344487602,59.755004481625335,2
2021,26,21000,954.0055597675007,189.53752843062927,461.20798584786456,2
2021,26,22000,368.6790397586828,100.54882902509532,68.42906419763432,1
2021,26,27440,450.32751091703057,300.2183406113537,68.23144104803494,1
2021,26,29000,349.6925117569034,108.52526226938382,96.46689979500783,2
2021,26,34000,207.78652668416447,60.14873140857392,71.08486439195102,2
2021,26,46000,706.8525427056745,235.61751423522483,245.4349106616925,1
2021,26,49000,736.1398665746492,241.54589371980674,310.5590062111801,1
2021,26,69035,NA,NA,NA,NA
2021,26,74900,325.0883392226148,155.47703180212014,70.67137809187278,1
2021,26,76460,201.78241129981504,126.1140070623844,58.85320329577939,1
2021,26,80700,519.7505197505197,83.16008316008316,259.87525987525987,1
2021,26,84000,980.3921568627451,336.7759317467445,389.1632989073492,1
2021,26,86000,1221.476510067114,577.1812080536913,389.26174496644296,1
2021,26,88940,1771.8832891246684,498.67374005305044,498.67374005305044,1
2021,27,06616,3165.7576476167887,272.705714963244,1221.2473322267015,1
2021,27,07966,4002.4014408645185,420.25215129077446,970.5823494096458,1
2021,27,17000,410.01610777566265,117.14745936447504,131.7908917850344,1
2021,27,43000,1227.0300563371973,244.8160929711235,554.5231985370026,1
2021,27,51730,256.31636763090444,73.23324789454412,24.41108263151471,1
2021,27,54880,1480.2501385260823,506.6096730784454,514.5254492202961,1
2021,27,58000,664.8005598320503,107.88430137625379,309.07394448332167,1
2021,27,71428,686.6864815004612,143.4867274777083,256.2262990673363,3
2021,28,36000,NA,NA,NA,NA
2021,29,15670,5134.788189987164,1230.2096705177578,1069.7475395806591,1
2021,29,35000,3096.356774243241,300.392821381807,408.2261418778403,1
2021,29,38000,560.7663141089603,301.337058471363,173.6180403113151,2
2021,29,41348,294.8068637085192,52.91405246050344,52.91405246050344,1
2021,29,54074,1376.268195853551,476.4005293339215,449.9338332598147,1
2021,29,65000,1854.0498506118774,421.561003560758,1051.8560962632505,1
2021,29,70000,3091.931216931217,1793.9814814814815,967.2619047619048,2
2021,30,06550,4256.194945253972,798.5510825718285,1029.0606734173045,1
2021,31,28000,3756.0148163533772,1436.6323951950703,1654.7235780801052,1
2021,31,37000,0,0,0,3
2021,32,31900,1227.031316769428,579.9401745925157,479.2137232159209,1
2021,32,40000,3189.376312354577,1667.0450031212758,774.6438908120992,2
2021,32,51800,779.8909892148904,327.6121999304187,231.9378406587035,3
2021,32,60600,1645.2860924455304,684.1783750763592,366.52412950519243,2
2021,32,68400,2017.3420633516191,681.2953459564679,460.09555830826406,3
2021,33,45140,2353.0664395229983,734.6678023850085,436.541737649063,1
2021,33,50260,1040.3765172157541,421.1047807778053,136.23978201634876,1
2021,34,13690,NA,NA,NA,NA
2021,34,21000,495.3398944143909,162.94075474157597,104.28208303460862,1
2021,34,36000,138.4210769159784,36.91228717759424,87.66668204678632,2
2021,34,51000,1000.853669306173,94.19799240528687,638.7801359983515,2
2021,34,57000,NA,NA,NA,NA
2021,34,74000,NA,NA,NA,NA
2021,35,02000,270.7383927220139,124.43876435670204,38.67691324600199,1
2021,35,39380,1862.9858582437125,872.2161063595562,347.1928190363282,1
2021,35,63460,NA,NA,NA,NA
2021,35,70500,12.643823492224048,0,0,3
2021,36,01000,NA,NA,NA,NA
2021,36,11000,697.0730427613087,108.68343139826857,412.24749840722563,2
2021,36,50617,286.32784538296346,214.74588403722262,47.721307563827246,1
2021,36,51000,NA,NA,NA,NA
2021,36,63000,NA,NA,NA,NA
2021,36,73000,NA,NA,NA,NA
2021,36,84000,0,0,0,1
2021,37,02140,58.62523816503005,0,0,1
2021,37,10740,203.50585079321033,83.25239350631331,78.62726053374034,1
2021,37,12000,0,0,0,3
2021,37,14100,777.1622037550015,230.84025854108958,292.39766081871346,1
2021,37,19000,677.8686167371924,127.35713405365432,406.72117004231546,1
2021,37,22920,914.8232375439321,284.26710771139136,279.09861484391155,2
2021,37,25580,637.2926052082189,208.76826722338203,351.60971321832767,2
2021,37,28000,506.8840331529557,174.6694979108158,215.768203301596,1
2021,37,28080,945.6579648375067,293.02077783697393,346.29728289824186,2
2021,37,31400,1936.0761078194107,408.912626220479,834.5155637152633,1
2021,37,55000,634.9861311693372,4.58473740916489,34.38553056873668,2
2021,37,74440,1442.7217915590008,258.3979328165375,678.2945736434109,1
2021,37,75000,202.94086232064654,39.164026061879156,39.164026061879156,2
2021,38,25700,6826.677159157977,2026.3623844186504,1839.464882943144,1
2021,39,01000,1249.7840234982434,437.712376893394,236.1343085872257,1
2021,39,15000,2034.0905063963996,1098.5506219214005,854.0345157517984,2
2021,39,16000,190.05300069596873,48.18245088066813,88.33449328122491,2
2021,39,18000,713.6606229431413,129.42032022284945,347.5860028842243,2
2021,39,21000,11169.731685257762,1899.3066023515223,927.0425082906241,2
2021,39,61000,1073.784322748888,0,15.339776039269827,1
2021,39,77000,1927.132572176569,941.7496909315686,385.4265144353138,2
