year,state,county,total_people,crime_violent_rate,crime_property_rate,crime_rate_quality,agencies_reporting,core_reporting
2021,20,195,2825,849.5575221238938,1274.3362831858408,1,1,NA
2021,20,197,6881,566.7780845807296,1089.9578549629414,3,0.6,NA
2021,20,199,1529,NA,NA,NA,0,NA
2021,20,201,5531,415.8380039775809,687.0367022238294,3,0.3333333333333333,NA
2021,20,203,2150,186.046511627907,744.186046511628,1,1,NA
2021,20,205,8713,355.790198553885,470.56123034546084,1,1,NA
2021,20,207,3162,284.6299810246679,2182.1631878557873,3,0.5,NA
2021,20,209,168333,423.99204534573647,582.1631591244335,2,0.8,0
2021,21,001,18832,212.40441801189465,297.3661852166525,3,0.6666666666666666,NA
2021,21,003,20604,640.6523005241701,1655.0184430207726,3,0.6666666666666666,NA
2021,21,005,23646,308.7202909583016,592.0663114268798,3,0.5,NA
2021,21,007,7814,691.0673150755055,1433.3248016380855,3,0.5,NA
2021,21,009,44277,704.6547869096822,1924.2496104072093,3,0.6666666666666666,NA
2021,21,011,12680,473.18611987381706,694.006309148265,1,1,NA
2021,21,013,24674,721.4071492259058,2111.5344086893083,3,0.75,NA
2021,21,015,134599,673.1104985921144,2153.0620584105377,3,0.6,NA
2021,21,017,20281,706.0241338526745,2063.8344448497746,3,0.5714285714285714,NA
2021,21,019,48447,610.9769438768138,2365.4715462257723,2,0.5714285714285714,1
2021,21,021,30469,566.7023156589627,1530.5295779850296,3,0.75,NA
2021,21,023,8394,416.9644984512747,726.7095544436502,1,1,NA
2021,21,025,13652,175.79841781423966,534.7201875183123,3,0.6666666666666666,NA
2021,21,027,20345,260.50626689604326,496.4364708773654,2,0.8,NA
2021,21,029,81729,451.49212641779536,1623.6586768466516,3,0.6,NA
2021,21,031,12413,161.1214049786514,571.9809876742125,1,1,NA
2021,21,033,12641,735.7012894549482,2009.3347045328694,1,1,NA
2021,21,035,37291,917.1113673540532,2276.6887452736582,1,1,NA
2021,21,037,93023,688.001892005203,1795.2549369510768,3,0.6875,NA
2021,21,039,4821,352.623936942543,290.3961833644472,1,1,NA
2021,21,041,10808,804.9592894152479,1276.8319763138416,1,1,NA
2021,21,043,26820,365.39895600298286,570.4697986577181,3,0.75,NA
2021,21,045,15863,94.55966714997163,296.2869570699111,3,0.4,NA
2021,21,047,72377,949.1965679704879,3204.05653729776,3,0.625,NA
2021,21,049,36716,808.9116461488179,3134.8730798561937,1,1,NA
2021,21,051,20484,122.0464752977934,722.5151337629369,3,0.6666666666666666,NA
2021,21,053,9372,64.02048655569781,181.39137857447716,1,1,NA
2021,21,055,8997,377.9037456930088,978.1038123819051,1,1,NA
2021,21,057,6023,232.4423044994189,514.6936742487133,1,1,NA
2021,21,059,102488,1107.4467254702988,3539.9266255561624,1,1,1
2021,21,061,12165,271.27003699136867,304.15125359638307,1,1,NA
