year,state,county,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,_FREQ_
2018,06,063,0.8832557702,1.0091329548,0.7573785856,25
2018,06,065,0.9367987907,0.9583877653,0.9152098161,488
2018,06,067,0.9001667629,0.9345513417,0.8657821841,292
2018,06,069,0.9570966802,1.0296101686,0.8845831917,30
2018,06,071,0.9158016366,0.9425184438,0.8890848295,415
2018,06,073,0.9166276158,0.938840511,0.8944147206,595
2018,06,075,0.9858366271,1.0094743847,0.9621988696,96
2018,06,077,0.9245242904,0.9666580646,0.8823905163,151
2018,06,079,0.9635238908,1.0065299985,0.920517783,73
2018,06,081,0.899460035,0.9602528768,0.8386671932,94
2018,06,083,0.9820383726,1.0053213295,0.9587554156,125
2018,06,085,0.9282729993,0.9566340101,0.8999119884,318
2018,06,087,0.9958084948,1.0135399305,0.9780770591,51
2018,06,089,0.8592176154,0.9728312793,0.7456039514,36
2018,06,091,0.8746988034,1.1199515765,0.6294460303,7
2018,06,093,0.8832557791,1.0091329596,0.7573785987,25
2018,06,095,0.9389170445,1.0022089775,0.8756251116,55
2018,06,097,0.8903945111,0.9584277193,0.822361303,81
2018,06,099,0.9202100734,0.9713148763,0.8691052705,108
2018,06,101,1,1,1,28
2018,06,103,0.8980301121,1.0217027357,0.7743574885,23
2018,06,105,0.8980301389,1.0217027481,0.7743575297,23
2018,06,107,0.874799805,0.9424266301,0.8071729799,92
2018,06,109,1,1,1,14
2018,06,111,0.8878734983,0.9328571649,0.8428898317,189
2018,06,113,0.9890011578,1.006402727,0.9715995885,138
2018,06,115,1,1,1,28
2018,08,001,0.9145322809,0.9552625576,0.8738020042,181
2018,08,003,0.9486921569,1.0430549871,0.8543293266,21
2018,08,005,0.9042880936,0.9558628819,0.8527133052,125
2018,08,007,0.8466155341,0.9971994326,0.6960316356,22
2018,08,009,0.9486921587,1.0430549873,0.85432933,21
2018,08,011,0.6628473054,0.8445617548,0.481132856,26
2018,08,013,0.9629963398,0.9979571686,0.9280355109,112
2018,08,014,0.8496228488,0.9408310906,0.7584146071,59
2018,08,015,0.7495107117,1.0325966636,0.4664247598,9
2018,08,017,0.6628473277,0.8445617742,0.4811328813,26
2018,08,019,0.905501303,1.0587333148,0.7522692912,14
2018,08,021,0.9486921566,1.0430549871,0.8543293261,21
2018,08,023,0.9486921397,1.0430549849,0.8543292945,21
2018,08,025,0.6628473307,0.8445617767,0.4811328847,26
2018,08,027,0.749510844,1.0325967461,0.4664249419,9
2018,08,029,0.795950983,1.0150269868,0.5768749792,13
2018,08,031,0.8402231452,0.9167773394,0.763668951,88
2018,08,033,0.8466154981,0.9971994111,0.6960315851,22
2018,08,035,0.9140818445,0.9988370615,0.8293266275,42
2018,08,037,1,1,1,10
2018,08,039,0.7797963954,0.9036545677,0.6559382231,43
2018,08,041,0.9036840293,0.9649781084,0.8423899502,89
2018,08,043,0.749510771,1.0325967006,0.4664248415,9
2018,08,045,1,1,1,15
2018,08,047,0.9055013503,1.0587333277,0.7522693729,14
2018,08,049,1,1,1,10
2018,08,051,0.8466155139,0.9971994205,0.6960316072,22
2018,08,053,0.846615545,0.9971994391,0.6960316508,22
2018,08,055,0.7495107446,1.0325966841,0.4664248051,9
2018,08,057,1,1,1,10
2018,08,059,0.9039807166,0.9512873182,0.856674115,149
2018,08,061,0.6628473132,0.8445617615,0.4811328649,26
2018,08,063,0.6628473162,0.8445617641,0.4811328682,26
2018,08,065,0.7495107719,1.0325967011,0.4664248427,9
2018,08,067,0.8466155432,0.9971994381,0.6960316484,22
2018,08,069,0.8983289712,0.9633469309,0.8333110115,83
2018,08,071,0.9486921461,1.0430549857,0.8543293066,21
2018,08,073,0.6628472806,0.8445617332,0.4811328279,26
2018,08,075,0.6628473461,0.8445617901,0.4811329021,26
2018,08,077,0.7493900131,0.8836910028,0.6150890234,40
2018,08,079,0.9486921532,1.0430549866,0.8543293199,21
2018,08,081,1,1,1,15
2018,08,083,0.846615508,0.997199417,0.696031599,22
2018,08,085,0.7959509683,1.015026978,0.5768749586,13
2018,08,087,0.6628473059,0.8445617552,0.4811328566,26
2018,08,089,0.9486921603,1.0430549875,0.854329333,21
2018,08,091,0.7959509404,1.0150269612,0.5768749195,13
2018,08,093,0.7495108164,1.0325967289,0.466424904,9
2018,08,095,0.6628473366,0.8445617819,0.4811328914,26
2018,08,097,1,1,1,10
2018,08,099,0.9486921529,1.0430549866,0.8543293193,21
2018,08,101,0.9613010018,1.0071448614,0.9154571422,68
2018,08,103,1,1,1,15
2018,08,105,0.9486921491,1.0430549861,0.8543293121,21
2018,08,107,1,1,1,15
2018,08,109,0.9486921491,1.0430549861,0.8543293122,21
2018,08,111,0.8466155659,0.9971994516,0.6960316801,22
2018,08,113,0.7959510236,1.0150270112,0.5768750359,13
2018,08,115,0.662847323,0.8445617701,0.481132876,26
2018,08,117,1,1,1,10
2018,08,119,0.6767286447,0.9413691641,0.4120881253,12
2018,08,121,0.662847323,0.8445617701,0.481132876,26
2018,08,123,0.8120833215,0.8808421056,0.7433245374,124
2018,08,125,0.662847341,0.8445617857,0.4811328963,26
2018,09,001,0.8759346441,0.9323869308,0.8194823575,131
2018,09,003,0.8993093995,0.9489795581,0.8496392409,141
2018,09,005,0.9227821986,1.0167509691,0.8288134282,31
2018,09,007,1,1,1,22
2018,09,009,0.88000838,0.9386402749,0.8213764852,118
2018,09,011,0.9404285378,1.0147143366,0.866142739,39
2018,09,013,0.9651615861,1.0307798363,0.8995433358,30
2018,09,015,1,1,1,19
2018,10,001,0.8013765978,0.9577704234,0.6449827722,25
2018,10,003,0.7956705385,0.8713668916,0.7199741855,109
2018,10,005,0.9505057803,1.0323200035,0.8686915572,27
2018,11,001,0.8642037574,0.9462333627,0.7821741521,67
2018,12,001,0.9801964512,1.0088226346,0.9515702678,91
2018,12,003,0.7808989051,1.0253429208,0.5364548894,11
2018,12,005,0.8226232982,0.920095069,0.7251515275,59
2018,12,007,0.8639472372,0.9688921608,0.7590023136,41
2018,12,009,0.9217350306,0.9813417921,0.8621282692,78
2018,12,011,0.8774649767,0.9176330594,0.8372968939,256
2018,12,013,0.8413964794,0.9624225146,0.7203704442,35
2018,12,015,0.8294854881,0.9740475942,0.6849233821,26
2018,12,017,0.6653726708,0.8721744432,0.4585708984,20
2018,12,019,0.722107438,0.8851482926,0.5590665835,29
2018,12,021,0.8014814815,0.9235802832,0.6793826797,41
2018,12,023,0.8639472481,0.9688921681,0.759002328,41
2018,12,027,0.6989710758,0.8824913993,0.5154507524,24
2018,12,029,0.8639472175,0.9688921475,0.7590022874,41
2018,12,031,0.8654986379,0.9174023672,0.8135949086,166
2018,12,033,0.8064296649,0.9159446927,0.6969146371,50
2018,12,035,0.6004618592,0.8775942471,0.3233294714,12
2018,12,037,0.8413965163,0.9624225401,0.7203704925,35
2018,12,039,0.8413965112,0.9624225366,0.7203704858,35
2018,12,041,0.8639472481,0.9688921681,0.759002328,41
2018,12,043,0.6392794376,0.8908285974,0.3877302778,14
2018,12,045,0.8413964809,0.9624225157,0.7203704462,35
2018,12,047,0.8485491754,1.082761177,0.6143371738,9
2018,12,049,0.6989710098,0.8824913447,0.5154506749,24
2018,12,051,0.6392793928,0.8908285594,0.3877302262,14
2018,12,053,0.7968051118,0.9407936388,0.6528165848,30
2018,12,055,0.6936011518,0.8401771094,0.5470251943,38
2018,12,057,0.8668914633,0.9071872896,0.826595637,273
2018,12,059,0.8226233053,0.9200950745,0.7251515361,59
2018,12,061,1,1,1,8
2018,12,063,0.8413965161,0.96242254,0.7203704923,35
2018,12,065,0.8413964906,0.9624225224,0.7203704589,35
2018,12,067,0.8485492021,1.0827611867,0.6143372174,9
2018,12,069,0.8626491187,0.9544595459,0.7708386916,54
2018,12,071,0.8005186651,0.8717219862,0.7293153441,121
2018,12,073,0.9305975293,0.9772497218,0.8839453368,114
2018,12,075,0.8639472275,0.9688921542,0.7590023007,41
2018,12,077,0.8413965265,0.9624225471,0.7203705059,35
2018,12,079,0.848549201,1.0827611864,0.6143372157,9
2018,12,081,0.8264821598,0.9314508741,0.7215134456,50
2018,12,083,0.7878289474,0.9145314252,0.6611264695,40
2018,12,085,0.9779909707,1.0457688047,0.9102131366,18
2018,12,086,0.8717488689,0.901882523,0.8416152148,473
2018,12,087,0.8120703299,1.0429332721,0.5812073877,11
2018,12,089,0.7808988852,1.0253429089,0.5364548616,11
2018,12,091,0.8344162649,0.9674297467,0.7014027831,30
2018,12,093,0.6392794109,0.8908285747,0.3877302471,14
2018,12,095,0.8407937688,0.8859669394,0.7956205982,252
2018,12,097,0.9415666456,1.0041292952,0.879003996,54
2018,12,099,0.7995164861,0.8502751481,0.7487578241,239
2018,12,101,0.7857142857,0.8700214165,0.7014071549,91
2018,12,103,0.8824470794,0.9423648476,0.8225293111,111
2018,12,105,0.8108531806,0.8784353066,0.7432710546,129
2018,12,107,0.8609302265,1.0360401641,0.6858202888,15
2018,12,109,0.9873695267,1.0219774666,0.9527615868,40
2018,12,111,0.9815963193,1.0296929052,0.9334997333,30
2018,12,113,0.8389526542,1.0087634631,0.6691418453,18
2018,12,115,0.5662251656,0.7198115921,0.4126387391,40
2018,12,117,0.86120336,0.9273341569,0.7950725632,105
2018,12,119,0.8740393544,0.9781767472,0.7699019615,39
2018,12,121,0.8485491906,1.0827611826,0.6143371987,9
2018,12,123,0.8485491818,1.0827611794,0.6143371843,9
2018,12,125,0.863947245,0.9688921661,0.759002324,41
2018,12,127,0.784944693,0.8631610797,0.7067283062,106
2018,12,129,0.8413964953,0.9624225256,0.720370465,35
2018,12,131,0.8226232897,0.9200950623,0.7251515172,59
2018,12,133,0.8226233082,0.9200950768,0.7251515396,59
2018,13,001,0.7752351362,0.9271632014,0.623307071,29
2018,13,003,0.8394872598,0.950505218,0.7284693017,42
2018,13,005,0.839487312,0.9505052555,0.7284693685,42
2018,13,007,0.9968287533,1.0208763521,0.9727811544,21
2018,13,009,0.8251366009,0.983865906,0.6664072959,22
2018,13,011,0.8561403714,0.9910401861,0.7212405567,26
2018,13,013,0.8478073667,0.9635519346,0.7320627988,37
2018,13,015,0.8754436915,1.0239265241,0.726960859,19
2018,13,017,0.9497784479,1.0431904423,0.8563664536,21
2018,13,019,0.9497784348,1.0431904407,0.8563664288,21
2018,13,021,0.8146906431,0.9993947913,0.6299864949,17
2018,13,023,0.7544812343,0.8846473645,0.6243151042,42
2018,13,025,0.8394872464,0.9505052083,0.7284692845,42
2018,13,027,0.9497784508,1.0431904426,0.856366459,21
2018,13,029,0.8268819856,0.9487944487,0.7049695225,37
2018,13,031,0.8901536531,0.9786164673,0.8016908388,48
2018,13,033,0.8679245059,1.0127344952,0.7231145165,21
2018,13,035,0.9629517189,1.0369927324,0.8889107054,25
2018,13,037,0.996828752,1.0208763555,0.9727811486,21
2018,13,039,0.7514635573,0.9457883763,0.5571387383,19
2018,13,043,0.754481259,0.8846473847,0.6243151333,42
2018,13,045,0.9238150625,1.0346742799,0.8129558452,22
2018,13,047,0.6883629174,0.8569368315,0.5197890033,29
2018,13,049,0.8394873167,0.9505052589,0.7284693745,42
2018,13,051,0.929721096,0.998539876,0.8609023159,53
2018,13,053,0.9339109048,1.0174200886,0.850401721,34
2018,13,055,0.6883629397,0.8569368504,0.5197890289,29
2018,13,057,0.816266536,0.9445681669,0.6879649051,35
2018,13,059,0.9859537111,1.0139248839,0.9579825383,68
2018,13,061,0.7458401629,0.8900843744,0.6015959514,35
2018,13,063,0.8180524818,0.9229144611,0.7131905025,52
2018,13,065,0.8394873016,0.9505052481,0.7284693552,42
2018,13,067,0.8393615652,0.9022426021,0.7764805283,131
2018,13,069,0.8394873061,0.9505052513,0.7284693609,42
2018,13,071,0.8676948011,1.0242227057,0.7111668965,18
2018,13,073,0.9194532072,1.0168364845,0.8220699298,30
2018,13,075,0.949778423,1.0431904393,0.8563664066,21
2018,13,077,0.8384675123,0.9922538631,0.6846811615,22
2018,13,079,0.8251366025,0.983865907,0.666407298,22
2018,13,081,0.7458401133,0.8900843341,0.6015958925,35
2018,13,083,0.6883628649,0.8569367867,0.519788943,29
2018,13,085,1,1,1,23
2018,13,087,0.996828753,1.0208763528,0.9727811532,21
2018,13,089,0.7193557855,0.7987618063,0.6399497648,123
2018,13,091,0.7544812475,0.8846473753,0.6243151198,42
2018,13,093,0.7458401046,0.890084327,0.6015958822,35
2018,13,095,0.9152243094,1.0343610915,0.7960875272,21
2018,13,097,0.7530198447,0.9156902054,0.590349484,27
2018,13,099,0.9968287521,1.0208763553,0.9727811489,21
2018,13,101,0.8394872802,0.9505052326,0.7284693278,42
2018,13,103,0.8901536477,0.9786164638,0.8016908316,48
2018,13,105,0.7244655788,0.9155578985,0.5333732591,21
2018,13,107,0.7544812492,0.8846473767,0.6243151218,42
2018,13,109,0.7752350728,0.9271631532,0.6233069923,29
2018,13,111,0.7770115437,0.9285113224,0.625511765,29
2018,13,113,0.8932067636,1.0320827467,0.7543307804,19
2018,13,115,0.8548601899,0.9877265418,0.7219938379,27
2018,13,117,0.8787073927,0.9720428046,0.7853719807,47
2018,13,119,0.8561403649,0.9910401821,0.7212405476,26
