year,metro,learning_rate,learning_rate_lb,learning_rate_ub,learning_rate_quality
2017,23940,.89475203,.70756376,1.0819403,1
2017,23980,.81473953,.64773047,.98174858,1
2017,24020,1.0823247,.37138033,1.7932692,3
2017,24060,.83345872,-.052867405,1.7197849,3
2017,24100,1.0840974,.0041873883,2.1640074,3
2017,24140,.90232557,.78556436,1.0190867,1
2017,24220,.89666575,.75921744,1.034114,1
2017,24260,.99516475,.86888063,1.1214489,1
2017,24300,.68277973,.064991817,1.3005676,3
2017,24340,1.0874462,1.0481564,1.126736,1
2017,24380,2.1712666,.57346493,3.7690682,3
2017,24420,.90391964,.68560523,1.122234,2
2017,24460,1.0929351,.81049478,1.3753754,1
2017,24500,.94473964,.77818692,1.1112924,2
2017,24540,.80794466,.39440843,1.2214808,3
2017,24580,1.0705121,.99940336,1.1416208,1
2017,24620,1.0063747,.84528387,1.1674656,1
2017,24640,.88747329,.71364623,1.0613004,1
2017,24660,.94070178,.89161992,.98978364,1
2017,24700,.90815347,.66441429,1.1518927,1
2017,24740,.85304582,.66837579,1.0377158,1
2017,24780,.91820931,.81365556,1.0227631,1
2017,24820,1.0632321,.88003409,1.24643,1
2017,24860,.92475575,.88118982,.96832168,1
2017,24900,.8461225,.64608592,1.0461591,1
2017,24940,1.0629097,.92802906,1.1977904,1
2017,24980,1.2494299,1.0049461,1.4939138,1
2017,25060,1.1307664,1.0671999,1.1943328,1
2017,25100,.95422298,.71332675,1.1951191,1
2017,25180,1.0547621,.96047658,1.1490476,1
2017,25200,1.1639442,.90556508,1.4223235,1
2017,25220,1.1828874,1.071193,1.2945819,1
2017,25260,1.2155765,1.1119186,1.3192345,1
2017,25300,.84703374,.63863343,1.055434,1
2017,25420,.92785221,.86914313,.9865613,1
2017,25460,.93696117,.75383949,1.1200829,1
2017,25500,.74030727,.62010479,.86050975,1
2017,25540,.93044585,.88943058,.97146112,1
2017,25580,1.0977267,.86821771,1.3272357,1
2017,25620,1.1591809,1.0546417,1.26372,1
2017,25700,.82326865,.53174406,1.1147932,1
2017,25720,1.1482896,.79063725,1.5059419,2
2017,25740,1.0714046,.90231097,1.2404982,2
2017,25760,.72184521,.44474119,.99894923,1
2017,25780,.99847358,.80804884,1.1888983,1
2017,25820,.7477752,.49575785,.99979258,1
2017,25840,1.0835905,.90993005,1.2572509,2
2017,25860,.94906116,.87759745,1.0205249,1
2017,25880,1.0803373,.86859894,1.2920756,1
2017,25900,1.0365882,.93880266,1.1343737,1
2017,25940,1.0829483,.983024,1.1828727,1
2017,25980,.98921484,.8488344,1.1295953,1
2017,26020,.90679991,.12909602,1.6845038,3
2017,26090,1.0161799,.90234786,1.1300119,1
2017,26140,.71812087,.58900756,.84723419,1
2017,26220,,,,
2017,26300,.88795328,.75838286,1.0175238,1
2017,26340,1.0631208,.85344863,1.2727931,1
2017,26380,1.1006246,1.0116054,1.1896437,1
2017,26420,.96487647,.95076251,.97899044,1
2017,26460,,,,
2017,26500,.79048902,.56039244,1.0205857,1
2017,26540,1.1255515,.90564185,1.3454611,1
2017,26580,.92917633,.86107314,.99727952,1
2017,26620,.85081244,.7882548,.91337007,1
2017,26660,.84050786,.67548722,1.0055286,1
2017,26700,1.3481158,1.0115205,1.6847111,1
2017,26740,.8977775,.71913344,1.0764215,1
2017,26780,.90989023,.70140898,1.1183715,1
2017,26820,1.1715772,1.0732775,1.269877,1
2017,26860,.97309631,.81097943,1.1352133,1
2017,26900,1.0101584,.98270607,1.0376108,1
2017,26940,1.1303496,.88022399,1.3804753,1
2017,26960,1.1070523,.94151771,1.2725869,1
2017,26980,.94992238,.84225154,1.0575932,1
2017,27020,1.0392877,.78922808,1.2893473,1
2017,27060,.91941547,.0090871621,1.8297437,3
2017,27100,1.0697991,.96719217,1.172406,1
2017,27140,.983154,.93060702,1.035701,1
2017,27160,.89320558,.65554798,1.1308632,1
2017,27180,.81444895,.69576144,.93313646,1
2017,27220,.91582966,.65378505,1.1778743,2
2017,27260,.8322506,.79770166,.86679953,1
2017,27300,.87078655,.66001374,1.0815594,1
2017,27340,.88491619,.78140557,.9884268,1
2017,27380,.93464822,.78105652,1.0882399,1
2017,27420,.95290798,.64083248,1.2649834,1
2017,27460,1.0673573,.37413642,1.7605782,3
2017,27500,1.0034922,.90420049,1.102784,1
2017,27540,.88716114,.72114134,1.0531809,1
2017,27600,.9021973,.75908047,1.0453141,1
2017,27620,.89447659,.7830075,1.0059457,1
2017,27700,1.0312711,.81488955,1.2476526,1
2017,27740,.98789942,.89120317,1.0845957,1
2017,27780,.85357153,.73524678,.97189629,1
2017,27860,.91905582,.81265008,1.0254616,1
2017,27900,.89548516,.80400485,.98696548,1
2017,27920,.82010317,.61036944,1.0298369,1
2017,27940,1.6382285,.96657312,2.3098841,3
2017,27980,.90248251,.79509377,1.0098712,1
2017,28020,1.0142324,.94226134,1.0862035,1
2017,28060,1.1646743,1.0130277,1.3163209,2
2017,28100,.98756874,.86728531,1.1078522,1
2017,28140,.99097753,.96301061,1.0189445,1
2017,28180,1.0882262,.92745596,1.2489964,1
2017,28260,1.0458955,.88206273,1.2097281,1
2017,28300,.88301516,.71454263,1.0514877,1
2017,28340,.97798252,.79592013,1.1600449,1
2017,28380,.72558421,.51288337,.93828505,1
2017,28420,1.0218827,.9414252,1.1023401,3
2017,28500,.93869084,.75471812,1.1226635,1
2017,28540,1.6966815,.67994887,2.7134142,3
2017,28580,.94355541,.76737177,1.1197391,1
2017,28620,.82068574,.61201543,1.0293561,1
2017,28660,.92112303,.86469918,.97754687,1
2017,28700,.91507202,.83773553,.99240851,1
2017,28740,,,,
2017,28780,.84929848,.63215441,1.0664426,1
2017,28820,.78971189,.61565316,.96377063,1
