year,state,place,subgroup_type,subgroup,share_in_preschool,share_in_preschool_quality
2021,06,22804,race-ethnicity,"Black, Non-Hispanic",0,3
2021,06,22804,race-ethnicity,Hispanic,0.3616467627137384,1
2021,06,22804,race-ethnicity,Other Races and Ethnicities,0.42057045580980906,1
2021,06,22804,race-ethnicity,"White, Non-Hispanic",0.41731794137591144,1
2021,06,23182,race-ethnicity,"Black, Non-Hispanic",0.34199938283174014,3
2021,06,23182,race-ethnicity,Hispanic,0.3634112236080587,1
2021,06,23182,race-ethnicity,Other Races and Ethnicities,0.25782719442951885,1
2021,06,23182,race-ethnicity,"White, Non-Hispanic",0.3252156932339611,1
2021,06,24638,race-ethnicity,"Black, Non-Hispanic",0,3
2021,06,24638,race-ethnicity,Hispanic,0.6505050505050505,3
2021,06,24638,race-ethnicity,Other Races and Ethnicities,0.5790190735694823,2
2021,06,24638,race-ethnicity,"White, Non-Hispanic",0.5582010582010583,2
2021,06,24680,race-ethnicity,"Black, Non-Hispanic",0.3137274433409324,3
2021,06,24680,race-ethnicity,Hispanic,0.30867171705205154,1
2021,06,24680,race-ethnicity,Other Races and Ethnicities,0.33982014731063004,1
2021,06,24680,race-ethnicity,"White, Non-Hispanic",0.1768462194498372,1
2021,06,26000,race-ethnicity,"Black, Non-Hispanic",0.30385968857879064,3
2021,06,26000,race-ethnicity,Hispanic,0.4499352675242606,1
2021,06,26000,race-ethnicity,Other Races and Ethnicities,0.5494731592338532,1
2021,06,26000,race-ethnicity,"White, Non-Hispanic",0.4870076855994271,1
2021,06,27000,race-ethnicity,"Black, Non-Hispanic",0.29100188768472113,1
2021,06,27000,race-ethnicity,Hispanic,0.33984521743099033,1
2021,06,27000,race-ethnicity,Other Races and Ethnicities,0.2329175423404063,1
2021,06,27000,race-ethnicity,"White, Non-Hispanic",0.46518585152646086,1
2021,06,28000,race-ethnicity,"Black, Non-Hispanic",0.3141490094284393,3
2021,06,28000,race-ethnicity,Hispanic,0.3294239172626822,2
2021,06,28000,race-ethnicity,Other Races and Ethnicities,0.7350161818155683,2
2021,06,28000,race-ethnicity,"White, Non-Hispanic",0.4754644841044613,2
2021,06,29000,race-ethnicity,"Black, Non-Hispanic",0.1056921463987577,3
2021,06,29000,race-ethnicity,Hispanic,0.3388357669199704,1
2021,06,29000,race-ethnicity,Other Races and Ethnicities,0.4972842312017891,1
2021,06,29000,race-ethnicity,"White, Non-Hispanic",0.5301205616894819,1
2021,06,30000,race-ethnicity,"Black, Non-Hispanic",0.0944734274928956,3
2021,06,30000,race-ethnicity,Hispanic,0.25807670851227477,1
2021,06,30000,race-ethnicity,Other Races and Ethnicities,0.47304728028893506,1
2021,06,30000,race-ethnicity,"White, Non-Hispanic",0.5796889460417982,1
2021,06,32548,race-ethnicity,"Black, Non-Hispanic",0.3158163169032119,2
2021,06,32548,race-ethnicity,Hispanic,0.39971987462657776,2
2021,06,32548,race-ethnicity,Other Races and Ethnicities,0.526241595857251,2
2021,06,32548,race-ethnicity,"White, Non-Hispanic",0.5305858761042762,3
2021,06,33000,race-ethnicity,"Black, Non-Hispanic",0.7390482589751306,3
2021,06,33000,race-ethnicity,Hispanic,0.40776046220026363,1
2021,06,33000,race-ethnicity,Other Races and Ethnicities,0.4574202190308193,1
2021,06,33000,race-ethnicity,"White, Non-Hispanic",0.5021223972278785,1
2021,06,33182,race-ethnicity,"Black, Non-Hispanic",0.23516082981502293,3
2021,06,33182,race-ethnicity,Hispanic,0.23295888677458462,2
2021,06,33182,race-ethnicity,Other Races and Ethnicities,0.47050479661250066,2
2021,06,33182,race-ethnicity,"White, Non-Hispanic",0.30052964420904704,2
2021,06,33434,race-ethnicity,"Black, Non-Hispanic",0.752652516793949,3
2021,06,33434,race-ethnicity,Hispanic,0.16609933866860138,2
2021,06,33434,race-ethnicity,Other Races and Ethnicities,0.763306357305556,2
2021,06,33434,race-ethnicity,"White, Non-Hispanic",0.3458131178285144,2
2021,06,36000,race-ethnicity,"Black, Non-Hispanic",0.9819902600385922,3
2021,06,36000,race-ethnicity,Hispanic,0.5798285243232738,1
2021,06,36000,race-ethnicity,Other Races and Ethnicities,0.7776188748824027,1
2021,06,36000,race-ethnicity,"White, Non-Hispanic",0.6290108949778808,1
2021,06,36448,race-ethnicity,"Black, Non-Hispanic",0.8457761312301473,3
2021,06,36448,race-ethnicity,Hispanic,0.22405157538611978,2
2021,06,36448,race-ethnicity,Other Races and Ethnicities,0.40264009879510027,3
2021,06,36448,race-ethnicity,"White, Non-Hispanic",0.3366570673308369,2
2021,06,36546,race-ethnicity,"Black, Non-Hispanic",0.336368365227922,1
2021,06,36546,race-ethnicity,Hispanic,0.4039380042541563,1
2021,06,36546,race-ethnicity,Other Races and Ethnicities,0.951188626946889,1
2021,06,36546,race-ethnicity,"White, Non-Hispanic",0.19882107498210008,1
2021,06,36770,race-ethnicity,"Black, Non-Hispanic",0.27659061917457406,3
2021,06,36770,race-ethnicity,Hispanic,0.12625394305865878,2
2021,06,36770,race-ethnicity,Other Races and Ethnicities,0.6099574959674264,2
2021,06,36770,race-ethnicity,"White, Non-Hispanic",0.7038638666265141,2
2021,06,37692,race-ethnicity,"Black, Non-Hispanic",0.07194244604316546,3
2021,06,37692,race-ethnicity,Hispanic,0.3682342502218279,2
2021,06,37692,race-ethnicity,Other Races and Ethnicities,0.4017857142857143,2
2021,06,37692,race-ethnicity,"White, Non-Hispanic",0.4899328859060403,3
2021,06,39496,race-ethnicity,"Black, Non-Hispanic",0.3926228410764493,3
2021,06,39496,race-ethnicity,Hispanic,0.26861161631649144,3
2021,06,39496,race-ethnicity,Other Races and Ethnicities,0.5629751923825174,3
2021,06,39496,race-ethnicity,"White, Non-Hispanic",0.6421380901313228,3
2021,06,39892,race-ethnicity,"Black, Non-Hispanic",0.1925954155776317,2
2021,06,39892,race-ethnicity,Hispanic,0.41295155372764153,2
2021,06,39892,race-ethnicity,Other Races and Ethnicities,0.48094826689765946,2
2021,06,39892,race-ethnicity,"White, Non-Hispanic",0.5451381499516428,2
2021,06,40130,race-ethnicity,"Black, Non-Hispanic",0.37988305608953593,1
2021,06,40130,race-ethnicity,Hispanic,0.32034996695199613,1
2021,06,40130,race-ethnicity,Other Races and Ethnicities,0.09971437659536715,1
2021,06,40130,race-ethnicity,"White, Non-Hispanic",0.43052847354041845,1
2021,06,41992,race-ethnicity,"Black, Non-Hispanic",NA,3
2021,06,41992,race-ethnicity,Hispanic,0.6538716082064857,2
2021,06,41992,race-ethnicity,Other Races and Ethnicities,0.5812389380530973,2
2021,06,41992,race-ethnicity,"White, Non-Hispanic",0.6540652511651993,2
2021,06,43000,race-ethnicity,"Black, Non-Hispanic",0.46910190604055513,1
2021,06,43000,race-ethnicity,Hispanic,0.37149237611539715,1
2021,06,43000,race-ethnicity,Other Races and Ethnicities,0.4720702787448029,1
2021,06,43000,race-ethnicity,"White, Non-Hispanic",0.6305265612237019,1
2021,06,44000,race-ethnicity,"Black, Non-Hispanic",0.4801952242110499,1
2021,06,44000,race-ethnicity,Hispanic,0.4100899036619544,1
2021,06,44000,race-ethnicity,Other Races and Ethnicities,0.5597545559730204,1
2021,06,44000,race-ethnicity,"White, Non-Hispanic",0.6518290385600137,1
2021,06,45484,race-ethnicity,"Black, Non-Hispanic",0.3642175890959549,3
2021,06,45484,race-ethnicity,Hispanic,0.3362864093842962,3
2021,06,45484,race-ethnicity,Other Races and Ethnicities,0.27505216303789903,3
2021,06,45484,race-ethnicity,"White, Non-Hispanic",0.34117802447895856,3
2021,06,46842,race-ethnicity,"Black, Non-Hispanic",0.4493487346093533,3
2021,06,46842,race-ethnicity,Hispanic,0.2148385474627049,2
2021,06,46842,race-ethnicity,Other Races and Ethnicities,0.34686479757608024,2
