year,state,county,frpl40_total,poverty_measure_used,frpl40_total_quality,frpl40_white,frpl40_white_quality,frpl40_black,frpl40_black_quality,frpl40_hispanic,frpl40_hispanic_quality
2018,01,131,1,FRPL,1,1,3,1,1,1,3
2018,01,133,1,FRPL,1,1,1,1,1,1,1
2018,02,013,0,FRPL,1,0,2,,,0,3
2018,02,016,.023255814,Both,3,.010416667,3,0,3,.11320755,3
2018,02,020,.39287627,Both,3,.36014503,3,.46229228,3,.39552379,3
2018,02,050,.99764013,Both,3,.99358976,3,1,3,1,3
2018,02,060,.9537037,FRPL,1,.80000001,2,1,3,1,3
2018,02,068,.040816326,DC,1,.0436747,1,.027027028,1,0,1
2018,02,070,.9953227,Both,3,.96875,3,,,1,3
2018,02,090,.18021093,Both,3,.12007685,3,.32519084,3,.28771931,3
2018,02,100,.94615382,Both,3,.92631578,3,,,1,3
2018,02,105,.6541096,Both,3,.17073171,3,.25,3,1,3
2018,02,110,.23709168,Both,3,.16486973,3,.13725491,3,.30650154,3
2018,02,122,.48056936,Both,3,.45931596,3,.35135135,3,.46923077,3
2018,02,130,.62359548,Both,3,.60483176,3,.5,3,.44827586,3
2018,02,150,.82742614,Both,3,.68801653,3,.8888889,3,.8757062,3
2018,02,158,1,Both,3,1,3,1,3,,
2018,02,164,1,Both,3,1,3,1,3,1,3
2018,02,170,.59055662,Both,3,.57232058,3,.6328125,3,.53084111,3
2018,02,180,.9285447,Both,3,.86274511,3,1,3,1,3
2018,02,185,.37266514,Both,3,.14925373,3,.18181819,3,0,3
2018,02,188,.98131287,Both,3,.94736844,3,1,3,1,3
2018,02,195,1,DC,1,1,1,1,3,1,2
2018,02,198,.57024169,Both,3,.60767591,3,0,3,.6388889,3
2018,02,220,.79782081,Both,3,.74425727,3,1,3,.78431374,3
2018,02,230,0,FRPL,1,0,1,0,3,0,3
2018,02,240,.66159052,Both,3,.57404983,3,.55555558,3,.64044946,3
2018,02,261,.44792974,Both,3,.35820895,3,.30000001,3,.43396226,3
2018,02,275,0,FRPL,1,0,1,,,0,3
2018,02,282,0,FRPL,1,0,1,0,3,0,3
2018,02,290,.50875002,Both,3,.13885505,3,.13725491,3,.13114753,3
2018,04,001,.96287549,FRPL,1,.81,1,.83999997,2,.83282208,1
2018,04,003,.71772099,FRPL,1,.61655962,1,.49717513,1,.81556898,1
2018,04,005,.55006266,Both,3,.27619833,3,.43703705,3,.49705726,3
2018,04,007,.82402056,FRPL,1,.77575755,1,.58620691,2,.86345583,1
2018,04,009,.5084697,Both,3,.39097336,3,.56521738,3,.57583231,3
2018,04,011,.81765938,FRPL,1,.87919462,1,.66666669,2,.77810079,1
2018,04,012,.98402554,FRPL,1,.99223304,1,1,3,.98909658,1
2018,04,013,.51360124,Both,3,.25540084,3,.66770923,3,.73900354,3
2018,04,015,.80414939,FRPL,1,.7734682,1,.83268481,1,.87229139,1
2018,04,017,.91757011,Both,3,.80125713,3,.83749998,3,.91024017,3
2018,04,019,.56773633,Both,3,.3075262,3,.65942031,3,.71593773,3
2018,04,021,.8002829,Both,3,.73329407,3,.84275466,3,.84169292,3
2018,04,023,.91791791,FRPL,1,.30543932,1,.54545456,3,.94090432,1
2018,04,025,.68862301,FRPL,1,.63675731,1,.58762884,1,.80843019,1
2018,04,027,.96356255,FRPL,1,.91968536,1,.96190476,1,.97090429,1
2018,05,001,1,FRPL,1,1,1,1,1,1,1
2018,05,003,1,FRPL,1,1,1,1,1,1,1
2018,05,005,1,FRPL,1,1,1,1,2,1,1
2018,05,007,.56169057,FRPL,1,.47340548,1,.50586116,1,.80503917,1
2018,05,009,.95815486,FRPL,1,.95756721,1,.96774191,1,.96984923,1
2018,05,011,1,FRPL,1,1,1,1,1,1,1
2018,05,013,1,FRPL,1,1,1,1,1,1,1
2018,05,015,1,FRPL,1,1,1,1,2,1,1
2018,05,017,1,FRPL,1,1,1,1,1,1,1
2018,05,019,1,FRPL,1,1,1,1,1,1,1
2018,05,021,1,FRPL,1,1,1,1,2,1,1
2018,05,023,1,FRPL,1,1,1,1,3,1,1
2018,05,025,.8178165,FRPL,1,.78234267,1,1,1,.77777779,1
2018,05,027,.87580782,FRPL,1,.75074536,1,.99047619,1,.94409937,1
2018,05,029,.88968748,Both,3,.89708894,3,.87786257,3,.82105261,3
2018,05,031,.67708069,Both,3,.56169963,3,.90918106,3,.78597122,3
2018,05,033,1,FRPL,1,1,1,1,1,1,1
2018,05,035,1,FRPL,1,1,1,1,1,1,1
2018,05,037,1,FRPL,1,1,1,1,1,1,1
2018,05,039,.65550756,FRPL,1,.7198953,1,.60334027,1,.66037738,1
2018,05,041,.78970647,Both,3,.68904597,3,.83624452,3,.89108908,3
2018,05,043,1,FRPL,1,1,1,1,1,1,1
2018,05,045,.70502079,FRPL,1,.68079764,1,.77855831,1,.73857141,1
2018,05,047,1,FRPL,1,1,1,1,2,1,1
2018,05,049,1,FRPL,1,1,1,1,3,1,1
2018,05,051,.85562968,FRPL,1,.84363288,1,.9038257,1,.87029064,1
2018,05,053,.76450419,FRPL,1,.76536471,1,.75757575,1,.78289473,1
2018,05,055,1,FRPL,1,1,1,1,1,1,1
2018,05,057,1,FRPL,1,1,1,1,1,1,1
2018,05,059,1,FRPL,1,1,1,1,1,1,1
2018,05,061,1,FRPL,1,1,1,1,1,1,1
2018,05,063,.95308357,FRPL,1,.95024973,1,.95754719,1,.97325408,1
2018,05,065,1,FRPL,1,1,1,1,3,1,1
2018,05,067,1,FRPL,1,1,1,1,1,1,1
2018,05,069,.91303498,FRPL,1,.75942832,1,.97028071,1,.84102565,1
2018,05,071,1,FRPL,1,1,1,1,1,1,1
2018,05,073,1,FRPL,1,1,1,1,1,1,2
2018,05,075,1,FRPL,1,1,1,1,2,1,1
2018,05,077,1,FRPL,1,1,1,1,1,1,2
2018,05,079,1,FRPL,1,1,1,1,1,1,1
2018,05,081,1,FRPL,1,1,1,1,1,1,1
2018,05,083,1,FRPL,1,1,1,1,1,1,1
2018,05,085,.54820937,FRPL,1,.5152458,1,.87963891,1,.56678283,1
2018,05,087,1,FRPL,1,1,1,1,3,1,1
2018,05,089,1,FRPL,1,1,1,1,3,1,1
2018,05,091,.94585985,FRPL,1,.90761882,1,1,1,.98000002,1
2018,05,093,1,FRPL,1,1,1,1,1,1,1
2018,05,095,1,FRPL,1,1,1,1,1,1,1
2018,05,097,1,FRPL,1,1,1,1,3,1,1
2018,05,099,1,FRPL,1,1,1,1,1,1,1
2018,05,101,1,FRPL,1,1,1,1,3,1,3
2018,05,103,1,FRPL,1,1,1,1,1,1,1
2018,05,105,1,FRPL,1,1,1,1,2,1,1
2018,05,107,1,FRPL,1,1,1,1,1,1,1
2018,05,109,1,FRPL,1,1,1,1,1,1,1
2018,05,111,.99850708,FRPL,1,.99936807,1,.99201596,1,1,1
2018,05,113,.99256504,FRPL,1,.99104476,1,1,2,1,1
2018,05,115,.92319083,FRPL,1,.90841681,1,.96852303,1,.96700507,1
2018,05,117,1,FRPL,1,1,1,1,1,1,2
2018,05,119,.88234615,FRPL,1,.77618355,1,.93545908,1,.94403189,1
2018,05,121,1,FRPL,1,1,1,1,2,1,1
2018,05,123,1,FRPL,1,1,1,1,1,1,1
2018,05,125,.49126244,FRPL,1,.47250161,1,.56715065,1,.53882474,1
2018,05,127,1,FRPL,1,1,1,1,2,1,1
2018,05,129,1,FRPL,1,1,1,1,3,1,1
2018,05,131,.83514464,FRPL,1,.72799039,1,.97982198,1,.96920615,1
2018,05,133,1,FRPL,1,1,1,1,1,1,1
2018,05,135,1,FRPL,1,1,1,1,1,1,1
2018,05,137,1,FRPL,1,1,1,1,3,1,1
2018,05,139,.95753205,FRPL,1,.93017125,1,.98706162,1,.97991967,1
2018,05,141,1,FRPL,1,1,1,1,3,1,1
2018,05,143,.7178942,FRPL,1,.58317751,1,.65902412,1,.91295165,1
2018,05,145,.91719633,FRPL,1,.91283923,1,.92282432,1,.94395602,1
2018,05,147,1,FRPL,1,1,1,1,1,1,2
2018,05,149,1,FRPL,1,1,1,1,1,1,1
2018,06,001,.48903292,FRPL,1,.19338988,1,.76688665,1,.76237279,1
2018,06,003,.97468352,FRPL,1,1,2,,,1,3
2018,06,005,.62562996,FRPL,1,.60612613,1,.7096774,1,.6718576,1
2018,06,007,.79366732,FRPL,1,.75606292,1,.80529594,1,.85614401,1
2018,06,009,.84342104,FRPL,1,.84196478,1,.96428573,2,.84808946,1
2018,06,011,.99792528,FRPL,1,.99535424,1,1,2,.99893761,1
2018,06,013,.4730556,FRPL,1,.18946858,1,.80330753,1,.74080461,1
2018,06,015,.98218471,FRPL,1,.97529733,1,1,1,.99024922,1
2018,06,017,.30562651,FRPL,1,.27914488,1,.18627451,1,.45857418,1
2018,06,019,.90074313,FRPL,1,.71629983,1,.94911301,1,.95650554,1
2018,06,021,.9983716,FRPL,1,.99893445,1,1,2,.99876505,1
2018,06,023,.82925612,FRPL,1,.78876752,1,.87562191,1,.87736422,1
2018,06,025,.95779514,FRPL,1,.85427421,1,.96837944,1,.96363485,1
2018,06,027,.99588478,FRPL,1,.99691993,1,.93333334,2,.9980334,1
2018,06,029,.84249544,FRPL,1,.63159877,1,.91301394,1,.92296773,1
2018,06,031,.92265004,FRPL,1,.80014187,1,.91138059,1,.96166027,1
2018,06,033,.99740744,FRPL,1,.99702632,1,1,1,.99779797,1
2018,06,035,.63949275,FRPL,1,.60813951,1,.59183675,1,.70514601,1
2018,06,037,.80475783,FRPL,1,.43848017,1,.88618666,1,.92388749,1
2018,06,039,.97174454,FRPL,1,.91155493,1,.96169353,1,.99014968,1
2018,06,041,.24893311,FRPL,1,.10157267,1,.35664335,1,.55915368,1
2018,06,043,.9845745,FRPL,1,.98971522,1,.80000001,3,.97790056,1
2018,06,045,.98642462,FRPL,1,.97433114,1,.97894734,1,.99720573,1
2018,06,047,.98496866,FRPL,1,.95455563,1,.99621928,1,.99104846,1
2018,06,049,.99255753,FRPL,1,.99145299,1,1,2,.99530518,1
2018,06,051,.94345421,FRPL,1,.93494707,1,1,3,.9483726,1
2018,06,053,.8867901,FRPL,1,.49780902,1,.81074768,1,.96378487,1
2018,06,055,.62064356,FRPL,1,.51508546,1,.35449734,1,.74307948,1
2018,06,057,.58096719,FRPL,1,.5511592,1,.89268291,1,.66014862,1
2018,06,059,.51452082,FRPL,1,.17849322,1,.50120872,1,.77734095,1
2018,06,061,.1821194,FRPL,1,.15780823,1,.23706564,1,.30288208,1
2018,06,063,.86355394,FRPL,1,.84639496,1,.56521738,2,.92777777,1
2018,06,065,.78857583,FRPL,1,.59882498,1,.80806702,1,.87800217,1
2018,06,067,.7421968,FRPL,1,.61558938,1,.88183767,1,.84384727,1
2018,06,069,.91550189,FRPL,1,.87280494,1,.82222223,1,.932491,1
2018,06,071,.89932936,FRPL,1,.81401092,1,.94096649,1,.94175148,1
2018,06,073,.60141987,FRPL,1,.37088081,1,.77840137,1,.78294283,1
2018,06,075,.65377253,FRPL,1,.36858457,1,.710558,1,.76813954,1
2018,06,077,.85210764,FRPL,1,.73944843,1,.89913243,1,.91039848,1
2018,06,079,.55962902,FRPL,1,.44695118,1,.5616883,1,.72257739,1
2018,06,081,.33545429,FRPL,1,.14054899,1,.4229919,1,.57029951,1
2018,06,083,.79291296,FRPL,1,.54380935,1,.79374111,1,.88987201,1
2018,06,085,.39043215,FRPL,1,.1600537,1,.47634584,1,.68232673,1
2018,06,087,.5479151,FRPL,1,.25913802,1,.42345276,1,.80090737,1
2018,06,089,.72496796,FRPL,1,.69135666,1,.81894153,1,.81842041,1
2018,06,091,.59213758,FRPL,1,.57894737,1,.33333334,3,.6825397,1
2018,06,093,.99705428,FRPL,1,.99733549,1,1,1,.99776787,1
2018,06,095,.6537447,FRPL,1,.45076668,1,.78630137,1,.78070867,1
2018,06,097,.47523588,FRPL,1,.28937232,1,.45913219,1,.66169262,1
2018,06,099,.92573392,FRPL,1,.84787762,1,.95439857,1,.95739114,1
2018,06,101,.70620745,FRPL,1,.51716393,1,.6403712,1,.86297774,1
2018,06,103,.99184012,FRPL,1,.9889167,1,.98837209,1,.99524671,1
2018,06,105,.98535287,FRPL,1,.982575,1,1,3,.99328858,1
2018,06,107,.96305132,FRPL,1,.90123928,1,.9667266,1,.97842056,1
2018,06,109,.79196721,FRPL,1,.79298568,1,.78723407,1,.77990431,1
2018,06,111,.63627434,FRPL,1,.36866471,1,.79988742,1,.81366003,1
2018,06,113,.65703833,FRPL,1,.47885537,1,.63100964,1,.836981,1
2018,06,115,.87173134,FRPL,1,.83178502,1,.84086442,1,.9196896,1
2018,08,001,.59793782,FRPL,1,.35064313,1,.67915308,1,.76102328,1
2018,08,003,1,FRPL,1,1,1,1,2,1,1
2018,08,005,.4880828,Both,3,.25659993,3,.74358588,3,.74318326,3
2018,08,007,.70808911,FRPL,1,.63921994,1,.91666669,3,.8191126,1
2018,08,009,1,FRPL,1,1,1,1,3,1,1
2018,08,011,.96112603,FRPL,1,.96219283,1,1,3,.95652175,1
2018,08,013,.21467616,Both,3,.11266676,3,.21004567,3,.51546133,3
2018,08,014,.071610294,FRPL,1,.045205038,1,.12025317,1,.17449665,1
2018,08,015,.12453912,FRPL,1,.11873747,1,.125,2,.14733543,1
2018,08,017,.62758619,FRPL,1,.64634144,1,1,3,.56410259,1
2018,08,019,0,FRPL,1,0,1,0,3,0,1
2018,08,021,1,Both,3,1,3,1,3,1,3
2018,08,023,1,FRPL,1,1,1,1,3,1,1
2018,08,025,1,FRPL,1,1,1,1,3,1,1
2018,08,027,.69408739,FRPL,1,.68555242,1,.66666669,3,.84615386,3
2018,08,029,.84833932,Both,3,.82442319,3,.75,3,.92399657,3
2018,08,031,.7814061,Both,3,.44519275,3,.87318778,3,.92797852,3
2018,08,033,1,FRPL,1,1,1,,,1,2
2018,08,035,.042070534,FRPL,1,.015257981,1,.17381974,1,.18581833,1
2018,08,037,.44369096,FRPL,1,.29534948,1,.36363637,1,.5759775,1
2018,08,039,.10503817,Both,3,.10347297,3,.0625,3,.1305638,3
2018,08,041,.42206615,FRPL,1,.3181864,1,.63822395,1,.60782301,1
2018,08,043,.94992054,Both,3,.94906366,3,.95652175,3,.95460612,3
2018,08,045,.59563392,FRPL,1,.55296093,1,.60869563,1,.64149141,1
2018,08,047,0,FRPL,1,0,1,0,3,0,1
2018,08,049,.20908071,FRPL,1,.20014504,1,.33333334,3,.1969697,1
2018,08,051,.03325301,Both,3,.030860534,3,0,3,.053125001,3
2018,08,053,0,FRPL,1,0,1,,,0,3
2018,08,055,1,FRPL,1,1,1,1,3,1,1
2018,08,057,1,FRPL,1,1,1,,,1,1
2018,08,059,.30401075,Both,3,.20870923,3,.46699268,3,.56903893,3
2018,08,061,.20610687,FRPL,1,.20869565,1,0,3,.18181819,2
2018,08,063,1,FRPL,1,1,1,1,3,1,1
2018,08,065,.8852914,FRPL,1,.85714287,1,1,3,.8984701,1
2018,08,067,.32382134,FRPL,1,.25208864,1,.27536231,1,.45494643,1
2018,08,069,.25250015,FRPL,1,.20914219,1,.30650684,1,.42390043,1
2018,08,071,.59745765,Both,3,.48805815,3,.45833334,3,.69287699,3
2018,08,073,1,FRPL,1,1,1,1,3,1,1
2018,08,075,.59576613,FRPL,1,.54357797,1,.81578946,1,.76036865,1
2018,08,077,.62241435,FRPL,1,.56808048,1,.6438356,1,.78449839,1
2018,08,079,1,FRPL,1,1,1,,,1,3
2018,08,081,.23320329,FRPL,1,.22394282,1,.4375,2,.26061776,1
2018,08,083,.98422241,Both,3,.98051375,3,1,3,.98899585,3
2018,08,085,.97095823,Both,3,.95667291,3,1,3,.99177969,3
2018,08,087,.94978356,FRPL,1,.91953093,1,.99447513,1,.97340065,1
2018,08,089,1,FRPL,1,1,1,1,2,1,1
2018,08,091,.18518518,FRPL,1,.16179775,1,1,3,.33898306,1
2018,08,093,.23850931,FRPL,1,.23727487,1,.15384616,3,.24019608,1
2018,08,095,.3490364,FRPL,1,.26490065,1,0,3,.52884614,1
2018,08,097,0,FRPL,1,0,1,0,3,0,1
2018,08,099,.89031154,FRPL,1,.83897436,1,.84615386,3,.92763662,1
2018,08,101,.85171008,Both,3,.75931948,3,.93913043,3,.91417688,3
2018,08,103,0,FRPL,1,0,1,0,3,0,1
2018,08,105,.78444678,Both,3,.69272238,3,1,3,.84315503,3
2018,08,107,.089679912,Both,3,.089417279,3,.12121212,3,.080168776,3
2018,08,109,1,FRPL,1,1,1,1,3,1,1
2018,08,111,1,FRPL,1,1,1,,,1,2
2018,08,113,0,FRPL,1,0,1,0,3,0,1
2018,08,115,1,FRPL,1,1,1,1,3,1,1
2018,08,117,.22448979,FRPL,1,.13864169,1,.20689656,2,.37001595,1
2018,08,119,.13517442,FRPL,1,.14056399,1,.26086956,2,.086956523,1
2018,08,121,.96113443,FRPL,1,.95921052,1,1,3,.96621621,1
2018,08,123,.46152496,FRPL,1,.26191106,1,.71677852,1,.70851582,1
2018,08,125,.96514744,FRPL,1,.95067263,1,1,3,.98770493,1
2018,09,001,.4961189,FRPL,1,.24400543,1,.88942766,1,.80682212,1
2018,09,003,.52247733,FRPL,1,.28476498,1,.82224303,1,.79696995,1
2018,09,005,.34382337,FRPL,1,.30353525,1,.445629,1,.56516767,1
2018,09,007,.24430247,FRPL,1,.16895162,1,.66721857,1,.43965143,1
2018,09,009,.61000586,FRPL,1,.33199918,1,.91650563,1,.88217986,1
2018,09,011,.50550187,FRPL,1,.35925943,1,.83759397,1,.78265262,1
2018,09,013,.19309463,FRPL,1,.15076695,1,.4862518,1,.39591315,1
2018,09,015,.71357799,FRPL,1,.65764695,1,.85205477,1,.92054796,1
2018,10,001,.2726185,DC,1,.19460237,1,.35346735,1,.36498421,1
2018,10,003,.26308218,DC,1,.1152731,1,.3801035,1,.42197174,1
2018,10,005,.33529234,Both,3,.28329715,3,.47027642,3,.34347951,3
2018,11,001,.57731301,DC,1,.068203561,1,.76673388,1,.28397974,1
2018,12,001,.52040255,FRPL,1,.39877671,1,.69621581,1,.46600527,1
2018,12,003,.72628456,FRPL,1,.72187042,1,.7472868,1,.75925928,1
2018,12,005,.67271113,FRPL,1,.63429278,1,.81843382,1,.72723544,1
2018,12,007,.98165721,FRPL,1,.98569512,1,.9719888,1,1,1
2018,12,009,.63552773,FRPL,1,.5615676,1,.86434752,1,.71916372,1
2018,12,011,.77648824,FRPL,1,.61981547,1,.93133861,1,.71224004,1
2018,12,013,.99403667,FRPL,1,.99341714,1,1,1,1,1
2018,12,015,.94883806,FRPL,1,.93765497,1,.98543692,1,.9696607,1
2018,12,017,.9926461,FRPL,1,.99718356,1,.9034965,1,.99696279,1
2018,12,019,.45374104,FRPL,1,.47830144,1,.40592217,1,.41248062,1
2018,12,021,.71201199,FRPL,1,.47056943,1,.87999278,1,.84220034,1
2018,12,023,.95004433,FRPL,1,.93464458,1,.99035513,1,.971223,1
2018,12,027,.9955321,FRPL,1,.99420136,1,.99140894,1,.99737185,1
2018,12,029,.99910235,FRPL,1,.99893278,1,1,1,1,1
2018,12,031,.6345371,FRPL,1,.44420895,1,.81139094,1,.62841403,1
2018,12,033,.75678581,FRPL,1,.68092722,1,.8451829,1,.80911285,1
2018,12,035,.92496151,FRPL,1,.92596781,1,.91409117,1,.93276411,1
2018,12,037,1,FRPL,1,1,1,1,1,1,1
2018,12,039,.99770862,FRPL,1,.98429322,1,.998155,1,.99822539,1
2018,12,041,.75181687,FRPL,1,.75531918,1,.60683763,1,.79847908,1
2018,12,043,.82517081,FRPL,1,.94444442,1,.97252744,1,.94656491,1
2018,12,045,.99284256,FRPL,1,.99476439,1,.99152541,1,1,1
2018,12,047,.99254656,FRPL,1,.98842973,1,.99510604,1,.99363059,1
2018,12,049,.99980313,FRPL,1,.99929923,1,1,1,1,1
2018,12,051,.99476016,FRPL,1,.99062723,1,.99497485,1,.99558264,1
2018,12,053,.82733876,FRPL,1,.81882954,1,.87744826,1,.83937931,1
2018,12,055,.99781078,FRPL,1,.99749857,1,.99807787,1,.99814129,1
2018,12,057,.7421363,FRPL,1,.58002985,1,.88696158,1,.83387375,1
2018,12,059,.99145299,FRPL,1,.99143833,1,1,1,.99159664,1
2018,12,061,.87144458,FRPL,1,.82612288,1,.95526838,1,.91393942,1
2018,12,063,.78040487,FRPL,1,.7783888,1,.76090223,1,.84659094,1
2018,12,065,1,FRPL,1,1,1,1,1,1,1
2018,12,067,.99918568,FRPL,1,1,1,1,1,.99618322,1
2018,12,069,.56746548,FRPL,1,.5587706,1,.67097938,1,.54211885,1
2018,12,071,.68768138,FRPL,1,.54407841,1,.8484599,1,.76814699,1
2018,12,073,.4329775,FRPL,1,.19451907,1,.67285079,1,.45544556,1
2018,12,075,.99909222,FRPL,1,.99870026,1,1,1,1,1
2018,12,077,0,FRPL,1,0,1,0,1,0,1
2018,12,079,.81008786,FRPL,1,.64886165,1,.95088565,1,.88157892,1
2018,12,081,.6894474,FRPL,1,.53884745,1,.85963356,1,.83125293,1
2018,12,083,.96162003,FRPL,1,.95416903,1,.96304196,1,.98293346,1
2018,12,085,.58271098,FRPL,1,.47132906,1,.74849397,1,.74935973,1
2018,12,086,.88372153,FRPL,1,.62693721,1,.95314914,1,.89028883,1
2018,12,087,.88307297,FRPL,1,.83044368,1,.96674055,1,.93802649,1
2018,12,089,.75292951,FRPL,1,.76804072,1,.64127767,1,.69541776,1
2018,12,091,.54132789,FRPL,1,.52206546,1,.645289,1,.53614283,1
2018,12,093,.97338808,FRPL,1,.97388947,1,.97098976,1,.97133285,1
2018,12,095,.72238135,FRPL,1,.54750305,1,.87214595,1,.76215672,1
2018,12,097,.65461999,FRPL,1,.42301038,1,.76428372,1,.72396129,1
2018,12,099,.67464674,FRPL,1,.43131897,1,.87550771,1,.74896437,1
2018,12,101,.65556711,FRPL,1,.64726347,1,.69968277,1,.69113469,1
2018,12,103,.68664306,FRPL,1,.58280051,1,.88921589,1,.77862257,1
2018,12,105,.77589291,FRPL,1,.69178301,1,.81364018,1,.85688305,1
2018,12,107,.94940853,FRPL,1,.92793751,1,.97709644,1,.97392565,1
2018,12,109,.13457957,FRPL,1,.11636046,1,.38754678,1,.13677131,1
2018,12,111,.99280691,FRPL,1,.99077076,1,.99278063,1,.99514192,1
2018,12,113,.43234417,FRPL,1,.42854548,1,.57902199,1,.34111482,1
2018,12,115,.59244829,FRPL,1,.51542521,1,.88327181,1,.73036444,1
2018,12,117,.65797067,FRPL,1,.5708614,1,.83802044,1,.73619664,1
2018,12,119,.62980986,FRPL,1,.58852345,1,.84832907,1,.66059226,1
2018,12,121,.98221177,FRPL,1,.97806662,1,.99087799,1,.98750001,1
2018,12,123,1,FRPL,1,1,1,1,1,1,1
2018,12,125,.99020028,FRPL,1,.99409235,1,.96938777,1,.96551722,1
2018,12,127,.89298201,FRPL,1,.86235511,1,.94090462,1,.94828266,1
2018,12,129,.38580185,FRPL,1,.38950479,1,.32007954,1,.42011833,1
2018,12,131,.6130904,FRPL,1,.59945655,1,.82641512,1,.60530305,1
2018,12,133,.99642003,FRPL,1,.99524939,1,1,1,1,1
2018,13,001,1,FRPL,1,1,1,1,1,1,1
2018,13,003,1,FRPL,1,1,1,1,1,1,1
2018,13,005,1,FRPL,1,1,1,1,1,1,1
2018,13,007,1,FRPL,1,1,1,1,1,1,1
2018,13,009,.9967016,FRPL,1,.99920946,1,.99538505,1,1,1
