year,state,county,subgroup_type,subgroup,digital_access,digital_access_quality
2021,01,043,race-ethnicity,Hispanic,0.9700431581619701,1
2021,01,043,race-ethnicity,White,0.8528298619700193,1
2021,01,045,all,All,0.8372064801893089,1
2021,01,045,race-ethnicity,Other Races and Ethnicities,0.7796208530805687,1
2021,01,045,race-ethnicity,Black,0.7900547088706525,1
2021,01,045,race-ethnicity,Hispanic,0.8397058823529412,1
2021,01,045,race-ethnicity,White,0.8579472375453739,1
2021,01,047,all,All,0.7682447270313059,1
2021,01,047,race-ethnicity,Other Races and Ethnicities,0.7406716417910447,2
2021,01,047,race-ethnicity,Black,0.7501335327422284,1
2021,01,047,race-ethnicity,Hispanic,NA,NA
2021,01,047,race-ethnicity,White,0.8178886464953049,1
2021,01,049,all,All,0.8442854347765324,1
2021,01,049,race-ethnicity,Other Races and Ethnicities,0.8007568590350047,1
2021,01,049,race-ethnicity,Black,0.7477558348294434,2
2021,01,049,race-ethnicity,Hispanic,0.838715630190072,1
2021,01,049,race-ethnicity,White,0.8537664940704861,1
2021,01,051,all,All,0.845087554219356,1
2021,01,051,race-ethnicity,Other Races and Ethnicities,0.8948170731707317,2
2021,01,051,race-ethnicity,Black,0.7249035812672177,1
2021,01,051,race-ethnicity,Hispanic,0.8753266144083613,1
2021,01,051,race-ethnicity,White,0.8756071318782662,1
2021,01,053,all,All,0.691152146207869,1
2021,01,053,race-ethnicity,Other Races and Ethnicities,0.8321468714874485,2
2021,01,053,race-ethnicity,Black,0.5482917499782666,1
2021,01,053,race-ethnicity,Hispanic,0.6630669546436285,2
2021,01,053,race-ethnicity,White,0.7469502796494473,1
2021,01,055,all,All,0.8543221092511695,1
2021,01,055,race-ethnicity,Other Races and Ethnicities,0.8333859759949463,1
2021,01,055,race-ethnicity,Black,0.8081893873493228,1
2021,01,055,race-ethnicity,Hispanic,0.7742300724637681,1
2021,01,055,race-ethnicity,White,0.8651193208459811,1
2021,01,057,all,All,0.7850290253589979,1
2021,01,057,race-ethnicity,Other Races and Ethnicities,0.8873517786561265,3
2021,01,057,race-ethnicity,Black,0.6318312559923298,2
2021,01,057,race-ethnicity,Hispanic,NA,NA
2021,01,057,race-ethnicity,White,0.80447251869599945,1
2021,01,059,all,All,0.6682587251045764,1
2021,01,059,race-ethnicity,Other Races and Ethnicities,0.6496,2
2021,01,059,race-ethnicity,Black,0.5788722341184868,2
2021,01,059,race-ethnicity,Hispanic,0.6624892703862661,1
2021,01,059,race-ethnicity,White,0.6774632117722329,1
2021,01,061,all,All,0.7807472560517216,1
2021,01,061,race-ethnicity,Other Races and Ethnicities,0.6515892420537898,3
2021,01,061,race-ethnicity,Black,0.7372947615324472,1
2021,01,061,race-ethnicity,Hispanic,0.7724867724867724,1
2021,01,061,race-ethnicity,White,0.795136099955377,1
2021,01,063,all,All,0.5827283148643485,1
2021,01,063,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,063,race-ethnicity,Black,0.5328936786231301,2
2021,01,063,race-ethnicity,Hispanic,NA,NA
2021,01,063,race-ethnicity,White,0.7371469949312093,1
2021,01,065,all,All,0.7486335110331331,1
2021,01,065,race-ethnicity,Other Races and Ethnicities,0.6909547738693468,3
2021,01,065,race-ethnicity,Black,0.7088100686498856,1
2021,01,065,race-ethnicity,Hispanic,NA,NA
2021,01,065,race-ethnicity,White,0.8139412075338849,1
2021,01,067,all,All,0.8424701427323041,1
2021,01,067,race-ethnicity,Other Races and Ethnicities,0.7900172117039587,3
2021,01,067,race-ethnicity,Black,0.7610076670317634,1
2021,01,067,race-ethnicity,Hispanic,0.7914893617021277,2
2021,01,067,race-ethnicity,White,0.8759464181712289,1
2021,01,069,all,All,0.8416247473085422,1
2021,01,069,race-ethnicity,Other Races and Ethnicities,0.8742227749156155,1
2021,01,069,race-ethnicity,Black,0.7757266841162694,1
2021,01,069,race-ethnicity,Hispanic,0.8561384532179557,1
2021,01,069,race-ethnicity,White,0.8657553354721719,1
2021,01,071,all,All,0.8285377178960189,1
2021,01,071,race-ethnicity,Other Races and Ethnicities,0.8328115216030056,1
2021,01,071,race-ethnicity,Black,0.6672043010752688,2
2021,01,071,race-ethnicity,Hispanic,0.6903030303030303,2
2021,01,071,race-ethnicity,White,0.834568577083421,1
2021,01,073,all,All,0.8664619730875028,1
2021,01,073,race-ethnicity,Other Races and Ethnicities,0.8734333753478085,1
2021,01,073,race-ethnicity,Black,0.8331680215298394,1
2021,01,073,race-ethnicity,Hispanic,0.7995668294115488,1
2021,01,073,race-ethnicity,White,0.8936628506796588,1
2021,01,075,all,All,0.7467154856773638,1
2021,01,075,race-ethnicity,Other Races and Ethnicities,0.7978723404255319,3
2021,01,075,race-ethnicity,Black,0.5048418334409296,2
2021,01,075,race-ethnicity,Hispanic,NA,NA
2021,01,075,race-ethnicity,White,0.7764919821458093,1
2021,01,077,all,All,0.8033146922071522,1
2021,01,077,race-ethnicity,Other Races and Ethnicities,0.8902962644911979,2
2021,01,077,race-ethnicity,Black,0.6974248927038627,1
2021,01,077,race-ethnicity,Hispanic,0.779466271312083,1
2021,01,077,race-ethnicity,White,0.8106446247668968,1
