year,state,place,digital_access,digital_access_quality
2021,06,64224,0.9165173860764153,1
2021,06,65000,0.8104075246466595,1
2021,06,65042,0.9190030025684621,1
2021,06,66000,0.9196772335458836,1
2021,06,67000,0.9114227082233844,1
2021,06,68000,0.9398413361004286,1
2021,06,68084,0.9302228656664034,1
2021,06,68196,0.9574501924443077,1
2021,06,68252,0.9399735457287771,1
2021,06,68378,0.9817127252357389,1
2021,06,69000,0.8900413615535119,1
2021,06,69070,0.9183009469102006,1
2021,06,69084,0.9306061506230359,1
2021,06,69088,0.9523465767534399,1
2021,06,69196,0.9122945045696146,1
2021,06,70000,0.9159413108113931,1
2021,06,70098,0.9223326432792264,1
2021,06,72016,0.9464470187447264,1
2021,06,73080,0.8997192094997214,1
2021,06,75000,0.8789653197742104,1
2021,06,77000,0.9554291224686596,1
2021,06,78120,0.970194558221182,1
2021,06,78582,0.9401213130725835,1
2021,06,80000,0.9456155372529832,1
2021,06,80238,0.9431739805155617,1
2021,06,80854,0.9510607672570248,1
2021,06,81344,0.9319037444037443,1
2021,06,81554,0.8976881552182757,1
2021,06,81666,0.9232788193059434,1
2021,06,82590,0.9052165147001294,1
2021,06,82954,0.9071080373138056,1
2021,06,82996,0.9190885039178518,1
2021,06,84200,0.931779955391422,1
2021,06,84550,0.9389154897169842,1
2021,06,85292,0.8831436960910258,1
2021,08,03455,0.9452250962140876,1
2021,08,04000,0.9306511671568934,1
2021,08,07850,0.8448108262651292,1
2021,08,12815,0.9538213610936168,1
2021,08,16000,0.9310135877226573,1
2021,08,20000,0.9060991880294115,1
2021,08,27425,0.8844701057630046,1
2021,08,32155,0.843908273683817,1
2021,08,43000,0.9201005089712612,1
2021,08,45970,0.9212260474344309,1
2021,08,46465,0.928494297979931,1
2021,08,62000,0.8349727168294084,1
2021,08,77290,0.9469894263473224,1
2021,08,83835,0.9302289349547757,1
2021,09,08000,0.8665917093631547,1
2021,09,18430,0.8735106790259521,1
2021,09,37000,0.787046939010546,1
2021,09,52000,0.8387812420634327,1
2021,09,55990,0.9257990993272481,1
2021,09,73000,0.9279112891262424,1
2021,09,80000,0.8277950133148185,1
2021,11,50000,0.8407679673982733,1
2021,12,07300,0.902083966983754,1
2021,12,07875,0.8738786346078838,1
2021,12,10275,0.9269182344315892,1
2021,12,12875,0.844069424435755,1
2021,12,14400,0.9476187982916083,1
2021,12,16475,0.9331373709224867,1
2021,12,16725,0.8855941065743301,1
2021,12,17200,0.8972545579046478,1
2021,12,17935,0.9600962721877307,1
2021,12,24000,0.8651171212694859,1
2021,12,24125,0.837190355869365,1
2021,12,25175,0.7603664381833777,1
2021,12,30000,0.8467075529724285,1
2021,12,32000,0.9105814662149322,1
2021,12,32275,0.8874310705457311,1
2021,12,35000,0.8766372681803155,1
2021,12,36950,0.8585161098083924,1
2021,12,38250,0.7794856930643744,1
2021,12,39425,0.8700199987879522,1
2021,12,43975,0.8760119760479042,1
2021,12,45000,0.7506845399460534,1
2021,12,45025,0.8216104182391067,1
2021,12,45060,0.8078885646249978,1
2021,12,45975,0.8885976799249475,1
2021,12,49675,0.9316615181233222,1
2021,12,53000,0.8997022787885189,1
2021,12,54000,0.9305949843735521,1
2021,12,54200,0.78113075085208294,1
2021,12,55775,0.9097953576837731,1
2021,12,57425,0.9368737257623737,1
2021,12,58050,0.8353033036267198,1
2021,12,58715,0.9497766808291744,1
2021,12,63000,0.8893376444848884,1
2021,12,69700,0.8602681355227604,1
2021,12,70600,0.8453990372045095,1
2021,12,71000,0.8883267275728298,1
2021,12,76600,0.835748250299887,1
2021,13,03440,0.8170443552863191,1
2021,13,04000,0.8229331740497843,1
2021,13,04204,0.8130912632164718,1
2021,13,19000,0.8410939197322451,1
2021,13,42425,0.9822464297899303,1
2021,13,49008,0.8213207751848944,1
2021,13,67284,0.9468215950284826,1
2021,13,68516,0.9382486750152432,1
2021,13,69000,0.8312918272155749,1
2021,13,72122,0.9396973974666275,1
2021,13,80508,0.9062810187337446,1
2021,15,71550,0.8720310393282398,1
2021,16,08830,0.9097638822304859,1
2021,16,52120,0.959150199172069,1
2021,16,56260,0.9065138904339559,1
2021,17,02154,0.9425746930113996,1
2021,17,03012,0.9061309260985462,1
2021,17,06613,0.8871408155974072,1
2021,17,12385,0.8197593470903184,1
2021,17,14000,0.8579985040765918,1
2021,17,14351,0.855791767269301,1
2021,17,23074,0.9253915694313045,1
2021,17,24582,0.8557881051316695,1
2021,17,38570,0.9109584029057429,1
2021,17,51622,0.9547489145242362,1
2021,17,59000,0.8379284256457175,1
2021,17,65000,0.8439258234749097,1
2021,17,68003,0.9568242091911906,1
2021,17,72000,0.8132412445932747,1
2021,17,79293,0.8909204354269034,1
2021,18,05860,0.7291916466826539,1
2021,18,10342,0.9755749615333666,1
2021,18,22000,0.8548777990169306,1
2021,18,23278,0.9778495996047513,1
2021,18,25000,0.8939758485739085,1
2021,18,31000,0.833619388057968,1
2021,18,36003,0.8657613191168316,1
2021,18,71000,0.8050901873796042,1
2021,19,12000,0.8930643459915611,1
2021,19,19000,0.8582649299582207,1
2021,19,21000,0.8616450865157227,1
2021,19,73335,0.828974741716717,1
2021,20,36000,0.8540948345051206,1
2021,20,38900,0.8487202490896617,1
2021,20,52575,0.9556644981081523,1
2021,20,53775,0.9610394931600161,1
2021,20,71000,0.7740414189050646,1
2021,20,79000,0.895051371859271,1
2021,21,46027,0.889380558511797,1
2021,21,48006,0.8857312855012217,1
2021,22,05000,0.8378816967353762,1
2021,22,40735,0.8784835346087582,1
2021,22,41155,0.8096927280571401,1
2021,22,55000,0.8089766494606405,1
2021,22,70000,0.7835077676977832,1
2021,24,04000,0.7989314619282655,1
2021,24,30325,0.9143186341259034,1
2021,25,07000,0.8456824620177344,1
