year,state,county,rate_juv_arrest_quality,subgroup,rate_juv_arrest,subgroup_type
2021,01,035,3,white,0,race-ethnicity
2021,01,035,3,black,226.75736961451247,race-ethnicity
2021,01,035,NA,asian_other,NA,race-ethnicity
2021,01,035,NA,hispanic,NA,race-ethnicity
2021,01,035,3,male,364.29872495446267,sex
2021,01,035,3,female,0,sex
2021,01,035,3,1014,106.49627263045794,age
2021,01,035,3,1517,252.52525252525254,age
2021,01,037,3,all,0,NA
2021,01,037,3,white,0,race-ethnicity
2021,01,037,3,black,0,race-ethnicity
2021,01,037,NA,asian_other,NA,race-ethnicity
2021,01,037,NA,hispanic,NA,race-ethnicity
2021,01,037,3,male,0,sex
2021,01,037,3,female,0,sex
2021,01,037,3,1014,0,age
2021,01,037,3,1517,0,age
2021,01,039,2,all,790.8163265306122,NA
2021,01,039,2,white,694.225307668034,race-ethnicity
2021,01,039,2,black,2073.7327188940094,race-ethnicity
2021,01,039,2,asian_other,0,race-ethnicity
2021,01,039,2,hispanic,0,race-ethnicity
2021,01,039,2,male,1061.6784630940344,sex
2021,01,039,2,female,257.46652935118436,sex
2021,01,039,2,1014,285.7142857142857,age
2021,01,039,2,1517,1632.6530612244899,age
2021,01,041,3,all,201.74848688634836,NA
2021,01,041,3,white,105.70824524312897,race-ethnicity
2021,01,041,3,black,651.4657980456026,race-ethnicity
2021,01,041,3,asian_other,0,race-ethnicity
2021,01,041,3,hispanic,0,race-ethnicity
2021,01,041,3,male,252.52525252525254,sex
2021,01,041,3,female,0,sex
2021,01,041,3,1014,0,age
2021,01,041,3,1517,540.5405405405405,age
2021,01,043,3,all,166.88133351701296,NA
2021,01,043,3,white,177.7523670225018,race-ethnicity
2021,01,043,3,black,0,race-ethnicity
2021,01,043,3,asian_other,0,race-ethnicity
2021,01,043,3,hispanic,0,race-ethnicity
2021,01,043,3,male,281.6078226724816,sex
2021,01,043,3,female,34.67708630089254,sex
2021,01,043,3,1014,17.58087201125176,age
2021,01,043,3,1517,412.81849686620785,age
2021,01,045,2,all,567.8619359556272,NA
2021,01,045,2,white,495.82125938231565,race-ethnicity
2021,01,045,2,black,1010.9573446076712,race-ethnicity
2021,01,045,2,asian_other,0,race-ethnicity
2021,01,045,2,hispanic,0,race-ethnicity
2021,01,045,2,male,854.8265302633192,sex
2021,01,045,2,female,285.310538086428,sex
2021,01,045,2,1014,316.70137514991035,age
2021,01,045,2,1517,978.188200992874,age
2021,01,047,3,all,271.985494106981,NA
2021,01,047,3,white,0,race-ethnicity
2021,01,047,3,black,333.889816360601,race-ethnicity
2021,01,047,3,asian_other,0,race-ethnicity
2021,01,047,NA,hispanic,NA,race-ethnicity
2021,01,047,3,male,451.05999097880016,sex
2021,01,047,3,female,0,sex
2021,01,047,3,1014,148.14814814814815,age
2021,01,047,3,1517,467.28971962616816,age
2021,01,049,3,all,90.27307605506658,NA
2021,01,049,3,white,117.61246692149366,race-ethnicity
2021,01,049,3,black,0,race-ethnicity
2021,01,049,3,asian_other,0,race-ethnicity
2021,01,049,3,hispanic,0,race-ethnicity
2021,01,049,3,male,117.26078799249532,sex
2021,01,049,3,female,21.748586341887776,sex
2021,01,049,3,1014,17.5561797752809,age
2021,01,049,3,1517,221.09917877447884,age
2021,01,051,2,all,165.85797225752393,NA
2021,01,051,2,white,63.187820781401015,race-ethnicity
2021,01,051,2,black,541.5448636379268,race-ethnicity
2021,01,051,2,asian_other,100.4045804794052,race-ethnicity
2021,01,051,2,hispanic,0,race-ethnicity
2021,01,051,2,male,279.3270151129564,sex
2021,01,051,2,female,28.88052736507102,sex
2021,01,051,2,1014,39.76185697873595,age
2021,01,051,2,1517,357.8490288356345,age
2021,01,053,3,all,72.4287783679382,NA
2021,01,053,3,white,38.35826620636747,race-ethnicity
2021,01,053,3,black,168.63406408094434,race-ethnicity
2021,01,053,3,asian_other,0,race-ethnicity
2021,01,053,3,hispanic,0,race-ethnicity
2021,01,053,3,male,150.37593984962407,sex
2021,01,053,3,female,0,sex
2021,01,053,3,1014,0,age
2021,01,053,3,1517,209.20502092050208,age
2021,01,055,2,all,48.02612621265968,NA
2021,01,055,2,white,25.33890789306981,race-ethnicity
2021,01,055,2,black,122.02562538133007,race-ethnicity
2021,01,055,2,asian_other,0,race-ethnicity
2021,01,055,2,hispanic,170.06802721088434,race-ethnicity
2021,01,055,2,male,76.37960664502577,sex
2021,01,055,2,female,19.327406262079627,sex
2021,01,055,2,1014,0,age
2021,01,055,2,1517,123.79301807378064,age
2021,01,057,1,all,267.8718731798035,NA
2021,01,057,1,white,172.6278964768431,race-ethnicity
2021,01,057,1,black,1418.4397163120568,race-ethnicity
2021,01,057,1,asian_other,0,race-ethnicity
2021,01,057,NA,hispanic,NA,race-ethnicity
2021,01,057,1,male,516.8719018775968,sex
2021,01,057,1,female,41.299098798901575,sex
2021,01,057,1,1014,128.6872223316102,age
2021,01,057,1,1517,513.0134535551691,age
2021,01,059,3,all,205.8672156459084,NA
2021,01,059,3,white,287.6663070837828,race-ethnicity
2021,01,059,3,black,0,race-ethnicity
2021,01,059,3,asian_other,0,race-ethnicity
2021,01,059,3,hispanic,92.93680297397769,race-ethnicity
2021,01,059,3,male,185.78727357176032,sex
2021,01,059,3,female,230.81361800346218,sex
2021,01,059,3,1014,39.32363350373574,age
2021,01,059,3,1517,521.2211466865227,age
2021,01,061,2,all,176.3668430335097,NA
2021,01,061,2,white,151.59171298635675,race-ethnicity
2021,01,061,2,black,714.2857142857142,race-ethnicity
2021,01,061,2,asian_other,0,race-ethnicity
2021,01,061,2,hispanic,0,race-ethnicity
2021,01,061,2,male,255.97269624573377,sex
2021,01,061,2,female,91.24087591240875,sex
2021,01,061,2,1014,0,age
2021,01,061,2,1517,400.4004004004004,age
2021,01,063,3,all,0,NA
2021,01,063,NA,white,NA,race-ethnicity
2021,01,063,3,black,0,race-ethnicity
2021,01,063,3,asian_other,0,race-ethnicity
2021,01,063,3,hispanic,0,race-ethnicity
2021,01,063,3,male,0,sex
2021,01,063,3,female,0,sex
2021,01,063,3,1014,0,age
2021,01,063,3,1517,0,age
2021,01,065,3,all,0,NA
2021,01,065,3,white,0,race-ethnicity
2021,01,065,3,black,0,race-ethnicity
2021,01,065,3,asian_other,0,race-ethnicity
2021,01,065,NA,hispanic,NA,race-ethnicity
2021,01,065,3,male,0,sex
2021,01,065,3,female,0,sex
2021,01,065,3,1014,0,age
2021,01,065,3,1517,0,age
2021,01,067,2,all,403.4857923294162,NA
2021,01,067,2,white,260.27802954385436,race-ethnicity
2021,01,067,2,black,947.3554222431151,race-ethnicity
2021,01,067,2,asian_other,0,race-ethnicity
2021,01,067,2,hispanic,0,race-ethnicity
2021,01,067,2,male,415.9367417694343,sex
2021,01,067,2,female,125.47051442910914,sex
2021,01,067,2,1014,176.05633802816902,age
2021,01,067,2,1517,836.2493770634478,age
2021,01,069,2,all,77.65237621755438,NA
2021,01,069,2,white,52.638292576474214,race-ethnicity
2021,01,069,2,black,147.8757199934926,race-ethnicity
2021,01,069,2,asian_other,0,race-ethnicity
2021,01,069,2,hispanic,0,race-ethnicity
2021,01,069,2,male,122.24732548039964,sex
2021,01,069,2,female,17.79676098949991,sex
2021,01,069,2,1014,0,age
2021,01,069,2,1517,207.08472082282157,age
2021,01,071,3,all,0,NA
2021,01,071,3,white,0,race-ethnicity
2021,01,071,3,black,0,race-ethnicity
2021,01,071,3,asian_other,0,race-ethnicity
2021,01,071,3,hispanic,0,race-ethnicity
2021,01,071,3,male,0,sex
2021,01,071,3,female,0,sex
2021,01,071,3,1014,0,age
2021,01,071,3,1517,0,age
2021,01,073,2,all,193.3677087345787,NA
2021,01,073,2,white,105.17266823096834,race-ethnicity
2021,01,073,2,black,311.7862821725196,race-ethnicity
2021,01,073,2,asian_other,0,race-ethnicity
2021,01,073,2,hispanic,172.38629768473066,race-ethnicity
2021,01,073,2,male,292.9353583710206,sex
2021,01,073,2,female,49.4897438305368,sex
2021,01,073,2,1014,40.2863613923856,age
2021,01,073,2,1517,456.7823891556691,age
2021,01,075,2,all,127.14558169103624,NA
2021,01,075,2,white,149.92503748125935,race-ethnicity
2021,01,075,2,black,0,race-ethnicity
2021,01,075,2,asian_other,0,race-ethnicity
2021,01,075,NA,hispanic,NA,race-ethnicity
2021,01,075,2,male,138.12154696132595,sex
2021,01,075,2,female,0,sex
2021,01,075,2,1014,0,age
2021,01,075,2,1517,344.2340791738382,age
2021,01,077,2,all,406.0795915999536,NA
2021,01,077,2,white,277.1699489423778,race-ethnicity
2021,01,077,2,black,1327.433628318584,race-ethnicity
2021,01,077,2,asian_other,0,race-ethnicity
2021,01,077,2,hispanic,223.2142857142857,race-ethnicity
2021,01,077,2,male,466.9779853235491,sex
2021,01,077,2,female,169.8204754973314,sex
2021,01,077,2,1014,223.96416573348264,age
2021,01,077,2,1517,705.3051211284882,age
2021,01,079,3,all,88.54800873766214,NA
2021,01,079,3,white,119.82550380463942,race-ethnicity
2021,01,079,3,black,0,race-ethnicity
2021,01,079,3,asian_other,0,race-ethnicity
2021,01,079,3,hispanic,0,race-ethnicity
2021,01,079,3,male,184.20422918591643,sex
2021,01,079,3,female,0,sex
2021,01,079,3,1014,49.53111752460713,age
2021,01,079,3,1517,169.4915254237288,age
2021,01,081,2,all,305.4277135466129,NA
2021,01,081,2,white,110.3997771945748,race-ethnicity
2021,01,081,2,black,863.6737902886379,race-ethnicity
2021,01,081,2,asian_other,60.56935190793458,race-ethnicity
2021,01,081,2,hispanic,350.46728971962614,race-ethnicity
2021,01,081,2,male,329.51226373046643,sex
2021,01,081,2,female,201.30160675371584,sex
2021,01,081,2,1014,130.98413714859325,age
2021,01,081,2,1517,630.6330705246029,age
2021,01,083,3,all,70.46591271295597,NA
2021,01,083,3,white,23.187992208291934,race-ethnicity
2021,01,083,3,black,432.9249203165646,race-ethnicity
2021,01,083,3,asian_other,0,race-ethnicity
2021,01,083,3,hispanic,110.01628030556881,race-ethnicity
2021,01,083,3,male,138.32331533622835,sex
2021,01,083,3,female,0,sex
2021,01,083,3,1014,6.569071761091057,age
2021,01,083,3,1517,172.83171515946242,age
2021,01,085,3,all,0,NA
2021,01,085,3,white,0,race-ethnicity
2021,01,085,3,black,0,race-ethnicity
2021,01,085,NA,asian_other,NA,race-ethnicity
2021,01,085,NA,hispanic,NA,race-ethnicity
2021,01,085,3,male,0,sex
2021,01,085,3,female,0,sex
2021,01,085,3,1014,0,age
2021,01,085,3,1517,0,age
2021,01,087,2,all,180.18018018018017,NA
2021,01,087,2,white,0,race-ethnicity
2021,01,087,2,black,203.1144211238998,race-ethnicity
2021,01,087,NA,asian_other,NA,race-ethnicity
2021,01,087,NA,hispanic,NA,race-ethnicity
2021,01,087,2,male,119.61722488038276,sex
2021,01,087,2,female,241.25452352231602,sex
2021,01,087,2,1014,93.37068160597573,age
2021,01,087,2,1517,336.70033670033666,age
2021,01,089,3,all,12.697767732432638,NA
2021,01,089,3,white,12.079726192872961,race-ethnicity
2021,01,089,3,black,20.02803925495694,race-ethnicity
2021,01,089,3,asian_other,0,race-ethnicity
2021,01,089,3,hispanic,0,race-ethnicity
2021,01,089,3,male,20.173492031470648,sex
2021,01,089,3,female,5.115351168857742,sex
2021,01,089,3,1014,4.037793749495276,age
2021,01,089,3,1517,27.376634042844433,age
2021,01,091,3,all,302.571860816944,NA
2021,01,091,3,white,0,race-ethnicity
2021,01,091,3,black,584.2259006815968,race-ethnicity
2021,01,091,NA,asian_other,NA,race-ethnicity
2021,01,091,NA,hispanic,NA,race-ethnicity
2021,01,091,3,male,443.6557231588287,sex
2021,01,091,3,female,0,sex
2021,01,091,3,1014,163.5322976287817,age
2021,01,091,3,1517,526.3157894736842,age
2021,01,093,2,all,161.42174341201056,NA
2021,01,093,2,white,163.83647248497846,race-ethnicity
2021,01,093,2,black,419.7931199175496,race-ethnicity
2021,01,093,2,asian_other,0,race-ethnicity
2021,01,093,2,hispanic,293.1888456567013,race-ethnicity
2021,01,093,2,male,216.76066821268384,sex
2021,01,093,2,female,104.74169670928012,sex
2021,01,093,2,1014,60.30628642604223,age
2021,01,093,2,1517,330.00415237012913,age
2021,01,095,3,all,49.473670052612114,NA
2021,01,095,3,white,43.76544053132134,race-ethnicity
2021,01,095,3,black,222.71714922048997,race-ethnicity
2021,01,095,3,asian_other,0,race-ethnicity
2021,01,095,3,hispanic,0,race-ethnicity
2021,01,095,3,male,71.37247306952202,sex
2021,01,095,3,female,26.780013059812276,sex
2021,01,095,3,1014,0,age
2021,01,095,3,1517,133.02563795345785,age
2021,01,097,2,all,1003.8454659273832,NA
2021,01,097,2,white,505.6607150847989,race-ethnicity
2021,01,097,2,black,1588.1335499764139,race-ethnicity
2021,01,097,2,asian_other,90.85402786190188,race-ethnicity
2021,01,097,2,hispanic,294.81132075471703,race-ethnicity
2021,01,097,2,male,1498.2411951187735,sex
2021,01,097,2,female,336.3900281093037,sex
2021,01,097,2,1014,647.6176920613458,age
2021,01,097,2,1517,1606.0150375939852,age
2021,01,099,2,all,176.444640494045,NA
2021,01,099,2,white,0,race-ethnicity
2021,01,099,2,black,387.97284190106694,race-ethnicity
2021,01,099,2,asian_other,0,race-ethnicity
2021,01,099,NA,hispanic,NA,race-ethnicity
2021,01,099,2,male,260.19080659150046,sex
2021,01,099,2,female,0,sex
2021,01,099,2,1014,0,age
2021,01,099,2,1517,465.6577415599534,age
2021,01,101,3,all,28.977108084613157,NA
2021,01,101,3,white,15.62255897516013,race-ethnicity
2021,01,101,3,black,39.55435427516645,race-ethnicity
2021,01,101,3,asian_other,0,race-ethnicity
2021,01,101,3,hispanic,130.718954248366,race-ethnicity
2021,01,101,3,male,55.86146357034554,sex
2021,01,101,3,female,0,sex
2021,01,101,3,1014,0,age
2021,01,101,3,1517,78.98894154818325,age
2021,01,103,2,all,91.47860303089575,NA
2021,01,103,2,white,62.49254772605269,race-ethnicity
2021,01,103,2,black,321.1959541381348,race-ethnicity
2021,01,103,2,asian_other,0,race-ethnicity
2021,01,103,2,hispanic,28.694871658799986,race-ethnicity
2021,01,103,2,male,168.43438758481125,sex
2021,01,103,2,female,0,sex
2021,01,103,2,1014,42.17048100852332,age
2021,01,103,2,1517,167.81016245053632,age
2021,01,105,1,all,0,NA
2021,01,105,1,white,0,race-ethnicity
2021,01,105,1,black,0,race-ethnicity
2021,01,105,NA,asian_other,NA,race-ethnicity
2021,01,105,NA,hispanic,NA,race-ethnicity
2021,01,105,1,male,0,sex
2021,01,105,1,female,0,sex
2021,01,105,1,1014,0,age
2021,01,105,1,1517,0,age
2021,01,107,3,all,58.651026392961874,NA
2021,01,107,3,white,0,race-ethnicity
2021,01,107,3,black,126.74271229404309,race-ethnicity
2021,01,107,3,asian_other,0,race-ethnicity
2021,01,107,NA,hispanic,NA,race-ethnicity
2021,01,107,3,male,113.25028312570782,sex
2021,01,107,3,female,0,sex
2021,01,107,3,1014,0,age
2021,01,107,3,1517,145.5604075691412,age
2021,01,109,3,all,337.07865168539325,NA
2021,01,109,3,white,0,race-ethnicity
2021,01,109,3,black,667.2226855713094,race-ethnicity
2021,01,109,3,asian_other,0,race-ethnicity
2021,01,109,3,hispanic,1851.8518518518517,race-ethnicity
2021,01,109,3,male,506.32911392405066,sex
2021,01,109,3,female,67.34006734006735,sex
2021,01,109,3,1014,119.9040767386091,age
2021,01,109,3,1517,698.6027944111777,age
2021,01,111,3,all,46.04051565377532,NA
2021,01,111,3,white,64.93506493506493,race-ethnicity
2021,01,111,3,black,0,race-ethnicity
2021,01,111,3,asian_other,0,race-ethnicity
2021,01,111,3,hispanic,1851.8518518518517,race-ethnicity
2021,01,111,3,male,89.20606601248885,sex
2021,01,111,3,female,0,sex
2021,01,111,3,1014,0,age
2021,01,111,3,1517,119.47431302270012,age
2021,01,113,3,all,67.95218342794125,NA
2021,01,113,3,white,44.84494317097828,race-ethnicity
2021,01,113,3,black,107.28714930415967,race-ethnicity
2021,01,113,3,asian_other,0,race-ethnicity
2021,01,113,3,hispanic,0,race-ethnicity
2021,01,113,3,male,105.40206674993188,sex
2021,01,113,3,female,23.652090995015968,sex
2021,01,113,3,1014,24.422881373346616,age
2021,01,113,3,1517,150.47152971814046,age
2021,01,115,3,all,58.629278912734264,NA
2021,01,115,3,white,16.268650310128766,race-ethnicity
2021,01,115,3,black,402.7007433351251,race-ethnicity
2021,01,115,3,asian_other,0,race-ethnicity
2021,01,115,3,hispanic,0,race-ethnicity
2021,01,115,3,male,78.98960904598471,sex
2021,01,115,3,female,32.190549431169224,sex
2021,01,115,3,1014,1.8406541567771002,age
2021,01,115,3,1517,162.9388840992827,age
2021,01,117,2,all,217.95192052522168,NA
2021,01,117,2,white,152.6201697722002,race-ethnicity
2021,01,117,2,black,824.8975342658529,race-ethnicity
2021,01,117,2,asian_other,0,race-ethnicity
2021,01,117,2,hispanic,413.295997957554,race-ethnicity
2021,01,117,2,male,331.202641694101,sex
2021,01,117,2,female,60.25375212702982,sex
2021,01,117,2,1014,65.73507393984372,age
2021,01,117,2,1517,462.188194528373,age
2021,01,119,3,all,0,NA
2021,01,119,3,white,0,race-ethnicity
2021,01,119,3,black,0,race-ethnicity
2021,01,119,NA,asian_other,NA,race-ethnicity
2021,01,119,NA,hispanic,NA,race-ethnicity
2021,01,119,3,male,0,sex
2021,01,119,3,female,0,sex
2021,01,119,3,1014,0,age
2021,01,119,3,1517,0,age
2021,01,121,2,all,78.87964860880034,NA
2021,01,121,2,white,63.76800109057163,race-ethnicity
2021,01,121,2,black,122.06677238753034,race-ethnicity
2021,01,121,2,asian_other,0,race-ethnicity
2021,01,121,2,hispanic,0,race-ethnicity
2021,01,121,2,male,121.7283947113733,sex
2021,01,121,2,female,39.607626815101305,sex
2021,01,121,2,1014,29.519650866702747,age
2021,01,121,2,1517,152.61153037961154,age
2021,01,123,3,all,525.2972076306331,NA
2021,01,123,3,white,492.83154121863794,race-ethnicity
2021,01,123,3,black,606.5200909780136,race-ethnicity
2021,01,123,3,asian_other,0,race-ethnicity
2021,01,123,3,hispanic,0,race-ethnicity
2021,01,123,3,male,654.2526421741319,sex
2021,01,123,3,female,245.39877300613497,sex
2021,01,123,3,1014,137.42556115437472,age
2021,01,123,3,1517,1115.760111576011,age
2021,01,125,2,all,233.6567281277738,NA
2021,01,125,2,white,110.92134672371212,race-ethnicity
2021,01,125,2,black,451.1278195488722,race-ethnicity
2021,01,125,2,asian_other,0,race-ethnicity
2021,01,125,2,hispanic,85.1063829787234,race-ethnicity
2021,01,125,2,male,370.83280367687803,sex
2021,01,125,2,female,68.82989183874139,sex
2021,01,125,2,1014,84.04645476772616,age
2021,01,125,2,1517,483.2869241675881,age
2021,01,127,3,all,168.1074804013655,NA
2021,01,127,3,white,181.05472733801273,race-ethnicity
2021,01,127,3,black,246.30541871921181,race-ethnicity
2021,01,127,3,asian_other,0,race-ethnicity
2021,01,127,3,hispanic,0,race-ethnicity
2021,01,127,3,male,181.74237036639008,sex
2021,01,127,3,female,154.03573629081947,sex
2021,01,127,3,1014,49.77600796416127,age
2021,01,127,3,1517,352.5356635870469,age
2021,01,129,1,all,60.60606060606061,NA
2021,01,129,1,white,0,race-ethnicity
2021,01,129,1,black,0,race-ethnicity
2021,01,129,1,asian_other,813.0081300813009,race-ethnicity
2021,01,129,1,hispanic,0,race-ethnicity
2021,01,129,1,male,118.62396204033216,sex
2021,01,129,1,female,0,sex
2021,01,129,1,1014,0,age
2021,01,129,1,1517,154.79876160990713,age
2021,01,131,3,all,74.12898443291327,NA
2021,01,131,3,white,0,race-ethnicity
2021,01,131,3,black,88.8888888888889,race-ethnicity
2021,01,131,3,asian_other,0,race-ethnicity
2021,01,131,NA,hispanic,NA,race-ethnicity
2021,01,131,3,male,0,sex
2021,01,131,3,female,139.66480446927375,sex
2021,01,131,3,1014,111.48272017837235,age
2021,01,131,3,1517,0,age
2021,01,133,2,all,107.6528645118325,NA
2021,01,133,2,white,47.86979415988511,race-ethnicity
2021,01,133,2,black,1927.8307756117795,race-ethnicity
2021,01,133,2,asian_other,0,race-ethnicity
2021,01,133,2,hispanic,371.5609014240287,race-ethnicity
2021,01,133,2,male,231.17893021822636,sex
2021,01,133,2,female,0,sex
2021,01,133,2,1014,31.96222807948634,age
2021,01,133,2,1517,228.05017103762827,age
2021,02,013,NA,all,NA,NA
2021,02,013,NA,white,NA,race-ethnicity
2021,02,013,NA,black,NA,race-ethnicity
2021,02,013,NA,asian_other,NA,race-ethnicity
2021,02,013,NA,hispanic,NA,race-ethnicity
2021,02,013,NA,male,NA,sex
2021,02,013,NA,female,NA,sex
2021,02,013,NA,1014,NA,age
2021,02,013,NA,1517,NA,age
2021,02,016,3,all,775.1937984496124,NA
