year,state,place,rate_juv_arrest,rate_juv_arrest_quality
2021,35,70500,126.43823492224048,2
2021,36,01000,2085.650723025584,2
2021,36,11000,712.0638608852079,2
2021,36,50617,357.9098067287044,1
2021,36,51000,1.0058262485446952,2
2021,36,63000,804.7913157402207,1
2021,36,73000,NA,NA
2021,36,84000,0,1
2021,37,02140,58.62523816503005,2
2021,37,10740,203.50585079321033,1
2021,37,12000,0,3
2021,37,14100,784.8568790397045,1
2021,37,19000,710.734973912329,1
2021,37,22920,925.160223278892,2
2021,37,25580,648.2804087462916,2
2021,37,28000,517.1587095006507,1
2021,37,28080,945.6579648375067,2
2021,37,31400,1936.0761078194107,1
2021,37,55000,644.1556059876671,2
2021,37,74440,1442.7217915590008,1
2021,37,75000,217.18232634314808,2
2021,38,25700,6836.513869761951,1
2021,39,01000,1249.7840234982434,1
2021,39,15000,2200.6449555264185,2
2021,39,16000,192.7298035226725,2
2021,39,18000,820.8946025563595,2
2021,39,21000,11199.879409104613,2
2021,39,61000,1135.143426905967,1
2021,39,77000,2003.4906552250748,2
2021,40,09050,275.277137117774,3
2021,40,23200,3019.0349712262064,1
2021,40,41850,1477.0549103619348,1
2021,40,52500,2485.055508112724,3
2021,40,55000,1608.5755448934005,2
2021,40,75000,838.0771663504112,2
2021,41,05350,809.0810288612487,1
2021,41,05800,985.5382967327263,2
2021,41,23850,1036.850217178086,2
2021,41,31250,161.96205460434985,1
2021,41,34100,258.9928057553957,1
2021,41,47000,2104.810996563574,2
2021,41,59000,230.49394447926565,2
2021,41,64900,776.8469154607768,2
2021,42,02000,NA,NA
2021,42,06088,NA,NA
2021,42,24000,278.32182249252656,2
2021,42,60000,746.2834162903386,2
2021,42,61000,5.223568742164647,3
2021,42,63624,NA,NA
2021,42,69000,1142.7016732417358,2
2021,44,19180,1086.8207370393504,1
2021,44,54640,3060.8240680183126,1
2021,44,59000,593.0274350065893,1
2021,44,74300,834.0649692712907,1
2021,45,13330,2033.091813561155,2
2021,45,16000,447.48858447488584,2
2021,45,48535,438.6801449551783,1
2021,45,50875,3463.841547673883,1
2021,46,59020,5463.626273837151,1
2021,47,14000,2555.9105431309904,2
2021,47,15160,1715.7417893544732,2
2021,47,27740,1616.6281755196305,2
2021,47,40000,2877.6513191929644,2
2021,47,48000,3058.3901055524693,2
2021,47,51560,658.0951800621534,2
2021,47,52006,1125.4211777583937,2
2021,48,01000,1055.7053009883198,2
2021,48,01924,NA,NA
2021,48,03000,2528.513921502851,2
2021,48,04000,1835.7882080130544,1
2021,48,05000,748.4972379939248,2
2021,48,06128,952.4665288884895,1
2021,48,07000,3125.984251968504,1
2021,48,10768,1394.2680092951202,2
2021,48,10912,2503.810145874156,1
2021,48,13024,811.4856429463172,1
2021,48,13552,569.94300569943,1
2021,48,15976,1725.3774263120056,1
2021,48,16432,4267.623890716921,1
2021,48,17000,2701.938838957662,2
2021,48,19000,706.2468027056216,2
2021,48,19972,969.6668324216809,1
2021,48,22660,944.767441860465,2
2021,48,24000,1111.5411596797212,2
2021,48,26232,259.76352561805805,1
2021,48,27000,1039.1555263350135,2
2021,48,27684,751.7030772844727,1
2021,48,29000,1671.6838531992569,1
2021,48,30464,879.1779500686279,1
2021,48,35000,730.748069203024,2
2021,48,37000,960.3925692253767,2
2021,48,39148,725.0689897732807,2
2021,48,41464,1203.0154185600588,2
2021,48,41980,680.6132683765583,1
2021,48,42508,1453.8093485461907,1
2021,48,43888,855.053054496755,1
2021,48,45000,3309.517639654981,2
2021,48,45384,913.1030284583777,1
2021,48,45744,911.9384639784306,1
2021,48,47892,2440.6134108449432,3
2021,48,48072,1910.7382077134596,1
2021,48,48768,208.8688946015424,1
2021,48,50820,1880.6744487678338,1
2021,48,53388,3135.048231511254,1
2021,48,56000,2263.266184984928,1
2021,48,56348,1493.5807804754036,1
2021,48,57200,416.0246533127889,1
2021,48,58016,1165.2957305131217,1
2021,48,61796,2028.1883808869027,1
2021,48,63500,793.1746983936547,1
2021,48,64472,1568.8073394495411,1
2021,48,65000,894.1868468806707,2
2021,48,70808,695.1340615690168,1
2021,48,72176,1036.2140796923406,2
2021,48,74144,2349.278233795641,2
2021,48,76000,2966.3995501194995,2
2021,48,79000,2389.9953682260307,1
2021,49,43660,2989.9135446685877,1
2021,49,44320,NA,NA
2021,49,55980,2719.2311892541225,1
2021,49,57300,1887.5600032544137,1
2021,49,62470,3229.3431675470947,1
2021,49,65330,4595.669465311533,1
2021,49,67000,1739.7834657988608,2
2021,49,67440,4681.791146231625,1
2021,49,70850,1139.2053348152265,1
2021,49,82950,1151.426645697596,1
2021,49,83470,1366.9456688623645,1
2021,51,01000,1193.609022556391,1
2021,51,16000,239.2260334212841,1
2021,51,35000,1320.8351086493396,2
2021,51,47672,2822.822822822823,2
2021,51,56000,920.2976765324092,1
2021,51,57000,891.0177173465183,1
2021,51,64000,157.26567414552315,1
2021,51,67000,786.0205274782383,1
2021,51,68000,731.4974182444062,2
2021,51,76432,482.1885455618973,1
2021,51,82000,1133.6211668327244,1
2021,53,03180,281.6334741500704,1
2021,53,05210,375.9131853322931,1
2021,53,05280,1190.4761904761904,1
2021,53,22640,694.7162426614482,1
2021,53,23515,502.60276431520373,1
2021,53,35275,2605.8261265361857,1
2021,53,35415,889.8457122353785,1
2021,53,35940,387.83935943950956,1
2021,53,53545,1293.5323383084576,1
2021,53,57745,230.1736765013601,1
2021,53,63000,156.83887731454388,1
2021,53,67000,824.2148642887594,1
2021,53,67167,941.3546851330881,1
2021,53,70000,470.64908197569173,1
2021,53,74060,287.03286807744263,2
2021,53,80010,1385.6812933025406,2
2021,55,02375,4173.827645470169,1
2021,55,31000,7933.002024664091,2
2021,55,39225,3020.708540133493,1
2021,55,48000,2453.75815246445,2
2021,55,53000,2048.4893696381946,1
2021,55,66000,1871.4724230121794,1
2022,01,03076,690.2502157031925,2
2022,01,07000,666.1260426320667,2
2022,01,35896,503.90785684903335,1
2022,01,37000,976.0944532117599,2
2022,01,50000,2105.657951135877,2
2022,01,51000,0,3
2022,01,77256,2619.165839126117,2
2022,02,03000,0,3
2022,04,04720,2127.2727272727275,1
2022,04,07940,1222.2499376403093,1
2022,04,12000,1776.4451752264886,1
2022,04,23620,2690.2260426615726,1
2022,04,27400,1410.3896103896104,1
2022,04,27820,418.8189306156638,1
2022,04,28380,976.7900349493682,1
2022,04,46000,1958.2640254045061,2
2022,04,54050,2602.4389104331167,1
2022,04,55000,0.5443243302089117,3
2022,04,65000,1775.2796482831543,2
2022,04,71510,2762.552071914054,1
2022,04,73000,1817.716333845366,1
2022,04,77000,18.339276617422314,3
2022,04,85540,2512.6553152323977,2
2022,05,23290,1927.4896741624598,1
2022,05,24550,7096.504082059871,2
2022,05,35710,3625.8660508083144,1
2022,05,41000,3088.729016786571,1
2022,05,66080,4633.374362581326,1
2022,06,00562,539.31308543854675,1
2022,06,00884,1000.9099181073703,1
2022,06,02000,435.35513692187794,1
2022,06,02252,423.1844630847125,1
2022,06,NA,NA,NA
2022,06,03526,321.39658230738155,1
2022,06,04982,NA,NA
2022,06,06000,14.14227124876255,3
2022,06,08786,NA,NA
2022,06,08954,735.127799140466,1
2022,06,11194,1029.7326786688488,1
2022,06,11530,0,3
2022,06,13014,0,3
2022,06,13210,1050.5716345658666,1
2022,06,NA,NA,NA
2022,06,13392,1066.538841786752,1
2022,06,13588,454.81049562682216,1
2022,06,14218,704.3514594401003,1
2022,06,15044,NA,NA
2022,06,16000,406.62213186174847,1
2022,06,16350,310.7805176278785,1
2022,06,16532,NA,NA
2022,06,17918,1308.6770981507823,1
2022,06,19766,NA,NA
2022,06,21712,842.1239251839377,1
2022,06,22020,218.25070004941526,1
2022,06,22230,365.30456205929823,1
2022,06,22804,1625.8570029382959,1
2022,06,23182,244.9343130705856,1
2022,06,24638,244.5247714224963,1
2022,06,24680,807.6407506702413,1
2022,06,26000,63.89504174476061,1
2022,06,27000,910.7708553326294,2
2022,06,28000,32.579657262005604,3
2022,06,29000,298.49126234668404,1
2022,06,30000,297.65520592880574,1
2022,06,32548,281.4353201326766,1
2022,06,33000,33.24026060364313,1
2022,06,33182,211.71489061397318,1
2022,06,NA,NA,NA
2022,06,36000,NA,NA
2022,06,36448,NA,NA
2022,06,36546,NA,NA
2022,06,36770,75.91966319276692,2
2022,06,NA,NA,NA
2022,06,NA,NA,NA
2022,06,39892,NA,NA
2022,06,NA,NA,NA
2022,06,41992,NA,NA
2022,06,43000,50.3106133519993,2
2022,06,44000,1.7054078482869177,3
2022,06,45484,NA,NA
2022,06,NA,NA,NA
2022,06,46898,2202.8297890366857,2
2022,06,47766,517.217912072955,1
2022,06,NA,NA,NA
2022,06,48354,1010.7741863823169,2
2022,06,49270,NA,NA
2022,06,49670,256.9593147751606,1
2022,06,50076,378.49582953669307,1
2022,06,50258,33.67759317467445,2
2022,06,51182,78.80220646178094,1
2022,06,52526,NA,NA
2022,06,53000,2.7448397013614407,3
2022,06,53322,386.7565191913273,1
2022,06,53896,NA,NA
2022,06,53980,473.4101309768029,1
2022,06,54652,43.9736158305017,1
2022,06,55156,NA,NA
2022,06,56000,200.7456266131345,2
2022,06,56700,0,3
2022,06,57456,281.29395218002816,1
2022,06,57792,NA,NA
2022,06,58072,73.60434831842373,3
2022,06,NA,NA,NA
2022,06,59451,0,3
2022,06,59920,NA,NA
2022,06,60102,221.57434402332362,1
2022,06,60466,NA,NA
2022,06,60620,464.87603305785126,1
2022,06,62000,0,3
2022,06,62938,NA,NA
2022,06,64000,247.3112095243573,2
2022,06,64224,811.1031002162941,1
2022,06,65000,506.62640496560977,3
2022,06,65042,951.6630547441817,2
2022,06,66000,892.1965069259227,1
2022,06,67000,2.0584179000020586,3
2022,06,68000,6.903693476009664,3
2022,06,68084,NA,NA
2022,06,68196,1666.3546152405916,1
2022,06,68252,499.54586739327885,1
2022,06,NA,NA,NA
2022,06,69000,761.8327209855198,2
2022,06,69070,1186.6393202461177,2
2022,06,69084,637.2325898953118,1
2022,06,NA,NA,NA
2022,06,69196,630.9776833156217,2
2022,06,70000,NA,NA
2022,06,70098,553.1215772179628,1
2022,06,72016,0,1
2022,06,73080,NA,NA
2022,06,75000,901.6684416045438,2
2022,06,77000,1037.037037037037,1
2022,06,NA,NA,NA
2022,06,78582,NA,NA
2022,06,80000,586.2824044642226,1
2022,06,80238,462.55682271313503,1
2022,06,80854,795.6680296165322,1
2022,06,81344,376.3049283806749,1
2022,06,81554,1112.5991552487897,1
2022,06,81666,16.552180749813786,1
2022,06,82590,NA,NA
2022,06,82954,789.5042377800999,2
2022,06,82996,679.0402897238569,1
2022,06,84200,467.01112877583466,1
2022,06,84550,91.4820085383208,1
2022,06,85292,249.71386952450317,1
2022,08,03455,3844.056706652126,1
2022,08,04000,2435.5806565478288,1
2022,08,07850,1053.1135531135533,1
2022,08,12815,156.83540995033545,1
2022,08,16000,1626.4273374626048,2
2022,08,20000,1505.1627596362953,2
2022,08,27425,2170.307880885428,1
2022,08,32155,3174.030658250676,2
2022,08,43000,5862.009337713989,2
2022,08,45970,1489.8688915375446,1
2022,08,46465,6046.918257321871,1
2022,08,62000,287.6663070837828,2
2022,08,77290,3969.4819399242383,1
2022,08,83835,2639.574629699962,1
2022,09,08000,934.6436671019173,1
2022,09,18430,2388.555371056329,1
2022,09,37000,1040.2634336177218,1
2022,09,52000,2494.8173564943886,2
2022,09,55990,1431.5946719780904,1
2022,09,73000,2436.847273051861,1
2022,09,80000,4682.216249024538,1
2022,11,50000,2849.865336033572,2
2022,12,07300,1026.9576379974326,2
2022,12,07875,67.39679865206402,1
2022,12,10275,1363.9181649101054,1
2022,12,12875,NA,NA
2022,12,14400,837.9081190407396,1
2022,12,16475,403.54330708661416,1
2022,12,16725,NA,NA
2022,12,17200,NA,NA
2022,12,17935,360.0082287595145,1
2022,12,24000,NA,NA
2022,12,24125,NA,NA
2022,12,25175,1567.834113035782,2
2022,12,30000,NA,NA
2022,12,32000,124.91733411712836,3
2022,12,32275,NA,NA
2022,12,35000,1.0628009055063714,3
2022,12,36950,1771.7206132879048,2
2022,12,38250,NA,NA
2022,12,39425,2316.6666666666665,1
2022,12,43975,NA,NA
2022,12,45000,414.5182489131534,2
2022,12,45025,NA,NA
2022,12,45060,0,1
2022,12,45975,314.6413089078451,1
2022,12,49675,NA,NA
2022,12,53000,NA,NA
2022,12,54000,1369.9702520745263,1
2022,12,54200,NA,NA
2022,12,55775,NA,NA
2022,12,57425,NA,NA
2022,12,58050,NA,NA
2022,12,58715,NA,NA
2022,12,63000,NA,NA
2022,12,69700,NA,NA
2022,12,70600,1551.8311607697083,2
2022,12,71000,3334.095194560311,2
2022,12,76600,2000.465224470807,2
2022,13,03440,NA,NA
2022,13,04000,3282.3928167925314,2
2022,13,04204,1674.6529664575407,3
2022,13,19000,1805.8487938547235,2
2022,13,42425,362.9764065335753,1
2022,13,49008,0,3
2022,13,67284,557.7755577755578,1
2022,13,68516,454.0295119182747,1
2022,13,69000,0,3
2022,13,NA,NA,NA
2022,13,80508,4402.224281742354,1
2022,15,NA,NA,NA
2022,16,08830,1486.5046930435174,1
2022,16,52120,3206.043302403046,1
2022,16,56260,4532.941824187924,1
2022,17,02154,952.632971685631,1
2022,17,03012,157.0617373444485,1
2022,17,06613,410.1416853094705,1
2022,17,12385,1825.3726802555523,1
2022,17,14000,475.83363021748295,2
2022,17,14351,1197.0455896086255,3
2022,17,23074,245.42458453123902,1
2022,17,24582,951.0445899594636,2
2022,17,38570,1516.6990092942497,3
2022,17,51622,384.15755870576777,2
2022,17,59000,4256.951102588687,2
2022,17,65000,2961.0014443909486,2
2022,17,68003,2398.3459682977254,1
2022,17,72000,4011.1162575266326,2
2022,17,79293,37.11952487008166,1
2022,18,05860,1936.9834710743803,1
2022,18,10342,1204.3481661062017,1
2022,18,22000,5575.073964497041,2
2022,18,23278,576.3478514627562,1
2022,18,25000,1544.7268642044658,1
2022,18,31000,985.8551221603087,3
2022,18,36003,1285.0865967067657,2
2022,18,71000,7.8721561835786815,1
2022,19,12000,3579.167600687439,1
2022,19,19000,3059.834433616263,1
2022,19,21000,207.76874435411023,2
2022,19,73335,5703.725901508341,1
2022,20,36000,580.8872667454891,3
2022,20,38900,167.93893129770993,1
2022,20,52575,2851.2211516916873,1
2022,20,53775,2486.5527979616872,1
2022,20,71000,1994.1634241245135,2
2022,20,79000,1771.311781640771,1
2022,21,46027,1290.498788023625,2
2022,21,48006,7.835516830690153,3
2022,22,05000,2436.1043152360626,2
2022,22,40735,872.8813559322033,3
2022,22,41155,1078.8690476190477,1
2022,22,55000,8.833141948591114,3
2022,22,70000,4.714312653215161,3
2022,24,04000,1048.3423564746618,2
2022,24,30325,600.3320986077404,1
2022,25,07000,668.9108480833967,2
2022,25,09000,1615.4965163463746,3
2022,25,11000,425.2303330970942,1
2022,25,23000,2248.908296943231,3
2022,25,34550,1775.376302585874,1
2022,25,37000,1812.3275068997239,1
2022,25,37490,1613.614319724892,1
2022,25,45000,365.9652333028362,1
2022,25,45560,558.774834437086,1
2022,25,55745,462.8890662410215,3
2022,25,62535,339.44331296673454,1
2022,25,67000,1005.6070209653827,2
2022,25,82000,541.0279531109107,1
2022,26,03000,719.7621655452981,1
2022,26,21000,1232.328287251345,2
2022,26,22000,405.785626422724,1
2022,26,27440,645.2537998279323,1
2022,26,29000,312.0709025090501,1
2022,26,34000,2041.3885929000057,1
2022,26,46000,591.8882204541044,1
2022,26,49000,597.3002030820691,1
2022,26,NA,NA,NA
2022,26,74900,540.8653846153846,1
2022,26,76460,49.063701038515,1
2022,26,80700,1205.8387983922148,1
2022,26,84000,1365.2658073373502,2
2022,26,86000,1124.6485473289597,1
2022,26,88940,1990.049751243781,1
2022,27,06616,4313.775837719861,1
2022,27,07966,2303.4699078612034,1
2022,27,17000,1161.07931316435,1
2022,27,43000,1099.0974890537038,1
2022,27,51730,956.9972657220978,1
2022,27,54880,2232.1428571428573,1
2022,27,58000,916.7326551745142,2
2022,27,71428,797.1091508130513,3
2022,28,36000,11.92321449862883,3
2022,29,15670,5985.988048629714,1
2022,29,35000,4554.915145693244,1
2022,29,38000,499.8996185504919,2
2022,29,41348,322.6279513125092,1
2022,29,54074,1003.9797395079595,1
2022,29,65000,2950.8751162594062,1
2022,29,70000,4056.2979362694714,2
2022,30,06550,6038.014091430445,1
2022,31,28000,4224.036532207846,1
2022,31,37000,14.789070876622176,3
2022,32,31900,1663.346012195858,1
2022,32,40000,3519.4737655839317,2
2022,32,51800,1028.9556824439871,3
2022,32,60600,1654.7114444082165,2
2022,32,68400,1570.8200212992547,3
2022,33,45140,2551.5434559744845,1
2022,33,50260,1444.282496356168,1
2022,34,13690,NA,NA
2022,34,21000,541.9510236852669,1
2022,34,36000,350.07956353716753,2
2022,34,51000,1037.9891976705592,2
2022,34,57000,463.87629965342575,1
2022,34,74000,0,3
2022,35,02000,372.5330514788696,1
2022,35,39380,2754.570270493837,1
2022,35,63460,158.5144927536232,1
2022,35,70500,99.73818725844657,2
2022,36,01000,2892.240709065464,2
2022,36,11000,790.9435093901113,2
