year,state,county,rate_crime_violent,rate_crime_property,rate_crime_violent_quality,rate_crime_property_quality
2021,01,085,2486.9363266886007,4373.911360557384,3,3
2021,01,087,979.5534193264033,1508.8070560792653,2,2
2021,01,089,45.20100003480804,104.79989034971442,2,2
2021,01,091,876.4241893076249,1417.7450121152756,3,3
2021,01,093,982.6459203647853,1901.9821904038204,2,2
2021,01,095,338.16813820173843,807.4475259401125,3,3
2021,01,097,2605.27712121943,3689.402344315277,2,2
2021,01,099,1043.9970171513796,1710.1665423813074,2,2
2021,01,101,181.16574701403925,192.51589020046097,2,2
2021,01,103,228.09862844971508,453.74078706256387,2,2
2021,01,105,241.32383360147094,310.27350034474836,1,1
2021,01,107,452.1829521829522,909.5634095634097,2,2
2021,01,109,988.6665059078853,1561.3696648179407,1,1
2021,01,111,1128.0931586608444,2051.491994177584,2,2
2021,01,113,588.4636123921711,1150.9724693162204,3,3
2021,01,115,568.9235035865009,1019.642517015935,1,1
2021,01,117,989.3265012973662,2729.5106974029213,2,2
2021,01,119,272.3922448325589,416.5999038615606,3,3
2021,01,121,1322.730172662858,2451.6283427149265,2,2
2021,01,123,1167.9619750658535,2052.693865242314,2,2
2021,01,125,1096.8770289340805,1563.8627647693424,2,2
2021,01,127,1200.7238158615594,2589.358850195643,3,3
2021,01,129,982.4065750609991,1650.186207782201,1,1
2021,01,131,467.9019277559424,570.8403518622497,3,3
2021,01,133,763.4739649053888,1434.087774234196,2,2
2021,02,013,NA,NA,NA,NA
2021,02,016,666.539706722529,1409.2553799276327,3,3
2021,02,020,8.545693824881642,32.47363653455024,3,3
2021,02,050,2133.5205790212813,875.013503294804,1,1
2021,02,060,3415.783274440518,2709.0694935217907,1,1
2021,02,063,NA,NA,NA,NA
2021,02,066,NA,NA,NA,NA
2021,02,068,NA,NA,NA,NA
2021,02,070,571.5452133088385,142.88630332720962,3,3
2021,02,090,664.9579511883807,2200.743188298387,1,1
2021,02,100,476.6444232602479,2526.2154432793136,1,1
2021,02,105,NA,NA,NA,NA
2021,02,110,NA,NA,NA,NA
2021,02,122,487.13188329273896,940.1985999216502,2,2
2021,02,130,710.2374632326566,1226.773800129134,1,1
2021,02,150,1104.554395521259,1301.2558632168257,1,1
2021,02,158,NA,NA,NA,NA
2021,02,164,NA,NA,NA,NA
2021,02,170,166.6557435374086,474.68798861497845,3,3
2021,02,180,2611.717974180735,883.8133068520358,1,1
2021,02,185,2098.4813621721123,1546.2494247583984,1,1
2021,02,188,2019.0329218106995,694.4444444444445,1,1
2021,02,195,1217.3396674584324,2494.061757719715,1,1
2021,02,198,305.81039755351685,67.95786612300374,3,3
2021,02,220,551.7727166001409,774.8297722470063,1,1
2021,02,230,NA,NA,NA,NA
2021,02,240,NA,NA,NA,NA
2021,02,275,508.7881591119334,370.0277520814061,1,1
2021,02,282,NA,NA,NA,NA
2021,02,290,NA,NA,NA,NA
2021,04,001,260.2560438072601,1125.268906172431,3,3
2021,04,003,799.411633038084,1667.5726665174432,2,2
2021,04,005,1606.159705261415,3450.345655503581,2,2
2021,04,007,2897.8970513615604,2305.9141906748605,3,3
2021,04,009,NA,NA,NA,NA
2021,04,011,618.3190106895829,765.0387759379585,3,3
2021,04,012,1395.0727218759275,3371.9204511724547,2,2
2021,04,013,417.2072756009413,1401.522927704472,3,3
2021,04,015,934.8050399007924,2103.9029885362133,3,3
2021,04,017,1593.6740800495268,1217.533228901875,3,3
2021,04,019,338.9165683634716,1409.8658728985579,3,3
2021,04,021,930.9437786565887,1929.0072902229244,2,2
2021,04,023,NA,NA,NA,NA
2021,04,025,1103.559192263109,2065.965464585588,2,2
2021,04,027,875.1182592242194,3219.11463260801,2,2
2021,05,001,2796.271637816245,4064.1463555838595,1,1
2021,05,003,599.1116620183866,2179.5269083772337,3,3
2021,05,005,949.9469572764973,3170.5082457324716,1,1
2021,05,007,1151.1170692859891,3072.8854963643244,2,2
2021,05,009,1046.8687408198691,1840.03204700227,1,1
