year,state,place,rate_juv_arrest_quality,subgroup,rate_juv_arrest,subgroup_type
2021,01,50000,1,1014,2096.787721211105,age
2021,01,50000,1,1517,7252.0751419834,age
2021,01,51000,1,all,0,NA
2021,01,51000,1,white,0,race-ethnicity
2021,01,51000,1,black,0,race-ethnicity
2021,01,51000,1,asian_other,0,race-ethnicity
2021,01,51000,1,hispanic,0,race-ethnicity
2021,01,51000,1,male,0,sex
2021,01,51000,1,female,0,sex
2021,01,51000,1,1014,0,age
2021,01,51000,1,1517,0,age
2021,01,77256,1,all,3400.0806343233435,NA
2021,01,77256,1,white,1857.9686209744011,race-ethnicity
2021,01,77256,1,black,4556.407447973713,race-ethnicity
2021,01,77256,1,asian_other,0,race-ethnicity
2021,01,77256,1,hispanic,210.97046413502107,race-ethnicity
2021,01,77256,1,male,5403.959336543606,sex
2021,01,77256,1,female,783.1487982716717,sex
2021,01,77256,1,1014,1443.4302695818299,age
2021,01,77256,1,1517,6776.556776556776,age
2021,02,03000,1,all,0,NA
2021,02,03000,1,white,0,race-ethnicity
2021,02,03000,1,black,0,race-ethnicity
2021,02,03000,1,asian_other,0,race-ethnicity
2021,02,03000,1,hispanic,0,race-ethnicity
2021,02,03000,1,male,0,sex
2021,02,03000,1,female,0,sex
2021,02,03000,1,1014,0,age
2021,02,03000,1,1517,0,age
2021,04,04720,1,all,4017.2825887111603,NA
2021,04,04720,1,white,5196.850393700787,race-ethnicity
2021,04,04720,1,black,13496.932515337423,race-ethnicity
2021,04,04720,1,asian_other,191.15890083632019,race-ethnicity
2021,04,04720,1,hispanic,0,race-ethnicity
2021,04,04720,1,male,5329.99463423359,sex
2021,04,04720,1,female,2118.4036315490825,sex
2021,04,04720,1,1014,2655.1357912304657,age
2021,04,04720,1,1517,6111.499883368323,age
2021,04,07940,1,all,2500.2155358220534,NA
2021,04,07940,1,white,3005.7462796522764,race-ethnicity
2021,04,07940,1,black,14421.25237191651,race-ethnicity
2021,04,07940,1,asian_other,70.01166861143524,race-ethnicity
2021,04,07940,1,hispanic,882.837049229388,race-ethnicity
2021,04,07940,1,male,3058.002326740901,sex
2021,04,07940,1,female,1415.263346470799,sex
2021,04,07940,1,1014,1003.9630118890357,age
2021,04,07940,1,1517,5311.491685281708,age
2021,04,12000,1,all,3061.780641851816,NA
2021,04,12000,1,white,3475.768629494529,race-ethnicity
2021,04,12000,1,black,10287.846481876333,race-ethnicity
2021,04,12000,1,asian_other,760.4938271604939,race-ethnicity
2021,04,12000,1,hispanic,0,race-ethnicity
2021,04,12000,1,male,3742.727860374919,sex
2021,04,12000,1,female,1501.1767699255772,sex
2021,04,12000,1,1014,1484.6502264720684,age
2021,04,12000,1,1517,5829.873686070136,age
2021,04,23620,1,all,2896.0817717206132,NA
2021,04,23620,1,white,2369.4267515923566,race-ethnicity
2021,04,23620,1,black,6034.48275862069,race-ethnicity
2021,04,23620,1,asian_other,3394.0397350993376,race-ethnicity
2021,04,23620,1,hispanic,108.8139281828074,race-ethnicity
2021,04,23620,1,male,3093.0760499432463,sex
2021,04,23620,1,female,2011.5922263893624,sex
2021,04,23620,1,1014,1303.8130381303813,age
2021,04,23620,1,1517,5602.006688963211,age
2021,04,27400,1,all,2644.387184092033,NA
2021,04,27400,1,white,2713.5543881955364,race-ethnicity
2021,04,27400,1,black,10738.255033557047,race-ethnicity
2021,04,27400,1,asian_other,496.87677455990917,race-ethnicity
2021,04,27400,1,hispanic,1173.7376207360314,race-ethnicity
2021,04,27400,1,male,3696.829079659706,sex
2021,04,27400,1,female,783.1388626090613,sex
2021,04,27400,1,1014,1107.1652391894713,age
2021,04,27400,1,1517,5184.315891205301,age
2021,NA,NA,NA,all,NA,NA
2021,NA,NA,NA,white,NA,race-ethnicity
2021,NA,NA,NA,black,NA,race-ethnicity
2021,NA,NA,NA,asian_other,NA,race-ethnicity
