year,state,county,subgroup_type,subgroup,rate_juv_arrest,rate_juv_arrest_quality
2021,01,081,race-ethnicity,"White, Non-Hispanic",110.3997771945748,2
2021,01,081,race-ethnicity,Black,863.6737902886379,2
2021,01,081,race-ethnicity,Other Races and Ethnicities,60.56935190793458,2
2021,01,081,race-ethnicity,Hispanic,350.46728971962614,2
2021,01,081,gender,Male,329.51226373046643,2
2021,01,081,gender,Female,280.08029251929906,2
2021,01,081,age,Age 10 to 14,130.98413714859325,2
2021,01,081,age,Age 15 to 17,630.6330705246029,2
2021,01,083,all,All,70.46591271295597,3
2021,01,083,race-ethnicity,"White, Non-Hispanic",23.187992208291934,3
2021,01,083,race-ethnicity,Black,432.9249203165646,3
2021,01,083,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,083,race-ethnicity,Hispanic,110.01628030556881,3
2021,01,083,gender,Male,138.32331533622835,3
2021,01,083,gender,Female,7.780710599337721,3
2021,01,083,age,Age 10 to 14,6.569071761091057,3
2021,01,083,age,Age 15 to 17,172.83171515946242,3
2021,01,085,all,All,0,3
2021,01,085,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,085,race-ethnicity,Black,0,3
2021,01,085,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,085,race-ethnicity,Hispanic,NA,NA
2021,01,085,gender,Male,0,3
2021,01,085,gender,Female,0,3
2021,01,085,age,Age 10 to 14,0,3
2021,01,085,age,Age 15 to 17,0,3
2021,01,087,all,All,180.18018018018017,2
2021,01,087,race-ethnicity,"White, Non-Hispanic",0,2
2021,01,087,race-ethnicity,Black,203.1144211238998,2
2021,01,087,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,087,race-ethnicity,Hispanic,NA,NA
2021,01,087,gender,Male,119.61722488038276,2
2021,01,087,gender,Female,241.25452352231602,2
2021,01,087,age,Age 10 to 14,93.37068160597573,2
2021,01,087,age,Age 15 to 17,336.70033670033666,2
2021,01,089,all,All,12.697767732432638,3
2021,01,089,race-ethnicity,"White, Non-Hispanic",12.079726192872961,3
2021,01,089,race-ethnicity,Black,20.02803925495694,3
2021,01,089,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,089,race-ethnicity,Hispanic,0,3
2021,01,089,gender,Male,20.173492031470648,3
2021,01,089,gender,Female,5.115351168857742,3
2021,01,089,age,Age 10 to 14,4.037793749495276,3
2021,01,089,age,Age 15 to 17,27.376634042844433,3
2021,01,091,all,All,302.571860816944,3
2021,01,091,race-ethnicity,"White, Non-Hispanic",0,3
2021,01,091,race-ethnicity,Black,584.2259006815968,3
2021,01,091,race-ethnicity,Other Races and Ethnicities,NA,NA
2021,01,091,race-ethnicity,Hispanic,NA,NA
2021,01,091,gender,Male,443.6557231588287,3
2021,01,091,gender,Female,116.82242990654204,3
2021,01,091,age,Age 10 to 14,163.5322976287817,3
2021,01,091,age,Age 15 to 17,526.3157894736842,3
2021,01,093,all,All,161.42174341201056,2
2021,01,093,race-ethnicity,"White, Non-Hispanic",163.83647248497846,2
2021,01,093,race-ethnicity,Black,419.7931199175496,2
2021,01,093,race-ethnicity,Other Races and Ethnicities,0,2
2021,01,093,race-ethnicity,Hispanic,293.1888456567013,2
2021,01,093,gender,Male,216.76066821268384,2
2021,01,093,gender,Female,104.74169670928012,2
2021,01,093,age,Age 10 to 14,60.30628642604223,2
2021,01,093,age,Age 15 to 17,330.00415237012913,2
2021,01,095,all,All,49.473670052612114,3
2021,01,095,race-ethnicity,"White, Non-Hispanic",43.76544053132134,3
2021,01,095,race-ethnicity,Black,222.71714922048997,3
2021,01,095,race-ethnicity,Other Races and Ethnicities,0,3
2021,01,095,race-ethnicity,Hispanic,0,3
2021,01,095,gender,Male,71.37247306952202,3
2021,01,095,gender,Female,26.780013059812276,3
2021,01,095,age,Age 10 to 14,0,3
2021,01,095,age,Age 15 to 17,133.02563795345785,3
2021,01,097,all,All,1003.8454659273832,2
2021,01,097,race-ethnicity,"White, Non-Hispanic",505.6607150847989,2
2021,01,097,race-ethnicity,Black,1588.1335499764139,2
2021,01,097,race-ethnicity,Other Races and Ethnicities,90.85402786190188,2
2021,01,097,race-ethnicity,Hispanic,294.81132075471703,2
2021,01,097,gender,Male,1498.2411951187735,2
2021,01,097,gender,Female,479.24058799133684,2
