year,state,county,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2022,13,303,tenure,All,NA,NA,3,NA,NA,1.2187669647903714,NA,NA,2.1937669647903717,NA,NA,3
2022,13,305,tenure,All,3,3,3,0.7405349418527777,0.8855639333152757,1.0122773370184301,1.9125270244202877,1.9783520279476847,1.767710635235294,3,3,3
2022,13,307,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,13,309,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,13,311,tenure,All,NA,3,3,NA,0.6217582031935427,0.8664601075430279,NA,2.1897952021657936,1.9725506968130366,NA,3,3
2022,13,313,tenure,All,1,1,1,0.19870250231696016,0.3018602469907769,0.7396059629934827,1.5983317886932344,1.710801938408629,1.6777286688141433,1,1,1
2022,13,315,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,13,317,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,13,319,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,13,321,tenure,All,NA,NA,3,NA,NA,1.1614824976128035,NA,NA,2.083167262338042,NA,NA,3
2022,15,001,tenure,All,1,1,1,0.480501290084777,0.5897220667785861,0.7088777807009852,1.748986361960929,1.4173661630292855,1.3340933672425386,1,1,1
2022,15,003,tenure,All,1,1,1,0.26198729058347775,0.3970826933342048,0.6412884144727071,1.1420524882396632,1.075470875954552,1.1502612087280524,1,1,1
2022,15,005,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,15,007,tenure,All,NA,3,3,NA,0.5368001381616395,0.8254795346561106,NA,1.77688795941955,1.5599321536588144,NA,3,3
2022,15,009,tenure,All,2,2,2,0.40344282780899676,0.4484036763704927,0.7209054743642183,2.294697796576742,1.6884914976284031,1.4579487782433935,2,2,2
2022,16,001,tenure,All,1,1,1,0.306822408687933,0.43375697112713063,0.7261049185334891,2.165702144820854,1.8232690130084672,1.65153903322889,1,1,1
2022,16,003,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,005,tenure,All,2,2,2,0.3055004252906153,0.48478664192949905,0.773314442211147,1.9204706549475477,1.7721706864564006,1.8270396117556613,2,2,2
2022,16,007,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,009,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,011,tenure,All,NA,3,3,NA,0.6235152385828324,0.9676187655217355,NA,2.037729027455342,2.092968389071795,NA,3,3
2022,16,013,tenure,All,NA,NA,3,NA,NA,0.8511299288969242,NA,NA,1.6991492089089744,NA,NA,3
2022,16,015,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,017,tenure,All,2,2,2,0.35658852653843,0.42006983629961675,0.7860318918429438,1.4736681143481207,1.4627220270712336,1.7381866590489208,2,2,2
2022,16,019,tenure,All,1,1,1,0.21730045967404932,0.5392022008253095,0.851951951951952,2.1316339323025493,1.9515130674002752,2.001741741741742,1,1,1
2022,16,021,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,023,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,025,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,027,tenure,All,2,2,2,0.49181791691286675,0.6147746311659374,0.7920432781853268,2.4558809714198326,2.079101950352589,1.7128909276887037,2,2,2
2022,16,029,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,031,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,033,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,035,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,037,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,039,tenure,All,NA,NA,3,NA,NA,0.8550723369495812,NA,NA,2.1014602758062852,NA,NA,3
2022,16,041,tenure,All,NA,NA,3,NA,NA,0.9832034143752134,NA,NA,1.9191338579661477,NA,NA,3
2022,16,043,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,045,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,047,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,049,tenure,All,NA,NA,3,NA,NA,0.7600326202397208,NA,NA,1.7951373084509177,NA,NA,3
2022,16,051,tenure,All,NA,NA,3,NA,NA,1.1255093380356547,NA,NA,2.1026551498246926,NA,NA,3
2022,16,053,tenure,All,NA,NA,3,NA,NA,0.8767327597372945,NA,NA,2.1231206985939983,NA,NA,3
2022,16,055,tenure,All,1,1,1,0.3076909091290716,0.4080244715853487,0.5416201191203357,1.6017128961053453,1.589357453841557,1.4672130055389718,1,1,1
2022,16,057,tenure,All,3,3,3,0.38384306648127164,0.534576260099962,0.8263019644587527,1.5009226542909624,1.5823727034822632,1.7209170067373463,3,3,3
2022,16,059,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,061,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,063,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,065,tenure,All,NA,3,3,NA,0.5648475788597271,0.8059604721539666,NA,2.1314328785613816,1.9291978683293576,NA,3,3
2022,16,067,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,069,tenure,All,2,2,2,0.4065694622247632,0.601454313447081,0.8464507580849826,1.9987895480108895,2.168295847455764,1.8159298409490212,2,2,2
2022,16,071,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,073,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,075,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,077,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,079,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,081,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,083,tenure,All,1,1,1,0.24159209496322767,0.39563090428694914,0.7392387048256429,1.6681890318328578,1.7510207021695285,1.645407554730427,1,1,1
2022,16,085,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,087,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,001,tenure,All,2,2,2,0.5053277696166868,0.7307146610223733,0.9911679515582225,1.2514869528855936,1.8223464601855532,1.9037241823213822,2,2,2
2022,17,003,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,005,tenure,All,NA,3,3,NA,1.3858370312510522,1.3445083705866252,NA,2.953178638043998,2.35035046129459,NA,3,3
2022,17,007,tenure,All,NA,NA,2,NA,NA,0.8579795712898544,NA,NA,1.9603073572599405,NA,NA,2
2022,17,009,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,011,tenure,All,3,3,3,0.7452996503736519,0.846933113776706,1.017485585375225,1.7789763540186598,2.1750555013373147,2.118950706739756,3,3,3
2022,17,013,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,015,tenure,All,NA,NA,3,NA,NA,1.812466467457393,NA,NA,2.9657928345768636,NA,NA,3
2022,17,017,tenure,All,NA,NA,3,NA,NA,2.5003813916294497,NA,NA,4.000352621274423,NA,NA,3
2022,17,019,tenure,All,1,1,1,0.381169877272386,0.6732287989326544,1.002262808476152,0.7654288697663729,1.1749792135295525,1.62677453566778,1,1,1
2022,17,021,tenure,All,NA,3,3,NA,1.1702995709323123,1.4164339080971673,NA,2.19470575964445,2.4579799663297575,NA,3,3
2022,17,023,tenure,All,NA,NA,3,NA,NA,1.3109708009128225,NA,NA,2.2967761442517314,NA,NA,3
2022,17,025,tenure,All,NA,NA,3,NA,NA,1.0663925852680656,NA,NA,2.10972856769058,NA,NA,3
2022,17,027,tenure,All,3,3,3,0.7657174762702402,0.976781702350298,1.150658279912762,2.2788386376326075,2.3520286836894857,2.017064434510393,3,3,3
2022,17,029,tenure,All,2,2,2,0.8004726737127666,0.9049250379164634,1.0027210007156366,1.5603021384214355,2.130405764933761,1.9885263440545455,2,2,2
2022,17,031,tenure,All,1,1,1,0.2330830417555261,0.4080048881623956,0.7590619273815435,0.5929563910489078,0.9366732294772904,1.3218044319844622,1,1,1
2022,17,033,tenure,All,NA,NA,3,NA,NA,1.2315321994219655,NA,NA,2.217337542760874,NA,NA,3
2022,17,035,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,037,tenure,All,2,2,2,0.3101330020101832,0.5226500056076964,0.8595535392603654,0.7563370998029181,1.4616722065531815,1.6883114721706103,2,2,2
2022,17,039,tenure,All,NA,NA,3,NA,NA,1.5072546775679634,NA,NA,2.575823290968178,NA,NA,3
2022,17,041,tenure,All,NA,NA,3,NA,NA,1.2107757800399939,NA,NA,2.195922506902296,NA,NA,3
2022,17,043,tenure,All,1,1,1,0.19705726052876313,0.39847614920738095,0.6730938982676817,0.7656104689783446,1.4040010110858339,1.6582533377468829,1,1,1
2022,17,045,tenure,All,NA,NA,3,NA,NA,1.272556471950692,NA,NA,2.258361815289601,NA,NA,3
2022,17,047,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,049,tenure,All,3,3,3,0.6600737669721227,0.735524828595085,1.059257475693533,2.193161460413538,2.083811625717832,2.031330467746101,3,3,3
2022,17,051,tenure,All,NA,3,3,NA,0.7774091906017981,0.9650349017613816,NA,2.220100441377439,2.0083708841838956,NA,3,3
2022,17,053,tenure,All,NA,NA,3,NA,NA,2.78007401309465,NA,NA,3.7406694932772853,NA,NA,3
2022,17,055,tenure,All,3,3,3,1.0579948943210595,1.112478702482314,1.2296492582763563,2.0088739015599426,2.1168068250954817,2.020036479681656,3,3,3
2022,17,057,tenure,All,3,3,3,0.6922427969360789,0.9578554072100774,1.164922402895853,1.4384019802049854,1.9880025193196507,2.1741088104150976,3,3,3
2022,17,059,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,061,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,063,tenure,All,NA,3,3,NA,0.6577223532546144,0.9710439508227876,NA,1.4969694182510072,1.8654239824086278,NA,3,3
2022,17,065,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
