year,state,place,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2022,06,44000,tenure,Renter,1,1,1,0.17012132201902014,0.2823868440873539,0.566515745819106,0.23794313338620132,0.3935665992344302,0.7310719924937711,1,1,1
2022,06,45484,tenure,All,NA,2,2,NA,0.4416084594110773,0.639821501057832,NA,0.9798206915260376,1.2364170490399862,NA,2,2
2022,06,45484,tenure,Owner,NA,2,2,NA,0.3409979207124419,0.5931701394272342,NA,1.0872546841076356,1.3770256901720206,NA,2,2
2022,06,45484,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,06,46842,tenure,All,NA,1,1,NA,0.3465279173742453,0.49995527192912015,NA,0.963454677665768,1.015138232567395,NA,1,1
2022,06,46842,tenure,Owner,NA,1,1,NA,0.3183213793206917,0.43505710374269335,NA,1.2553777666286492,1.104413865352646,NA,1,1
2022,06,46842,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,06,46898,tenure,All,2,2,2,0.22144856558031725,0.3112251467293206,0.7001776573752371,0.5420101776906767,0.709926304228263,1.3250602905904063,2,2,2
2022,06,46898,tenure,Owner,NA,NA,2,NA,NA,0.7309614878051164,NA,NA,1.7002661992278343,NA,NA,2
2022,06,46898,tenure,Renter,NA,2,2,NA,0.20434237880154613,0.6781120031519265,NA,0.2411156674213447,1.0561150772455266,NA,2,2
2022,06,47766,tenure,All,2,2,2,0.4949140087923359,0.681755620421594,1.026733108142433,1.5824936866280208,1.555425200333787,1.671993837774899,2,2,2
2022,06,47766,tenure,Owner,NA,2,2,NA,0.746535262531873,0.856480118028011,NA,2.0676183500523067,1.7670508419457078,NA,2,2
2022,06,47766,tenure,Renter,NA,NA,2,NA,NA,1.2495373677587513,NA,NA,1.5475959906569805,NA,NA,2
2022,06,48256,tenure,All,2,2,2,0.1737113340416906,0.4001224302459069,0.6609433482057847,1.1220469911872848,1.179974720523775,1.3962055479687001,2,2,2
2022,06,48256,tenure,Owner,NA,2,2,NA,0.559613143303368,0.8033458310389967,NA,1.8604517364500148,1.8747453049964555,NA,2,2
2022,06,48256,tenure,Renter,NA,NA,2,NA,NA,0.4107237807164375,NA,NA,0.5553493448490746,NA,NA,2
2022,06,48354,tenure,All,1,1,1,0.25771335306138227,0.35794197389003507,0.5458741376136083,0.7215886311171218,1.0088316585562416,1.1428722027265579,1,1,1
2022,06,48354,tenure,Owner,1,1,1,0.2588672343128177,0.3782694445803283,0.634106252888467,1.2618742627610156,1.6475952236248188,1.7129478481425453,1,1,1
2022,06,48354,tenure,Renter,1,1,1,0.2569006834036817,0.3426385844885079,0.47589842290072576,0.3410696316252887,0.5279431249709964,0.6907528060179722,1,1,1
2022,06,49270,tenure,All,1,1,1,0.14448196947598332,0.2350922105599461,0.5444340800328057,0.815600489999756,0.9949787280498649,1.114339847213395,1,1,1
2022,06,49270,tenure,Owner,1,1,1,0.21771296599882622,0.3915484031009113,0.7027778785189399,1.496083431841862,1.7256312608304283,1.532763667358186,1,1,1
2022,06,49270,tenure,Renter,NA,1,1,NA,0.06472771156834897,0.3239471084860012,NA,0.19937421625331148,0.5317025617067663,NA,1,1
2022,06,49670,tenure,All,2,2,2,0.20090425644975868,0.48452130780034974,0.9164242249038752,0.6976029271754174,1.1796583684955866,1.460017463639738,2,2,2
2022,06,49670,tenure,Owner,NA,2,2,NA,0.5377037371299752,0.8516054666221083,NA,2.215269937394168,2.089383655215118,NA,2,2
2022,06,49670,tenure,Renter,NA,2,2,NA,0.45471205028878414,0.953085070931715,NA,0.5991882333703836,1.1040541953498069,NA,2,2
2022,06,50076,tenure,All,NA,2,2,NA,0.3366474889168349,0.37800192816725753,NA,1.2019499438070673,0.9405107192154385,NA,2,2
2022,06,50076,tenure,Owner,NA,2,2,NA,0.38371279846916295,0.42659824467500823,NA,1.6081966255831261,1.1301245562234206,NA,2,2
2022,06,50076,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,06,50258,tenure,All,2,2,2,0.273838630806846,0.3723154362416108,0.601264664769154,1.0078588892769822,0.9063758389261746,1.062157384902746,2,2,2
2022,06,50258,tenure,Owner,NA,2,2,NA,0.513164117925272,0.6412684622067768,NA,1.3897209522308056,1.3163336229365767,NA,2,2
2022,06,50258,tenure,Renter,NA,2,2,NA,0.21212121212121213,0.5580183316699674,NA,0.35664335664335667,0.7873787148765045,NA,2,2
2022,06,51182,tenure,All,2,2,2,0.23589293555736507,0.32727873530872575,0.6471979178094356,0.7326557141993383,0.8545808631152144,1.076945479352272,2,2,2
2022,06,51182,tenure,Owner,NA,2,2,NA,0.4422475984414906,0.7261988781840875,NA,1.5640211833175435,1.539213913245567,NA,2,2
2022,06,51182,tenure,Renter,NA,2,2,NA,0.23671053884274645,0.5785163338453662,NA,0.2957101519490667,0.6750601338347723,NA,2,2
2022,06,52526,tenure,All,1,1,1,0.1639586410635155,0.3421727972626176,0.591520410421552,1.2602658788774004,1.2333903621328772,1.2099533134536746,1,1,1
2022,06,52526,tenure,Owner,NA,1,1,NA,0.4603889943074004,0.6633291614518148,NA,1.8951612903225807,1.6294117647058823,NA,1,1
2022,06,52526,tenure,Renter,NA,1,1,NA,0.1640457469621158,0.4839553709142779,NA,0.23624017155110794,0.5816306615029544,NA,1,1
2022,06,53000,tenure,All,1,1,1,0.347044261269349,0.4687140391254315,0.701869567935972,0.6694959057645746,0.8193685270425777,1.0115050334521354,1,1,1
2022,06,53000,tenure,Owner,1,1,1,0.33141247278780894,0.5042590637099613,0.6646866391184573,1.3949289281598156,1.4076029567053854,1.3834366391184574,1,1,1
2022,06,53000,tenure,Renter,1,1,1,0.3512607944732297,0.456521214170148,0.7170958701284966,0.4738169257340242,0.6175895293521045,0.8592001128091235,1,1,1
2022,06,53322,tenure,All,2,2,2,0.20421719513700165,0.388955649946704,0.6242681488265996,0.7123184820416136,0.8004256597484299,0.9546280965074418,2,2,2
2022,06,53322,tenure,Owner,2,2,2,0.34033601086164883,0.5292477565133173,0.7013919991871004,1.5609560177541164,1.4159848847953285,1.2255465648415058,2,2,2
2022,06,53322,tenure,Renter,2,2,2,0.11848186445271508,0.2784939405296511,0.5567175682072253,0.17779855275725168,0.31575317239197875,0.7173383378797997,2,2,2
2022,06,53896,tenure,All,1,1,1,0.17402675906124784,0.22230964040947016,0.37940395797395476,0.8002313237273511,0.7939409803034898,0.798840929534293,1,1,1
2022,06,53896,tenure,Owner,NA,1,1,NA,0.37144895798698296,0.4787734042370499,NA,1.8228069826783408,1.2910526479519886,NA,1,1
2022,06,53896,tenure,Renter,NA,1,1,NA,0.1296409941699908,0.29392314566577304,NA,0.15464866523473458,0.3754244861483468,NA,1,1
2022,06,53980,tenure,All,2,2,2,0.2213567103200038,0.45124594822028735,0.7238147016315901,1.0570567440490175,1.0665350238477032,1.2360057459217106,2,2,2
2022,06,53980,tenure,Owner,2,2,2,0.3081367608835938,0.49374641042688755,0.6674290039883065,1.7015818585582134,1.835469137614407,1.5732921282973948,2,2,2
2022,06,53980,tenure,Renter,NA,2,2,NA,0.42014111708291346,0.7723113974761957,NA,0.5037748908351928,0.9459095729155175,NA,2,2
2022,06,54652,tenure,All,1,1,1,0.36099723568845804,0.4329928803730543,0.7085775753334685,1.2507956356872965,0.9832099436922372,1.1214226810166112,1,1,1
2022,06,54652,tenure,Owner,NA,1,1,NA,0.5483306735773712,0.7082158163849038,NA,1.8808965265007613,1.4621472303403409,NA,1,1
2022,06,54652,tenure,Renter,1,1,1,0.38358354777430514,0.36976708224243243,0.7088458265899027,0.5177274759446409,0.4911166836046562,0.8687688384048783,1,1,1
2022,06,55156,tenure,All,1,1,1,0.196886736345245,0.3843625913255372,0.733195496356019,0.7178733948563707,0.8956753807774894,1.1712049694771527,1,1,1
2022,06,55156,tenure,Owner,1,1,1,0.2635183125117968,0.467988291398776,0.7454907340031862,1.6360447103731213,1.3638516097418054,1.3190343193704646,1,1,1
2022,06,55156,tenure,Renter,1,1,1,0.15699341061397026,0.29861056219170873,0.7143081251536376,0.16815043354647474,0.4155949558512595,0.9441164099741989,1,1,1
2022,06,56000,tenure,All,1,1,1,0.25307607987782144,0.3212635719579215,0.4278849712318352,0.4693968570405536,0.6288841199892543,0.6847340997321951,1,1,1
2022,06,56000,tenure,Owner,NA,1,1,NA,0.2967494531313759,0.3877662415364849,NA,1.2881044663261214,1.0517948959833348,NA,1,1
2022,06,56000,tenure,Renter,1,1,1,0.26313242382430035,0.3291426150862235,0.44396718063728224,0.3150413461267205,0.4170051788535879,0.5375921379934342,1,1,1
2022,06,56700,tenure,All,NA,2,2,NA,0.4156375250160121,0.624293840002489,NA,1.0287650496751926,1.2286551126031096,NA,2,2
2022,06,56700,tenure,Owner,NA,NA,2,NA,NA,0.631148542150915,NA,NA,1.5463572015812874,NA,NA,2
2022,06,56700,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,06,57456,tenure,All,2,2,2,0.3043032786885246,0.435760268383353,0.7262055094451174,1.0709016393442623,0.8948227400489619,1.1623553590486175,2,2,2
2022,06,57456,tenure,Owner,NA,2,2,NA,0.6166695973272376,0.7610742901995878,NA,1.421135924037278,1.3934985038268806,NA,2,2
