statefip,puma,place,pop20,afact,afact2,totpop,placepop,placewgt,products,sum_products,place_pop,puma_flag,small_place
06,05910,02000,181929,0.9258,0.5246,110522959,346824,0.0031380267334319197,0.4856746799999999,0.7950302099999998,346824,1,0
06,05911,02000,2011,0.0143,0.0058,110522959,346824,0.0031380267334319197,8.294e-5,0.7950302099999998,346824,1,0
06,05912,02000,6316,0.0372,0.0182,110522959,346824,0.0031380267334319197,6.7704e-4,0.7950302099999998,346824,1,0
06,05913,02000,5544,0.0345,0.016,110522959,346824,0.0031380267334319197,5.520000000000001e-4,0.7950302099999998,346824,1,0
06,01307,02252,1691,0.0123,0.0147,110522959,115291,0.0010431407287964484,1.8081e-4,0.9218404099999999,115291,1,0
06,01308,02252,113577,0.9356,0.9851,110522959,115291,0.0010431407287964484,0.9216595599999999,0.9218404099999999,115291,1,0
06,01309,02252,23,2e-4,2e-4,110522959,115291,0.0010431407287964484,4e-8,0.9218404099999999,115291,1,0
06,07101,02364,43,3e-4,6e-4,110522959,75791,6.857489220859532e-4,1.7999999999999997e-7,0.40371922000000005,75791,2,1
06,07102,02364,722,0.0038,0.0095,110522959,75791,6.857489220859532e-4,3.6099999999999997e-5,0.40371922000000005,75791,2,1
06,07103,02364,74769,0.4092,0.9865,110522959,75791,6.857489220859532e-4,0.40367580000000003,0.40371922000000005,75791,2,1
06,07104,02364,257,0.0021,0.0034,110522959,75791,6.857489220859532e-4,7.139999999999999e-6,0.40371922000000005,75791,2,1
06,02901,03526,25014,0.1214,0.062,110522959,403455,0.0036504180095286807,0.007526799999999999,0.73653105,403455,2,0
06,02902,03526,210861,0.9238,0.5226,110522959,403455,0.0036504180095286807,0.48277787999999994,0.73653105,403455,2,0
06,02903,03526,97907,0.5814,0.2427,110522959,403455,0.0036504180095286807,0.14110578000000001,0.73653105,403455,2,0
06,02904,03526,69498,0.6101,0.1723,110522959,403455,0.0036504180095286807,0.10512023,0.73653105,403455,2,0
06,02905,03526,175,9e-4,4e-4,110522959,403455,0.0036504180095286807,3.6e-7,0.73653105,403455,2,0
06,03755,04982,13912,0.1169,0.1757,110522959,79190,7.165027132507374e-4,0.02053933,0.47019498000000004,79190,2,1
06,03756,04982,65278,0.5455,0.8243,110522959,79190,7.165027132507374e-4,0.44965565,0.47019498000000004,79190,2,1
06,00101,06000,121722,0.8375,0.9791,110522959,124321,0.0011248432101786199,0.81999625,0.82019741,124321,1,0
06,00102,06000,972,0.0053,0.0078,110522959,124321,0.0011248432101786199,4.134e-5,0.82019741,124321,1,0
06,00103,06000,1627,0.0122,0.0131,110522959,124321,0.0011248432101786199,1.5982000000000002e-4,0.82019741,124321,1,0
06,05907,08786,1917,0.0097,0.0228,110522959,84034,7.603307110154371e-4,2.2116e-4,0.34265211999999995,84034,3,1
06,05908,08786,72485,0.3883,0.8626,110522959,84034,7.603307110154371e-4,0.33494757999999997,0.34265211999999995,84034,3,1
06,05909,08786,9632,0.0653,0.1146,110522959,84034,7.603307110154371e-4,0.0074833799999999995,0.34265211999999995,84034,3,1
06,03719,08954,1100,0.0056,0.0102,110522959,107337,9.711737811869478e-4,5.712e-5,0.8597974,107337,1,1
06,03720,08954,106237,0.8686,0.9898,110522959,107337,9.711737811869478e-4,0.85974028,0.8597974,107337,1,1
