statefip,place,puma_flag,small_place
06,81344,1,0
06,81554,1,0
06,81666,1,0
06,82590,1,0
06,82954,1,0
06,82996,1,0
06,84200,1,0
06,84550,1,0
06,85292,1,0
08,03455,1,0
08,04000,1,0
08,07850,1,0
08,12815,1,0
08,16000,1,0
08,20000,1,0
08,27425,1,0
08,32155,1,0
08,43000,1,0
08,45970,1,0
08,46465,1,0
08,62000,1,0
08,77290,1,0
08,83835,1,0
09,08000,1,0
09,18430,1,0
09,37000,1,0
09,52000,1,0
09,55990,1,0
09,73000,1,0
09,80000,1,0
11,50000,1,0
12,07300,1,0
12,07875,1,0
12,10275,1,0
12,12875,1,0
12,14400,1,0
12,16475,1,0
12,16725,1,0
12,17200,1,0
12,17935,1,0
12,24000,1,0
12,24125,1,0
12,25175,1,0
12,30000,1,0
12,32000,1,0
12,32275,1,0
12,35000,1,0
12,36950,1,0
12,38250,1,0
12,39425,1,0
12,43975,1,0
12,45000,1,0
12,45025,1,0
12,45060,1,0
12,45975,1,0
12,49675,1,0
12,53000,1,0
12,54000,1,0
12,54200,1,0
12,55775,1,0
12,57425,1,0
12,58050,1,0
12,58715,1,0
12,63000,1,0
12,69700,1,0
12,70600,1,0
12,71000,1,0
12,76600,1,0
13,03440,1,0
13,04000,1,0
13,04204,1,0
13,19000,1,0
13,42425,1,0
13,49008,1,0
13,67284,1,0
13,68516,1,0
13,69000,1,0
13,72122,1,0
13,80508,1,0
15,71550,1,0
16,08830,1,0
16,52120,1,0
16,56260,1,0
17,02154,1,0
17,03012,1,0
17,06613,1,0
17,12385,1,0
17,14000,1,0
17,14351,1,0
17,23074,1,0
17,24582,1,0
17,38570,1,0
17,51622,1,0
17,59000,1,0
17,65000,1,0
17,68003,1,0
17,72000,1,0
17,79293,1,0
18,05860,1,0
18,10342,1,0
18,22000,1,0
18,23278,1,0
18,25000,1,0
18,31000,1,0
18,36003,1,0
18,71000,1,0
19,12000,1,0
19,19000,1,0
19,21000,1,0
19,73335,1,0
20,36000,1,0
20,38900,1,0
20,52575,1,0
20,53775,1,0
20,71000,1,0
20,79000,1,0
21,46027,1,0
21,48006,1,0
22,05000,1,0
22,40735,1,0
22,41155,1,0
22,55000,1,0
22,70000,1,0
24,04000,1,0
24,30325,1,0
25,07000,1,0
25,09000,1,0
25,11000,1,0
25,23000,1,0
25,34550,1,0
25,37000,1,0
25,37490,1,0
25,45000,1,0
25,45560,1,0
25,55745,1,0
25,62535,1,0
25,67000,1,0
25,82000,1,0
26,03000,1,0
26,21000,1,0
26,22000,1,0
26,27440,1,0
26,29000,1,0
26,34000,1,0
26,46000,1,0
26,49000,1,0
26,69035,1,0
26,74900,1,0
26,76460,1,0
26,80700,1,0
26,84000,1,0
26,86000,1,0
26,88940,1,0
27,06616,1,0
27,07966,1,0
27,17000,1,0
27,43000,1,0
27,51730,1,0
27,54880,1,0
27,58000,1,0
27,71428,1,0
28,36000,1,0
29,15670,1,0
29,35000,1,0
29,38000,1,0
29,41348,1,0
29,54074,1,0
29,65000,1,0
29,70000,1,0
30,06550,1,0
31,28000,1,0
31,37000,1,0
32,31900,1,0
32,40000,1,0
32,51800,1,0
32,60600,1,0
32,68400,1,0
33,45140,1,0
33,50260,1,0
34,13690,1,0
34,21000,1,0
34,36000,1,0
34,51000,1,0
34,57000,1,0
34,74000,1,0
35,02000,1,0
35,39380,1,0
35,63460,1,0
35,70500,1,0
36,01000,1,0
36,11000,1,0
36,50617,1,0
36,51000,1,0
36,63000,1,0
36,73000,1,0
36,84000,1,0
37,02140,1,0
37,10740,1,0
37,12000,1,0
37,14100,1,0
37,19000,1,0
37,22920,1,0
37,25580,1,0
37,28000,1,0
37,28080,1,0
37,31400,1,0
37,55000,1,0
37,74440,1,0
37,75000,1,0
38,25700,1,0
39,01000,1,0
39,15000,1,0
39,16000,1,0
39,18000,1,0
39,21000,1,0
39,61000,1,0
39,77000,1,0
40,09050,1,0
40,23200,1,0
40,41850,1,0
40,52500,1,0
40,55000,1,0
40,75000,1,0
41,05350,1,0
41,05800,1,0
41,23850,1,0
41,31250,1,0
41,34100,1,0
41,47000,1,0
41,59000,1,0
41,64900,1,0
42,02000,1,0
42,06088,1,0
42,24000,1,0
42,60000,1,0
42,61000,1,0
42,63624,1,0
42,69000,1,0
44,19180,1,0
44,54640,1,0
44,59000,1,0
44,74300,1,0
45,13330,1,0
45,16000,1,0
45,48535,1,0
45,50875,1,0
46,59020,1,0
47,14000,1,0
47,15160,1,0
47,27740,1,0
47,40000,1,0
47,48000,1,0
47,51560,1,0
47,52006,1,0
48,01000,1,0
48,01924,1,0
48,03000,1,0
48,04000,1,0
48,05000,1,0
48,06128,1,0
48,07000,1,0
48,10768,1,0
48,10912,1,0
48,13024,1,0
48,13552,2,0
48,15976,1,0
48,16432,2,0
48,17000,1,0
48,19000,1,0
48,19972,1,0
48,22660,1,0
48,24000,1,0
48,26232,1,0
48,27000,1,0
48,27684,1,0
48,29000,1,0
48,30464,1,0
48,35000,1,0
48,37000,1,0
48,39148,1,0
48,41464,1,0
48,41980,1,0
48,42508,1,0
48,43888,1,0
48,45000,1,0
48,45384,1,0
48,45744,1,0
48,47892,1,0
48,48072,1,0
48,48768,1,0
48,50820,1,0
48,53388,1,0
48,56000,1,0
48,56348,1,0
48,57200,1,0
48,58016,1,0
48,61796,1,0
48,63500,1,0
48,64472,1,0
48,65000,1,0
48,70808,1,0
48,72176,1,0
48,74144,1,0
48,76000,1,0
48,79000,1,0
49,43660,1,0
49,44320,2,0
49,55980,1,0
49,57300,1,0
49,62470,1,0
49,65330,1,0
49,67000,1,0
49,67440,1,0
49,70850,1,0
49,82950,1,0
49,83470,1,0
51,01000,1,0
51,16000,1,0
51,35000,1,0
51,47672,1,0
51,56000,1,0
51,57000,1,0
51,64000,1,0
51,67000,1,0
51,68000,1,0
51,76432,1,0
51,82000,1,0
53,03180,1,0
53,05210,1,0
53,05280,1,0
53,22640,1,0
53,23515,1,0
53,35275,1,0
53,35415,1,0
53,35940,1,0
53,53545,1,0
53,57745,1,0
53,63000,1,0
53,67000,1,0
53,67167,1,0
53,70000,1,0
53,74060,1,0
53,80010,1,0
55,02375,1,0
55,31000,1,0
55,39225,1,0
55,48000,1,0
55,53000,1,0
55,66000,1,0
