year,state,place,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2014,51,16000,tenure,All,0.9054186449619414,1.1693722943722944,1.3248939297301794,3,3,3,0.28208606526490315,0.4982290436835891,0.8072432822162448,3,3,3
2023,51,16000,tenure,Owner,1.4230774713289343,1.7721498902082378,1.7799016262754315,1,1,1,0.3805316633420791,0.6052862985119893,0.7862725805209252,1,1,1
2022,51,16000,tenure,Owner,1.3335717187895944,1.5867367304084585,1.5701918436103426,1,1,1,0.25425888219484327,0.4930814878179956,0.7566578523962246,1,1,1
2021,51,16000,tenure,Owner,2.30278232405892,2.3728003729169096,1.6497545803567089,3,3,3,0.37643207855973815,0.5579769257662277,0.6906740535549399,3,3,3
2019,51,16000,tenure,Owner,1.8684487476320775,1.9761681145808876,1.728830313014827,3,3,3,0.2742580509366449,0.4346090631603663,0.7672707303679297,3,3,3
2018,51,16000,tenure,Owner,1.9155337642077113,1.779113185530922,1.8509770499786937,3,3,3,0.39447292177401383,0.4851808634772462,0.8777622207341572,3,3,3
2017,51,16000,tenure,Owner,2.1010735264330567,1.8423280423280424,1.763604623163978,3,3,3,0.5148875835527649,0.5128747795414462,0.7681796291837226,3,3,3
2016,51,16000,tenure,Owner,2.827349524815206,2.7076948426429395,1.800965239171605,3,3,3,0.7600316789862724,0.7043994068215521,0.7486101777750627,3,3,3
2015,51,16000,tenure,Owner,2.1208561733228923,1.5943117458754001,1.4787829330846352,3,3,3,0.3808405116157661,0.4338832799803004,0.7712753555607368,3,3,3
2014,51,16000,tenure,Owner,1.6299175866894728,1.746640681095497,1.451663306451613,3,3,3,0.40942310682631006,0.5292850548774233,0.7554939516129032,3,3,3
2023,51,16000,tenure,Renter,0.3816255988368377,0.4668281059160808,1.0195743721857764,1,1,1,0.2676490190894234,0.38254435506595513,0.8423636880657561,1,1,1
2022,51,16000,tenure,Renter,0.26957573677187896,0.6817387939587493,1.316141346120395,1,1,1,0.22033620362146153,0.4713075341315198,0.9393012183465537,1,1,1
2021,51,16000,tenure,Renter,0.35119632907243525,0.5644777757453814,1.1687642254652564,3,3,3,0.31252048508685676,0.36702030364002197,0.7992368456285982,3,3,3
2019,51,16000,tenure,Renter,0.4173267326732673,0.7420379503469029,0.9993123876018195,3,3,3,0.2944306930693069,0.577530719719134,0.8398920977467471,3,3,3
2018,51,16000,tenure,Renter,0.20542943324337196,0.381439205955335,1.1437867205761576,3,3,3,0.16891570090490554,0.3272456575682382,0.856781856086929,3,3,3
2017,51,16000,tenure,Renter,0.4040853939487022,0.6447884209468289,1.1638990144457946,3,3,3,0.319459376439871,0.5043722987234898,0.8261779397866883,3,3,3
2016,51,16000,tenure,Renter,0.1343642095781414,0.4537629893985515,1.0673315039154005,3,3,3,0.1343642095781414,0.3163640180539519,0.8382973027240479,3,3,3
2015,51,16000,tenure,Renter,0.2316171138506164,0.4418300653594771,0.9630181755633278,3,3,3,0.1885424220449601,0.3640020110608346,0.7582707413565736,3,3,3
2014,51,16000,tenure,Renter,0.22404211757823925,0.6373948388316476,1.169841563405462,3,3,3,0.1623281661304475,0.46960960393231876,0.8705381912335861,3,3,3
2023,51,35000,tenure,All,0.9239897698209719,1.0475877414787094,1.5350838481906444,1,1,1,0.31519181585677747,0.4917062809750177,0.9036376245114109,1,1,1
2022,51,35000,tenure,All,0.74435958212624,1.0401242298251765,1.3033292960326135,1,1,1,0.26880870862961986,0.5055853328658018,0.8763995155239136,1,1,1
2021,51,35000,tenure,All,0.8203313738767541,1.1802098840585271,1.4740472476454303,3,3,3,0.2706512107336911,0.5827274125464336,0.9914236694612762,3,3,3
2019,51,35000,tenure,All,1.0690762653689765,1.4906852821555514,1.6400157299212024,3,3,3,0.44164471625006807,0.825634927192285,1.1138421749973983,3,3,3
2018,51,35000,tenure,All,0.9729659701916823,1.2436691096013857,1.5617277224611485,3,3,3,0.4004832782422085,0.7255998692342718,1.0705556867095383,3,3,3
2017,51,35000,tenure,All,0.958740909822649,1.124515936334413,1.6308021845187577,3,3,3,0.3592417431179855,0.6349789844478492,1.1041402056335712,3,3,3
2016,51,35000,tenure,All,0.947625122716316,1.2251201796193831,1.4496080723155675,3,3,3,0.298406069495751,0.6404107969149762,1.0772317370619968,3,3,3
2015,51,35000,tenure,All,0.7575734914034341,1.0097951757448516,1.5671812469745159,3,3,3,0.3950430457572991,0.6382291336418873,1.086827133880014,3,3,3
2014,51,35000,tenure,All,0.7443863252562585,0.986723896407838,1.4789662133494448,3,3,3,0.3245571381939519,0.5844301140665966,1.0767897604034453,3,3,3
2023,51,35000,tenure,Owner,1.99848828420257,1.5839973066995847,1.696006358036956,1,1,1,0.5406903502141598,0.6123891819099989,0.8333002185575203,1,1,1
2022,51,35000,tenure,Owner,1.623903248755039,1.531160335131413,1.6410558721425297,1,1,1,0.36684847047664215,0.6078273843681855,0.9384947926901159,1,1,1
2021,51,35000,tenure,Owner,2.495529153509918,2.008065456647146,1.7539345868822993,3,3,3,0.568686392202727,0.6459052797514897,0.9177821529959109,3,3,3
2019,51,35000,tenure,Owner,2.1544385136117965,1.981611212052321,1.7805456209394834,3,3,3,0.5819897071263986,0.7185206182384408,0.9442419001721224,3,3,3
2018,51,35000,tenure,Owner,2.728507498862941,1.8745714734074927,1.7919099814961819,3,3,3,0.6486928440642127,0.7679972236563509,1.001115947346688,3,3,3
2017,51,35000,tenure,Owner,NA,2.253761133185296,2.0875654178880465,NA,3,3,NA,0.8568745422400517,0.981579406271074,NA,3,3
2016,51,35000,tenure,Owner,1.8856232227484355,1.5400436009448555,1.541796164341493,3,3,3,0.41989451536168576,0.6632711391487945,0.9557830626062161,3,3,3
2015,51,35000,tenure,Owner,1.3236225223297442,1.3411493228688889,1.6165129180555324,3,3,3,0.45583245381920945,0.5731380431776625,0.8659087634023936,3,3,3
2014,51,35000,tenure,Owner,1.8711037378938298,1.7643069808772505,1.6030559082353382,3,3,3,0.7115834715216858,0.8211002354210788,0.8995917567982807,3,3,3
2023,51,35000,tenure,Renter,0.18945918015845678,0.6075669704501518,1.3889323308270676,1,1,1,0.16104030313468826,0.39270919635459817,0.9675187969924812,1,1,1
2022,51,35000,tenure,Renter,0.22734875940897686,0.6598222222222222,1.0258824795523032,1,1,1,0.21117925843323113,0.4264,0.8253874300473526,1,1,1
2021,51,35000,tenure,Renter,0.1846809270372307,0.7634952310213925,1.2742017304784914,3,3,3,0.1575623572395227,0.5509257989755315,1.044005279558772,3,3,3
2019,51,35000,tenure,Renter,0.4434134943262367,1.2153277339543826,1.5471729700304189,3,3,3,0.3607421088157175,0.8857147308746759,1.2258906330081263,3,3,3
2018,51,35000,tenure,Renter,0.3554355143971624,0.9142875871137964,1.400783891376316,3,3,3,0.3131729162762144,0.7034650573360519,1.1191080718040318,3,3,3
2017,51,35000,tenure,Renter,0.34829935478724633,0.6495236058476638,1.3887203227884222,3,3,3,0.2740392209215499,0.5416434640362505,1.169096717710899,3,3,3
2016,51,35000,tenure,Renter,0.39110059149249277,0.9665347764552645,1.3740193472404343,3,3,3,0.2263256458975209,0.6216400405573782,1.1768123907281527,3,3,3
2015,51,35000,tenure,Renter,0.4117380685688445,0.76423372150712,1.5270990235559192,3,3,3,0.3579029227425986,0.6864671381185038,1.2663243876465475,3,3,3
2014,51,35000,tenure,Renter,0.1802174709193578,0.6000216062742817,1.4032349520286809,3,3,3,0.13076568647529926,0.46673095141516796,1.184932731734628,3,3,3
2023,51,47672,tenure,All,1.402483878598339,1.6194416073663225,1.7375550532268984,2,2,2,0.6169871298947419,0.8287652428969338,1.0571663471284976,2,2,2
2022,51,47672,tenure,All,1.2612577116248092,1.4662999636003329,1.6222742607519105,2,2,2,0.3884929248297609,0.6881480743373326,0.9732357992134489,2,2,2
2021,51,47672,tenure,All,1.945852626717105,1.7413557188765136,1.929670893161976,2,2,2,0.771095345163707,0.8839284690375301,1.1694625755530998,2,2,2
2019,51,47672,tenure,All,1.9394072436685434,1.8746504957442314,1.7160005644540248,2,2,2,0.5343384212958102,0.7549990456206781,1.0496364330327141,2,2,2
2018,51,47672,tenure,All,1.3836670592854339,1.3500663655975955,1.6769689397763847,2,2,2,0.454024342363565,0.6458832052252834,1.0213523319382418,2,2,2
2017,51,47672,tenure,All,1.424982831510104,1.6237229352346445,1.6695925962194007,2,2,2,0.5834935533701308,0.7996788264008918,0.9664072868506144,2,2,2
2016,51,47672,tenure,All,1.620496750373008,1.6732225394752784,1.564452641003459,2,2,2,0.546065211030623,0.7070169933948034,0.9713788886112905,2,2,2
2015,51,47672,tenure,All,1.2404875975164218,1.3057719562886725,1.4803653179081147,2,2,2,0.5839569419757954,0.677265344215414,1.0173782579789599,2,2,2
2014,51,47672,tenure,All,1.2651040452743165,1.3437756784704176,1.6773291343026064,2,2,2,0.4841991166451757,0.6567875074058134,1.0582779631851964,2,2,2
2023,51,47672,tenure,Owner,2.1899791426052837,2.0146044067358257,1.962518120959547,2,2,2,0.7647061875310042,0.843373133327586,1.0140936370768958,2,2,2
2022,51,47672,tenure,Owner,2.389568082547909,2.192445815471597,1.8649717253918168,2,2,2,0.7135657806104451,0.7964479218433715,0.9036339819151539,2,2,2
2021,51,47672,tenure,Owner,3.5180111930535585,2.460068687528655,2.346828182372382,2,2,2,1.0789442647779965,0.9822468800379227,1.082175236132457,2,2,2
2019,51,47672,tenure,Owner,NA,2.5115206266328625,1.7838520050001196,NA,2,2,NA,0.8412632119714186,0.9169839426142828,NA,2,2
2018,51,47672,tenure,Owner,NA,2.1120236973205873,2.162814090080647,NA,2,2,NA,0.8008617207486199,1.0467653135850254,NA,2,2
2017,51,47672,tenure,Owner,NA,2.5089043695076936,2.1069102128968926,NA,2,2,NA,0.9206857345600864,1.0409444676026753,NA,2,2
2016,51,47672,tenure,Owner,NA,2.2754013242332607,1.7666063252982664,NA,2,2,NA,0.6549539482653801,0.8899814502886517,NA,2,2
2015,51,47672,tenure,Owner,2.2816958006831425,2.1699159930258363,1.9292836792759178,2,2,2,0.68555354631304,0.7449675067364083,0.9509440099274958,2,2,2
2014,51,47672,tenure,Owner,2.409822132323627,1.9704601133208237,1.9328546731321834,2,2,2,0.6683739642388902,0.7506054514166485,1.082655528715603,2,2,2
2023,51,47672,tenure,Renter,0.7319968258694757,1.2408085516510559,1.4857416136704877,2,2,2,0.4912165759456719,0.8147684036192065,1.1053799822750445,2,2,2
2022,51,47672,tenure,Renter,0.5141623269401753,0.9700513004591614,1.397395216522126,2,2,2,0.17325034929505906,0.6141358708595214,1.0377275736698477,2,2,2
2021,51,47672,tenure,Renter,0.7274895005496259,1.1339128111663037,1.5410964344682099,2,2,2,0.5325241347783807,0.800831566568205,1.250769151138521,2,2,2
2019,51,47672,tenure,Renter,NA,1.321509827993085,1.643444227234198,NA,2,2,NA,0.6800760491352478,1.191487199212261,NA,2,2
2018,51,47672,tenure,Renter,0.5411514924441114,0.8477980508104598,1.2879935832328264,2,2,2,0.30223554389908835,0.5437242068413464,1.0010062945419602,2,2,2
2017,51,47672,tenure,Renter,0.501929813147075,0.9741851870180747,1.2973281450397296,2,2,2,0.3591824056448346,0.710885103892555,0.9029578815969292,2,2,2
2016,51,47672,tenure,Renter,0.8609520723077909,1.1990670867370858,1.3789893674506548,2,2,2,0.5204735769406218,0.7480114245489862,1.0460559118017945,2,2,2
2015,51,47672,tenure,Renter,0.6750038320034617,0.8423339481473289,1.1698966180957504,2,2,2,0.5287794758271196,0.6409568655223714,1.0633237046136346,2,2,2
2014,51,47672,tenure,Renter,0.5401033344729331,0.8621351136701102,1.4159427411042207,2,2,2,0.3675530210450216,0.5846833908378497,1.0333412623053675,2,2,2
2023,51,56000,tenure,All,0.9297369086769542,1.113418204098305,1.400331785003318,1,1,1,0.3362635972678978,0.5711076315610321,0.9159920371599204,1,1,1
2022,51,56000,tenure,All,0.7407004173471239,1.202331662671606,1.4189568639589645,1,1,1,0.2926873525675921,0.6277329846734946,0.9476884299896084,1,1,1
2021,51,56000,tenure,All,0.7742405198366064,1.094309000049361,1.4023159466192365,2,2,2,0.3427041958352465,0.6317097824394944,0.9580951826645279,2,2,2
2019,51,56000,tenure,All,0.8924565548920247,1.2946294396888227,1.5224119002099494,2,2,2,0.36317984325157937,0.7448438787047481,1.0650300828457804,2,2,2
2018,51,56000,tenure,All,0.7421318589550632,1.1766096861136615,1.4769668081889424,2,2,2,0.4145447554645673,0.7401268232282011,1.052069662889955,2,2,2
2017,51,56000,tenure,All,0.9489458512846682,1.1782311304835797,1.5137283273337654,2,2,2,0.515603592808277,0.7078573966652405,1.0690931400267403,2,2,2
