year,state,place,subgroup_type,subgroup,min_all,min_black,min_hispanic,min_other,min_white,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,04,27400,race-ethnicity,Other Races and Ethnicities,6,6,6,6,6,39,38,40,.082802549,2,2
2021,04,27400,race-ethnicity,"White, Non-Hispanic",6,6,6,6,6,146,145,147,.3099787831,1,1
2021,04,27400,race-ethnicity,_supp_all,6,6,6,6,6,264,,,,,
2021,04,27400,race-ethnicity,_supp_black,6,6,6,6,6,438,,,,,
2021,04,27400,race-ethnicity,_supp_hispanic,6,6,6,6,6,498,,,,,
2021,04,27400,race-ethnicity,_supp_other,6,6,6,6,6,1080,,,,,
2021,04,27400,race-ethnicity,_supp_white,6,6,6,6,6,564,,,,,
2021,04,27820,all,All,12,12,12,12,12,1427,1426,1428,.0160020627,1,1
2021,04,27820,race-ethnicity,"Black, Non-Hispanic",12,12,12,12,12,348,344,352,.2438682616,1,1
2021,04,27820,race-ethnicity,Hispanic,12,12,12,12,12,607,604,610,.4253678918,1,1
2021,04,27820,race-ethnicity,Other Races and Ethnicities,12,12,12,12,12,154,149,159,.1079187095,2,2
2021,04,27820,race-ethnicity,"White, Non-Hispanic",12,12,12,12,12,282,281,283,.1976173818,1,1
2021,04,27820,race-ethnicity,_supp_all,12,12,12,12,12,528,,,,,
2021,04,27820,race-ethnicity,_supp_black,12,12,12,12,12,876,,,,,
2021,04,27820,race-ethnicity,_supp_hispanic,12,12,12,12,12,996,,,,,
2021,04,27820,race-ethnicity,_supp_other,12,12,12,12,12,2160,,,,,
2021,04,27820,race-ethnicity,_supp_white,12,12,12,12,12,1128,,,,,
2021,04,28380,all,All,,,,,,,,,,,
2021,04,28380,race-ethnicity,"Black, Non-Hispanic",,,,,,,,,,,
2021,04,28380,race-ethnicity,Hispanic,,,,,,,,,,,
2021,04,28380,race-ethnicity,Other Races and Ethnicities,,,,,,,,,,,
2021,04,28380,race-ethnicity,"White, Non-Hispanic",,,,,,,,,,,
2021,04,28380,race-ethnicity,_supp_all,,,,,,.,,,,,
2021,04,28380,race-ethnicity,_supp_black,,,,,,.,,,,,
2021,04,28380,race-ethnicity,_supp_hispanic,,,,,,.,,,,,
2021,04,28380,race-ethnicity,_supp_other,,,,,,.,,,,,
2021,04,28380,race-ethnicity,_supp_white,,,,,,.,,,,,
2021,04,46000,all,All,15,15,15,15,15,1465,1464,1466,.0180725865,1,1
2021,04,46000,race-ethnicity,"Black, Non-Hispanic",15,15,15,15,15,250,247,253,.1706484705,1,1
2021,04,46000,race-ethnicity,Hispanic,15,15,15,15,15,627,622,632,.4279863536,1,1
2021,04,46000,race-ethnicity,Other Races and Ethnicities,15,15,15,15,15,238,229,247,.162457332,2,2
2021,04,46000,race-ethnicity,"White, Non-Hispanic",15,15,15,15,15,335,330,340,.228668943,1,1
2021,04,46000,race-ethnicity,_supp_all,15,15,15,15,15,660,,,,,
2021,04,46000,race-ethnicity,_supp_black,15,15,15,15,15,1095,,,,,
2021,04,46000,race-ethnicity,_supp_hispanic,15,15,15,15,15,1245,,,,,
2021,04,46000,race-ethnicity,_supp_other,15,15,15,15,15,2700,,,,,
2021,04,46000,race-ethnicity,_supp_white,15,15,15,15,15,1410,,,,,
2021,04,54050,all,All,4,4,4,4,4,6,3,9,.0032608695,3,3
2021,04,54050,race-ethnicity,"Black, Non-Hispanic",4,4,4,4,4,NA,NA,NA,NA,NA,NA
2021,04,54050,race-ethnicity,Hispanic,4,4,4,4,4,NA,NA,NA,NA,NA,NA
2021,04,54050,race-ethnicity,Other Races and Ethnicities,4,4,4,4,4,NA,NA,NA,NA,NA,NA
2021,04,54050,race-ethnicity,"White, Non-Hispanic",4,4,4,4,4,NA,NA,NA,NA,NA,NA
2021,04,54050,race-ethnicity,_supp_all,4,4,4,4,4,176,,,,,
2021,04,54050,race-ethnicity,_supp_black,4,4,4,4,4,292,,,,,
2021,04,54050,race-ethnicity,_supp_hispanic,4,4,4,4,4,332,,,,,
2021,04,54050,race-ethnicity,_supp_other,4,4,4,4,4,720,,,,,
2021,04,54050,race-ethnicity,_supp_white,4,4,4,4,4,376,,,,,
2021,04,55000,all,All,87,87,87,87,87,4680,4670,4690,.0236313511,1,1
2021,04,55000,race-ethnicity,"Black, Non-Hispanic",87,87,87,87,87,884,860,908,.1888888925,2,2
2021,04,55000,race-ethnicity,Hispanic,87,87,87,87,87,2576,2554,2598,.5504273772,1,1
2021,04,55000,race-ethnicity,Other Races and Ethnicities,87,87,87,87,87,434,379,489,.0927350447,3,3
2021,04,55000,race-ethnicity,"White, Non-Hispanic",87,87,87,87,87,671,637,705,.1433760673,3,3
2021,04,55000,race-ethnicity,_supp_all,87,87,87,87,87,3828,,,,,
2021,04,55000,race-ethnicity,_supp_black,87,87,87,87,87,6351,,,,,
2021,04,55000,race-ethnicity,_supp_hispanic,87,87,87,87,87,7221,,,,,
2021,04,55000,race-ethnicity,_supp_other,87,87,87,87,87,15660,,,,,
2021,04,55000,race-ethnicity,_supp_white,87,87,87,87,87,8178,,,,,
2021,04,65000,all,All,5,4,4,5,4,285,283,287,.0106697613,1,1
2021,04,65000,race-ethnicity,"Black, Non-Hispanic",5,4,4,5,4,35,35,35,.1228070185,1,1
2021,04,65000,race-ethnicity,Hispanic,5,4,4,5,4,52,50,54,.1824561357,2,2
2021,04,65000,race-ethnicity,Other Races and Ethnicities,5,4,4,5,4,123,120,126,.4315789342,1,1
2021,04,65000,race-ethnicity,"White, Non-Hispanic",5,4,4,5,4,78,78,78,.2736842036,1,1
2021,04,65000,race-ethnicity,_supp_all,5,4,4,5,4,186,,,,,
2021,04,65000,race-ethnicity,_supp_black,5,4,4,5,4,292,,,,,
2021,04,65000,race-ethnicity,_supp_hispanic,5,4,4,5,4,332,,,,,
2021,04,65000,race-ethnicity,_supp_other,5,4,4,5,4,730,,,,,
2021,04,65000,race-ethnicity,_supp_white,5,4,4,5,4,376,,,,,
2021,04,71510,all,All,4,4,4,4,4,139,138,140,.0048676287,1,1
2021,04,71510,race-ethnicity,"Black, Non-Hispanic",4,4,4,4,4,25,24,26,.1798561215,2,2
2021,04,71510,race-ethnicity,Hispanic,4,4,4,4,4,61,61,61,.4388489127,1,1
2021,04,71510,race-ethnicity,Other Races and Ethnicities,4,4,4,4,4,19,17,21,.1366906464,3,3
2021,04,71510,race-ethnicity,"White, Non-Hispanic",4,4,4,4,4,33,31,35,.2374100685,3,3
