year,state,place,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,24,04000,4553,4553,4553,.0582195297,1,1
2021,24,30325,987,987,987,.0218266249,1,1
2021,25,07000,69,68,70,.0228931643,1,1
2021,25,09000,538,538,538,.0336060971,1,1
2021,25,11000,180,179,181,.0216216221,1,1
2021,25,23000,785,784,786,.0580106415,1,1
2021,25,34550,314,311,317,.0216327943,1,1
2021,25,37000,1965,1964,1966,.1227818057,1,1
2021,25,37490,1181,1181,1181,.0681044906,1,1
2021,25,45000,1253,1252,1254,.0780102089,1,1
2021,25,45560,,,,,,
2021,25,55745,155,155,155,.0164823476,1,1
2021,25,62535,88,88,88,.0188315865,1,1
2021,25,67000,1356,1355,1357,.0502017699,1,1
2021,25,82000,2151,2151,2151,.0832688138,1,1
2021,26,03000,310,309,311,.0158106796,1,1
2021,26,21000,72,70,74,.0030625267,2,2
2021,26,22000,2765,2757,2773,.0378855355,1,1
2021,26,27440,NA,NA,NA,NA,NA,NA
2021,26,29000,517,516,518,.0263358969,1,1
2021,26,34000,1224,1222,1226,.0216476247,1,1
2021,26,46000,514,514,514,.033967752,1,1
2021,26,49000,70,70,70,.0042478307,1,1
2021,26,69035,,,,,,
2021,26,74900,154,153,155,.0186802521,1,1
2021,26,76460,63,63,63,.0024369487,1,1
2021,26,80700,45,45,45,.0029724552,1,1
2021,26,84000,302,302,302,.0140204271,1,1
2021,26,86000,143,143,143,.0128620258,1,1
2021,26,88940,119,118,120,.0183982681,1,1
2021,27,06616,523,523,523,.0490849353,1,1
2021,27,07966,42,42,42,.0191082805,1,1
2021,27,17000,307,307,307,.0324044749,1,1
2021,27,43000,2632,2632,2632,.0670795441,1,1
2021,27,51730,25,25,25,.002080213,3,3
2021,27,54880,372,372,372,.021115968,1,1
2021,27,58000,1495,1491,1499,.0360206254,1,1
2021,27,71428,,,,,,
2021,28,36000,890,889,891,.0434188694,1,1
2021,29,15670,301,301,301,.0162966978,1,1
2021,29,35000,969,969,969,.0504687503,1,1
2021,29,38000,3163,3162,3164,.0478959419,1,1
2021,29,41348,,,,,,
2021,29,54074,182,182,182,.0105348462,1,1
2021,29,65000,417,417,417,.0345943272,1,1
2021,29,70000,1818,1818,1818,.0802861676,1,1
2021,30,06550,585,584,586,.0338718072,1,1
2021,31,28000,458,458,458,.0109708486,1,1
2021,31,37000,1005,1005,1005,.0123148179,1,1
2021,32,31900,,,,,,
2021,32,40000,12078,12078,12078,.0377148762,1,1
2021,32,51800,,,,,,
2021,32,60600,1908,1908,1908,.0286813788,1,1
2021,32,68400,,,,,,
2021,33,45140,767,766,768,.0604698844,1,1
2021,33,50260,336,336,336,.0328928046,1,1
2021,34,13690,35,35,35,.0033365109,1,1
2021,34,21000,315,315,315,.0112423711,1,1
2021,34,36000,419,419,419,.0151263541,1,1
2021,34,51000,396,391,401,.0066469721,1,1
2021,34,57000,259,257,261,.0095038898,1,1
2021,34,74000,306,304,308,.0197827779,1,1
2021,35,02000,2139,2135,2143,.0247351862,1,1
2021,35,39380,1333,1332,1334,.0550144464,1,1
2021,35,63460,203,202,204,.0115913888,1,1
2021,35,70500,773,771,775,.0437712334,1,1
2021,36,01000,723,723,723,.0445361584,1,1
2021,36,11000,1401,1399,1403,.0307324454,1,1
2021,36,50617,158,158,158,.015815815,1,1
2021,36,51000,20859,20858,20860,.1323204786,1,1
2021,36,63000,2071,2070,2072,.034855932,1,1
2021,36,73000,1518,1517,1519,.0652145892,1,1
2021,36,84000,523,523,523,.0213897191,1,1
2021,37,02140,759,757,761,.0277007297,1,1
2021,37,10740,4652,4652,4652,.0290570203,1,1
2021,37,12000,4364,4360,4368,.0286197718,1,1
2021,37,14100,492,491,493,.0140479114,1,1
2021,37,19000,1172,1168,1176,.0268487129,1,1
2021,37,22920,824,824,824,.0166592542,1,1
2021,37,25580,576,576,576,.0190111566,1,1
2021,37,28000,2441,2437,2445,.0332815237,1,1
2021,37,28080,236,236,236,.0099201342,1,1
2021,37,31400,,,,,,
2021,37,55000,76,74,78,.0374015756,2,2
2021,37,74440,1172,1172,1172,.0456084386,1,1
2021,37,75000,,,,,,
2021,38,25700,287,287,287,.0253287442,1,1
2021,39,01000,1204,1202,1206,.0381676964,1,1
2021,39,15000,3386,3379,3393,.0350166,1,1
2021,39,16000,2014,2006,2022,.042023994,1,1
2021,39,18000,2451,2432,2470,.0292786062,1,1
2021,39,21000,570,566,574,.0229681265,1,1
2021,39,61000,28,25,31,.002583741,3,3
2021,39,77000,1644,1638,1650,.047829628,1,1
2021,40,09050,461,461,461,.0236083381,1,1
2021,40,23200,200,199,201,.0059883827,1,1
2021,40,41850,959,959,959,.0699285418,1,1
2021,40,52500,300,300,300,.0180864539,1,1
2021,40,55000,2978,2978,2978,.0709300935,1,1
2021,40,75000,1613,1611,1615,.0318799913,1,1
2021,41,05350,1241,1241,1241,.0316154175,1,1
2021,41,05800,503,503,503,.0288731996,1,1
2021,41,23850,985,985,985,.0447117575,1,1
2021,41,31250,311,311,311,.0271355025,1,1
2021,41,34100,455,455,455,.0238920394,1,1
2021,41,47000,1039,1039,1039,.0733860731,1,1
