year,state,place,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2014,48,39148,tenure,All,1,1,1,0.682943545069307,0.8854321857111114,1.311090860563113,1.4339703611846886,1.5322650052329612,2.1931632127005245,1,1,1
2023,48,41464,tenure,All,1,1,1,0.49106593779881813,0.5948974113192301,0.8513383506013718,1.2188862965653349,1.2641082565418194,1.4981148621183695,1,1,1
2022,48,41464,tenure,All,1,1,1,0.4336345377766909,0.5360373241948362,0.8584942098294844,0.9592972982346685,1.1718738973146725,1.486669766465308,1,1,1
2021,48,41464,tenure,All,1,1,1,0.4986820510177057,0.554347295276788,0.8848373641887104,1.122128411926691,1.1537446216815044,1.4970582151923584,1,1,1
2019,48,41464,tenure,All,1,1,1,0.49779929252188787,0.539806064383015,0.9322307765775485,1.0277085624694613,1.09591018269447,1.5770540755526121,1,1,1
2018,48,41464,tenure,All,1,1,1,0.5003102113179717,0.5627211962484432,0.8863849930031663,1.0475041481214284,1.154736609979122,1.50932240979554,1,1,1
2017,48,41464,tenure,All,1,1,1,0.5137189312730187,0.5737593049356519,0.9027090488618417,1.0636843241136502,1.1567475139061663,1.4841098763191887,1,1,1
2016,48,41464,tenure,All,1,1,1,0.4518871436544279,0.4943724822651567,0.8165394778613263,0.9191556092511078,0.9296750973378692,1.2509558278217472,1,1,1
2015,48,41464,tenure,All,1,1,1,0.46371475444519833,0.47952976352872545,0.8827582047340498,1.0014689266423786,1.0138338423864945,1.3520190744792286,1,1,1
2014,48,41464,tenure,All,1,1,1,0.4136960760753921,0.4389376395028636,0.8736717588352508,0.8535440809677752,0.907714276319132,1.2962746676622636,1,1,1
2023,48,41980,tenure,All,2,2,2,0.3431783678518251,0.4813705723497224,0.8402585428591872,0.8598223415167189,1.1667996637403042,1.6294327432076026,2,2,2
2022,48,41980,tenure,All,2,2,2,0.22856455796839342,0.3907985848009778,0.7278670150600268,0.9340923839515013,1.0967304315520825,1.3430511075693439,2,2,2
2021,48,41980,tenure,All,NA,2,2,NA,0.39082805442891,0.7519593755714502,NA,1.4881100970291308,1.847136955081571,NA,2,2
2019,48,41980,tenure,All,NA,2,2,NA,0.37657746412941673,0.8524633152136968,NA,1.4436561784093624,1.999248496038271,NA,2,2
2018,48,41980,tenure,All,NA,2,2,NA,0.678304002169403,1.0163143335140634,NA,1.4400442086667398,2.074729584275018,NA,2,2
2017,48,41980,tenure,All,NA,2,2,NA,0.5708686113265039,0.9496541223342989,NA,1.4865095596051763,1.9460588366854061,NA,2,2
2016,48,41980,tenure,All,NA,2,2,NA,0.4451386528569544,1.0529209072795793,NA,1.3494937804302158,1.8632368378671067,NA,2,2
2015,48,41980,tenure,All,NA,2,2,NA,0.5715827551832393,0.9526293326738988,NA,1.4634054251943724,1.9213673184845677,NA,2,2
2014,48,41980,tenure,All,NA,2,2,NA,0.7292462453032056,1.024273708760578,NA,1.7441440444579532,2.076692404621841,NA,2,2
2023,48,42508,tenure,All,1,1,1,0.22067948106943683,0.33325758622811696,0.9043633099120706,0.7906107438003203,0.8421286672612099,1.4513496006046092,1,1,1
2022,48,42508,tenure,All,1,1,1,0.14497086897973546,0.16537478470627626,0.7277556345456534,0.4773733883809745,0.5785176649886777,1.2469500429778646,1,1,1
2021,48,42508,tenure,All,1,1,1,0.17819147022077453,0.29089782995282293,0.9060564543602992,0.8825127821838491,0.7063299947139192,1.6622172694556492,1,1,1
2019,48,42508,tenure,All,1,1,1,0.14317048835936583,0.4608606825889818,1.118873312040067,0.8467736584687305,1.2629034953267877,1.8023895535019172,1,1,1
2018,48,42508,tenure,All,1,1,1,0.27317532470150474,0.2420778941471337,0.9989728939180389,0.8182154760712227,0.8091054198376271,1.7001316322209945,1,1,1
2017,48,42508,tenure,All,1,1,1,0.17551405547077256,0.23759089635428926,1.0441541945749822,0.710392329164987,0.9183104002620387,1.7981614428887704,1,1,1
2016,48,42508,tenure,All,1,1,1,0.2690316737964607,0.34012245707046934,0.9411250616822427,0.6947985842922684,0.9294748989671338,1.5629603870348443,1,1,1
2015,48,42508,tenure,All,1,1,1,0.1107727642989132,0.35920677533120143,0.9315595602142309,0.8761858718998085,1.0500507708291484,1.7259075339462007,1,1,1
2014,48,42508,tenure,All,1,1,1,0.16672731760460444,0.33643015547529526,0.9928487283013212,0.6782414593107678,0.7859781005138852,1.6543732813502774,1,1,1
2023,48,43888,tenure,All,2,2,2,0.5738894149109034,0.6463699660947112,1.0428774105220595,1.428088697357747,1.6407720259252843,1.8081824447904584,2,2,2
2022,48,43888,tenure,All,2,2,2,0.4353493228302847,0.6600732734353287,1.0484771570558074,1.23068213758748,1.4500703465445126,1.8483076522544915,2,2,2
2021,48,43888,tenure,All,2,2,2,0.6105388419120282,0.7870492551523375,1.0605421927496326,1.739027488118421,1.7706451819891766,1.8765321556676107,2,2,2
2019,48,43888,tenure,All,2,2,2,0.5685005254135342,0.6189290847850861,1.1439566293463659,1.3006423638256304,1.3546692086329537,1.9677567747862956,2,2,2
