year,state,county,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,087,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,089,all,All,452,452,452,.0080550304,1,1
2021,01,089,race-ethnicity,"Black, Non-Hispanic",222,222,222,.4911504388,1,1
2021,01,089,race-ethnicity,Hispanic,56,56,56,.1238938048,1,1
2021,01,089,race-ethnicity,Other Races and Ethnicities,30,30,30,.0663716793,1,1
2021,01,089,race-ethnicity,"White, Non-Hispanic",125,125,125,.2765486836,1,1
2021,01,091,all,All,,,,,,
2021,01,091,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,01,091,race-ethnicity,Hispanic,,,,,,
2021,01,091,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,01,091,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,01,093,all,All,56,55,57,.0121002588,1,1
2021,01,093,race-ethnicity,"Black, Non-Hispanic",5,4,6,.0892857164,3,3
2021,01,093,race-ethnicity,Hispanic,8,8,8,.1428571492,1,1
2021,01,093,race-ethnicity,Other Races and Ethnicities,2,2,2,.0357142873,1,1
2021,01,093,race-ethnicity,"White, Non-Hispanic",39,38,40,.696428597,2,2
2021,01,095,all,All,676,676,676,.0358868167,1,1
2021,01,095,race-ethnicity,"Black, Non-Hispanic",40,39,41,.0591715984,2,2
2021,01,095,race-ethnicity,Hispanic,334,334,334,.4940828383,1,1
2021,01,095,race-ethnicity,Other Races and Ethnicities,25,25,25,.0369822495,1,1
2021,01,095,race-ethnicity,"White, Non-Hispanic",273,273,273,.4038461447,1,1
2021,01,097,all,All,2349,2347,2351,.0388033576,1,1
2021,01,097,race-ethnicity,"Black, Non-Hispanic",1354,1352,1356,.5764154792,1,1
2021,01,097,race-ethnicity,Hispanic,176,175,177,.0749254972,1,1
2021,01,097,race-ethnicity,Other Races and Ethnicities,125,125,125,.0532141328,1,1
2021,01,097,race-ethnicity,"White, Non-Hispanic",686,683,689,.292039156,1,1
2021,01,099,all,All,98,98,98,.0309832431,1,1
2021,01,099,race-ethnicity,"Black, Non-Hispanic",63,63,63,.6428571343,1,1
2021,01,099,race-ethnicity,Hispanic,1,0,2,.0102040814,3,3
2021,01,099,race-ethnicity,Other Races and Ethnicities,14,14,14,.1428571492,1,1
2021,01,099,race-ethnicity,"White, Non-Hispanic",20,20,20,.2040816396,1,1
2021,01,101,all,All,266,266,266,.0097094467,1,1
2021,01,101,race-ethnicity,"Black, Non-Hispanic",239,239,239,.8984962702,1,1
2021,01,101,race-ethnicity,Hispanic,6,6,6,.0225563906,1,1
2021,01,101,race-ethnicity,Other Races and Ethnicities,11,11,11,.0413533822,1,1
2021,01,101,race-ethnicity,"White, Non-Hispanic",10,10,10,.0375939831,1,1
2021,01,103,all,All,103,103,103,.0051795235,1,1
2021,01,103,race-ethnicity,"Black, Non-Hispanic",45,44,46,.4368931949,1,1
2021,01,103,race-ethnicity,Hispanic,21,20,22,.2038834989,2,2
2021,01,103,race-ethnicity,Other Races and Ethnicities,9,9,9,.0873786435,1,1
