year,state,place,index_air_hazard,index_air_hazard_quality
2014,48,76000,51,1
2014,48,79000,69,1
2014,49,43660,67,1
2014,49,44320,69,1
2014,49,55980,73,1
2014,49,57300,80,1
2014,49,62470,76,1
2014,49,65330,58,1
2014,49,67000,28,1
2014,49,67440,64,1
2014,49,70850,39,1
2014,49,82950,20,1
2014,49,83470,11,1
2014,51,01000,27,1
2014,51,16000,67,1
2014,51,35000,72,1
2014,51,47672,42,1
2014,51,56000,61,1
2014,51,57000,53,1
2014,51,64000,63,1
2014,51,67000,35,1
2014,51,68000,61,1
2014,51,76432,72,1
2014,51,82000,67,1
2014,53,03180,3,1
2014,53,05210,9,1
2014,53,05280,34,1
2014,53,22640,9,1
2014,53,23515,3,1
2014,53,35275,49,1
2014,53,35415,6,1
2014,53,35940,8,1
2014,53,53545,36,1
2014,53,57745,8,1
2014,53,63000,6,1
2014,53,67000,8,1
2014,53,67167,19,1
2014,53,70000,11,1
2014,53,74060,22,1
2014,53,80010,39,1
2014,55,02375,88,1
2014,55,31000,84,1
2014,55,39225,78,1
2014,55,48000,82,1
2014,55,53000,68,1
2014,55,66000,81,1
2018,01,03076,15,1
2018,01,07000,7,1
2018,01,35896,9,1
2018,01,37000,18,1
2018,01,50000,17,1
2018,01,51000,15,1
2018,01,77256,7,1
2018,02,03000,46,1
2018,04,04720,20,1
2018,04,07940,68,1
2018,04,12000,19,1
2018,04,23620,92,1
2018,04,27400,26,1
2018,04,27820,26,1
2018,04,28380,34,1
2018,04,46000,27,1
2018,04,54050,34,1
2018,04,55000,26,1
2018,04,65000,37,1
2018,04,71510,53,1
2018,04,73000,16,1
2018,04,77000,58,1
2018,04,85540,34,1
2018,05,23290,28,1
2018,05,24550,13,1
2018,05,35710,47,1
2018,05,41000,20,1
2018,05,66080,23,1
2018,06,00562,48,1
2018,06,00884,4,1
2018,06,02000,6,1
2018,06,02252,32,1
2018,06,02364,54,1
2018,06,03526,24,1
2018,06,04982,4,1
2018,06,06000,40,1
2018,06,08786,5,1
2018,06,08954,12,1
2018,06,11194,51,1
2018,06,11530,0,1
2018,06,13014,1,1
2018,06,13210,9,1
2018,06,13214,16,1
2018,06,13392,31,1
2018,06,13588,1,1
2018,06,14218,11,1
2018,06,15044,1,1
2018,06,16000,41,1
2018,06,16350,15,1
2018,06,16532,32,1
2018,06,17918,69,1
2018,06,19766,4,1
2018,06,21712,20,1
2018,06,22020,6,1
2018,06,22230,4,1
2018,06,22804,38,1
2018,06,23182,34,1
2018,06,24638,4,1
2018,06,24680,12,1
2018,06,26000,55,1
2018,06,27000,10,1
2018,06,28000,6,1
2018,06,29000,6,1
2018,06,30000,10,1
2018,06,32548,4,1
2018,06,33000,46,1
2018,06,33182,48,1
2018,06,33434,42,1
2018,06,36000,32,1
2018,06,36448,49,1
2018,06,36546,2,1
2018,06,36770,18,1
2018,06,39496,20,1
2018,06,39892,1,1
2018,06,40130,63,1
2018,06,41992,55,1
2018,06,43000,0,1
2018,06,44000,10,1
2018,06,45484,26,1
2018,06,46842,33,1
2018,06,46898,17,1
2018,06,47766,58,1
2018,06,48256,21,1
2018,06,48354,26,1
2018,06,49270,23,1
2018,06,49670,55,1
2018,06,50076,39,1
2018,06,50258,54,1
2018,06,51182,44,1
2018,06,52526,5,1
2018,06,53000,47,1
2018,06,53322,45,1
2018,06,53896,6,1
2018,06,53980,7,1
2018,06,54652,51,1
2018,06,55156,67,1
2018,06,56000,6,1
2018,06,56700,28,1
2018,06,57456,19,1
2018,06,57792,54,1
2018,06,58072,5,1
2018,06,59444,3,1
2018,06,59451,17,1
2018,06,59920,0,1
2018,06,60102,58,1
2018,06,60466,12,1
2018,06,60620,14,1
2018,06,62000,9,1
2018,06,62938,2,1
2018,06,64000,2,1
2018,06,64224,73,1
2018,06,65000,14,1
2018,06,65042,65,1
2018,06,66000,34,1
2018,06,67000,46,1
2018,06,68000,35,1
2018,06,68084,47,1
2018,06,68196,44,1
2018,06,68252,54,1
2018,06,68378,51,1
2018,06,69000,9,1
2018,06,69070,58,1
2018,06,69084,20,1
2018,06,69088,42,1
2018,06,69196,76,1
2018,06,70000,16,1
2018,06,70098,38,1
2018,06,72016,54,1
2018,06,73080,4,1
2018,06,75000,18,1
2018,06,77000,48,1
2018,06,78120,49,1
2018,06,78582,44,1
2018,06,80000,3,1
2018,06,80238,45,1
2018,06,80854,10,1
2018,06,81344,14,1
2018,06,81554,26,1
2018,06,81666,45,1
2018,06,82590,48,1
2018,06,82954,9,1
2018,06,82996,41,1
2018,06,84200,4,1
2018,06,84550,10,1
2018,06,85292,3,1
2018,08,03455,38,1
2018,08,04000,49,1
2018,08,07850,74,1
2018,08,12815,53,1
2018,08,16000,78,1
2018,08,20000,24,1
2018,08,27425,41,1
2018,08,32155,1,1
2018,08,43000,38,1
2018,08,45970,7,1
2018,08,46465,20,1
2018,08,62000,72,1
2018,08,77290,16,1
2018,08,83835,27,1
2018,09,08000,54,1
2018,09,18430,95,1
2018,09,37000,52,1
2018,09,52000,59,1
2018,09,55990,53,1
2018,09,73000,55,1
2018,09,80000,70,1
2018,11,50000,21,1
2018,12,07300,69,1
2018,12,07875,66,1
2018,12,10275,59,1
2018,12,12875,53,1
2018,12,14400,55,1
2018,12,16475,37,1
2018,12,16725,65,1
2018,12,17200,50,1
2018,12,17935,27,1
2018,12,24000,57,1
2018,12,24125,55,1
2018,12,25175,26,1
2018,12,30000,23,1
2018,12,32000,51,1
2018,12,32275,55,1
2018,12,35000,38,1
2018,12,36950,24,1
2018,12,38250,35,1
2018,12,39425,55,1
2018,12,43975,72,1
2018,12,45000,54,1
2018,12,45025,78,1
2018,12,45060,29,1
2018,12,45975,34,1
2018,12,49675,57,1
2018,12,53000,24,1
2018,12,54000,78,1
2018,12,54200,57,1
2018,12,55775,31,1
2018,12,57425,55,1
2018,12,58050,65,1
2018,12,58715,60,1
2018,12,63000,64,1
2018,12,69700,55,1
2018,12,70600,21,1
2018,12,71000,30,1
2018,12,76600,61,1
2018,13,03440,25,1
2018,13,04000,7,1
2018,13,04204,24,1
2018,13,19000,16,1
2018,13,42425,25,1
2018,13,67284,26,1
2018,13,68516,16,1
2018,13,69000,33,1
2018,13,80508,22,1
2018,15,71550,96,1
2018,16,08830,49,1
2018,16,52120,42,1
2018,16,56260,57,1
2018,17,02154,19,1
2018,17,03012,42,1
2018,17,06613,69,1
2018,17,12385,48,1
2018,17,14000,9,1
2018,17,14351,3,1
2018,17,23074,38,1
2018,17,24582,34,1
2018,17,38570,42,1
2018,17,51622,37,1
2018,17,59000,48,1
2018,17,65000,45,1
2018,17,68003,21,1
2018,17,72000,46,1
2018,17,79293,23,1
2018,18,05860,52,1
2018,18,10342,55,1
2018,18,22000,35,1
2018,18,23278,55,1
2018,18,25000,58,1
2018,18,31000,40,1
2018,18,36003,53,1
2018,18,71000,66,1
2018,19,12000,49,1
2018,19,19000,54,1
2018,19,21000,54,1
2018,19,73335,76,1
2018,20,36000,36,1
2018,20,38900,55,1
2018,20,52575,55,1
2018,20,53775,48,1
2018,20,71000,55,1
2018,20,79000,34,1
2018,21,46027,36,1
2018,21,48006,25,1
2018,22,05000,1,1
2018,22,40735,42,1
2018,22,41155,23,1
2018,22,55000,13,1
2018,22,70000,13,1
2018,24,04000,34,1
2018,24,30325,48,1
2018,25,07000,27,1
2018,25,09000,77,1
2018,25,11000,26,1
2018,25,23000,75,1
2018,25,34550,55,1
2018,25,37000,55,1
2018,25,37490,53,1
2018,25,45000,78,1
2018,25,45560,55,1
2018,25,55745,51,1
2018,25,62535,30,1
2018,25,67000,50,1
2018,25,82000,77,1
2018,26,03000,76,1
2018,26,21000,50,1
2018,26,22000,49,1
2018,26,27440,62,1
2018,26,29000,77,1
2018,26,34000,56,1
2018,26,46000,76,1
2018,26,49000,55,1
2018,26,69035,74,1
2018,26,74900,54,1
2018,26,76460,50,1
2018,26,80700,56,1
2018,26,84000,44,1
2018,26,86000,55,1
2018,26,88940,61,1
2018,27,06616,22,1
2018,27,07966,11,1
2018,27,17000,56,1
2018,27,43000,9,1
2018,27,51730,28,1
2018,27,54880,54,1
2018,27,58000,5,1
2018,27,71428,28,1
2018,28,36000,19,1
2018,29,15670,42,1
2018,29,35000,34,1
2018,29,38000,33,1
2018,29,41348,57,1
2018,29,54074,26,1
2018,29,65000,19,1
2018,29,70000,24,1
2018,30,06550,77,1
2018,31,28000,56,1
2018,31,37000,55,1
2018,32,31900,37,1
2018,32,40000,41,1
2018,32,51800,39,1
2018,32,60600,18,1
2018,32,68400,15,1
2018,33,45140,58,1
2018,33,50260,55,1
2018,34,13690,18,1
2018,34,21000,3,1
2018,34,36000,9,1
2018,34,51000,12,1
2018,34,57000,20,1
2018,34,74000,38,1
2018,35,02000,55,1
2018,35,39380,68,1
2018,35,63460,72,1
2018,35,70500,83,1
2018,36,01000,53,1
2018,36,11000,72,1
2018,36,50617,23,1
2018,36,51000,11,1
2018,36,63000,73,1
2018,36,73000,66,1
2018,36,84000,18,1
2018,37,02140,57,1
2018,37,10740,33,1
2018,37,12000,18,1
2018,37,14100,26,1
2018,37,19000,29,1
2018,37,22920,42,1
2018,37,25580,20,1
2018,37,28000,29,1
2018,37,28080,55,1
2018,37,31400,24,1
2018,37,55000,38,1
2018,37,74440,36,1
2018,37,75000,34,1
2018,38,25700,57,1
2018,39,01000,49,1
2018,39,15000,30,1
2018,39,16000,48,1
2018,39,18000,53,1
2018,39,21000,44,1
2018,39,61000,58,1
2018,39,77000,63,1
2018,40,09050,27,1
2018,40,23200,49,1
2018,40,41850,58,1
2018,40,52500,48,1
2018,40,55000,39,1
2018,40,75000,22,1
2018,41,05350,17,1
2018,41,05800,55,1
2018,41,23850,14,1
2018,41,31250,10,1
2018,41,34100,24,1
2018,41,47000,10,1
2018,41,59000,12,1
2018,41,64900,18,1
2018,42,02000,36,1
2018,42,06088,30,1
2018,42,24000,66,1
2018,42,60000,12,1
2018,42,61000,32,1
2018,42,63624,22,1
2018,42,69000,77,1
2018,44,19180,65,1
2018,44,54640,49,1
2018,44,59000,50,1
2018,44,74300,74,1
2018,45,13330,29,1
2018,45,16000,21,1
2018,45,48535,45,1
2018,45,50875,9,1
2018,46,59020,69,1
2018,47,14000,17,1
2018,47,15160,32,1
2018,47,27740,32,1
2018,47,40000,18,1
2018,47,48000,16,1
2018,47,51560,28,1
2018,47,52006,24,1
2018,48,01000,88,1
2018,48,01924,53,1
2018,48,03000,91,1
2018,48,04000,37,1
2018,48,05000,61,1
2018,48,06128,7,1
2018,48,07000,8,1
2018,48,10768,85,1
2018,48,10912,58,1
2018,48,13024,40,1
2018,48,13552,78,1
2018,48,15976,62,1
2018,48,16432,30,1
2018,48,17000,58,1
2018,48,19000,41,1
2018,48,19972,48,1
2018,48,22660,78,1
2018,48,24000,36,1
2018,48,26232,34,1
2018,48,27000,49,1
2018,48,27684,49,1
2018,48,29000,43,1
2018,48,30464,35,1
2018,48,35000,26,1
2018,48,37000,36,1
2018,48,39148,62,1
2018,48,41464,46,1
2018,48,41980,15,1
2018,48,42508,36,1
2018,48,43888,9,1
2018,48,45000,85,1
2018,48,45384,75,1
2018,48,45744,57,1
2018,48,47892,45,1
2018,48,48072,75,1
2018,48,48768,83,1
2018,48,50820,77,1
2018,48,53388,84,1
2018,48,56000,3,1
2018,48,56348,26,1
2018,48,57200,85,1
2018,48,58016,41,1
2018,48,61796,36,1
2018,48,63500,68,1
2018,48,64472,76,1
2018,48,65000,65,1
2018,48,70808,51,1
2018,48,72176,63,1
2018,48,74144,41,1
2018,48,76000,55,1
2018,48,79000,59,1
2018,49,43660,61,1
2018,49,44320,47,1
2018,49,55980,71,1
2018,49,57300,50,1
2018,49,62470,50,1
2018,49,65330,80,1
2018,49,67000,36,1
2018,49,67440,48,1
2018,49,70850,32,1
2018,49,82950,14,1
2018,49,83470,11,1
2018,51,01000,24,1
2018,51,16000,55,1
2018,51,35000,52,1
2018,51,47672,40,1
2018,51,56000,49,1
2018,51,57000,45,1
2018,51,64000,53,1
2018,51,67000,14,1
2018,51,68000,43,1
2018,51,76432,57,1
2018,51,82000,53,1
2018,53,03180,9,1
2018,53,05210,12,1
2018,53,05280,52,1
2018,53,22640,17,1
2018,53,23515,8,1
2018,53,35275,50,1
2018,53,35415,11,1
2018,53,35940,13,1
2018,53,53545,50,1
2018,53,57745,10,1
2018,53,63000,11,1
2018,53,67000,17,1
2018,53,67167,27,1
2018,53,70000,15,1
2018,53,74060,17,1
2018,53,80010,48,1
2018,55,02375,60,1
2018,55,31000,74,1
2018,55,39225,76,1
2018,55,48000,73,1
2018,55,53000,58,1
2018,55,66000,75,1
2019,01,03076,7,1
2019,01,07000,5,1
2019,01,35896,6,1
2019,01,37000,16,1
2019,01,50000,17,1
2019,01,51000,7,1
2019,01,77256,3,1
2019,02,03000,23,1
2019,04,04720,15,1
2019,04,07940,64,1
2019,04,12000,20,1
2019,04,23620,97,1
2019,04,27400,25,1
2019,04,27820,23,1
2019,04,28380,27,1
2019,04,46000,27,1
2019,04,54050,35,1
2019,04,55000,24,1
2019,04,65000,37,1
2019,04,71510,49,1
2019,04,73000,18,1
2019,04,77000,56,1
2019,04,85540,39,1
2019,05,23290,39,1
2019,05,24550,21,1
2019,05,35710,39,1
2019,05,41000,18,1
2019,05,66080,34,1
2019,06,00562,60,1
2019,06,00884,2,1
2019,06,02000,9,1
2019,06,02252,58,1
2019,06,02364,72,1
2019,06,03526,29,1
2019,06,04982,2,1
2019,06,06000,49,1
2019,06,08786,5,1
2019,06,08954,15,1
2019,06,11194,53,1
2019,06,11530,0,1
2019,06,13014,13,1
2019,06,13210,16,1
2019,06,13214,17,1
2019,06,13392,34,1
2019,06,13588,3,1
2019,06,14218,22,1
2019,06,15044,2,1
2019,06,16000,52,1
2019,06,16350,33,1
2019,06,16532,36,1
2019,06,17918,92,1
2019,06,19766,4,1
2019,06,21712,20,1
2019,06,22020,19,1
2019,06,22230,5,1
2019,06,22804,41,1
2019,06,23182,54,1
2019,06,24638,21,1
2019,06,24680,18,1
2019,06,26000,57,1
2019,06,27000,18,1
2019,06,28000,8,1
2019,06,29000,8,1
2019,06,30000,17,1
2019,06,32548,2,1
2019,06,33000,52,1
2019,06,33182,64,1
2019,06,33434,57,1
2019,06,36000,38,1
2019,06,36448,59,1
2019,06,36546,3,1
2019,06,36770,28,1
2019,06,39496,36,1
2019,06,39892,2,1
2019,06,40130,74,1
2019,06,41992,71,1
2019,06,43000,2,1
2019,06,44000,11,1
2019,06,45484,41,1
2019,06,46842,45,1
2019,06,46898,23,1
2019,06,47766,66,1
2019,06,48256,36,1
2019,06,48354,37,1
2019,06,49270,31,1
2019,06,49670,77,1
2019,06,50076,41,1
2019,06,50258,55,1
2019,06,51182,46,1
2019,06,52526,4,1
2019,06,53000,53,1
2019,06,53322,51,1
2019,06,53896,11,1
2019,06,53980,10,1
2019,06,54652,46,1
2019,06,55156,73,1
2019,06,56000,9,1
2019,06,56700,39,1
2019,06,57456,53,1
2019,06,57792,59,1
2019,06,58072,14,1
2019,06,59444,5,1
2019,06,59451,23,1
2019,06,59920,6,1
2019,06,60102,71,1
2019,06,60466,13,1
2019,06,60620,20,1
2019,06,62000,18,1
2019,06,62938,6,1
2019,06,64000,5,1
2019,06,64224,71,1
2019,06,65000,19,1
2019,06,65042,64,1
2019,06,66000,40,1
2019,06,67000,60,1
2019,06,68000,45,1
2019,06,68084,51,1
2019,06,68196,52,1
2019,06,68252,65,1
2019,06,68378,72,1
2019,06,69000,14,1
2019,06,69070,73,1
2019,06,69084,34,1
2019,06,69088,46,1
2019,06,69196,87,1
2019,06,70000,19,1
2019,06,70098,50,1
2019,06,72016,56,1
2019,06,73080,5,1
2019,06,75000,33,1
2019,06,77000,63,1
2019,06,78120,53,1
2019,06,78582,58,1
2019,06,80000,4,1
2019,06,80238,64,1
2019,06,80854,11,1
2019,06,81344,16,1
2019,06,81554,58,1
2019,06,81666,51,1
2019,06,82590,62,1
2019,06,82954,23,1
2019,06,82996,41,1
2019,06,84200,9,1
2019,06,84550,12,1
2019,06,85292,9,1
2019,08,03455,43,1
2019,08,04000,51,1
2019,08,07850,78,1
2019,08,12815,56,1
2019,08,16000,81,1
2019,08,20000,23,1
2019,08,27425,58,1
2019,08,32155,13,1
2019,08,43000,39,1
2019,08,45970,59,1
2019,08,46465,55,1
2019,08,62000,67,1
2019,08,77290,31,1
2019,08,83835,39,1
2019,09,08000,55,1
2019,09,18430,95,1
2019,09,37000,54,1
2019,09,52000,61,1
2019,09,55990,53,1
2019,09,73000,24,1
2019,09,80000,73,1
2019,11,50000,13,1
2019,12,07300,67,1
2019,12,07875,66,1
2019,12,10275,58,1
2019,12,12875,54,1
2019,12,14400,54,1
2019,12,16475,37,1
2019,12,16725,67,1
2019,12,17200,44,1
2019,12,17935,31,1
2019,12,24000,55,1
2019,12,24125,51,1
2019,12,25175,24,1
2019,12,30000,22,1
2019,12,32000,49,1
2019,12,32275,62,1
2019,12,35000,32,1
2019,12,36950,20,1
2019,12,38250,34,1
2019,12,39425,55,1
2019,12,43975,68,1
2019,12,45000,52,1
2019,12,45025,78,1
2019,12,45060,26,1
2019,12,45975,31,1
2019,12,49675,61,1
2019,12,53000,21,1
2019,12,54000,78,1
2019,12,54200,60,1
2019,12,55775,34,1
