year,state,place,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality
2014,05,35710,20854.087013759996,19249.926474239994,24329.768182719996,2,53472.01798399999,47857.45609567999,57482.4193328,2,102933.6346192,96249.6323712,112291.2377664,2
2014,05,41000,25399.2085424,22725.607643199997,28072.8094416,1,56212.45890567999,52135.2175344,63631.701400959995,1,124081.817731872,117772.11960975996,131380.748186688,1
2014,05,66080,25800.248677279997,21388.8071936,30612.730295839992,3,61492.82068159999,57482.4193328,68176.82292959999,3,124589.80190272,113628.038216,139709.01498769596,3
2014,06,00562,40104.013488,35425.211914399995,48124.81618559999,2,99324.27340527998,87961.46958367998,108280.8364176,2,193836.065192,176190.29925727998,211481.83112671995,2
2014,06,00884,28072.8094416,23875.256029855995,34756.8116896,2,76197.6256272,66840.02248,84218.4283248,2,160416.053952,133680.04496,190494.064068,2
2014,06,02000,37831.45272367999,32083.210790399997,40104.013488,3,83416.34805503998,77534.4260768,89565.63012319998,3,163758.055076,156405.65260319997,173784.058448,3
2014,06,02252,28340.16953151999,23394.007868,41574.49398255999,1,80742.74715584,66840.02248,93576.031472,1,167902.13646975998,151593.17098463996,185815.26249439997,1
2014,06,02364,26736.008991999995,22725.607643199997,30479.050250879995,2,65770.58212031999,58819.21978239999,69513.6233792,2,122985.64136319996,109510.69283123198,133680.04496,2
2014,06,03526,28340.16953151999,25399.2085424,31548.49061055999,2,69513.6233792,65503.22203039999,74727.14513264,2,138358.8465336,130209.71099283836,149721.6503552,2
2014,06,04982,29409.60989119999,25399.2085424,35425.211914399995,2,59621.30005215999,54942.49847855999,66840.02248,2,107211.39605791998,98923.2332704,118975.2400144,2
2014,06,06000,27805.449351679996,20854.087013759996,35826.252049279996,1,98923.2332704,86892.029224,111957.037654,1,202124.22797951996,195039.18559664,220572.07418399997,1
2014,06,08786,38767.2130384,33687.371329919995,45451.215286399995,3,93576.031472,85020.50859455999,101463.15412464,3,177126.05957199997,168169.49655967997,195707.58582144,3
