year,state,county,subgroup_type,subgroup,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality
2014,01,039,all,All,17745.266264,16568.422749999998,19314.937653,3,44572.384999999995,42353.85,47100.376256,3,87629.02878400001,84653.326186,91211.633986,3
2014,01,041,all,All,17745.266264,16568.422749999998,19314.937653,3,44572.384999999995,42353.85,47100.376256,3,87629.02878400001,84653.326186,91211.633986,3
2014,01,043,all,All,14595.470736,13448.885791,15663.51508,1,36175.51267,34338.006351000004,37557.671745,1,72325.37411,69320.556723,75579.860992,1
2014,01,045,all,All,15369.152446,14896.713216000002,16189.297332,3,40942.05499999999,39616.277712,42353.85,3,81969.148895,79665.575,85487.75716800001,3
2014,01,047,all,All,12815.969656,11803.403304,13916.265,3,34790.6625,32526.644986000003,36886.36889,3,75833.56,71637.02828,81124.978264,3
2014,01,049,all,All,16096.290496,14701.305806,18027.886085,2,38630.893543000006,36914.30524,40309.99812,2,71308.542856,67388.961134,74578.732591,2
2014,01,051,all,All,16978.4644,15883.177112,18402.237112000003,2,44099.576378000005,42008.748006,46794.058560000005,2,88636.512613,85438.45420800001,91776.75925,2
2014,01,053,all,All,13949.8469,12876.625102,15220.788869000002,3,36476.296447,34403.609592,38573.744088,3,76894.810312,73389.286416,80637.169117,3
2014,01,055,all,All,16784.589305,15369.152446,18454.1775,1,39512.226391,36270.756451,43136.195337000005,1,77870.439563,74437.102795,82690.84999999999,1
2014,01,057,all,All,16134.8,15061.850001,17212.967116,3,40369.465783,37739.313106,42390.74168000001,3,82626.87783900001,78866.73048000001,86724.54999999999,3
2014,01,059,all,All,16393.829779,15559.679597,17514.968966,3,40336.99999999999,38556.73236,42847.929905000005,3,80673.99999999999,77648.72499999999,84343.16692,3
2014,01,061,all,All,15369.152446,14896.713216000002,16189.297332,3,40942.05499999999,39616.277712,42353.85,3,81969.148895,79665.575,85487.75716800001,3
2014,01,063,all,All,12815.969656,11803.403304,13916.265,3,34790.6625,32526.644986000003,36886.36889,3,75833.56,71637.02828,81124.978264,3
2014,01,065,all,All,12815.969656,11803.403304,13916.265,3,34790.6625,32526.644986000003,36886.36889,3,75833.56,71637.02828,81124.978264,3
2014,01,067,all,All,15369.152446,14896.713216000002,16189.297332,3,40942.05499999999,39616.277712,42353.85,3,81969.148895,79665.575,85487.75716800001,3
2014,01,069,all,All,15369.152446,14896.713216000002,16189.297332,2,40942.05499999999,39616.277712,42353.85,2,81969.148895,79665.575,85487.75716800001,2
2014,01,071,all,All,16096.290496,14701.305806,18027.886085,2,38630.893543000006,36914.30524,40309.99812,2,71308.542856,67388.961134,74578.732591,2
2014,01,073,all,All,17725.809557,17042.3825,18555.019999999997,1,44932.997153,43057.042754,46387.55,1,98670.281119,95493.479122,100842.5,1
2014,01,075,all,All,16134.8,15061.850001,17212.967116,3,40369.465783,37739.313106,42390.74168000001,3,82626.87783900001,78866.73048000001,86724.54999999999,3
2014,01,077,all,All,16393.829779,15559.679597,17514.968966,2,40336.99999999999,38556.73236,42847.929905000005,2,80673.99999999999,77648.72499999999,84343.16692,2
2014,01,079,all,All,19314.937653,17647.4375,20702.642704,3,43781.136289,41849.540700000005,46142.427892,3,89657.89166400001,85309.93233400001,93828.02616,3
