year,state,place,subgroup_type,subgroup,poverty_exposure,poverty_exposure_quality
2020,04,71510,race-ethnicity,"White, Non-Hispanic",0,1
2020,04,73000,all,All,0.05725891022837336,1
2020,04,73000,race-ethnicity,Black,0.038303878714598436,2
2020,04,73000,race-ethnicity,Hispanic,0.03525866691842535,1
2020,04,73000,race-ethnicity,Other Races and Ethnicities,0.06904432094073971,1
2020,04,73000,race-ethnicity,"White, Non-Hispanic",0.05241606520858891,1
2020,04,77000,all,All,0.08051017473170434,1
2020,04,77000,race-ethnicity,Black,0.060508531080752416,1
2020,04,77000,race-ethnicity,Hispanic,0.031132013638500235,1
2020,04,77000,race-ethnicity,Other Races and Ethnicities,0.04743357097589838,1
2020,04,77000,race-ethnicity,"White, Non-Hispanic",0.15095588542526805,1
2020,04,85540,all,All,0.11709017691495421,1
2020,04,85540,race-ethnicity,Black,0.3088974451535085,3
2020,04,85540,race-ethnicity,Hispanic,0.12306763998267531,1
2020,04,85540,race-ethnicity,Other Races and Ethnicities,0.16361904309746036,2
2020,04,85540,race-ethnicity,"White, Non-Hispanic",0.08654591924820788,1
2020,05,23290,all,All,0.21138409196569077,1
2020,05,23290,race-ethnicity,Black,0.1792238189479518,2
2020,05,23290,race-ethnicity,Hispanic,0.0751232602779501,2
2020,05,23290,race-ethnicity,Other Races and Ethnicities,0.16714469340740956,2
2020,05,23290,race-ethnicity,"White, Non-Hispanic",0.23487299045867516,1
2020,05,24550,all,All,0,1
2020,05,24550,race-ethnicity,Black,0,2
2020,05,24550,race-ethnicity,Hispanic,0,2
2020,05,24550,race-ethnicity,Other Races and Ethnicities,0,1
2020,05,24550,race-ethnicity,"White, Non-Hispanic",0,1
2020,05,35710,all,All,0.21258457257341565,1
2020,05,35710,race-ethnicity,Black,0.22430115825911434,2
2020,05,35710,race-ethnicity,Hispanic,0.469709659751169,2
2020,05,35710,race-ethnicity,Other Races and Ethnicities,0.3809814958093186,2
2020,05,35710,race-ethnicity,"White, Non-Hispanic",0.15377791362616453,1
2020,05,41000,all,All,0.09242745898663707,1
2020,05,41000,race-ethnicity,Black,0.11750084468181,1
2020,05,41000,race-ethnicity,Hispanic,0.08268245006522326,2
2020,05,41000,race-ethnicity,Other Races and Ethnicities,0.05280673386878406,2
2020,05,41000,race-ethnicity,"White, Non-Hispanic",0.04257843380060833,1
2020,05,66080,all,All,0.11540553525391804,1
2020,05,66080,race-ethnicity,Black,0,3
2020,05,66080,race-ethnicity,Hispanic,0.19184142979906582,2
2020,05,66080,race-ethnicity,Other Races and Ethnicities,0.14885807251124814,2
2020,05,66080,race-ethnicity,"White, Non-Hispanic",0.029528387862366348,2
2020,06,00562,all,All,0,1
2020,06,00562,race-ethnicity,Black,0,2
2020,06,00562,race-ethnicity,Hispanic,0,2
2020,06,00562,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,00562,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,00884,all,All,0,1
2020,06,00884,race-ethnicity,Black,0,3
2020,06,00884,race-ethnicity,Hispanic,0,2
2020,06,00884,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,00884,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,02000,all,All,0,1
2020,06,02000,race-ethnicity,Black,0,2
2020,06,02000,race-ethnicity,Hispanic,0,1
2020,06,02000,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,02000,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,02252,all,All,0,1
2020,06,02252,race-ethnicity,Black,0,2
2020,06,02252,race-ethnicity,Hispanic,0,2
2020,06,02252,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,02252,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,02364,all,All,0.18628457914421767,1
2020,06,02364,race-ethnicity,Black,0.4141681840312557,3
2020,06,02364,race-ethnicity,Hispanic,0.15576280512065271,2
2020,06,02364,race-ethnicity,Other Races and Ethnicities,0.18859009260043283,2
2020,06,02364,race-ethnicity,"White, Non-Hispanic",0.034592014332376256,2
2020,06,03526,all,All,0.2598131211034019,1
2020,06,03526,race-ethnicity,Black,0.31828828120869157,1
2020,06,03526,race-ethnicity,Hispanic,0.29587699308180704,1
2020,06,03526,race-ethnicity,Other Races and Ethnicities,0.28378953208614244,1
2020,06,03526,race-ethnicity,"White, Non-Hispanic",0.16072374884306193,1
2020,06,04982,all,All,0,1
2020,06,04982,race-ethnicity,Black,0,2
2020,06,04982,race-ethnicity,Hispanic,0,2
2020,06,04982,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,04982,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,06000,all,All,0.4599189851828163,1
2020,06,06000,race-ethnicity,Black,0.15776550030693678,2
2020,06,06000,race-ethnicity,Hispanic,0.3784286378428638,2
2020,06,06000,race-ethnicity,Other Races and Ethnicities,0.5529239153217355,1
2020,06,06000,race-ethnicity,"White, Non-Hispanic",0.39968674355688455,1
2020,06,08786,all,All,0,1
2020,06,08786,race-ethnicity,Black,0,3
2020,06,08786,race-ethnicity,Hispanic,0,2
2020,06,08786,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,08786,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,08954,all,All,0,1
2020,06,08954,race-ethnicity,Black,0,3
2020,06,08954,race-ethnicity,Hispanic,0,2
2020,06,08954,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,08954,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,11194,all,All,0,2
2020,06,11194,race-ethnicity,Black,0,3
2020,06,11194,race-ethnicity,Hispanic,0,3
2020,06,11194,race-ethnicity,Other Races and Ethnicities,0,3
2020,06,11194,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,11530,all,All,0,1
2020,06,11530,race-ethnicity,Black,0,3
2020,06,11530,race-ethnicity,Hispanic,0,2
2020,06,11530,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,11530,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,13014,all,All,0.41956004516871875,1
2020,06,13014,race-ethnicity,Black,0.6194834730426211,3
2020,06,13014,race-ethnicity,Hispanic,0.44032287200988546,1
2020,06,13014,race-ethnicity,Other Races and Ethnicities,0.3788818419188322,1
2020,06,13014,race-ethnicity,"White, Non-Hispanic",0.4153029283338018,1
2020,06,13210,all,All,4.440734161710845e-4,1
2020,06,13210,race-ethnicity,Black,0.00296149230781988,3
2020,06,13210,race-ethnicity,Hispanic,0.00032218570784200013,2
2020,06,13210,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,13210,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,13214,all,All,0,2
2020,06,13214,race-ethnicity,Black,0,3
2020,06,13214,race-ethnicity,Hispanic,0,3
2020,06,13214,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,13214,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,13392,all,All,0,1
2020,06,13392,race-ethnicity,Black,0,3
2020,06,13392,race-ethnicity,Hispanic,0,1
2020,06,13392,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,13392,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,13588,all,All,0,1
2020,06,13588,race-ethnicity,Black,0,3
2020,06,13588,race-ethnicity,Hispanic,0,2
2020,06,13588,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,13588,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,14218,all,All,0,1
2020,06,14218,race-ethnicity,Black,0,3
2020,06,14218,race-ethnicity,Hispanic,0,2
2020,06,14218,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,14218,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,15044,all,All,0,1
2020,06,15044,race-ethnicity,Black,0,1
2020,06,15044,race-ethnicity,Hispanic,0,1
2020,06,15044,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,15044,race-ethnicity,"White, Non-Hispanic",0,3
2020,06,16000,all,All,0,1
2020,06,16000,race-ethnicity,Black,0,3
2020,06,16000,race-ethnicity,Hispanic,0,2
2020,06,16000,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,16000,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,16350,all,All,0,1
2020,06,16350,race-ethnicity,Black,0,3
2020,06,16350,race-ethnicity,Hispanic,0,1
2020,06,16350,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,16350,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,16532,all,All,0,1
2020,06,16532,race-ethnicity,Black,0,3
2020,06,16532,race-ethnicity,Hispanic,0,1
2020,06,16532,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,16532,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,17918,all,All,0,1
2020,06,17918,race-ethnicity,Black,0,3
2020,06,17918,race-ethnicity,Hispanic,0,2
2020,06,17918,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,17918,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,19766,all,All,0,1
2020,06,19766,race-ethnicity,Black,0,3
2020,06,19766,race-ethnicity,Hispanic,0,1
2020,06,19766,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,19766,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,21712,all,All,0.1311514174336026,1
2020,06,21712,race-ethnicity,Black,0.1851107389888792,3
2020,06,21712,race-ethnicity,Hispanic,0.09558500643676514,2
2020,06,21712,race-ethnicity,Other Races and Ethnicities,0.06737119366304425,2
2020,06,21712,race-ethnicity,"White, Non-Hispanic",0.16305003945048577,1
2020,06,22020,all,All,0,1
2020,06,22020,race-ethnicity,Black,0,2
2020,06,22020,race-ethnicity,Hispanic,0,2
2020,06,22020,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,22020,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,22230,all,All,0,1
2020,06,22230,race-ethnicity,Black,0,3
2020,06,22230,race-ethnicity,Hispanic,0,1
2020,06,22230,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,22230,race-ethnicity,"White, Non-Hispanic",0,3
2020,06,22804,all,All,0,1
2020,06,22804,race-ethnicity,Black,0,2
2020,06,22804,race-ethnicity,Hispanic,0,1
2020,06,22804,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,22804,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,23182,all,All,0,1
2020,06,23182,race-ethnicity,Black,0,2
2020,06,23182,race-ethnicity,Hispanic,0,2
2020,06,23182,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,23182,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,24638,all,All,0,1
2020,06,24638,race-ethnicity,Black,NA,NA
2020,06,24638,race-ethnicity,Hispanic,0,3
2020,06,24638,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,24638,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,24680,all,All,0,1
2020,06,24680,race-ethnicity,Black,0,2
2020,06,24680,race-ethnicity,Hispanic,0,1
2020,06,24680,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,24680,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,26000,all,All,0,1
2020,06,26000,race-ethnicity,Black,0,3
2020,06,26000,race-ethnicity,Hispanic,0,3
2020,06,26000,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,26000,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,27000,all,All,0.27438888481459583,1
2020,06,27000,race-ethnicity,Black,0.33097863369375935,1
2020,06,27000,race-ethnicity,Hispanic,0.29113013286633177,1
2020,06,27000,race-ethnicity,Other Races and Ethnicities,0.262356429693799,1
2020,06,27000,race-ethnicity,"White, Non-Hispanic",0.1987877830857332,1
2020,06,28000,all,All,0,1
2020,06,28000,race-ethnicity,Black,0,3
2020,06,28000,race-ethnicity,Hispanic,0,2
2020,06,28000,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,28000,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,29000,all,All,0,1
2020,06,29000,race-ethnicity,Black,0,3
2020,06,29000,race-ethnicity,Hispanic,0,1
2020,06,29000,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,29000,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,30000,all,All,0,1
2020,06,30000,race-ethnicity,Black,0,3
2020,06,30000,race-ethnicity,Hispanic,0,2
2020,06,30000,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,30000,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,32548,all,All,0.048517587460379756,1
2020,06,32548,race-ethnicity,Black,0.03545847541824034,2
2020,06,32548,race-ethnicity,Hispanic,0.06184736217552384,1
2020,06,32548,race-ethnicity,Other Races and Ethnicities,0.06340637742634869,1
2020,06,32548,race-ethnicity,"White, Non-Hispanic",0.010760873892960153,2
2020,06,33000,all,All,0,1
2020,06,33000,race-ethnicity,Black,0,2
2020,06,33000,race-ethnicity,Hispanic,0,1
2020,06,33000,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,33000,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,33182,all,All,0,1
2020,06,33182,race-ethnicity,Black,0,2
2020,06,33182,race-ethnicity,Hispanic,0,1
2020,06,33182,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,33182,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,33434,all,All,0.05032559736592886,1
2020,06,33434,race-ethnicity,Black,0.13557530279291288,3
2020,06,33434,race-ethnicity,Hispanic,0.028657349529842602,1
2020,06,33434,race-ethnicity,Other Races and Ethnicities,0.058065498379368856,2
2020,06,33434,race-ethnicity,"White, Non-Hispanic",0.05543498365137273,2
2020,06,36000,all,All,0,1
2020,06,36000,race-ethnicity,Black,0,3
2020,06,36000,race-ethnicity,Hispanic,0,2
2020,06,36000,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,36000,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,36448,all,All,0,2
2020,06,36448,race-ethnicity,Black,0,3
2020,06,36448,race-ethnicity,Hispanic,0,2
2020,06,36448,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,36448,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,36546,all,All,0,1
2020,06,36546,race-ethnicity,Black,0,1
2020,06,36546,race-ethnicity,Hispanic,0,1
2020,06,36546,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,36546,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,36770,all,All,0.090672755990165,1
2020,06,36770,race-ethnicity,Black,0.06781931126962804,3
2020,06,36770,race-ethnicity,Hispanic,0.10374085813781264,1
2020,06,36770,race-ethnicity,Other Races and Ethnicities,0.10270019290949244,1
2020,06,36770,race-ethnicity,"White, Non-Hispanic",0.0704701202476759,1
2020,06,37692,all,All,0,1
2020,06,37692,race-ethnicity,Black,0,3
2020,06,37692,race-ethnicity,Hispanic,0,1
2020,06,37692,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,37692,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,39496,all,All,0,1
2020,06,39496,race-ethnicity,Black,0,3
2020,06,39496,race-ethnicity,Hispanic,0,2
2020,06,39496,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,39496,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,39892,all,All,0,1
2020,06,39892,race-ethnicity,Black,0,3
2020,06,39892,race-ethnicity,Hispanic,0,2
2020,06,39892,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,39892,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,40130,all,All,0.05988465612076331,1
2020,06,40130,race-ethnicity,Black,0.01774756990505741,1
2020,06,40130,race-ethnicity,Hispanic,0.1106457217824963,1
2020,06,40130,race-ethnicity,Other Races and Ethnicities,0.0153074740173524,1
2020,06,40130,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,41992,all,All,0,1
2020,06,41992,race-ethnicity,Black,0,3
2020,06,41992,race-ethnicity,Hispanic,0,3
2020,06,41992,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,41992,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,43000,all,All,9.165072770036239e-4,1
2020,06,43000,race-ethnicity,Black,0,1
2020,06,43000,race-ethnicity,Hispanic,0.0014417648723654218,1
2020,06,43000,race-ethnicity,Other Races and Ethnicities,0.0020775667538179285,1
2020,06,43000,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,44000,all,All,0.07672192535232289,1
2020,06,44000,race-ethnicity,Black,0.12331817177906719,1
2020,06,44000,race-ethnicity,Hispanic,0.0673154643019654,1
2020,06,44000,race-ethnicity,Other Races and Ethnicities,0.07040073931318004,1
2020,06,44000,race-ethnicity,"White, Non-Hispanic",0.061679068099633846,1
2020,06,45484,all,All,0,1
2020,06,45484,race-ethnicity,Black,0,3
2020,06,45484,race-ethnicity,Hispanic,0,2
2020,06,45484,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,45484,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,46842,all,All,0,1
2020,06,46842,race-ethnicity,Black,0,3
2020,06,46842,race-ethnicity,Hispanic,0,2
2020,06,46842,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,46842,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,46898,all,All,0.24566779616813958,1
2020,06,46898,race-ethnicity,Black,0.24530543267130273,2
2020,06,46898,race-ethnicity,Hispanic,0.2600095863871096,1
2020,06,46898,race-ethnicity,Other Races and Ethnicities,0.2685896190223869,1
2020,06,46898,race-ethnicity,"White, Non-Hispanic",0.1293419751355109,2
2020,06,47766,all,All,0,1
2020,06,47766,race-ethnicity,Black,0,3
2020,06,47766,race-ethnicity,Hispanic,0,2
2020,06,47766,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,47766,race-ethnicity,"White, Non-Hispanic",0,3
2020,06,48256,all,All,0,1
2020,06,48256,race-ethnicity,Black,0,3
2020,06,48256,race-ethnicity,Hispanic,0,3
2020,06,48256,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,48256,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,48354,all,All,0.08430248253021705,1
2020,06,48354,race-ethnicity,Black,0.11161733217500444,2
2020,06,48354,race-ethnicity,Hispanic,0.10817097829570559,1
2020,06,48354,race-ethnicity,Other Races and Ethnicities,0.11297792191850052,1
2020,06,48354,race-ethnicity,"White, Non-Hispanic",0.048196165758901115,1
2020,06,49270,all,All,0,1
2020,06,49270,race-ethnicity,Black,0,1
2020,06,49270,race-ethnicity,Hispanic,0,1
2020,06,49270,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,49270,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,49670,all,All,0,1
2020,06,49670,race-ethnicity,Black,0,3
2020,06,49670,race-ethnicity,Hispanic,0,3
2020,06,49670,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,49670,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,50076,all,All,0,1
2020,06,50076,race-ethnicity,Black,0,3
2020,06,50076,race-ethnicity,Hispanic,0,2
2020,06,50076,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,50076,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,50258,all,All,0.006163433549056238,1
2020,06,50258,race-ethnicity,Black,0.05633765682804972,3
2020,06,50258,race-ethnicity,Hispanic,0.0025372818634152067,2
2020,06,50258,race-ethnicity,Other Races and Ethnicities,0.004675006573865427,2
2020,06,50258,race-ethnicity,"White, Non-Hispanic",0.005304656436846828,1
2020,06,51182,all,All,0,1
2020,06,51182,race-ethnicity,Black,0,3
2020,06,51182,race-ethnicity,Hispanic,0,3
2020,06,51182,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,51182,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,52526,all,All,0,1
2020,06,52526,race-ethnicity,Black,0,3
2020,06,52526,race-ethnicity,Hispanic,0,1
2020,06,52526,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,52526,race-ethnicity,"White, Non-Hispanic",0,3
2020,06,53000,all,All,0.010287400931218266,1
2020,06,53000,race-ethnicity,Black,0.01620294599018003,1
2020,06,53000,race-ethnicity,Hispanic,0.0031021368360535304,1
2020,06,53000,race-ethnicity,Other Races and Ethnicities,0.00855865177570372,1
2020,06,53000,race-ethnicity,"White, Non-Hispanic",0.006225458292300069,1
2020,06,53322,all,All,0,1
2020,06,53322,race-ethnicity,Black,0,3
2020,06,53322,race-ethnicity,Hispanic,0,1
2020,06,53322,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,53322,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,53896,all,All,0,1
2020,06,53896,race-ethnicity,Black,0,3
2020,06,53896,race-ethnicity,Hispanic,0,1
2020,06,53896,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,53896,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,53980,all,All,0,1
2020,06,53980,race-ethnicity,Black,0,3
2020,06,53980,race-ethnicity,Hispanic,0,1
2020,06,53980,race-ethnicity,Other Races and Ethnicities,0,2
2020,06,53980,race-ethnicity,"White, Non-Hispanic",0,1
2020,06,54652,all,All,0,1
2020,06,54652,race-ethnicity,Black,0,3
2020,06,54652,race-ethnicity,Hispanic,0,1
2020,06,54652,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,54652,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,55156,all,All,0,1
2020,06,55156,race-ethnicity,Black,0,2
2020,06,55156,race-ethnicity,Hispanic,0,1
2020,06,55156,race-ethnicity,Other Races and Ethnicities,0,1
2020,06,55156,race-ethnicity,"White, Non-Hispanic",0,2
2020,06,56000,all,All,0.08384036967537978,1
2020,06,56000,race-ethnicity,Black,0.16322062620958708,2
2020,06,56000,race-ethnicity,Hispanic,0.11917661681179678,1
2020,06,56000,race-ethnicity,Other Races and Ethnicities,0.0942656001228146,1
2020,06,56000,race-ethnicity,"White, Non-Hispanic",0.04489906571304217,1
2020,06,56700,all,All,0,1
