year,place,social_connection,social_connection_quality,state
2020,60620,1.1,2,06
2020,62000,0.7,2,06
2020,62938,2.2,2,06
2020,64000,0.6,1,06
2020,64224,0.9,2,06
2020,65000,0.4,1,06
2020,65042,3.3,2,06
2020,66000,0.2,1,06
2020,67000,0.3,1,06
2020,68000,0.2,1,06
2020,68084,2.4,2,06
2020,68196,2.6,2,06
2020,68252,1.9,1,06
2020,68378,2.1,2,06
2020,69000,0.6,2,06
2020,69070,3.5,1,06
2020,69084,2,2,06
2020,69088,0.8,2,06
2020,69196,1.6,2,06
2020,70000,3.1,2,06
2020,70098,1.1,2,06
2020,72016,2.2,2,06
2020,73080,2.4,2,06
2020,75000,0.4,2,06
2020,77000,1.1,2,06
2020,78120,2.2,2,06
2020,78582,2,2,06
2020,80000,1.7,2,06
2020,80238,2.3,2,06
2020,80854,3.1,2,06
2020,81344,3.7,2,06
2020,81554,2.5,2,06
2020,81666,1.5,2,06
2020,82590,1,2,06
2020,82954,2.1,2,06
2020,82996,1.7,2,06
2020,84200,1.3,2,06
2020,84550,3.6,2,06
2020,85292,1.6,2,06
2020,03455,1.1,2,08
2020,04000,0.5,2,08
2020,07850,2.3,2,08
2020,12815,3.4,2,08
2020,16000,0.6,1,08
2020,20000,0.4,1,08
2020,27425,2.1,2,08
2020,32155,3.9,2,08
2020,43000,1.2,2,08
2020,45970,3.9,2,08
2020,46465,4.4,2,08
2020,62000,1.4,2,08
2020,77290,0.9,2,08
2020,83835,1.3,2,08
2020,08000,1,2,09
2020,18430,3.3,1,09
2020,37000,1.9,1,09
2020,52000,1.8,1,09
2020,55990,1.7,1,09
2020,73000,1.5,1,09
2020,80000,0.7,2,09
2020,50000,1.2,1,11
2020,07300,1.8,2,12
2020,07875,2,2,12
2020,10275,0.6,2,12
2020,12875,1.1,2,12
2020,14400,1.5,2,12
2020,16475,1.4,2,12
2020,16725,2.6,2,12
2020,17200,2,2,12
2020,17935,2.2,2,12
2020,24000,1,1,12
2020,24125,2.4,2,12
2020,25175,1.3,1,12
2020,30000,0.5,1,12
2020,32000,1.3,2,12
2020,32275,2,2,12
2020,35000,0.3,1,12
2020,36950,2.9,2,12
2020,38250,1.8,2,12
2020,39425,1.6,2,12
2020,43975,2.8,2,12
2020,45000,0.4,1,12
2020,45025,3.2,2,12
2020,45060,1.7,1,12
2020,45975,1.5,2,12
2020,49675,1.7,2,12
2020,53000,0.8,2,12
2020,54000,1.1,2,12
2020,54200,2.2,2,12
2020,55775,0.9,2,12
2020,57425,1.6,2,12
2020,58050,1.8,1,12
2020,58715,0.6,2,12
2020,63000,0.6,1,12
2020,69700,1.2,2,12
2020,70600,2.9,2,12
2020,71000,0.6,1,12
2020,76600,2,2,12
2020,03440,2,2,13
2020,04000,0.5,1,13
2020,04204,1.6,2,13
2020,19000,1.1,1,13
2020,42425,5.9,2,13
2020,49008,1.5,1,13
2020,67284,4.5,2,13
2020,68516,2.9,2,13
2020,69000,2,2,13
2020,72122,2.1,2,13
2020,80508,3,2,13
2020,71550,1,1,15
2020,08830,0.9,2,16
2020,52120,3.1,2,16
2020,56260,1.8,2,16
2020,02154,3.7,2,17
2020,03012,1.6,2,17
2020,06613,5.5,2,17
2020,12385,4.5,2,17
2020,14000,0.1,1,17
2020,14351,2,2,17
2020,23074,2.1,2,17
2020,24582,3.6,2,17
2020,38570,1.3,2,17
2020,51622,1.8,2,17
2020,59000,1.8,2,17
2020,65000,1.5,2,17
2020,68003,2.2,2,17
2020,72000,4.7,1,17
2020,79293,3.2,2,17
2020,05860,3.3,2,18
2020,10342,3.4,2,18
2020,22000,2.1,2,18
2020,23278,2.5,2,18
2020,25000,0.9,1,18
2020,31000,1.7,2,18
2020,36003,0.3,1,18
2020,71000,1.3,2,18
2020,12000,1.9,1,19
2020,19000,1.3,1,19
2020,21000,1.1,1,19
2020,73335,1.5,1,19
2020,36000,1.1,1,20
2020,38900,2.5,2,20
2020,52575,2.6,2,20
2020,53775,0.9,1,20
2020,71000,1.3,1,20
2020,79000,0.5,1,20
2020,46027,0.7,1,21
2020,48006,0.5,2,21
2020,05000,1.4,2,22
2020,40735,2,2,22
2020,41155,4.7,2,22
2020,55000,0.5,1,22
2020,70000,1,2,22
2020,04000,0.5,1,24
2020,30325,4.9,2,24
2020,07000,0.4,1,25
2020,09000,3,1,25
2020,11000,2.2,2,25
2020,23000,1.1,1,25
2020,34550,1.6,1,25
2020,37000,1.3,1,25
2020,37490,0.9,1,25
2020,45000,1.2,1,25
2020,45560,1.1,1,25
2020,55745,2.6,2,25
2020,62535,2,2,25
2020,67000,0.7,1,25
2020,82000,0.7,1,25
2020,03000,5.1,2,26
2020,21000,1.3,2,26
2020,22000,0.3,1,26
2020,27440,2.5,2,26
2020,29000,2,1,26
2020,34000,2.3,2,26
2020,46000,3,1,26
2020,49000,2.4,1,26
2020,69035,3,2,26
2020,74900,2.2,2,26
2020,76460,1,1,26
2020,80700,2,1,26
2020,84000,1,2,26
2020,86000,2.3,2,26
2020,88940,3.8,2,26
2020,06616,1.8,1,27
2020,07966,1.5,2,27
2020,17000,2,1,27
2020,43000,0.6,1,27
2020,51730,1.4,2,27
2020,54880,2.9,2,27
2020,58000,0.9,1,27
2020,71428,2.9,1,27
2020,36000,1.2,1,28
2020,15670,4,2,29
2020,35000,1.1,2,29
2020,38000,0.3,1,29
2020,41348,1.5,2,29
2020,54074,1.9,2,29
2020,65000,0.6,1,29
2020,70000,2.4,2,29
2020,06550,6.3,2,30
2020,28000,0.8,1,31
2020,37000,0.4,1,31
2020,31900,0.5,1,32
2020,40000,0.2,1,32
2020,51800,0.3,1,32
2020,60600,0.8,1,32
2020,68400,2,2,32
2020,45140,2,1,33
2020,50260,1.9,2,33
2020,13690,1.9,2,34
2020,21000,1.1,2,34
2020,36000,0.8,1,34
2020,51000,0.7,1,34
2020,57000,0.5,2,34
2020,74000,2.6,1,34
2020,02000,0.6,1,35
2020,39380,2.4,2,35
2020,63460,1.8,2,35
2020,70500,3.1,2,35
2020,01000,2.5,1,36
2020,11000,0.5,1,36
2020,50617,3.2,2,36
2020,51000,0,1,36
2020,63000,0.6,1,36
2020,73000,1,1,36
2020,84000,0.7,2,36
2020,02140,4.1,2,37
2020,10740,1.7,2,37
2020,12000,0.4,1,37
2020,14100,5.8,2,37
2020,19000,1.3,1,37
2020,22920,1.3,1,37
2020,25580,5.1,2,37
2020,28000,1,1,37
2020,28080,4.3,2,37
2020,31400,2.6,2,37
2020,55000,0.8,1,37
2020,74440,3,2,37
2020,75000,1.4,2,37
2020,25700,3.3,1,38
2020,01000,0.7,1,39
2020,15000,0.5,1,39
2020,16000,0.6,2,39
2020,18000,0.3,2,39
2020,21000,1.4,2,39
2020,61000,2.6,2,39
2020,77000,0.6,1,39
2020,09050,3,2,40
2020,23200,2.9,1,40
2020,41850,3,2,40
2020,52500,2,2,40
2020,55000,0.2,1,40
2020,75000,0.4,1,40
2020,05350,2.6,2,41
2020,05800,4.4,2,41
2020,23850,2.6,2,41
2020,31250,2.5,2,41
2020,34100,3.4,2,41
2020,47000,5.2,2,41
2020,59000,0.4,1,41
2020,64900,3.1,2,41
2020,02000,2.2,1,42
2020,06088,4.6,2,42
2020,24000,1.7,1,42
2020,60000,0.1,1,42
2020,61000,0.7,1,42
2020,63624,2,2,42
2020,69000,1.6,2,42
2020,19180,1.8,2,44
2020,54640,2.3,2,44
2020,59000,1.7,2,44
2020,74300,3.1,1,44
2020,13330,2.3,1,45
2020,16000,2.6,2,45
2020,48535,4.1,2,45
2020,50875,2,2,45
2020,59020,1.7,1,46
2020,14000,1.1,1,47
2020,15160,2.2,2,47
2020,27740,6,2,47
2020,40000,1.3,1,47
2020,48000,0.3,1,47
2020,51560,2.3,2,47
2020,52006,0.5,1,47
2020,01000,2.6,1,48
2020,01924,2.6,2,48
2020,03000,0.8,1,48
2020,04000,0.4,2,48
2020,05000,0.3,1,48
2020,06128,2.9,2,48
2020,07000,1.5,1,48
2020,10768,1.1,2,48
2020,10912,2.4,2,48
2020,13024,2.8,2,48
2020,13552,6.2,2,48
2020,15976,3.1,2,48
2020,16432,2,2,48
2020,17000,0.4,1,48
2020,19000,0.1,1,48
2020,19972,1.3,1,48
2020,22660,2.1,2,48
2020,24000,0.3,1,48
2020,26232,3.2,2,48
2020,27000,0.2,1,48
2020,27684,2.1,2,48
2020,29000,1,2,48
2020,30464,1.1,2,48
2020,35000,0.1,1,48
2020,37000,0.9,2,48
2020,39148,1.3,2,48
2020,41464,1.1,1,48
2020,41980,2.9,2,48
2020,42508,2.1,1,48
2020,43888,3.6,2,48
2020,45000,0.6,1,48
2020,45384,1.6,2,48
2020,45744,1.8,2,48
2020,47892,1.7,2,48
2020,48072,2.6,2,48
2020,48768,2.3,2,48
2020,50820,7.8,2,48
2020,53388,2.7,2,48
2020,56000,0.6,2,48
2020,56348,2.5,2,48
2020,57200,4.5,2,48
2020,58016,1.1,2,48
2020,61796,3.2,2,48
2020,63500,2.4,2,48
2020,64472,4.7,2,48
2020,65000,0.1,1,48
2020,70808,3.2,2,48
2020,72176,3.4,2,48
2020,74144,4.3,2,48
2020,76000,1.4,1,48
2020,79000,1.3,1,48
2020,43660,1,2,49
2020,44320,1.8,2,49
2020,55980,1.9,2,49
2020,57300,0.4,2,49
2020,62470,0.3,2,49
2020,65330,1.4,2,49
2020,67000,0.7,1,49
2020,67440,1.3,2,49
2020,70850,0.9,2,49
2020,82950,0.4,2,49
2020,83470,1,2,49
2020,01000,3.3,2,51
2020,16000,1.3,1,51
2020,35000,1.5,1,51
2020,47672,5.8,2,51
2020,56000,1.4,1,51
2020,57000,0.8,1,51
2020,64000,1.8,2,51
2020,67000,1.6,1,51
2020,68000,2.3,1,51
2020,76432,1.9,1,51
2020,82000,0.7,1,51
2020,03180,2.7,2,53
2020,05210,2.1,2,53
2020,05280,5.4,2,53
2020,22640,2.9,1,53
2020,23515,3.2,1,53
2020,35275,7,2,53
2020,35415,1.5,2,53
2020,35940,3.8,2,53
2020,53545,4.7,2,53
2020,57745,1.5,2,53
2020,63000,0.4,1,53
2020,67000,1.3,1,53
2020,67167,1.2,2,53
2020,70000,0.7,1,53
2020,74060,1,1,53
2020,80010,3.8,1,53
2020,02375,3.7,2,55
2020,31000,2,2,55
2020,39225,1.5,2,55
2020,48000,1.1,1,55
2020,53000,0.3,1,55
2020,66000,2.4,2,55
