year,state,county,share_affordable_80_ami,share_affordable_50_ami,housing_quality
2018,13,039,1.6677495933,1.3355891583,2
2018,13,043,1.6508627556,1.6249187999,2
2018,13,045,1.5762920253,1.6921672078,1
2018,13,047,1.7411306355,1.7195110885,2
2018,13,049,1.5612194003,1.8177865649,2
2018,13,051,1.4052291278,1.1093083367,1
2018,13,053,1.6661942541,1.1092355809,2
2018,13,055,1.8802084912,1.8001764267,2
2018,13,057,1.5567034378,1.3547906499,1
2018,13,059,1.4193867096,0.952707295,1
2018,13,061,1.5674587666,1.5384003022,2
2018,13,063,1.5276155072,1.1371597157,1
2018,13,065,1.6520228613,1.6886755285,2
2018,13,067,1.7828594934,1.4430388949,1
2018,13,069,1.6520228312,1.6886754909,2
2018,13,071,1.604855251,1.536964983,2
2018,13,073,2.0813046192,1.7737532808,1
2018,13,075,1.5666093935,1.4452013656,2
2018,13,077,1.7469895942,1.55325179,1
2018,13,079,1.6519691033,1.5905129094,2
2018,13,081,1.5674587451,1.5384002773,2
2018,13,083,1.7411305854,1.7195110595,2
2018,13,085,1.5213382613,1.637401473,2
2018,13,087,1.5660480854,1.5489882884,2
2018,13,089,1.4737115745,1.0036474435,1
2018,13,091,1.650862742,1.6249187578,2
2018,13,093,1.5674587271,1.5384002406,2
2018,13,095,1.5985944968,1.2125281127,1
2018,13,097,1.7581120944,1.149137931,1
2018,13,099,1.5660480895,1.5489882877,2
2018,13,101,1.6640548394,1.698272022,2
2018,13,103,1.5196967434,1.5299810411,2
2018,13,105,2.0777141482,1.9585883895,2
2018,13,107,1.6508627367,1.6249187684,2
2018,13,109,1.8298064421,1.9344798323,2
2018,13,111,1.6416494233,1.7135204778,2
2018,13,113,1.7740529668,1.6299091329,1
2018,13,115,1.6150534616,1.5857726481,2
2018,13,117,1.8288767396,1.8347810017,1
2018,13,119,1.9109118091,2.313693867,2
2018,13,121,1.513380091,1.0049475999,1
2018,13,123,1.6189783776,1.6316144302,2
2018,13,125,1.6530690659,1.8816647058,2
2018,13,127,1.6348134088,1.3304431349,2
2018,13,129,1.6416494704,1.7135205484,2
2018,13,131,1.566048087,1.5489882901,2
2018,13,133,1.9444653632,1.8484468404,2
2018,13,135,1.5406420004,1.0198759337,1
2018,13,137,1.8600652909,2.1235257294,2
2018,13,139,1.6104979997,1.5100654093,1
2018,13,141,1.7049300506,1.9326728576,2
2018,13,143,1.6721995976,1.6418846568,2
2018,13,145,1.5187338418,1.5297956236,2
2018,13,147,1.9134528817,2.3373688556,2
2018,13,149,1.4618587177,1.4303084903,2
2018,13,151,1.939216019,1.5876791893,1
2018,13,153,1.771528533,1.7498632732,1
2018,13,155,1.5666093969,1.4452013506,2
2018,13,157,2.0171744439,1.7072840906,2
2018,13,159,1.621298143,1.6751383094,2
2018,13,161,1.8298063748,1.9344797653,2
2018,13,163,1.7049300613,1.93267285,2
2018,13,165,1.7049300967,1.9326728655,2
2018,13,167,1.650862753,1.6249187532,2
2018,13,169,1.6519690824,1.5905129547,2
2018,13,171,1.6389015721,1.4268393275,2
2018,13,173,1.6640548527,1.6982720763,2
2018,13,175,1.6508627348,1.6249188126,2
2018,13,177,1.5985944682,1.2125281277,2
2018,13,179,1.54692853,1.294842548,2
2018,13,181,1.704930023,1.9326728269,2
2018,13,183,1.6533095651,1.43607696,2
2018,13,185,1.4220624599,0.917098758,1
2018,13,187,1.5926811301,1.623550396,2
2018,13,189,1.578412798,1.7389343814,2
2018,13,191,1.6348134196,1.3304432046,2
2018,13,193,1.56745873,1.5384002215,2
2018,13,195,1.9737822852,1.8949746168,2
2018,13,197,1.5187338201,1.5297956113,2
2018,13,199,1.4455950116,1.1869938782,2
2018,13,201,1.5660480633,1.5489882682,2
2018,13,205,1.5660480535,1.5489882491,2
2018,13,207,1.5842459033,1.6434477034,2
2018,13,209,1.8298064361,1.934479846,2
2018,13,211,1.7153137613,1.5912288969,2
2018,13,213,1.6416494585,1.7135205445,2
2018,13,215,1.6661942771,1.1092355996,1
2018,13,217,1.5265706229,1.0977144344,2
2018,13,219,1.9737822966,1.8949746463,2
2018,13,221,1.9737823454,1.8949747267,2
2018,13,223,1.8142325581,1.4839611778,1
2018,13,225,1.6324893737,1.5929318347,2
2018,13,227,1.4811665116,1.6875763323,2
2018,13,229,1.6249566853,1.6756884414,2
2018,13,231,1.5558741823,1.5516830699,2
2018,13,233,1.5781463779,1.530411351,2
2018,13,235,1.9701347435,1.6605370754,2
2018,13,237,1.6066396724,1.6361770533,2
2018,13,239,1.5674587004,1.5384002176,2
2018,13,241,1.5741540566,1.8866472103,2
2018,13,243,1.5674586936,1.5384002196,2
2018,13,245,1.5316311988,1.0737889214,1
2018,13,247,1.5265705842,1.0977144304,2
2018,13,249,1.5161653837,1.5164185769,2
2018,13,251,1.5360883587,1.3389507654,2
2018,13,253,1.5660480579,1.5489882859,2
2018,13,255,1.5558741669,1.5516830318,2
2018,13,257,1.8613045712,2.1162166187,2
2018,13,259,1.5674587294,1.5384002387,2
2018,13,261,1.5674587089,1.5384002218,2
2018,13,263,1.5674587536,1.5384002297,2
2018,13,265,1.7049300595,1.932672786,2
2018,13,267,1.8298064281,1.9344797661,2
