year,state,county,homeless_count,homeless_share,homeless_count_lb,homeless_count_ub,homeless_quality
2018,06,009,236,.044252764,235,237,1
2018,06,011,267,.055417184,266,268,1
2018,06,013,3181,.018394407,3180,3182,1
2018,06,015,210,.04922644,210,210,1
2018,06,017,808,.028478783,807,809,1
2018,06,019,4451,.021801956,4446,4456,1
2018,06,021,286,.05788302,286,286,1
2018,06,023,1327,.078164577,1322,1332,1
2018,06,025,1641,.044148508,1641,1641,1
2018,06,027,,,,,
2018,06,029,5448,.030133244,5442,5454,1
2018,06,031,855,.030126849,852,858,1
2018,06,033,780,.081521742,780,780,1
2018,06,035,112,.032304585,109,115,2
2018,06,037,67947,.047755431,67887,68005,1
2018,06,039,1235,.03981559,1235,1235,1
2018,06,041,1265,.041306123,1264,1266,1
2018,06,043,111,.058948487,110,112,1
2018,06,045,1035,.080413334,1031,1039,1
2018,06,047,1596,.027644502,1595,1597,1
2018,06,049,6,.0044609667,5,7,3
2018,06,051,74,.049039099,74,74,1
2018,06,053,9244,.12379804,9240,9248,1
2018,06,055,429,.021562124,429,429,1
2018,06,057,658,.043697704,656,660,1
2018,06,059,29803,.063112669,29801,29805,1
2018,06,061,1441,.021628842,1440,1442,1
2018,06,063,124,.056210335,124,124,1
2018,06,065,20009,.047272313,20002,20016,1
2018,06,067,10931,.045771834,10926,10936,1
2018,06,069,322,.028245615,321,323,1
2018,06,071,31807,.079848275,31804,31810,1
2018,06,073,21465,.044401281,21447,21483,1
2018,06,075,3501,.059930157,3501,3501,1
2018,06,077,5236,.036086205,5228,5244,1
2018,06,079,2963,.086374767,2963,2963,1
2018,06,081,2342,.025986996,2333,2351,1
2018,06,083,8414,.12593357,8412,8416,1
2018,06,085,4439,.017535197,4434,4444,1
2018,06,087,3783,.094513565,3782,3784,1
2018,06,089,1126,.043629881,1121,1131,1
2018,06,091,11,.027027028,11,11,1
2018,06,093,356,.062786594,354,358,1
2018,06,095,1552,.024376452,1552,1552,1
2018,06,097,792,.012244898,784,800,1
2018,06,099,1858,.017101098,1853,1863,1
2018,06,101,448,.020019662,446,450,1
2018,06,103,764,.071980402,763,765,1
2018,06,105,155,.10529891,155,155,1
2018,06,107,2653,.026805291,2652,2654,1
2018,06,109,327,.060916543,327,327,1
2018,06,111,6513,.044447325,6510,6516,1
2018,06,113,885,.030396704,884,886,1
2018,06,115,413,.028555624,412,414,1
2018,08,001,3758,.043971732,3758,3758,1
2018,08,003,115,.04351116,115,115,1
2018,08,005,2897,.024479071,2896,2898,1
2018,08,007,21,.012309496,21,21,1
2018,08,009,,,,,
2018,08,011,11,.0047639669,11,11,1
2018,08,013,939,.014716023,939,939,1
2018,08,014,,,,,
2018,08,015,43,.01826678,43,43,1
2018,08,017,3,.016483517,3,3,1
2018,08,019,34,.044736844,34,34,1
2018,08,021,12,.0077469335,10,14,3
2018,08,023,33,.064705886,33,33,1
2018,08,025,,,,,
2018,08,027,,,,,
2018,08,029,169,.033813525,169,169,1
2018,08,031,1988,.018022429,1988,1988,1
2018,08,033,4,.016806724,4,4,1
2018,08,035,683,.010104896,683,683,1
2018,08,037,57,.0082921153,57,57,1
2018,08,039,38,.012537116,38,38,1
2018,08,041,2076,.01685968,2075,2077,1
2018,08,043,122,.024096385,122,122,1
2018,08,045,269,.022694677,269,269,1
2018,08,047,,,,,
2018,08,049,71,.040203851,71,71,1
2018,08,051,12,.0057831327,12,12,1
2018,08,053,,,,,
2018,08,055,12,.01623816,12,12,1
2018,08,057,7,.038043477,7,7,1
2018,08,059,2753,.032523688,2753,2753,1
2018,08,061,,,,,
2018,08,063,17,.012849584,15,19,3
2018,08,065,7,.0064754859,7,7,1
2018,08,067,146,.019414894,146,146,1
2018,08,069,2157,.045151025,2157,2157,1
2018,08,071,15,.01335708,15,15,1
2018,08,073,35,.074626863,35,35,1
2018,08,075,35,.014164306,34,36,2
2018,08,077,619,.027259115,617,621,1
2018,08,079,,,,,
2018,08,081,8,.003467707,8,8,1
2018,08,083,87,.02178813,87,87,1
2018,08,085,221,.035911601,221,221,1
2018,08,087,506,.088245556,506,506,1
2018,08,089,33,.012936103,32,34,2
2018,08,091,2,.0037037036,0,4,3
2018,08,093,13,.0080745341,13,13,1
2018,08,095,6,.0064239828,5,7,3
2018,08,097,,,,,
2018,08,099,67,.042138364,67,67,1
2018,08,101,588,.022231465,588,588,1
2018,08,103,23,.018153118,23,23,1
2018,08,105,21,.010960334,21,21,1
2018,08,107,7,.0022515277,7,7,1
2018,08,109,206,.2062062,206,206,1
2018,08,111,8,.11594203,8,8,1
2018,08,113,,,,,
2018,08,115,15,.021929825,15,15,1
2018,08,117,18,.0050321501,18,18,1
2018,08,119,79,.028706396,79,79,1
2018,08,121,25,.041254126,25,25,1
2018,08,123,1055,.023625044,1054,1056,1
2018,08,125,69,.038333334,68,70,1
2018,09,001,587,.005139295,578,596,1
2018,09,003,1145,.0091908816,1142,1148,1
2018,09,005,120,.0066075656,114,126,3
2018,09,007,138,.0057600802,134,142,2
2018,09,009,1826,.015319306,1819,1833,1
2018,09,011,723,.019935479,722,724,1
2018,09,013,86,.0053686248,83,89,2
2018,09,015,221,.0151817,218,224,1
2018,10,001,1003,.037032936,1000,1006,1
2018,10,003,1629,.021571016,1625,1633,1
2018,10,005,911,.028851027,910,912,1
2018,11,001,7145,.080217808,7142,7148,1
2018,12,001,1028,.033160221,1027,1028,1
2018,12,003,55,.010869565,55,55,1
2018,12,005,5725,.20352662,5725,5725,1
2018,12,007,161,.050917141,161,161,1
2018,12,009,2264,.030704966,2264,2264,1
2018,12,011,5566,.020422466,5566,5566,1
2018,12,013,202,.092660554,202,202,1
2018,12,015,362,.022613693,362,362,1
2018,12,017,618,.039948288,618,618,1
2018,12,019,992,.025911609,992,992,1
2018,12,021,1024,.021586981,1024,1024,1
2018,12,023,507,.049955662,507,507,1
2018,12,027,154,.031275384,154,154,1
2018,12,029,53,.02378815,53,53,1
2018,12,031,3771,.028956683,3771,3771,1
2018,12,033,1942,.048582792,1942,1942,1
2018,12,035,556,.042835131,556,556,1
2018,12,037,289,.21977186,289,289,1
2018,12,039,252,.048119154,252,252,1
2018,12,041,13,.0047238371,13,13,1
2018,12,043,45,.025626423,45,45,1
2018,12,045,108,.055214725,108,108,1
2018,12,047,347,.21552795,347,347,1
2018,12,049,183,.036023621,183,183,1
2018,12,051,346,.047619049,346,346,1
2018,12,053,582,.025518481,582,582,1
2018,12,055,465,.037703723,465,465,1
2018,12,057,4241,.019255217,4241,4241,1
2018,12,059,56,.017094018,56,56,1
2018,12,061,441,.024692049,441,441,1
2018,12,063,2857,.44150826,2857,2857,1
2018,12,065,34,.044213265,34,34,1
2018,12,067,204,.16612378,204,204,1
2018,12,069,2019,.045947976,2019,2019,1
2018,12,071,1272,.013473149,1272,1272,1
2018,12,073,1373,.037063032,1372,1373,1
2018,12,075,262,.047567174,262,262,1
2018,12,077,34,.025796661,34,34,1
2018,12,079,227,.086740546,227,227,1
2018,12,081,1418,.028762095,1418,1418,1
2018,12,083,2181,.050823759,2181,2181,1
2018,12,085,621,.033344071,621,621,1
2018,12,086,9917,.028299194,9917,9917,1
2018,12,087,352,.041035205,352,352,1
2018,12,089,548,.045221984,548,548,1
2018,12,091,1142,.035849944,1142,1142,1
2018,12,093,432,.066656381,432,432,1
2018,12,095,6181,.028838707,6181,6181,1
2018,12,097,3493,.050952535,3493,3493,1
2018,12,099,4532,.023036649,4532,4532,1
2018,12,101,1908,.025423728,1908,1908,1
2018,12,103,4367,.043259896,4367,4367,1
2018,12,105,3692,.034946237,3692,3692,1
2018,12,107,537,.048862603,537,537,1
2018,12,109,751,.017703496,751,751,1
2018,12,111,1509,.036441352,1509,1509,1
2018,12,113,1141,.040070236,1141,1141,1
2018,12,115,826,.019159842,826,826,1
2018,12,117,1591,.023304867,1591,1591,1
2018,12,119,127,.014373019,127,127,1
2018,12,121,318,.053364657,318,318,1
2018,12,123,103,.037023723,103,103,1
2018,12,125,61,.025990626,61,61,1
2018,12,127,2746,.043433562,2746,2746,1
2018,12,129,94,.018588096,94,94,1
2018,12,131,466,.047434855,466,466,1
2018,12,133,213,.061792862,213,213,1
2018,13,001,58,.016178522,58,58,1
2018,13,003,5,.0029533373,5,5,1
2018,13,005,74,.034563288,74,74,1
2018,13,007,6,.021352313,6,6,1
2018,13,009,364,.070858479,364,364,1
2018,13,011,129,.04690909,129,129,1
2018,13,013,335,.023831543,335,335,1
2018,13,015,519,.028878255,519,519,1
2018,13,017,28,.0089600002,28,28,1
2018,13,019,49,.015501424,49,49,1
2018,13,021,746,.030570012,746,746,1
2018,13,023,4,.0015576323,4,4,1
2018,13,025,65,.018813314,65,65,1
2018,13,027,10,.0046125459,10,10,1
2018,13,029,90,.0093419142,90,90,1
2018,13,031,251,.02357693,251,251,1
2018,13,033,13,.0031265032,13,13,1
2018,13,035,440,.12640046,440,440,1
2018,13,037,1,.0016835016,0,2,3
2018,13,039,106,.011336898,106,106,1
2018,13,043,30,.0096030729,30,30,1
2018,13,045,1042,.051188838,1042,1042,1
2018,13,047,323,.03003813,323,323,1
2018,13,049,60,.03486345,60,60,1
2018,13,051,997,.026532894,997,997,1
2018,13,053,6,.0065359478,6,6,1
2018,13,055,309,.075127646,309,309,1
2018,13,057,244,.0056431843,244,244,1
2018,13,059,867,.06416519,867,867,1
2018,13,061,1,.004950495,0,2,3
2018,13,063,2301,.03432177,2301,2301,1
2018,13,065,37,.027366864,37,37,1
2018,13,067,1951,.016173959,1951,1951,1
2018,13,069,540,.069911964,540,540,1
2018,13,071,301,.031426184,301,301,1
2018,13,073,355,.012814497,355,355,1
2018,13,075,20,.0063816211,20,20,1
2018,13,077,189,.0081673218,189,189,1
2018,13,079,10,.0057770074,10,10,1
2018,13,081,23,.0058213109,23,23,1
2018,13,083,34,.015610652,34,34,1
2018,13,085,247,.06880223,247,247,1
2018,13,087,53,.010457775,53,53,1
2018,13,089,2240,.021318512,2240,2240,1
2018,13,091,42,.013623094,42,42,1
2018,13,093,76,.061638281,76,76,1
2018,13,095,428,.030283732,428,428,1
2018,13,097,682,.025682546,682,682,1
2018,13,099,96,.047642682,96,96,1
2018,13,101,,,,,
2018,13,103,151,.011857087,151,151,1
2018,13,105,55,.018050542,55,55,1
2018,13,107,78,.018207284,78,78,1
2018,13,109,49,.025830258,49,49,1
2018,13,111,260,.086927451,260,260,1
2018,13,113,105,.0051685944,105,105,1
2018,13,115,538,.033271492,538,538,1
2018,13,117,621,.012584607,621,621,1
2018,13,119,95,.026323082,95,95,1
2018,13,121,3741,.02524513,3740,3742,1
2018,13,123,72,.017167382,72,72,1
2018,13,125,,,,,
2018,13,127,369,.027765237,369,369,1
2018,13,129,684,.063492067,684,684,1
2018,13,131,38,.0081387879,38,38,1
2018,13,133,75,.028835064,75,75,1
2018,13,135,2034,.010728414,2034,2034,1
2018,13,137,154,.022228638,154,154,1
2018,13,139,594,.01692356,594,594,1
2018,13,141,60,.071599044,60,60,1
2018,13,143,368,.065063648,368,368,1
2018,13,145,26,.0047723935,26,26,1
2018,13,147,53,.014870931,53,53,1
2018,13,149,113,.053579897,113,113,1
2018,13,151,1095,.025691561,1095,1095,1
2018,13,153,482,.016190795,482,482,1
2018,13,155,43,.025014544,43,43,1
2018,13,157,175,.012987977,175,175,1
2018,13,159,31,.01302521,31,31,1
2018,13,161,11,.003549532,11,11,1
2018,13,163,13,.0052313884,13,13,1
2018,13,165,10,.0085984524,10,10,1
2018,13,167,44,.039215688,44,44,1
2018,13,169,14,.002641011,14,14,1
2018,13,171,52,.019439252,52,52,1
2018,13,173,76,.044057973,76,76,1
2018,13,175,524,.058501732,524,524,1
2018,13,177,545,.083859056,545,545,1
2018,13,179,225,.022252992,225,225,1
2018,13,181,123,.10808436,123,123,1
2018,13,183,28,.0073800739,28,28,1
2018,13,185,608,.031784203,608,608,1
2018,13,187,42,.010897769,42,42,1
2018,13,189,48,.012598425,48,48,1
2018,13,191,76,.057445202,76,76,1
2018,13,193,4,.003125,4,4,1
2018,13,195,282,.042228211,282,282,1
2018,13,197,8,.0059215394,8,8,1
2018,13,199,15,.0058433968,15,15,1
2018,13,201,44,.047722343,44,44,1
2018,13,205,59,.015993495,59,59,1
2018,13,207,735,.18134715,735,735,1
2018,13,209,54,.060538117,54,54,1
2018,13,211,63,.020447906,63,63,1
2018,13,213,166,.022846133,166,166,1
2018,13,215,1141,.035814054,1141,1141,1
2018,13,217,198,.010033445,198,198,1
2018,13,219,106,.013218606,106,106,1
2018,13,221,17,.0080875354,17,17,1
2018,13,223,252,.0084106531,252,252,1
2018,13,225,54,.015058561,54,54,1
2018,13,227,207,.047828097,207,207,1
2018,13,229,74,.020430701,74,74,1
2018,13,231,4,.0012172854,4,4,1
2018,13,233,782,.098887205,782,782,1
2018,13,235,20,.014858841,20,20,1
2018,13,237,12,.004069176,12,12,1
2018,13,239,70,.22012578,70,70,1
2018,13,241,93,.041610736,93,93,1
2018,13,243,25,.02120441,25,25,1
2018,13,245,337,.010889585,337,337,1
2018,13,247,650,.038748138,650,650,1
2018,13,249,13,.0099464422,13,13,1
2018,13,251,77,.033376679,77,77,1
2018,13,253,3,.0020590255,3,3,1
2018,13,255,287,.027721433,287,287,1
2018,13,257,25,.0063564708,25,25,1
2018,13,259,,,,,
2018,13,261,20,.004457321,20,20,1
2018,13,263,,,,,
2018,13,265,,,,,
2018,13,267,34,.0090113971,34,34,1
2018,13,269,113,.079409696,113,113,1
2018,13,271,6,.0034722222,6,6,1
2018,13,273,10,.0078247264,10,10,1
2018,13,275,397,.045553643,397,397,1
2018,13,277,41,.0051984279,41,41,1
2018,13,279,83,.015019906,83,83,1
2018,13,281,56,.05882353,56,56,1
2018,13,283,19,.016934047,19,19,1
2018,13,285,213,.017581511,213,213,1
2018,13,287,18,.01453958,18,18,1
2018,13,289,56,.070886075,56,56,1
2018,13,291,50,.017277125,50,50,1
2018,13,293,59,.014428956,59,59,1
2018,13,295,80,.0092197768,80,80,1
2018,13,297,303,.019121544,303,303,1
2018,13,299,319,.05184463,319,319,1
2018,13,301,,,,,
2018,13,303,11,.0035369776,11,11,1
2018,13,305,74,.013759762,74,74,1
2018,13,307,3,.0096463021,3,3,1
2018,13,309,,,,,
2018,13,311,242,.041079614,242,242,1
2018,13,313,693,.033181708,693,693,1
2018,13,315,,,,,
2018,13,317,,,,,
2018,13,319,1,.00075872533,0,2,3
2018,13,321,55,.016933497,55,55,1
2018,15,001,,,,,
2018,15,003,3600,.019859001,3600,3600,1
2018,15,005,,,,,
2018,15,007,,,,,
2018,15,009,,,,,
2018,16,001,1684,.02188747,1683,1685,1
2018,16,003,10,.062111802,10,10,1
2018,16,005,331,.025577622,330,332,1
2018,16,007,29,.023947151,29,29,1
2018,16,009,57,.041244574,57,57,1
2018,16,011,212,.019921068,211,213,1
2018,16,013,97,.027117696,97,97,1
2018,16,015,29,.034157831,28,30,2
2018,16,017,166,.032606561,166,166,1
2018,16,019,344,.013971813,342,346,1
2018,16,021,130,.088555858,130,130,1
2018,16,023,25,.058275059,25,25,1
2018,16,025,,,,,
2018,16,027,1720,.042973142,1719,1721,1
2018,16,029,15,.016556291,15,15,1
2018,16,031,95,.017083259,95,95,1
2018,16,033,7,.060869563,7,7,1
2018,16,035,90,.076857388,90,90,1
2018,16,037,6,.026548672,6,6,1
2018,16,039,41,.009213483,41,41,1
2018,16,041,18,.0055675842,18,18,1
2018,16,043,45,.020053476,45,45,1
2018,16,045,62,.023334587,62,62,1
2018,16,047,124,.041154996,124,124,1
2018,16,049,11,.0081001474,10,12,3
2018,16,051,33,.0044271532,33,33,1
2018,16,053,104,.021802936,104,104,1
2018,16,055,607,.028114868,607,607,1
2018,16,057,96,.021409456,95,97,1
2018,16,059,71,.077173911,71,71,1
2018,16,061,69,.092,69,69,1
2018,16,063,57,.061356299,57,57,1
2018,16,065,77,.011052103,77,77,1
2018,16,067,131,.029772727,131,131,1
2018,16,069,241,.044547133,241,241,1
2018,16,071,57,.023133118,57,57,1
2018,16,073,135,.056675062,135,135,1
2018,16,075,433,.09863326,433,433,1
2018,16,077,53,.036005434,53,53,1
2018,16,079,61,.035589267,61,61,1
2018,16,081,3,.0016366612,3,3,1
2018,16,083,468,.029665314,468,468,1
2018,16,085,34,.022531478,34,34,1
2018,16,087,58,.030999465,57,59,1
2018,17,001,155,.016573995,154,156,1
2018,17,003,120,.16574585,120,120,1
2018,17,005,84,.037651278,84,84,1
2018,17,007,125,.013224714,125,125,1
2018,17,009,9,.012552301,9,9,1
2018,17,011,124,.025254583,121,127,1
2018,17,013,42,.069536425,42,42,1
2018,17,015,9,.004178273,7,11,3
2018,17,017,65,.028508771,65,65,1
2018,17,019,730,.02936326,729,731,1
2018,17,021,204,.038599811,204,204,1
2018,17,023,119,.045646336,119,119,1
2018,17,025,244,.10405117,244,244,1
2018,17,027,169,.033591732,168,170,1
2018,17,029,308,.045929018,308,308,1
2018,17,031,24712,.034220085,24705,24719,1
2018,17,033,194,.068213783,194,194,1
2018,17,035,43,.026445264,43,43,1
2018,17,037,305,.018327124,305,305,1
2018,17,039,59,.023421993,59,59,1
2018,17,041,124,.035560653,124,124,1
2018,17,043,2139,.014188866,2135,2143,1
2018,17,045,221,.076023392,221,221,1
2018,17,047,37,.041294642,37,37,1
2018,17,049,240,.048086558,240,240,1
2018,17,051,320,.11598405,320,320,1
2018,17,053,28,.010290334,28,28,1
2018,17,055,675,.10857327,675,675,1
2018,17,057,172,.038616974,172,172,1
2018,17,059,65,.086666666,65,65,1
2018,17,061,248,.13449024,248,248,1
2018,17,063,135,.010109331,134,136,1
2018,17,065,105,.087572977,105,105,1
2018,17,067,137,.048087049,137,137,1
2018,17,069,46,.085185185,46,46,1
2018,17,071,27,.035110533,27,27,1
2018,17,073,301,.035731245,300,302,1
2018,17,075,55,.013991351,53,57,2
2018,17,077,498,.070032343,498,498,1
2018,17,079,55,.042935207,55,55,1
2018,17,081,681,.1139177,681,681,1
2018,17,083,69,.027090695,69,69,1
2018,17,085,7,.0047716429,5,9,3
2018,17,087,184,.1027933,184,184,1
2018,17,089,2217,.02295031,2217,2217,1
2018,17,091,476,.027097803,476,476,1
2018,17,093,235,.0087014474,233,237,1
2018,17,095,175,.024305556,175,175,1
2018,17,097,1698,.013379139,1691,1705,1
2018,17,099,363,.025688203,362,364,1
2018,17,101,60,.02851711,60,60,1
2018,17,103,55,.013496933,54,56,1
2018,17,105,88,.016000001,85,91,2
2018,17,107,91,.028208308,91,91,1
2018,17,109,170,.049346879,170,170,1
2018,17,111,874,.012766393,869,879,1
2018,17,113,440,.017365223,438,442,1
2018,17,115,520,.03199606,519,521,1
2018,17,117,427,.05221964,427,427,1
2018,17,119,1538,.038538639,1538,1538,1
2018,17,121,684,.10023446,683,685,1
2018,17,123,13,.024208566,13,13,1
2018,17,125,111,.043478262,111,111,1
2018,17,127,127,.055121526,127,127,1
2018,17,129,10,.0044483985,10,10,1
2018,17,131,41,.015145918,41,41,1
2018,17,133,119,.023075432,119,119,1
2018,17,135,252,.060810812,252,252,1
2018,17,137,193,.04513564,193,193,1
2018,17,139,52,.031287607,52,52,1
2018,17,141,188,.021736616,186,190,1
2018,17,143,840,.030402837,836,844,1
2018,17,145,69,.025881471,69,69,1
2018,17,147,44,.018763326,44,44,1
2018,17,149,58,.026926648,58,58,1
2018,17,151,42,.083665341,42,42,1
2018,17,153,117,.1379717,117,117,1
2018,17,155,8,.0093786633,8,8,1
2018,17,157,249,.06120944,249,249,1
2018,17,159,157,.065938681,157,157,1
2018,17,161,459,.0213717,457,461,1
2018,17,163,2311,.057595015,2310,2312,1
2018,17,165,312,.078748107,312,312,1
2018,17,167,641,.021987446,640,642,1
2018,17,169,35,.034179688,35,35,1
2018,17,171,20,.023557127,20,20,1
2018,17,173,80,.035072338,80,80,1
2018,17,175,34,.040189125,34,34,1
2018,17,177,379,.063040584,378,380,1
2018,17,179,319,.016223364,316,322,1
2018,17,181,236,.081632651,236,236,1
2018,17,183,496,.039839357,492,500,1
2018,17,185,176,.10751375,176,176,1
2018,17,187,43,.01620196,42,44,1
