year,state,county,share_burdened_80_ami,share_burdened_80_ami_ub,share_burdened_80_ami_lb,share_burdened_50_ami,share_burdened_50_ami_ub,share_burdened_50_ami_lb,share_burdened_30_ami,share_burdened_30_ami_ub,share_burdened_30_ami_lb,rent_quality
2014,02,060,0.2252489748,0.3296970766,0.120800873,0.3259165077,0.4668842853,0.1849487302,0.3982392543,0.5609861232,0.2354923853,2
2014,02,068,0.3386874397,0.4121200258,0.2652548535,0.3736519513,0.453284682,0.2940192205,0.5783099367,0.6865751767,0.4700446967,2
2014,02,070,0.253210405,0.3053457489,0.2010750611,0.3657550535,0.4351568014,0.2963533056,0.3982392543,0.4718442952,0.3246342133,2
2014,02,090,0.3404240576,0.3504550088,0.3303931065,0.4276433481,0.439851625,0.4154350712,0.5783099367,0.5930429697,0.5635769036,2
2014,02,100,0.342942901,0.4064117223,0.2794740797,0.4401291234,0.5199179137,0.3603403331,0.5783099367,0.6710227492,0.4855971242,2
2014,02,105,0.253210405,0.3305396167,0.1758811933,0.3657550535,0.4686944811,0.2628156259,0.3982392543,0.5074131729,0.2890653356,2
2014,02,110,0.3386874397,0.356356293,0.3210185864,0.3698924731,0.3889172188,0.3508677275,0.5783099367,0.6043599881,0.5522598853,2
2014,02,122,0.4825573684,0.500760209,0.4643545277,0.6017201456,0.6216336563,0.5818066348,0.7287560924,0.7492269749,0.7082852099,2
2014,02,130,0.3386874397,0.3655828541,0.3117920253,0.3770094515,0.406823655,0.347195248,0.5783099367,0.6179631567,0.5386567167,2
2014,02,150,0.253210405,0.2842665638,0.2221542463,0.3657550535,0.4070965225,0.3244135845,0.3982392543,0.4420845551,0.3543939534,2
2014,02,158,0.253210405,0.2951480582,0.2112727518,0.3657550535,0.4215817964,0.3099283106,0.3982392543,0.4574471247,0.3390313839,2
2014,02,164,0.253210405,0.3425024874,0.1639183227,0.3657550535,0.4846192659,0.2468908411,0.3982392543,0.5243024369,0.2721760716,2
2014,02,170,0.4825573684,0.4969292762,0.4681854605,0.6017201456,0.6174426994,0.5859975917,0.7287560924,0.7449187146,0.7125934702,2
2014,02,180,0.2259106933,0.2595890273,0.1922323593,0.3538072234,0.4019982327,0.3056162141,0.3982392543,0.4505841417,0.3458943668,2
2014,02,185,0.2259106933,0.2597842657,0.1920371209,0.3538072234,0.4022776032,0.3053368436,0.3982392543,0.4508875929,0.3455909156,2
2014,02,188,0.253210405,0.2948430531,0.2115777569,0.3657550535,0.4211757783,0.3103343287,0.3982392543,0.4570165162,0.3394619923,2
2014,02,195,0.2252489748,0.2782138294,0.1722841202,0.3292656819,0.4013043398,0.2572270239,0.3982392543,0.4807669795,0.315711529,2
2014,02,198,0.253210405,0.3016358358,0.2047849742,0.3657550535,0.4302182236,0.3012918834,0.3982392543,0.4666066141,0.3298718945,2
2014,02,220,0.2259106933,0.2608140919,0.1910072947,0.3538072234,0.4037512023,0.3038632444,0.3982392543,0.4524882106,0.343990298,2
2014,02,230,0.3386874397,0.4381156313,0.239259248,0.3711627167,0.4801799189,0.2621455146,0.5783099367,0.7249017646,0.4317181087,2
2014,02,240,0.342942901,0.380429137,0.305456665,0.4401291234,0.4872543316,0.3930039151,0.5783099367,0.6330683881,0.5235514853,2
2014,02,261,0.3386874397,0.3703947323,0.3069801471,0.3916911456,0.4277753379,0.3556069533,0.5783099367,0.6250575432,0.5315623302,2
2014,02,275,0.253210405,0.3269409154,0.1794798946,0.3657550535,0.4639039467,0.2676061604,0.3982392543,0.5023325014,0.2941460071,2
2014,02,282,0.2252489748,0.3531712518,0.0973266978,0.3292656819,0.5032555706,0.1552757931,0.3982392543,0.5975626474,0.1989158612,2
2014,02,290,0.253210405,0.3016358358,0.2047849742,0.3657550535,0.4302182236,0.3012918834,0.3982392543,0.4666066141,0.3298718945,2
2014,04,001,0.2656150752,0.2796979183,0.251532232,0.3696959572,0.3890314443,0.3503604702,0.3696959572,0.3890314443,0.3503604702,2
2014,04,003,0.3551199938,0.364730664,0.3455093236,0.4685400122,0.4800512246,0.4570287999,0.4879374049,0.4998502329,0.476024577,2
2014,04,005,0.3387081741,0.3476635922,0.329752756,0.4576249843,0.4685827793,0.4466671892,0.606265241,0.6193807438,0.5931497383,1
2014,04,007,0.3324216808,0.3471736956,0.3176696659,0.456103196,0.4755134147,0.4366929773,0.4628761235,0.4824515426,0.4433007044,2
2014,04,009,0.315814338,0.3328451693,0.2987835067,0.4401646091,0.4616361056,0.4186931125,0.4628761235,0.4863733822,0.4393788647,2
2014,04,011,0.306897739,0.3417974921,0.271997986,0.4054586808,0.4481625899,0.3627547718,0.4628761235,0.5121061633,0.4136460837,2
2014,04,012,0.3050856736,0.3269813075,0.2831900397,0.5098810613,0.5406129816,0.479149141,0.5098810613,0.5406129816,0.479149141,2
2014,04,013,0.4022806606,0.4038507275,0.4007105936,0.5770852717,0.5790285465,0.5751419969,0.6965501492,0.6986267494,0.6944735491,1
2014,04,015,0.3050856736,0.312096922,0.2980744252,0.5098810613,0.5197217961,0.5000403265,0.5098810613,0.5197217961,0.5000403265,1
2014,04,017,0.2656150752,0.2771136684,0.2541164819,0.3696959572,0.3854833163,0.3539085982,0.3696959572,0.3854833163,0.3539085982,2
2014,04,019,0.4193926682,0.4223790893,0.416406247,0.5817226086,0.5852997012,0.578145516,0.650846322,0.654578211,0.6471144329,1
2014,04,021,0.2850560368,0.2904676175,0.2796444561,0.3899107147,0.3968331077,0.3829883217,0.4605901524,0.468582744,0.4525975609,1
2014,04,023,0.3732057416,0.3897890298,0.3566224534,0.4879374049,0.5077771278,0.468097682,0.4879374049,0.5077771278,0.468097682,2
2014,04,025,0.3145587275,0.3215701317,0.3075473234,0.4134687422,0.4222751188,0.4046623656,0.4409918393,0.4509458226,0.431037856,1
2014,04,027,0.4639049236,0.4719598916,0.4558499556,0.6351735913,0.6443629228,0.6259842599,0.6351735913,0.6443629228,0.6259842599,1
2014,05,001,0.293882944,0.3145000448,0.2732658432,0.3977260673,0.4234949715,0.3719571631,0.439039661,0.4664923376,0.4115869843,2
2014,05,003,0.3403683013,0.3612825806,0.3194540219,0.4343234323,0.4590372816,0.4096095831,0.4383160139,0.4631688752,0.4134631525,2
2014,05,005,0.1641238603,0.1774478541,0.1507998664,0.2462413653,0.2652245422,0.2272581884,0.2462413653,0.2652245422,0.2272581884,2
2014,05,007,0.2812104539,0.2877468065,0.2746741014,0.5164191169,0.5262646674,0.5065735664,0.5887475809,0.6000868645,0.5774082972,1
2014,05,009,0.1636952998,0.1778008208,0.1495897788,0.2372438993,0.2567674386,0.2177203599,0.2439613527,0.2639490923,0.223973613,2
2014,05,011,0.3569491158,0.3868507699,0.3270474616,0.445799458,0.4804682926,0.4111306234,0.445799458,0.4804682926,0.4111306234,2
2014,05,013,0.424178508,0.4693719126,0.3789851034,0.5096999302,0.5609566902,0.4584431702,0.5096999302,0.5609566902,0.4584431702,2
2014,05,015,0.1710575837,0.1880743492,0.1540408183,0.2462413653,0.2696001186,0.222882612,0.2462413653,0.2696001186,0.222882612,2
2014,05,017,0.3569491158,0.3864402014,0.3274580301,0.445799458,0.4799922677,0.4116066483,0.445799458,0.4799922677,0.4116066483,2
2014,05,019,0.4229917307,0.4450715433,0.400911918,0.5805823252,0.6065705008,0.5545941496,0.5855353195,0.6118254818,0.5592451572,2
2014,05,021,0.449674034,0.4734680939,0.4258799741,0.5571115974,0.5849831135,0.5292400812,0.5571115974,0.5849831135,0.5292400812,2
2014,05,023,0.1839914458,0.1991386348,0.1688442568,0.3004489898,0.3233506781,0.2775473015,0.3068789809,0.3301630422,0.2835949195,2
2014,05,025,0.3403683013,0.37355893,0.3071776726,0.4383160139,0.4777571096,0.3988749181,0.4383160139,0.4777571096,0.3988749181,2
2014,05,027,0.3956305653,0.41587775,0.3753833807,0.4954346963,0.5188386521,0.4720307406,0.4954346963,0.5188386521,0.4720307406,2
2014,05,029,0.1850761773,0.2033013971,0.1668509575,0.2774101466,0.3031337627,0.2516865306,0.321021021,0.349876307,0.292165735,2
2014,05,031,0.4005996142,0.4098058535,0.3913933749,0.4944586222,0.5052292631,0.4836879814,0.5278325554,0.5390704357,0.516594675,2
2014,05,033,0.3000957625,0.3121929973,0.2879985277,0.4591154656,0.4753852254,0.4428457058,0.4591154656,0.4753852254,0.4428457058,2
2014,05,035,0.243009901,0.2538654216,0.2321543804,0.3162560561,0.3296826912,0.302829421,0.368453106,0.3835933056,0.3533129064,2
2014,05,037,0.2808685037,0.3013685558,0.2603684515,0.3554403002,0.3800012983,0.330879302,0.3577298978,0.3824051649,0.3330546307,2
2014,05,039,0.424178508,0.4609587672,0.3873982488,0.5096999302,0.5514147984,0.467985062,0.5096999302,0.5514147984,0.467985062,2
2014,05,041,0.3569491158,0.3850677626,0.3288304689,0.445799458,0.4784010229,0.4131978931,0.445799458,0.4784010229,0.4131978931,2
2014,05,043,0.3569491158,0.3804651482,0.3334330833,0.445799458,0.4730646198,0.4185342961,0.445799458,0.4730646198,0.4185342961,2
